supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
LOPAC 00228,0.998626,-0.131071,0,0.77999,0.998626,0
LOPAC 00362,0.999388,-0.0328772,0,0.662048,0.999388,0
LOPAC 00557,0.995601,-0.390481,0,0.705454,0.995601,0
LOPAC 00565,1.00854,0.721072,0,0.491834,1.00854,0
LOPAC 00574,1.01316,1.13609,0,0.256962,1.01316,0
LOPAC 00581,0.983088,-1.47088,0,0.160938,0.983088,0
LOPAC 00592,0.996995,-0.256383,0,0.797934,0.996995,0
LOPAC 00662,1.01087,1.00612,0,0.299084,1.01087,0
LOPAC 00001,1.00075,0.0712312,0,0.890886,1.00075,0
LOPAC 00057,1.0012,0.088079,0,0.736628,1.0012,0
LOPAC 00164,1.00863,0.808816,0,0.273746,1.00863,0
LOPAC 00167,1.01432,1.22781,0,0.223112,1.01432,0
LOPAC 00235,0.998638,-0.158528,0,0.368574,0.998638,0
LOPAC 00332,0.9942,-0.490828,0,0.629988,0.9942,0
LOPAC 00612,0.983078,-1.4875,0,0.220344,0.983078,0
LOPAC 00644,1.00207,0.210115,0,0.494614,1.00207,0
LOPAC 00023,0.995989,-0.374198,0,0.55336,0.995989,0
LOPAC 00087,0.996705,-0.282356,0,0.77778,0.996705,0
LOPAC 00645,1.00577,0.483784,0,0.64373,1.00577,0
LOPAC 00646,0.997925,-0.190205,0,0.803804,0.997925,0
LOPAC 00647,1.00949,0.784723,0,0.538428,1.00949,0
LOPAC 00648,1.00636,0.520252,0,0.590672,1.00636,0
LOPAC 00649,1.00214,0.214701,0,0.515372,1.00214,0
LOPAC 00663,0.981775,-1.58674,0,0.137905,0.981775,0
LOPAC 00018,1.01768,1.49375,0,0.213118,1.01768,0
LOPAC 00243,0.985981,-1.22803,0,0.265834,0.985981,0
LOPAC 00324,0.998784,-0.113131,0,0.8533,0.998784,0
LOPAC 00621,1.00058,0.0503077,0,0.959878,1.00058,0
LOPAC 00650,1.00286,0.277715,0,0.504304,1.00286,0
LOPAC 00651,1.01635,1.41765,0,0.165831,1.01635,0
LOPAC 00664,0.996604,-0.301869,0,0.767626,0.996604,0
LOPAC 01302,1.00911,0.813392,0,0.50345,1.00911,0
LOPAC 00171,0.993487,-0.579475,0,0.593668,0.993487,0
LOPAC 00568,0.996107,-0.364562,0,0.544846,0.996107,0
LOPAC 00598,0.984648,-1.33779,0,0.206338,0.984648,0
LOPAC 00652,0.998919,-0.101091,0,0.860936,0.998919,0
LOPAC 00653,0.996667,-0.267289,0,0.673548,0.996667,0
LOPAC 00665,1.00076,0.067665,0,0.946142,1.00076,0
LOPAC 00666,1.029,2.49261,0,0.0132556,1.029,0
LOPAC 00349,1.0005,0.033344,0,0.834684,1.0005,0
LOPAC 00564,1.01053,0.941386,0,0.471952,1.01053,0
LOPAC 00654,0.985644,-1.24781,0,0.226238,0.985644,0
LOPAC 00655,1.00071,0.0602229,0,0.951982,1.00071,0
LOPAC 00656,1.00385,0.335047,0,0.73849,1.00385,0
LOPAC 00667,0.999721,-0.0275361,0,0.938612,0.999721,0
LOPAC 00668,1.00704,0.626658,0,0.571834,1.00704,0
LOPAC 01342,1.01011,0.907655,0,0.503856,1.01011,0
LOPAC 00326,1.00583,0.523834,0,0.640356,1.00583,0
LOPAC 00409,1.01323,1.17695,0,0.384788,1.01323,0
LOPAC 00485,0.992602,-0.647527,0,0.528168,0.992602,0
LOPAC 00490,0.988672,-1.02386,0,0.50222,0.988672,0
LOPAC 00657,1.00563,0.463651,0,0.670506,1.00563,0
LOPAC 00658,1.00202,0.209524,0,0.438058,1.00202,0
LOPAC 00669,0.984086,-1.384,0,0.184618,0.984086,0
LOPAC 00670,0.997951,-0.189141,0,0.783742,0.997951,0
LOPAC 00017,0.993779,-0.536662,0,0.591562,0.993779,0
LOPAC 00327,1.00128,0.0997266,0,0.813058,1.00128,0
LOPAC 00364,0.986539,-1.15882,0,0.246574,0.986539,0
LOPAC 00659,1.00507,0.399407,0,0.450016,1.00507,0
LOPAC 00660,1.00501,0.446229,0,0.672496,1.00501,0
LOPAC 00661,1.00447,0.425995,0,0.40391,1.00447,0
LOPAC 00671,0.986426,-1.22621,0,0.49286,0.986426,0
LOPAC 00672,1.00983,0.880705,0,0.501026,1.00983,0
LOPAC 00170,0.989812,-0.873433,0,0.384324,0.989812,0
LOPAC 00178,1.00085,0.0878143,0,0.746826,1.00085,0
LOPAC 00569,0.990805,-0.837717,0,0.463388,0.990805,0
LOPAC 00602,1.00023,-0.00645286,0,0.561554,1.00023,0
LOPAC 00673,0.998981,-0.107758,0,0.660766,0.998981,0
LOPAC 00674,0.996711,-0.280527,0,0.779468,0.996711,0
LOPAC 01303,0.979649,-1.79193,0,0.180777,0.979649,0
LOPAC 01318,0.994406,-0.489347,0,0.629374,0.994406,0
LOPAC 00084,1.00645,0.577639,0,0.607336,1.00645,0
LOPAC 00408,1.0106,0.917525,0,0.360992,1.0106,0
