supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
LOPAC 00228,0.940193,-2.83579,0,0.0111081,0.940193,0
LOPAC 00362,0.97337,-1.27753,0,0.206178,0.97337,0
LOPAC 00557,0.999653,0.0222999,0,0.805764,0.999653,0
LOPAC 00565,1.00349,0.320535,0,0.370966,1.00349,0
LOPAC 00574,1.01292,0.621526,0,0.534974,1.01292,0
LOPAC 00581,1.00761,0.174787,0,0.223922,1.00761,0
LOPAC 00592,1.02929,1.34471,0,0.240058,1.02929,0
LOPAC 00662,1.00163,0.234802,0,0.344672,1.00163,0
LOPAC 00001,0.99704,0.0521715,0,0.218424,0.99704,0
LOPAC 00057,1.00206,0.127269,0,0.869208,1.00206,0
LOPAC 00164,1.01076,0.612638,0,0.596622,1.01076,0
LOPAC 00167,0.997634,-0.0818115,0,0.833176,0.997634,0
LOPAC 00235,0.985306,-0.811712,0,0.492422,0.985306,0
LOPAC 00332,1.00751,0.124961,0,0.133047,1.00751,0
LOPAC 00612,1.0132,0.438379,0,0.238464,1.0132,0
LOPAC 00644,1.01188,0.596543,0,0.552932,1.01188,0
LOPAC 00023,0.984598,-0.729102,0,0.470632,0.984598,0
LOPAC 00087,1.02345,1.0347,0,0.408564,1.02345,0
LOPAC 00645,0.994946,-0.127732,0,0.459256,0.994946,0
LOPAC 00646,0.963019,-1.81202,0,0.0701552,0.963019,0
LOPAC 00647,1.01532,0.678656,0,0.536668,1.01532,0
LOPAC 00648,0.987315,-0.510677,0,0.548316,0.987315,0
LOPAC 00649,1.03707,1.52543,0,0.397784,1.03707,0
LOPAC 00663,1.0353,1.55498,0,0.315388,1.0353,0
LOPAC 00018,0.990159,-0.393578,0,0.61328,0.990159,0
LOPAC 00243,1.01347,0.200774,0,0.00497372,1.01347,0
LOPAC 00324,0.988739,-0.546032,0,0.585164,0.988739,0
LOPAC 00621,0.98117,-0.755641,0,0.429802,0.98117,0
LOPAC 00650,1.01847,0.86236,0,0.403176,1.01847,0
LOPAC 00651,1.03018,1.39953,0,0.206876,1.03018,0
LOPAC 00664,1.00552,0.365999,0,0.572542,1.00552,0
LOPAC 01302,0.979299,-0.795891,0,0.30624,0.979299,0
LOPAC 00171,0.982551,-0.793102,0,0.458656,0.982551,0
LOPAC 00568,0.97449,-1.21181,0,0.236218,0.97449,0
LOPAC 00598,1.016,0.557414,0,0.22381,1.016,0
LOPAC 00652,0.98788,-0.468084,0,0.485572,0.98788,0
LOPAC 00653,0.981919,-0.90873,0,0.369594,0.981919,0
LOPAC 00665,1.06007,2.76118,0,0.0467462,1.06007,0
LOPAC 00666,1.00066,0.0833552,0,0.750356,1.00066,0
LOPAC 00349,1.00654,0.281346,0,0.784436,1.00654,0
LOPAC 00564,0.995016,-0.212706,0,0.8346,0.995016,0
LOPAC 00654,1.0017,-0.0700703,0,0.338336,1.0017,0
LOPAC 00655,0.984413,-0.649957,0,0.569796,0.984413,0
LOPAC 00656,1.00761,0.31557,0,0.737356,1.00761,0
LOPAC 00667,0.968736,-1.27222,0,0.37478,0.968736,0
LOPAC 00668,0.997686,0.0638288,0,0.268912,0.997686,0
LOPAC 01342,1.04653,2.17282,0,0.0635602,1.04653,0
LOPAC 00326,1.0096,0.402986,0,0.702604,1.0096,0
LOPAC 00409,0.998958,-0.134792,0,0.602652,0.998958,0
LOPAC 00485,0.965964,-1.6777,0,0.0948866,0.965964,0
LOPAC 00490,0.98179,-0.716649,0,0.39318,0.98179,0
LOPAC 00657,1.01315,0.622998,0,0.536248,1.01315,0
LOPAC 00658,0.999802,0.00905327,0,0.906516,0.999802,0
LOPAC 00669,1.03832,1.52765,0,0.26547,1.03832,0
LOPAC 00670,1.17028,8.17176,0,1.96304e-13,1.17028,0
LOPAC 00017,0.994292,-0.095707,0,0.253574,0.994292,0
LOPAC 00327,1.01628,0.772242,0,0.444754,1.01628,0
LOPAC 00364,1.01209,0.351139,0,0.157486,1.01209,0
LOPAC 00659,0.988225,-0.614582,0,0.551048,0.988225,0
LOPAC 00660,0.971712,-1.33679,0,0.198484,0.971712,0
LOPAC 00661,0.969106,-1.38013,0,0.297822,0.969106,0
LOPAC 00671,1.02818,1.29894,0,0.245066,1.02818,0
LOPAC 00672,1.00699,0.263234,0,0.636918,1.00699,0
LOPAC 00170,1.01219,0.452246,0,0.417654,1.01219,0
LOPAC 00178,1.00106,0.162487,0,0.493416,1.00106,0
LOPAC 00569,0.995955,-0.299592,0,0.541142,0.995955,0
LOPAC 00602,1.01209,0.422064,0,0.333064,1.01209,0
LOPAC 00673,0.983964,-0.503442,0,0.117774,0.983964,0
LOPAC 00674,0.987972,-0.382242,0,0.230762,0.987972,0
LOPAC 01303,0.986464,-0.569293,0,0.623644,0.986464,0
LOPAC 01318,1.00672,0.398158,0,0.685964,1.00672,0
LOPAC 00084,1.00761,0.475433,0,0.560442,1.00761,0
LOPAC 00408,0.99282,-0.314166,0,0.759564,0.99282,0
LOPAC 00675,1.01065,0.332292,0,0.264906,1.01065,0
LOPAC 00676,0.976754,-1.07849,0,0.310896,0.976754,0
LOPAC 00677,1.00622,0.236589,0,0.681692,1.00622,0
LOPAC 00679,0.968052,-1.66827,0,0.169801,0.968052,0
LOPAC 00680,1.00487,0.331035,0,0.58035,1.00487,0
LOPAC 01304,1.03907,1.68992,0,0.375454,1.03907,0
LOPAC 00083,1.03043,1.3647,0,0.290364,1.03043,0
LOPAC 00165,0.999795,-0.0543024,0,0.78175,0.999795,0
LOPAC 00353,0.98317,-1.01479,0,0.43692,0.98317,0
LOPAC 00439,0.979787,-0.886739,0,0.4634,0.979787,0
LOPAC 00681,0.988493,-0.446213,0,0.510578,0.988493,0
LOPAC 00682,1.0122,0.615867,0,0.54118,1.0122,0
LOPAC 00683,1.00672,0.585079,0,0.167449,1.00672,0
LOPAC 00684,0.971914,-1.3385,0,0.190224,0.971914,0
LOPAC 00082,0.972177,-1.23934,0,0.335608,0.972177,0
LOPAC 00166,0.859554,-7.66718,0,0.00448178,0.859554,0
LOPAC 00484,1.03235,1.46478,0,0.243312,1.03235,0
LOPAC 00566,0.993549,-0.35983,0,0.729334,0.993549,0
LOPAC 00685,1.02089,0.818721,0,0.346732,1.02089,0
LOPAC 00686,1.00995,0.400518,0,0.621434,1.00995,0
LOPAC 00687,1.0027,0.262537,0,0.429012,1.0027,0
LOPAC 00688,1.02703,1.15673,0,0.461634,1.02703,0
LOPAC 00011,1.01837,0.81507,0,0.474048,1.01837,0
LOPAC 00053,1.00028,0.0109346,0,0.986906,1.00028,0
LOPAC 00325,0.995792,-0.0895721,0,0.469312,0.995792,0
LOPAC 00689,0.992899,-0.487036,0,0.433964,0.992899,0
LOPAC 00690,0.998467,-0.0270302,0,0.764432,0.998467,0
