supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
LOPAC 00228,0.98197,-0.508472,0,0.63665,0.98197,0
LOPAC 00362,0.964289,-1.0747,0,0.282772,0.964289,0
LOPAC 00557,0.965976,-1.02378,0,0.30615,0.965976,0
LOPAC 00565,1.04559,1.39104,0,0.179073,1.04559,0
LOPAC 00574,1.01538,0.447884,0,0.65843,1.01538,0
LOPAC 00581,0.974487,-0.774307,0,0.441028,0.974487,0
LOPAC 00592,1.02254,0.685906,0,0.495356,1.02254,0
LOPAC 00662,1.01884,0.521699,0,0.647418,1.01884,0
LOPAC 00001,1.01681,0.480443,0,0.644312,1.01681,0
LOPAC 00057,0.998158,-0.0297646,0,0.764194,0.998158,0
LOPAC 00164,1.01638,0.497511,0,0.619642,1.01638,0
LOPAC 00167,0.997587,-0.0348273,0,0.658476,0.997587,0
LOPAC 00235,1.03384,1.00093,0,0.324036,1.03384,0
LOPAC 00332,0.988138,-0.333277,0,0.747796,0.988138,0
LOPAC 00612,0.996221,-0.118803,0,0.905618,0.996221,0
LOPAC 00644,0.955887,-1.31583,0,0.190317,0.955887,0
LOPAC 00023,0.964643,-1.09332,0,0.307628,0.964643,0
LOPAC 00087,1.03763,1.18637,0,0.333726,1.03763,0
LOPAC 00645,1.01717,0.496784,0,0.6277,1.01717,0
LOPAC 00646,1.00041,0.0195329,0,0.931718,1.00041,0
LOPAC 00647,1.02141,0.645047,0,0.519076,1.02141,0
LOPAC 00648,0.979847,-0.58581,0,0.567828,0.979847,0
LOPAC 00649,0.933661,-1.78435,0,0.258324,0.933661,0
LOPAC 00663,1.00385,0.124004,0,0.901784,1.00385,0
LOPAC 00018,1.00826,0.264863,0,0.795096,1.00826,0
LOPAC 00243,1.00203,0.0876516,0,0.755098,1.00203,0
LOPAC 00324,1.01257,0.408537,0,0.702522,1.01257,0
LOPAC 00621,0.999759,-0.0487344,0,0.626048,0.999759,0
LOPAC 00650,1.01324,0.428597,0,0.688728,1.01324,0
LOPAC 00651,0.999063,-0.102626,0,0.383458,0.999063,0
LOPAC 00664,1.01238,0.354535,0,0.728326,1.01238,0
LOPAC 01302,0.96238,-1.139,0,0.257842,0.96238,0
LOPAC 00171,1.00233,0.0475352,0,0.792418,1.00233,0
LOPAC 00568,1.0218,0.659764,0,0.510282,1.0218,0
LOPAC 00598,0.990462,-0.313994,0,0.756358,0.990462,0
LOPAC 00652,1.00356,0.0802412,0,0.756008,1.00356,0
LOPAC 00653,0.954072,-1.42033,0,0.20435,0.954072,0
LOPAC 00665,1.01639,0.536321,0,0.638992,1.01639,0
LOPAC 00666,0.999567,0.0208742,0,0.690582,0.999567,0
LOPAC 00349,1.02922,0.882778,0,0.378438,1.02922,0
LOPAC 00564,0.961581,-1.21661,0,0.343786,0.961581,0
LOPAC 00654,0.986435,-0.420568,0,0.677866,0.986435,0
LOPAC 00655,0.975008,-0.659917,0,0.386712,0.975008,0
LOPAC 00656,1.01695,0.525062,0,0.606094,1.01695,0
LOPAC 00667,1.01832,0.591478,0,0.599278,1.01832,0
LOPAC 00668,0.997846,-0.101273,0,0.668232,0.997846,0
LOPAC 01342,0.814602,-5.65854,0,2.59038e-06,0.814602,0
LOPAC 00326,1.0087,0.388054,0,0.165199,1.0087,0
LOPAC 00409,0.97489,-0.74741,0,0.456054,0.97489,0
LOPAC 00485,1.01523,0.427968,0,0.68659,1.01523,0
LOPAC 00490,0.949466,-1.58185,0,0.216334,0.949466,0
LOPAC 00657,1.01338,0.361467,0,0.658592,1.01338,0
LOPAC 00658,1.01004,0.344133,0,0.63536,1.01004,0
LOPAC 00669,0.992933,-0.18749,0,0.775802,0.992933,0
LOPAC 00670,1.13381,4.25781,0,0.0776538,1.13381,0
LOPAC 00017,1.0264,0.781057,0,0.43893,1.0264,0
LOPAC 00327,1.0075,0.166806,0,0.498138,1.0075,0
LOPAC 00364,0.983411,-0.49227,0,0.623298,0.983411,0
LOPAC 00659,1.00867,0.244338,0,0.810296,1.00867,0
LOPAC 00660,0.982372,-0.479065,0,0.599278,0.982372,0
LOPAC 00661,0.986429,-0.38701,0,0.706836,0.986429,0
LOPAC 00671,0.865546,-4.11682,0,0.000778794,0.865546,0
LOPAC 00672,0.997471,-0.0525746,0,0.784124,0.997471,0
LOPAC 00170,0.978885,-0.629405,0,0.52963,0.978885,0
LOPAC 00178,1.0199,0.579804,0,0.57024,1.0199,0
LOPAC 00569,1.01667,0.49654,0,0.619882,1.01667,0
LOPAC 00602,1.00208,0.0601246,0,0.952074,1.00208,0
LOPAC 00673,1.00773,0.145598,0,0.31469,1.00773,0
LOPAC 00674,1.01277,0.38567,0,0.699842,1.01277,0
LOPAC 01303,1.00967,0.291902,0,0.770408,1.00967,0
LOPAC 01318,1.02187,0.654585,0,0.51283,1.02187,0
LOPAC 00084,1.01216,0.362087,0,0.717436,1.01216,0
LOPAC 00408,1.01725,0.551135,0,0.60979,1.01725,0
LOPAC 00675,0.963661,-1.10728,0,0.277166,0.963661,0
LOPAC 00676,0.983725,-0.560109,0,0.469396,0.983725,0
LOPAC 00677,1.01593,0.46478,0,0.646236,1.01593,0
LOPAC 00679,0.981051,-0.566993,0,0.570802,0.981051,0
LOPAC 00680,0.980308,-0.535283,0,0.568592,0.980308,0
LOPAC 01304,1.00296,0.0861547,0,0.931378,1.00296,0
LOPAC 00083,1.03217,0.944485,0,0.359454,1.03217,0
LOPAC 00165,1.0061,0.232396,0,0.572254,1.0061,0
LOPAC 00353,0.996061,-0.133766,0,0.856344,0.996061,0
