supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
LOPAC 00228,1.00903,0.372832,0,0.709996,1.00903,0
LOPAC 00362,0.99879,-0.0536549,0,0.90015,0.99879,0
LOPAC 00557,0.98775,-0.497905,0,0.622498,0.98775,0
LOPAC 00565,1.01111,0.456658,0,0.648064,1.01111,0
LOPAC 00574,0.989783,-0.412765,0,0.686036,0.989783,0
LOPAC 00581,0.995723,-0.18129,0,0.858458,0.995723,0
LOPAC 00592,0.999781,-0.00200366,0,0.826814,0.999781,0
LOPAC 00662,1.00026,-0.00177944,0,0.69275,1.00026,0
LOPAC 00001,1.00192,0.0849815,0,0.844644,1.00192,0
LOPAC 00057,1.00531,0.218684,0,0.826944,1.00531,0
LOPAC 00164,1.00432,0.175361,0,0.861048,1.00432,0
LOPAC 00167,1.00914,0.375051,0,0.707624,1.00914,0
LOPAC 00235,0.995008,-0.200435,0,0.84265,0.995008,0
LOPAC 00332,0.98834,-0.475244,0,0.636352,0.98834,0
LOPAC 00612,0.987781,-0.505665,0,0.61622,0.987781,0
LOPAC 00644,0.993986,-0.240236,0,0.814054,0.993986,0
LOPAC 00023,0.995961,-0.165942,0,0.868204,0.995961,0
LOPAC 00087,0.996184,-0.161189,0,0.873272,0.996184,0
LOPAC 00645,1.01235,0.512711,0,0.614468,1.01235,0
LOPAC 00646,0.99929,-0.0357108,0,0.836124,0.99929,0
LOPAC 00647,1.00282,0.117456,0,0.906608,1.00282,0
LOPAC 00648,1.00075,0.033973,0,0.91686,1.00075,0
LOPAC 00649,0.995744,-0.180429,0,0.858428,0.995744,0
LOPAC 00663,0.990442,-0.411662,0,0.573992,0.990442,0
LOPAC 00018,1.01376,0.562425,0,0.574712,1.01376,0
LOPAC 00243,0.988061,-0.501858,0,0.639804,0.988061,0
LOPAC 00324,0.990576,-0.393554,0,0.700572,0.990576,0
LOPAC 00621,1.00823,0.337567,0,0.735698,1.00823,0
LOPAC 00650,1.00834,0.338432,0,0.736718,1.00834,0
LOPAC 00651,0.976039,-0.956322,0,0.491776,0.976039,0
LOPAC 00664,0.995232,-0.188888,0,0.83406,0.995232,0
LOPAC 01302,1.00635,0.260986,0,0.794126,1.00635,0
LOPAC 00171,1.00266,0.113474,0,0.894558,1.00266,0
LOPAC 00568,1.00222,0.106664,0,0.63074,1.00222,0
LOPAC 00598,0.982359,-0.743958,0,0.539212,0.982359,0
