supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00215,0.820337,-8.25314,0,1.88099e-15,0.820337,22.56
AW 00436,0.837409,-7.45832,0,2.58422e-11,0.837409,20.81
AW 00625,0.0458199,-43.8892,0,0,0.0458199,99.87
AW 00698,0.986467,-0.618756,0,0.542404,0.986467,5.79
AW 00801,0.95443,-2.08499,0,0.0638388,0.95443,8.94
AW 00819,0.993162,-0.31198,0,0.756834,0.993162,4.99
AW 00844,0.924677,-3.44945,0,0.00303994,0.924677,11.8
AW 00891,0.976154,-1.0945,0,0.27598,0.976154,6.58
AW 00925,0.961004,-1.78568,0,0.0943024,0.961004,8.04
AW 00962,0.99112,-0.404557,0,0.69119,0.99112,4.97
AW 01018,1.00446,0.206468,0,0.836904,1.00446,3.58
AW 01055,1.00357,0.160912,0,0.873794,1.00357,3.61
AW 01109,1.012,0.548047,0,0.590184,1.012,2.69
AW 01159,1.00388,0.177233,0,0.859516,1.00388,3.4
AW 01219,0.98803,-0.553961,0,0.585776,0.98803,4.9
AW 01274,0.980381,-0.897675,0,0.381102,0.980381,5.58
BR 00009,0.9187,-3.72783,0,0.000689648,0.9187,11.73
BTB 00027,0.996106,-0.180012,0,0.857318,0.996106,3.86
BTB 00084,1.00535,0.248224,0,0.805204,1.00535,2.87
BTB 00241,0.976651,-1.06298,0,0.354496,0.976651,5.72
BTB 00333,0.990132,-0.449224,0,0.661714,0.990132,4.32
BTB 00374,1.00919,0.420918,0,0.674796,1.00919,2.36
BTB 00441,0.987766,-0.563786,0,0.573702,0.987766,4.5
BTB 00496,0.983855,-0.738817,0,0.467176,0.983855,4.86
BTB 00554,0.961726,-1.75803,0,0.0799884,0.961726,7.06
BTB 00596,0.597583,-18.5027,0,0,0.597583,43.9
BTB 00667,1.01077,0.493482,0,0.622846,1.01077,1.97
BTB 00694,0.680143,-14.6415,0,5.32038e-30,0.680143,35.46
BTB 00730,1.00808,0.369364,0,0.713198,1.00808,2.08
BTB 00778,1.01957,0.898552,0,0.370074,1.01957,0.84
BTB 00828,0.969285,-1.40821,0,0.167902,0.969285,5.88
BTB 00881,0.992546,-0.341786,0,0.73281,0.992546,3.45
BTB 00992,0.972705,-1.25287,0,0.21292,0.972705,5.41
BTB 01022,0.865821,-6.17494,0,1.89448e-09,0.865821,16.24
BTB 01036,1.0071,0.328228,0,0.7438,1.0071,1.79
BTB 01061,0.994118,-0.270665,0,0.78666,0.994118,3.06
BTB 01088,1.00476,0.220491,0,0.82623,1.00476,1.94
BTB 01148,1.01631,0.746177,0,0.4629,1.01631,0.74
BTB 01177,0.982339,-0.808438,0,0.426584,0.982339,4.2
BTB 01196,0.986638,-0.614936,0,0.53875,0.986638,3.75
BTB 01235,0.950828,-2.26613,0,0.0283984,0.950828,7.4
BTB 01260,0.555429,-20.4551,0,0,0.555429,47.75
BTB 01296,1.00645,0.296733,0,0.76668,1.00645,1.72
BTB 01349,1.0144,0.665129,0,0.511082,1.0144,0.91
BTB 01396,1.00026,0.0132449,0,0.949494,1.00026,2.36
BTB 01410,1.00627,0.288954,0,0.772736,1.00627,1.77
BTB 01444,0.980533,-0.895758,0,0.37068,0.980533,4.42
BTB 01514,0.949186,-2.33627,0,0.0194802,0.949186,7.65
BTB 01585,0.949663,-2.30957,0,0.0249416,0.949663,7.63
BTB 01706,0.996157,-0.178354,0,0.85893,0.996157,2.92
BTB 01787,1.00343,0.158287,0,0.874286,1.00343,2.23
BTB 01869,1.00624,0.287053,0,0.774078,1.00624,2
BTB 01909,0.99187,-0.38406,0,0.628674,0.99187,3.51
BTB 01965,1.00755,0.350718,0,0.729588,1.00755,1.98
BTB 02003,0.988514,-0.525452,0,0.602658,0.988514,3.96
BTB 02050,0.982558,-0.801786,0,0.422702,0.982558,4.59
BTB 02082,0.941141,-2.71193,0,0.0089808,0.941141,8.8
BTB 02134,0.996376,-0.164709,0,0.869788,0.996376,3.2
BTB 02164,0.0437871,-43.9834,0,0,0.0437871,100
BTB 02191,1.0063,0.289227,0,0.77249,1.0063,2.21
BTB 02242,0.984936,-0.695266,0,0.490746,0.984936,4.41
BTB 02289,0.984535,-0.716072,0,0.488074,0.984535,4.49
BTB 02335,0.989035,-0.503555,0,0.614754,0.989035,4.08
BTB 02361,1.02152,1.00431,0,0.44072,1.02152,0.83
BTB 02389,0.934719,-3.00249,0,0.00270534,0.934719,9.65
BTB 02411,0.992101,-0.363987,0,0.716084,0.992101,3.85
BTB 02461,1.0021,0.0989953,0,0.909978,1.0021,2.86
BTB 02498,0.999139,-0.0335948,0,0.76164,0.999139,3.2
BTB 02544,0.997361,-0.122643,0,0.902596,0.997361,3.45
BTB 02581,1.00511,0.223893,0,0.580632,1.00511,2.74
BTB 02635,0.976421,-1.09601,0,0.355796,0.976421,5.74
BTB 02660,0.949599,-2.3322,0,0.0579634,0.949599,8.54
BTB 02678,0.705111,-13.5756,0,2.19976e-37,0.705111,33.31
BTB 02719,1.00678,0.317036,0,0.75943,1.00678,3
BTB 02761,0.993952,-0.279217,0,0.780438,0.993952,4.4
BTB 02768,0.990899,-0.418069,0,0.675954,0.990899,4.82
BTB 02848,1.00542,0.245897,0,0.808792,1.00542,3.47
BTB 02874,0.988108,-0.545729,0,0.58579,0.988108,5.33
BTB 02933,0.641693,-16.4721,0,0,0.641693,40.16
BTB 03010,0.950482,-2.27918,0,0.0236386,0.950482,9.33
BTB 03055,0.951843,-2.22259,0,0.0402182,0.951843,12.41
BTB 03059,1.03338,1.53666,0,0.125825,1.03338,4.34
BTB 03107,1.04914,2.25332,0,0.0314776,1.04914,2.64
