supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00215,0.941374,-3.11358,0,0.00288822,0.941374,12.12
AW 00436,0.983375,-0.882575,0,0.443508,0.983375,7.69
AW 00625,1.00377,0.200152,0,0.84156,1.00377,5.38
AW 00698,0.985444,-0.773034,0,0.441098,0.985444,6.92
AW 00801,0.980274,-1.048,0,0.398964,0.980274,7.17
AW 00819,1.01927,1.02317,0,0.306666,1.01927,3.02
AW 00844,0.955386,-2.36954,0,0.0323012,0.955386,9.15
AW 00891,1.00978,0.51941,0,0.6076,1.00978,3.46
AW 00925,1.02037,1.08178,0,0.28021,1.02037,2.15
AW 00962,1.01322,0.701924,0,0.4917,1.01322,2.63
AW 01018,1.01239,0.658011,0,0.516282,1.01239,2.48
AW 01055,0.993519,-0.343986,0,0.734336,0.993519,4.17
AW 01109,1.00408,0.216779,0,0.829216,1.00408,2.87
AW 01159,0.998676,-0.0701945,0,0.836942,0.998676,3.34
AW 01219,0.994324,-0.301853,0,0.517624,0.994324,3.73
AW 01274,0.989502,-0.557685,0,0.59436,0.989502,4.22
BR 00009,0.920191,-4.23813,0,4.92312e-05,0.920191,11.3
BTB 00027,1.00026,0.013803,0,0.886058,1.00026,3.22
BTB 00084,1.00701,0.372201,0,0.71078,1.00701,2.61
BTB 00241,1.00582,0.309326,0,0.630576,1.00582,2.82
BTB 00333,0.979135,-1.10814,0,0.272936,0.979135,5.61
BTB 00374,1.00423,0.224719,0,0.82257,1.00423,3.17
BTB 00441,0.985704,-0.759224,0,0.448806,0.985704,5.15
BTB 00496,0.977464,-1.19683,0,0.23208,0.977464,6.08
BTB 00554,1.01631,0.866167,0,0.422582,1.01631,2.28
BTB 00596,0.798508,-10.7004,0,1.24651e-26,0.798508,24.32
BTB 00667,1.0224,1.18963,0,0.252086,1.0224,1.86
BTB 00694,0.920652,-4.21378,0,2.75508e-05,0.920652,12.19
BTB 00730,0.988239,-0.624855,0,0.573904,0.988239,5.46
BTB 00778,1.00013,0.00695343,0,0.84424,1.00013,4.36
BTB 00828,0.962053,-2.01488,0,0.0738812,0.962053,8.25
BTB 00881,0.983119,-0.896451,0,0.370024,0.983119,6.17
BTB 00992,1.03686,1.95812,0,0.204122,1.03686,0.84
BTB 01022,0.913266,-4.60596,0,7.19072e-06,0.913266,13.23
BTB 01036,1.00085,0.0451939,0,0.963258,1.00085,4.46
BTB 01061,0.99425,-0.30525,0,0.76465,0.99425,5.15
BTB 01088,0.983541,-0.874088,0,0.382092,0.983541,6.22
BTB 01148,0.998649,-0.0718235,0,0.862208,0.998649,4.69
BTB 01177,0.986497,-0.717373,0,0.51828,0.986497,5.87
BTB 01196,0.986293,-0.72817,0,0.497264,0.986293,5.83
BTB 01235,1.00902,0.479003,0,0.639954,1.00902,3.5
BTB 01260,0.454201,-28.9851,0,0,0.454201,59.16
BTB 01296,1.02827,1.50132,0,0.134693,1.02827,1.4
BTB 01349,0.996572,-0.182222,0,0.759902,0.996572,4.52
BTB 01396,0.98421,-0.838183,0,0.477878,0.98421,5.76
BTB 01410,0.987544,-0.661365,0,0.519712,0.987544,5.4
BTB 01444,0.979177,-1.10599,0,0.286558,0.979177,6.22
BTB 01514,0.920396,-4.2272,0,6.68956e-05,0.920396,12.15
BTB 01585,1.03184,1.69111,0,0.093842,1.03184,0.93
BTB 01706,1.01628,0.864638,0,0.39067,1.01628,2.5
BTB 01787,1.00533,0.282905,0,0.630048,1.00533,3.61
BTB 01869,0.988212,-0.626055,0,0.533562,0.988212,5.35
BTB 01909,1.00524,0.277913,0,0.733052,1.00524,3.66
BTB 01965,0.987549,-0.661362,0,0.519122,0.987549,5.46
BTB 02003,0.972932,-1.43733,0,0.166076,0.972932,6.96
BTB 02050,0.967752,-1.71281,0,0.113913,0.967752,7.5
BTB 02082,1.00945,0.502123,0,0.649298,1.00945,3.36
BTB 02134,1.01501,0.796937,0,0.427228,1.01501,2.83
BTB 02164,0.0476202,-50.5771,0,0,0.0476202,100
BTB 02191,1.00757,0.402732,0,0.439694,1.00757,3.67
BTB 02242,0.918958,-4.30567,1,0.106758,0.918958,12.58
BTB 02289,0.993869,-0.325712,0,0.74822,0.993869,5.11
BTB 02335,0.949857,-2.66385,0,0.150955,0.949857,9.54
BTB 02361,0.988343,-0.619071,0,0.535892,0.988343,5.7
BTB 02389,0.999137,-0.0457079,0,0.825926,0.999137,4.65
BTB 02411,1.02644,1.40451,0,0.217972,1.02644,1.96
BTB 02461,1.00048,0.0256732,0,0.950746,1.00048,4.62
BTB 02498,1.00464,0.246501,0,0.807424,1.00464,4.3
BTB 02544,0.986723,-0.705155,0,0.481822,0.986723,6.24
BTB 02581,0.999859,-0.00766571,0,0.778304,0.999859,5.09
BTB 02635,0.992847,-0.380231,0,0.596208,0.992847,5.96
BTB 02660,0.986158,-0.735092,0,0.462294,0.986158,6.8
BTB 02678,0.844762,-8.24407,0,1.688e-16,0.844762,20.99
BTB 02719,1.03117,1.65519,0,0.108507,1.03117,2.68
BTB 02761,1.00626,0.332318,0,0.74286,1.00626,5.33
BTB 02768,0.979267,-1.10117,0,0.279224,0.979267,8.18
BTB 02848,1.00981,0.520911,0,0.606554,1.00981,5.35
BTB 02874,0.984759,-0.809611,0,0.456274,0.984759,8
BTB 02933,0.981645,-0.97475,0,0.329798,0.981645,8.5
BTB 03010,0.991586,-0.44645,0,0.557956,0.991586,7.72
BTB 03055,0.981601,-0.976914,0,0.345428,0.981601,7.46
BTB 03059,1.0082,0.435498,0,0.663242,1.0082,4.93
BTB 03107,1.01003,0.532305,0,0.610186,1.01003,4.86
BTB 03148,0.969918,-1.59784,0,0.148162,0.969918,8.98
BTB 03234,1.00662,0.35124,0,0.728476,1.00662,5.48
BTB 03320,0.924255,-4.02279,0,0.000208624,0.924255,13.76
BTB 03415,1.01903,1.0108,0,0.33805,1.01903,4.53
BTB 03438,0.99355,-0.342386,0,0.740428,0.99355,7.17
BTB 03489,0.992842,-0.380239,0,0.706604,0.992842,7.32
BTB 03563,0.984264,-0.835625,0,0.404832,0.984264,8.3
BTB 03586,1.043,2.28565,1,0.064032,1.043,2.9
BTB 03653,0.995314,-0.24877,0,0.805984,0.995314,7.44
BTB 03699,0.995139,-0.258395,0,0.697782,0.995139,7.54
BTB 03791,0.825789,-9.25125,0,3.1573e-18,0.825789,24.38
BTB 03853,0.993192,-0.361377,0,0.726516,0.993192,7.98
BTB 03920,0.985869,-0.750578,0,0.464934,0.985869,8.75
BTB 04022,1.0398,2.11408,0,0.0512674,1.0398,3.6
BTB 04071,1.02305,1.22419,0,0.221044,1.02305,5.29
BTB 04115,1.0171,0.908266,0,0.451608,1.0171,6.01
