supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00215,1.05803,0.930466,0,0.365808,1.05803,0
AW 00436,0.991882,-0.138998,0,0.638676,0.991882,0
AW 00625,0.715196,-4.5529,0,2.55576e-05,0.715196,0
AW 00698,0.983881,-0.247741,0,0.650272,0.983881,0
AW 00801,0.975232,-0.389308,0,0.708738,0.975232,0
AW 00819,0.939118,-0.990928,0,0.522686,0.939118,0
AW 00844,0.97547,-0.392535,0,0.695242,0.97547,0
AW 00891,0.960647,-0.629425,0,0.53057,0.960647,0
AW 00925,1.04603,0.739741,0,0.476318,1.04603,0
AW 00962,1.09162,1.47226,0,0.198587,1.09162,0
AW 01018,1.00522,0.099139,0,0.43033,1.00522,0
AW 01055,0.99546,-0.074539,0,0.916244,0.99546,0
AW 01109,1.02073,0.325617,0,0.752592,1.02073,0
AW 01159,0.97801,-0.360344,0,0.653902,0.97801,0
AW 01219,0.916791,-1.34038,0,0.269542,0.916791,0
AW 01274,0.965806,-0.555559,0,0.624374,0.965806,0
BR 00009,0.99981,0.0111337,0,0.480116,0.99981,0
BTB 00027,1.02826,0.469048,0,0.412952,1.02826,0
BTB 00084,1.05004,0.80911,0,0.484396,1.05004,0
BTB 00241,1.02452,0.394048,0,0.696484,1.02452,0
BTB 00333,0.992721,-0.127771,0,0.563924,0.992721,0
BTB 00374,1.01003,0.143331,0,0.413068,1.01003,0
BTB 00441,0.978836,-0.342995,0,0.740832,0.978836,0
BTB 00496,0.981482,-0.2973,0,0.767274,0.981482,0
BTB 00554,1.03103,0.508085,0,0.563086,1.03103,0
BTB 00596,0.988453,-0.187711,0,0.853354,0.988453,0
BTB 00667,1.08092,1.28373,0,0.22587,1.08092,0
BTB 00694,1.00257,0.0440365,0,0.876614,1.00257,0
BTB 00730,0.995136,-0.063711,0,0.489694,0.995136,0
BTB 00778,0.97406,-0.411963,0,0.68159,0.97406,0
BTB 00828,0.924641,-1.19729,0,0.244182,0.924641,0
BTB 00881,0.884616,-1.82582,0,0.142031,0.884616,0
BTB 00992,1.02761,0.437055,0,0.666512,1.02761,0
BTB 01022,0.985799,-0.225165,0,0.822248,0.985799,0
BTB 01036,1.03228,0.51808,0,0.6091,1.03228,0
BTB 01061,1.07449,1.18468,0,0.243504,1.07449,0
BTB 01088,1.01709,0.275892,0,0.785336,1.01709,0
BTB 01148,0.93521,-1.02721,0,0.327456,0.93521,0
BTB 01177,1.00924,0.154484,0,0.72585,1.00924,0
BTB 01196,0.983955,-0.262652,0,0.746194,0.983955,0
BTB 01235,0.985583,-0.239948,0,0.628242,0.985583,0
BTB 01260,0.76073,-3.80411,0,0.000732572,0.76073,0
BTB 01296,1.08023,1.29482,0,0.313694,1.08023,0
BTB 01349,1.09065,1.45694,0,0.204848,1.09065,0
BTB 01396,0.981689,-0.297911,0,0.775204,0.981689,0
BTB 01410,1.01708,0.264369,0,0.697728,1.01708,0
BTB 01444,0.98726,-0.198812,0,0.82972,0.98726,0
BTB 01514,0.959714,-0.649841,0,0.542478,0.959714,0
BTB 01585,1.07154,1.1529,0,0.32593,1.07154,0
BTB 01706,1.01035,0.150361,0,0.466314,1.01035,0
BTB 01787,1.02401,0.389055,0,0.71034,1.02401,0
BTB 01869,0.916154,-1.34995,0,0.258292,0.916154,0
BTB 01909,1.03881,0.626796,0,0.560576,1.03881,0
BTB 01965,0.883358,-1.85481,0,0.0744598,0.883358,0
BTB 02003,0.950744,-0.785811,0,0.43199,0.950744,0
BTB 02050,0.982862,-0.284189,0,0.60398,0.982862,0
BTB 02082,0.984695,-0.246079,0,0.806522,0.984695,0
BTB 02134,0.936664,-0.998204,0,0.400512,0.936664,0
BTB 02164,1.0372,0.599113,0,0.565346,1.0372,0
BTB 02191,0.953379,-0.744297,0,0.456936,0.953379,0
BTB 02242,1.13173,2.08767,0,0.0820798,1.13173,0
BTB 02289,0.95123,-0.779123,0,0.436728,0.95123,0
BTB 02335,1.03861,0.609952,0,0.558784,1.03861,0
BTB 02361,1.03488,0.576906,0,0.38197,1.03488,0
BTB 02389,1.03374,0.536516,0,0.592866,1.03374,0
BTB 02411,1.03941,0.648197,0,0.421966,1.03941,0
BTB 02461,1.07741,1.25128,0,0.352458,1.07741,0
BTB 02498,0.972784,-0.420177,0,0.523902,0.972784,0
BTB 02544,1.00774,0.0832776,0,0.0454428,1.00774,0
BTB 02581,0.905001,-1.53511,0,0.29778,0.905001,0
BTB 02635,0.966887,-0.534334,0,0.610194,0.966887,0
BTB 02660,1.07091,1.1234,0,0.295462,1.07091,0
BTB 02678,0.557153,-7.06493,0,1.74333e-12,0.557153,0
BTB 02719,0.974375,-0.390151,0,0.389598,0.974375,0
BTB 02761,1.04976,0.797913,0,0.43522,1.04976,0
BTB 02768,0.872168,-2.04636,0,0.0543332,0.872168,0
BTB 02848,1.13521,2.16377,0,0.0410744,1.13521,0
BTB 02874,0.950174,-0.812997,0,0.504264,0.950174,0
BTB 02933,0.972393,-0.452188,0,0.593948,0.972393,0
BTB 03010,1.0571,0.94036,0,0.304034,1.0571,0
BTB 03055,0.962638,-0.584224,0,0.620968,0.962638,0
BTB 03059,1.03047,0.487179,0,0.626702,1.03047,0
BTB 03107,0.988747,-0.185998,0,0.750002,0.988747,0
BTB 03148,1.0123,0.190205,0,0.771004,1.0123,0
BTB 03234,1.0193,0.310414,0,0.758262,1.0193,0
