supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00215,0.950816,-1.82736,0,0.0682938,0.950816,13.91
AW 00436,1.00228,0.0866101,0,0.931186,1.00228,8.72
AW 00625,0.0533287,-35.2264,0,0,0.0533287,99.94
AW 00698,0.999327,-0.0257597,0,0.976232,0.999327,8.5
AW 00801,0.978565,-0.793034,0,0.433906,0.978565,10.24
AW 00819,0.995305,-0.170316,0,0.86669,0.995305,8.36
AW 00844,0.978727,-0.791399,0,0.428746,0.978727,9.72
AW 00891,0.962076,-1.40086,0,0.190622,0.962076,11.07
AW 00925,0.957953,-1.55685,0,0.132991,0.957953,11.23
AW 00962,0.98566,-0.522913,0,0.630728,0.98566,8.27
AW 01018,1.01495,0.5369,0,0.506188,1.01495,5.19
AW 01055,1.01421,0.515687,0,0.650064,1.01421,5
AW 01109,1.02617,0.9553,0,0.450276,1.02617,3.58
AW 01159,0.996209,-0.149456,0,0.739016,0.996209,6.24
AW 01219,0.964035,-1.3218,0,0.26839,0.964035,9.13
AW 01274,0.950369,-1.82908,0,0.127801,0.950369,10.23
BR 00009,0.915594,-3.12739,0,0.00396844,0.915594,13.47
BTB 00027,0.996772,-0.121712,0,0.90334,0.996772,5.14
BTB 00084,1.0099,0.359107,0,0.730876,1.0099,3.62
BTB 00241,1.00655,0.234416,0,0.723318,1.00655,3.77
BTB 00333,1.00028,0.00393573,0,0.797486,1.00028,4.24
BTB 00374,1.01573,0.574134,0,0.599442,1.01573,2.56
BTB 00441,0.999757,-0.00233387,0,0.790212,0.999757,4.04
BTB 00496,0.947049,-1.94797,0,0.137228,0.947049,9.24
BTB 00554,0.977049,-0.839052,0,0.474708,0.977049,6.11
BTB 00596,0.992898,-0.270649,0,0.793624,0.992898,4.42
BTB 00667,1.0005,0.0180529,0,0.983648,1.0005,3.56
BTB 00694,1.00337,0.110632,0,0.557496,1.00337,3.22
BTB 00730,0.996377,-0.136626,0,0.891638,0.996377,3.88
BTB 00778,1.01364,0.5045,0,0.615952,1.01364,2.11
BTB 00828,0.968221,-1.18759,0,0.247394,0.968221,6.74
BTB 00881,0.946655,-1.96334,0,0.12795,0.946655,8.95
BTB 00992,0.947624,-1.93318,0,0.0939984,0.947624,8.91
BTB 01022,1.00449,0.158745,0,0.748282,1.00449,3.23
BTB 01036,1.0117,0.430118,0,0.673022,1.0117,2.58
BTB 01061,0.996673,-0.133212,0,0.707944,0.996673,4.19
BTB 01088,1.02327,0.849772,0,0.478404,1.02327,1.6
BTB 01148,1.03048,1.1196,0,0.33209,1.03048,0.96
BTB 01177,0.986603,-0.496099,0,0.621052,0.986603,5.44
BTB 01196,0.952136,-1.7577,0,0.195774,0.952136,8.94
BTB 01235,0.961683,-1.41755,0,0.174063,0.961683,8
BTB 01260,0.909853,-3.37903,0,0.0101721,0.909853,13.25
BTB 01296,1.01259,0.465478,0,0.643786,1.01259,2.82
BTB 01349,0.964317,-1.34726,0,0.309972,0.964317,7.69
BTB 01396,0.919787,-2.99496,0,0.00614826,0.919787,12.16
BTB 01410,1.0281,1.03728,0,0.323022,1.0281,1.18
BTB 01444,0.987342,-0.477281,0,0.644554,0.987342,5.26
BTB 01514,0.94901,-1.88013,0,0.113335,0.94901,9.03
BTB 01585,0.945037,-2.03279,0,0.0627318,0.945037,9.35
BTB 01706,1.02503,0.914852,0,0.448818,1.02503,1.16
BTB 01787,1.00284,0.104232,0,0.91713,1.00284,3.25
BTB 01869,1.03017,1.11722,0,0.272664,1.03017,0.34
BTB 01909,0.988046,-0.448874,0,0.658248,0.988046,4.51
BTB 01965,1.02256,0.823808,0,0.488146,1.02256,0.92
BTB 02003,0.968999,-1.15578,0,0.250904,0.968999,6.31
BTB 02050,0.976509,-0.849453,0,0.490882,0.976509,5.49
BTB 02082,0.91702,-3.06949,0,0.00790228,0.91702,11.56
BTB 02134,1.01286,0.470226,0,0.655398,1.01286,1.84
BTB 02164,0.0882426,-33.9629,0,0,0.0882426,96.14
BTB 02191,1.0206,0.745556,0,0.534262,1.0206,1.16
BTB 02242,1.00151,0.04899,0,0.776388,1.00151,3.15
BTB 02289,1.00395,0.139103,0,0.760278,1.00395,2.99
BTB 02335,0.969318,-1.14627,0,0.261962,0.969318,6.57
BTB 02361,0.975468,-0.873156,0,0.254306,0.975468,5.93
BTB 02389,0.965944,-1.25344,0,0.269372,0.965944,7.01
BTB 02411,0.983266,-0.617962,0,0.542606,0.983266,5.35
BTB 02461,0.993916,-0.227475,0,0.820268,0.993916,4.39
BTB 02498,1.01946,0.714625,0,0.50387,1.01946,1.97
BTB 02544,0.993339,-0.257454,0,0.70797,0.993339,4.79
BTB 02581,1.02748,1.01302,0,0.341382,1.02748,1.53
BTB 02635,0.973015,-1.00679,0,0.318128,0.973015,7.18
BTB 02660,0.961315,-1.42848,0,0.18618,0.961315,8.5
BTB 02678,0.155755,-31.4163,0,0,0.155755,89.47
BTB 02719,1.01318,0.495007,0,0.627312,1.01318,3.67
BTB 02761,0.981134,-0.697344,0,0.491832,0.981134,7.06
BTB 02768,0.999974,0.00220624,0,0.899736,0.999974,5.37
BTB 02848,0.977845,-0.819413,0,0.41995,0.977845,7.76
BTB 02874,1.00091,0.0272704,0,0.798474,1.00091,5.69
BTB 02933,0.958663,-1.52507,0,0.171381,0.958663,10.02
BTB 03010,0.996432,-0.135186,0,0.892986,0.996432,6.52
BTB 03055,0.980791,-0.710584,0,0.482218,0.980791,15.56
BTB 03059,1.00551,0.208374,0,0.836524,1.00551,12.84
BTB 03107,1.00631,0.235036,0,0.814194,1.00631,12.34
BTB 03148,0.989689,-0.387539,0,0.702144,0.989689,13.48
BTB 03234,0.976424,-0.878257,0,0.380642,0.976424,14.3
BTB 03320,0.993291,-0.25068,0,0.802272,0.993291,12.29
BTB 03415,0.975034,-0.931366,0,0.354958,0.975034,13.61
BTB 03438,0.935626,-2.39373,0,0.0166826,0.935626,16.98
BTB 03489,0.942204,-2.13763,0,0.0518182,0.942204,15.95
BTB 03563,1.01653,0.620705,0,0.546566,1.01653,8.38
BTB 03586,1.03367,1.26269,0,0.244882,1.03367,6.3
BTB 03653,1.03458,1.28999,0,0.202566,1.03458,5.78
BTB 03699,1.01028,0.384511,0,0.701684,1.01028,7.7
BTB 03791,0.50695,-18.379,0,0,0.50695,56.77
BTB 03853,0.968802,-1.1912,0,0.49075,0.968802,10.9
BTB 03920,0.926243,-2.74674,0,0.00661294,0.926243,14.74
BTB 04022,0.917263,-3.06695,0,0.00401878,0.917263,15.29
BTB 04071,1.01687,0.644996,0,0.562638,1.01687,5.01
BTB 04115,1.01835,0.695471,0,0.543456,1.01835,4.53
BTB 04181,0.991876,-0.319299,0,0.515726,0.991876,6.89
BTB 04212,1.01962,0.72285,0,0.485964,1.01962,3.85
BTB 04281,1.02747,1.03899,0,0.4047,1.02747,2.84
BTB 04346,0.980471,-0.730164,0,0.470704,0.980471,7.38
BTB 04417,0.907893,-3.4292,0,0.000699008,0.907893,14.55
BTB 04487,0.0656278,-34.7717,0,0,0.0656278,100
BTB 04536,1.02463,0.928474,0,0.409762,1.02463,2.36
BTB 04603,1.01562,0.597349,0,0.578088,1.01562,3.15
BTB 04647,1.00998,0.35545,0,0.555396,1.00998,3.63
BTB 04665,1.01082,0.406493,0,0.688224,1.01082,3.5
BTB 04688,0.994775,-0.147746,1,0.0668836,0.994775,5.15
BTB 04722,0.987315,-0.482802,0,0.661028,0.987315,5.91
BTB 04785,0.885614,-4.25702,0,2.39664e-05,0.885614,16.32
BTB 04832,0.918356,-3.03913,0,0.0025357,0.918356,12.99
BTB 04862,1.01714,0.641579,0,0.526656,1.01714,2.9
BTB 04891,1.00568,0.21399,0,0.83166,1.00568,4.03
BTB 04938,1.01705,0.625032,0,0.55797,1.01705,2.83
BTB 04978,1.00028,0.0127274,0,0.931542,1.00028,4.53
BTB 05020,1.01836,0.67867,0,0.503544,1.01836,2.69
BTB 05047,0.910835,-3.3157,0,0.000914438,0.910835,13.7
BTB 05098,0.859525,-5.22725,0,2.13484e-07,0.859525,18.99
BTB 05123,0.924253,-2.81994,0,0.00511664,0.924253,12.45
BTB 05165,1.03223,1.21514,0,0.31825,1.03223,1.55
BTB 05191,1.02293,0.86047,0,0.410638,1.02293,2.6
BTB 05197,1.02485,0.93142,0,0.372278,1.02485,2.51
BTB 05231,1.00839,0.328091,0,0.54859,1.00839,4.3
BTB 05265,1.0428,1.58486,0,0.126618,1.0428,0.92
BTB 05284,0.977063,-0.858875,0,0.403244,0.977063,7.69
BTB 05318,0.928486,-2.66684,0,0.0103496,0.928486,12.69
BTB 05356,0.9199,-2.97729,0,0.00295764,0.9199,13.66
BTB 05417,0.182435,-30.4371,0,0,0.182435,88.24
BTB 05472,1.01977,0.749357,0,0.52053,1.01977,3.83
BTB 05499,0.77855,-8.26435,0,5.81536e-13,0.77855,28.26
BTB 05574,1.01921,0.728192,0,0.530124,1.01921,4.2
BTB 05608,1.02268,0.841141,0,0.402062,1.02268,4.01
BTB 05674,0.991416,-0.317868,0,0.750934,0.991416,7.27
BTB 05733,0.939382,-2.24937,0,0.0272182,0.939382,12.56
BTB 05771,0.92578,-2.76342,0,0.00613852,0.92578,13.97
BTB 05809,1.02965,1.10275,0,0.27017,1.02965,3.6
BTB 05841,1.00833,0.316974,0,0.761294,1.00833,5.75
BTB 05846,0.974717,-0.945901,0,0.356366,0.974717,9.13
BTB 05865,1.0216,0.818298,0,0.492298,1.0216,4.5
BTB 05890,1.01607,0.588606,0,0.581374,1.01607,5.14
BTB 05936,0.986898,-0.486031,0,0.62735,0.986898,8.19
BTB 05966,0.939682,-2.24393,0,0.0249122,0.939682,13.07
BTB 06030,0.92202,-2.89504,0,0.004469,0.92202,15.06
BTB 06046,1.01543,0.575461,0,0.566008,1.01543,6.09
BTB 06083,0.995481,-0.178218,0,0.690902,0.995481,8.44
BTB 06131,1.03173,1.1852,0,0.246656,1.03173,5.3
BTB 06169,1.03954,1.47655,0,0.15103,1.03954,5.04
BTB 06230,1.05035,1.872,0,0.0612288,1.05035,4.42
BTB 06262,0.990218,-0.368921,0,0.71787,0.990218,10.67
BTB 06291,0.969328,-1.14166,0,0.25399,0.969328,13.08
BTB 06365,0.96518,-1.29766,0,0.19713,0.96518,13.86
BTB 06385,0.994518,-0.197824,0,0.813684,0.994518,11.44
BTB 06409,0.942345,-2.14542,0,0.0321574,0.942345,16.84
BTB 06435,0.937801,-2.31145,0,0.02107,0.937801,17.67
BTB 06471,0.976667,-0.866364,0,0.386974,0.976667,14.41
BTB 06524,1.01797,0.670388,0,0.504068,1.01797,10.96
BTB 06547,0.969589,-1.12845,0,0.261438,0.969589,15.94
BTB 06587,0.207576,-29.4927,0,0,0.207576,87.34
BTB 06714,0.961657,-1.40229,0,0.33153,0.961657,22.51
BTB 06752,0.977833,-0.814454,0,0.450424,0.977833,20.29
BTB 06795,1.01973,0.725969,0,0.48948,1.01973,15.42
BTB 06849,0.997913,-0.08389,0,0.803308,0.997913,17.03
BTB 06909,0.990014,-0.379872,0,0.719786,0.990014,17.23
BTB 06939,1.00759,0.272667,0,0.709382,1.00759,14.79
BTB 06989,0.9673,-1.23368,0,0.323924,0.9673,18.41
BTB 07042,0.968871,-1.17621,0,0.358566,0.968871,17.65
BTB 07096,0.958456,-1.53901,0,0.134311,0.958456,18.11
BTB 07130,0.988119,-0.402155,0,0.143482,0.988119,14.3
BTB 07162,1.04551,1.69686,0,0.094717,1.04551,7.62
BTB 07186,1.04807,1.79075,0,0.07539,1.04807,6.72
BTB 07221,0.969454,-1.14485,0,0.281488,0.969454,14.65
BTB 07289,1.02955,1.10493,0,0.281972,1.02955,7.54
BTB 07318,0.959105,-1.50846,0,0.177459,0.959105,14.74
BTB 07356,0.889103,-4.11933,0,5.06452e-05,0.889103,22
BTB 07490,0.902056,-3.64357,0,0.000273314,0.902056,20.19
BTB 07522,1.02921,1.08269,0,0.28337,1.02921,5.72
BTB 07683,1.04481,1.66416,0,0.0972534,1.04481,3.53
BTB 07819,1.01074,0.402804,0,0.689664,1.01074,6.88
BTB 07871,1.00603,0.232499,0,0.752512,1.00603,7.01
BTB 07953,1.02711,0.996398,0,0.370358,1.02711,4.33
BTB 08065,0.968628,-1.17567,0,0.269436,0.968628,10.59
BTB 08155,0.891329,-4.05001,0,0.000111998,0.891329,19.05
BTB 08182,0.902663,-3.62813,0,0.000527888,0.902663,17.56
BTB 08213,1.01863,0.701979,0,0.511094,1.01863,4.21
BTB 08260,1.04708,1.75178,0,0.080031,1.04708,0.83
BTB 08300,1.03073,1.14405,0,0.253386,1.03073,2.55
BTB 08391,0.994687,-0.195815,0,0.845132,0.994687,6.55
BTB 08461,1.05168,1.92216,0,0.0546204,1.05168,0
BTB 08530,0.949568,-1.87895,0,0.0627032,0.949568,11.56
BTB 08580,0.867254,-4.94638,0,2.63844e-06,0.867254,20.88
BTB 08631,0.901443,-3.67825,0,0.00081021,0.901443,16.92
BTB 08690,1.01142,0.425451,0,0.6706,1.01142,4.26
BTB 08791,1.00987,0.362182,0,0.722572,1.00987,4.38
BTB 08831,0.99671,-0.116754,0,0.824568,0.99671,5.82
BTB 08903,1.011,0.414994,0,0.68602,1.011,4.18
BTB 08940,1.01948,0.71562,0,0.501466,1.01948,3.27
BTB 09043,0.977797,-0.826279,0,0.408774,0.977797,8.03
BTB 09126,0.905428,-3.53615,0,0.0027897,0.905428,16.33
BTB 09186,0.88752,-4.20412,0,0.000389084,0.88752,18.37
BTB 09260,1.02249,0.837605,0,0.40287,1.02249,2.91
BTB 09301,1.02103,0.787939,0,0.443318,1.02103,3.07
BTB 09317,1.02535,0.937674,0,0.357682,1.02535,2.64
BTB 09341,1.01265,0.472243,0,0.63755,1.01265,4.16
BTB 09413,1.01507,0.557254,0,0.580472,1.01507,4.01
BTB 09538,0.970573,-1.08055,0,0.349062,0.970573,9.2
BTB 09574,0.90319,-3.61516,0,0.00127969,0.90319,17.07
BTB 09643,0.90417,-3.58177,0,0.0021003,0.90417,17.14
BTB 09705,1.01304,0.482272,0,0.631582,1.01304,5
BTB 09791,1.0253,0.934261,0,0.366456,1.0253,3.85
BTB 09826,1.02104,0.784343,0,0.434236,1.02104,4.57
BTB 09891,1.00929,0.348784,0,0.729354,1.00929,6.16
BTB 09936,1.00593,0.219216,0,0.82671,1.00593,6.8
BTB 10004,0.973197,-0.966559,0,0.422246,0.973197,10.7
BTB 10040,0.939051,-2.29013,0,0.088514,0.939051,14.76
BTB 10067,0.907313,-3.46057,0,0.00180849,0.907313,18.48
BTB 10106,1.01952,0.72105,0,0.478742,1.01952,6.14
BTB 10145,0.958881,-1.53422,0,0.132649,0.958881,13.07
BTB 10185,1.01677,0.612917,0,0.575534,1.01677,6.84
BTB 10205,1.03317,1.24865,0,0.29269,1.03317,5.26
BTB 10247,1.0261,0.974377,0,0.33565,1.0261,6.31
BTB 10314,0.959424,-1.49088,0,0.233522,0.959424,13.95
BTB 10407,0.951445,-1.81642,0,0.094854,0.951445,15.12
BTB 10447,0.940767,-2.22002,0,0.0643196,0.940767,16.61
BTB 10542,1.01077,0.412469,0,0.666488,1.01077,9.35
BTB 10591,1.01181,0.436275,0,0.664868,1.01181,9.68
BTB 10716,1.0485,1.7882,0,0.127836,1.0485,6.2
BTB 10830,1.04883,1.80463,0,0.098882,1.04883,6.82
BTB 11052,0.184977,-30.3114,0,0,0.184977,100
BTB 11188,0.993874,-0.207714,0,0.433676,0.993874,14
BTB 11565,0.896359,-3.83841,0,0.000669792,0.896359,24.94
BTB 11842,0.960349,-1.48998,0,0.208098,0.960349,18.75
BTB 12150,0.99595,-0.160509,0,0.697458,0.99595,15.66
BTB 12322,0.973196,-1.00746,0,0.355938,0.973196,18.69
BTB 12345,1.01226,0.453725,0,0.651114,1.01226,15.32
BTB 12461,0.989155,-0.404273,0,0.686228,0.989155,18.38
BTB 12648,1.01755,0.658071,0,0.519602,1.01755,16.17
BTB 12784,0.958363,-1.54126,0,0.138326,0.958363,22.86
BTB 12840,0.985782,-0.521134,0,0.618514,0.985782,20.77
BTB 12954,0.971577,-1.04821,0,0.323628,0.971577,10.41
BTB 12991,0.994089,-0.216058,0,0.830804,0.994089,7.09
BTB 13004,0.997357,-0.0945731,0,0.883166,0.997357,6.5
