supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00215,0.578734,-12.6884,0,6.23576e-29,0.578734,49.08
AW 00436,0.435811,-16.9696,0,0,0.435811,62.97
AW 00625,0.0624581,-28.1481,0,0,0.0624581,99.49
AW 00698,0.994039,-0.179809,0,0.857368,0.994039,8
AW 00801,0.202991,-23.9409,0,0,0.202991,85.65
AW 00819,1.00481,0.147661,0,0.883222,1.00481,6.63
AW 00844,0.913743,-2.62317,0,0.0647248,0.913743,15.48
AW 00891,1.00936,0.294714,0,0.675564,1.00936,5.89
AW 00925,0.982856,-0.520052,0,0.608804,0.982856,8.38
AW 00962,1.00857,0.25499,0,0.799096,1.00857,5.71
AW 01018,1.00438,0.136594,0,0.872248,1.00438,5.99
AW 01055,1.00538,0.16274,0,0.870846,1.00538,5.75
AW 01109,1.02527,0.74557,0,0.489302,1.02527,3.64
AW 01159,0.942356,-1.73363,0,0.0858508,0.942356,11.78
AW 01219,1.02877,0.868483,0,0.391544,1.02877,3.08
AW 01274,1.01182,0.373966,0,0.57443,1.01182,4.69
BR 00009,0.966788,-0.992966,0,0.32332,0.966788,9.13
BTB 00027,0.946662,-1.62556,0,0.210162,0.946662,11.1
BTB 00084,1.0068,0.192734,0,0.73313,1.0068,5.04
BTB 00241,0.955305,-1.35897,0,0.240858,0.955305,10.13
BTB 00333,0.997706,-0.0798712,0,0.731916,0.997706,5.82
BTB 00374,1.02274,0.69739,0,0.531588,1.02274,3.22
BTB 00441,0.98534,-0.434023,0,0.669262,0.98534,6.86
BTB 00496,1.01309,0.402806,0,0.70107,1.01309,3.97
BTB 00554,0.98057,-0.588593,0,0.562346,0.98057,7.14
BTB 00596,0.11334,-26.6291,0,0,0.11334,94.23
BTB 00667,1.02081,0.616578,0,0.54884,1.02081,2.97
BTB 00694,0.495827,-15.1562,0,0,0.495827,55.73
BTB 00730,1.03018,0.901397,0,0.370832,1.03018,1.93
BTB 00778,1.02755,0.842286,0,0.454466,1.02755,2.17
BTB 00828,0.849123,-4.54622,0,4.43314e-05,0.849123,20.15
BTB 00881,1.02715,0.838029,0,0.514902,1.02715,2.25
BTB 00992,0.97661,-0.703963,0,0.482568,0.97661,7.38
BTB 01022,0.607481,-11.7914,0,8.13478e-30,0.607481,44.55
BTB 01036,1.01009,0.304181,0,0.761212,1.01009,4.15
BTB 01061,0.949935,-1.50412,0,0.133497,0.949935,10.29
BTB 01088,1.02144,0.634325,0,0.54162,1.02144,3.24
BTB 01148,1.04591,1.3814,0,0.170515,1.04591,0.96
BTB 01177,0.947861,-1.56781,0,0.119359,0.947861,10.94
BTB 01196,1.03139,0.945493,0,0.34798,1.03139,2.78
BTB 01235,0.972011,-0.842861,0,0.401672,0.972011,8.85
BTB 01260,0.434057,-16.9824,0,0,0.434057,62.48
BTB 01296,1.04733,1.40724,0,0.191119,1.04733,1.69
BTB 01349,0.708187,-8.76641,0,2.67458e-17,0.708187,35.47
BTB 01396,0.20487,-23.8785,0,0,0.20487,85.36
BTB 01410,1.01275,0.394953,0,0.714268,1.01275,5.68
BTB 01444,0.999685,-0.0199718,0,0.744016,0.999685,7.14
BTB 01514,1.00075,0.0284073,0,0.855206,1.00075,7.21
BTB 01585,0.88003,-3.60639,0,0.000432474,0.88003,19.23
BTB 01706,0.94442,-1.6823,0,0.127744,0.94442,13.05
BTB 01787,1.02578,0.775499,0,0.439162,1.02578,5.24
BTB 01869,1.01172,0.350786,0,0.725862,1.01172,6.77
BTB 01909,0.937807,-1.87056,0,0.064382,0.937807,14.12
BTB 01965,0.939962,-1.79055,0,0.088643,0.939962,14.02
BTB 02003,1.04922,1.46577,0,0.164373,1.04922,3.49
BTB 02050,1.02847,0.861979,0,0.403,1.02847,5.6
BTB 02082,0.681914,-9.55737,0,5.35576e-20,0.681914,39.36
BTB 02134,0.936599,-1.91926,0,0.0906264,0.936599,14.66
BTB 02164,0.0578579,-28.291,0,0,0.0578579,100
BTB 02191,0.957178,-1.26989,0,0.25014,0.957178,12.7
BTB 02242,1.01573,0.466027,0,0.64663,1.01573,7.04
BTB 02289,0.959535,-1.21416,0,0.224704,0.959535,12.53
BTB 02335,1.02988,0.887198,0,0.39385,1.02988,5.75
BTB 02361,1.02102,0.622201,0,0.54765,1.02102,6.66
BTB 02389,0.991086,-0.260542,0,0.798952,0.991086,9.64
