supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00215,0.916025,-4.00336,0,0.0306304,0.916025,16.31
AW 00436,0.931029,-3.24245,0,0.0413926,0.931029,14.66
AW 00625,1.02209,0.628084,0,0.150048,1.02209,5.57
AW 00698,0.916851,-3.07634,0,0.325324,0.916851,15.69
AW 00801,0.889394,-4.00572,0,0.478154,0.889394,18.26
AW 00819,0.921464,-2.84638,0,0.479128,0.921464,15.01
AW 00844,0.955042,-2.23833,0,0.277566,0.955042,11.63
AW 00891,1.01099,0.213684,0,0.178279,1.01099,6.01
AW 00925,1.03071,1.0875,0,0.45447,1.03071,3.97
AW 00962,1.02382,0.890868,0,0.480558,1.02382,4.56
AW 01018,1.03856,1.44773,0,0.370692,1.03856,3.01
AW 01055,1.01407,0.410562,0,0.341948,1.01407,5.34
AW 01109,1.03458,1.4005,0,0.202078,1.03458,3.26
AW 01159,0.967236,-1.07674,0,0.250758,0.967236,10.15
AW 01219,0.944493,-2.01425,0,0.478916,0.944493,12.65
AW 01274,0.937143,-2.39102,0,0.224616,0.937143,13.65
BR 00009,1.02755,0.933967,0,0.359804,1.02755,5.14
BTB 00027,1.03995,1.31974,0,0.216262,1.03995,4.26
BTB 00084,1.05737,2.37103,0,0.0317502,1.05737,2.83
BTB 00241,0.962932,-1.41526,0,0.325136,0.962932,12.21
BTB 00333,0.948808,-1.84458,0,0.486512,0.948808,13.72
BTB 00374,0.945177,-2.00475,0,0.440694,0.945177,14.18
BTB 00441,0.947319,-1.94187,0,0.404774,0.947319,14.01
BTB 00496,1.03222,0.953131,0,0.0910198,1.03222,5.94
BTB 00554,0.996063,-0.420791,0,0.217048,0.996063,9.26
BTB 00596,0.794857,-9.25856,0,4.21854e-12,0.794857,28.6
BTB 00667,1.0525,1.96763,0,0.328008,1.0525,3.36
BTB 00694,0.883312,-5.47325,0,0.00139855,0.883312,19.59
BTB 00730,0.939127,-2.2543,0,0.365036,0.939127,13.8
BTB 00778,0.941375,-2.04478,0,0.320128,0.941375,13.28
BTB 00828,0.989262,-0.70578,0,0.296126,0.989262,8.27
BTB 00881,1.00032,-0.206965,0,0.249418,1.00032,6.83
BTB 00992,1.01156,0.452736,0,0.659276,1.01156,5.41
BTB 01022,0.914856,-3.01831,0,0.35525,0.914856,14.83
BTB 01036,1.01763,0.694877,0,0.51031,1.01763,4.27
BTB 01061,1.00494,0.111668,0,0.595434,1.00494,5.3
BTB 01088,0.995816,-0.270657,0,0.639494,0.995816,5.98
BTB 01148,1.00997,0.430106,0,0.667142,1.00997,4.38
BTB 01177,0.987871,-0.555775,0,0.58504,0.987871,6.44
BTB 01196,0.998547,-0.145426,0,0.661104,0.998547,5.24
BTB 01235,0.976944,-0.923645,0,0.384636,0.976944,7.4
BTB 01260,0.354379,-26.3187,0,0,0.354379,70.65
BTB 01296,1.0223,0.987543,0,0.329752,1.0223,2.74
BTB 01349,0.97582,-1.06981,0,0.291752,0.97582,7.42
BTB 01396,0.993182,-0.395095,0,0.612906,0.993182,5.63
BTB 01410,0.902005,-3.68259,0,0.185493,0.902005,14.97
BTB 01444,0.998971,-0.0327236,0,0.951424,0.998971,5.03
BTB 01514,0.900628,-4.38652,0,9.3985e-05,0.900628,14.94
BTB 01585,1.01599,0.656183,0,0.517096,1.01599,3.26
BTB 01706,0.999285,-0.0168448,0,0.941146,0.999285,4.93
BTB 01787,1.01657,0.764188,0,0.462826,1.01657,3.15
BTB 01869,0.993033,-0.194824,0,0.585718,0.993033,5.52
BTB 01909,0.986237,-0.672294,0,0.540386,0.986237,6.15
BTB 01965,0.917797,-2.98716,0,0.458336,0.917797,13.19
BTB 02003,1.00639,0.360053,0,0.667596,1.00639,4.1
BTB 02050,0.989811,-0.496522,0,0.636628,0.989811,5.73
BTB 02082,0.985458,-0.624427,0,0.532348,0.985458,6.17
BTB 02134,0.99992,-0.0215257,0,0.923218,0.99992,4.69
BTB 02164,0.0575136,-41.9195,0,0,0.0575136,100
BTB 02191,0.997678,-0.0672026,0,0.862846,0.997678,4.97
BTB 02242,1.04211,2.04752,0,0.222834,1.04211,0.55
BTB 02289,0.963656,-1.62515,0,0.125167,0.963656,8.49
BTB 02335,0.956652,-2.44882,0,0.244974,0.956652,9.17
BTB 02361,0.986738,-0.544907,0,0.588928,0.986738,6.32
BTB 02389,1.00476,0.145965,0,0.757826,1.00476,4.58
BTB 02411,1.01491,0.677198,0,0.506648,1.01491,3.67
BTB 02461,1.00796,0.283661,0,0.76741,1.00796,4.46
BTB 02498,0.987114,-0.478103,0,0.658732,0.987114,6.67
