supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00215,0.928454,-4.59123,0,6.51042e-06,0.928454,13.46
AW 00436,0.966305,-2.17823,0,0.0390692,0.966305,9.5
AW 00625,0.0503358,-61.1227,0,0,0.0503358,100
AW 00698,1.00377,0.227381,0,0.694312,1.00377,5.32
AW 00801,0.98944,-0.687696,0,0.504584,0.98944,6.51
AW 00819,1.02058,1.31481,0,0.199864,1.02058,3.17
AW 00844,0.972228,-1.77855,0,0.0799136,0.972228,7.78
AW 00891,0.987461,-0.821837,0,0.454,0.987461,6.03
AW 00925,0.977153,-1.46031,0,0.154274,0.977153,6.86
AW 00962,1.00823,0.529301,0,0.596602,1.00823,3.52
AW 01018,1.0111,0.711145,0,0.478088,1.0111,3.02
AW 01055,1.00861,0.555896,0,0.579006,1.00861,3.07
AW 01109,1.00428,0.265858,0,0.796666,1.00428,3.3
AW 01159,1.00774,0.504049,0,0.619394,1.00774,2.81
AW 01219,0.990409,-0.627178,0,0.547978,0.990409,4.45
AW 01274,0.980058,-1.27322,0,0.215322,0.980058,5.42
BR 00009,0.929451,-4.53941,0,6.76402e-06,0.929451,10.48
BTB 00027,1.00016,0.0171758,0,0.848974,1.00016,3.23
BTB 00084,1.00498,0.328084,0,0.74916,1.00498,2.67
BTB 00241,0.996416,-0.24724,0,0.65363,0.996416,3.48
BTB 00333,0.999602,-0.0260236,0,0.97924,0.999602,3.11
BTB 00374,1.00592,0.391479,0,0.708932,1.00592,2.43
BTB 00441,0.990502,-0.608353,0,0.543636,0.990502,3.97
BTB 00496,0.980462,-1.25644,0,0.209024,0.980462,4.97
BTB 00554,0.972485,-1.76535,0,0.0786348,0.972485,5.77
BTB 00596,0.914804,-5.50789,0,1.79551e-06,0.914804,11.63
BTB 00667,1.00898,0.583523,0,0.56596,1.00898,2.02
BTB 00694,1.02859,1.8516,0,0.0828552,1.02859,0
BTB 00730,1.00717,0.464695,0,0.644192,1.00717,2.17
BTB 00778,1.01765,1.13235,0,0.258118,1.01765,1.08
BTB 00828,0.976571,-1.48822,0,0.181952,0.976571,5.26
BTB 00881,0.986319,-0.870387,0,0.39825,0.986319,4.25
BTB 00992,0.973823,-1.67322,0,0.10493,0.973823,5.52
BTB 01022,0.996878,-0.224769,0,0.520094,0.996878,3.18
BTB 01036,1.00534,0.331083,0,0.751768,1.00534,2.35
BTB 01061,0.99359,-0.425153,0,0.690232,0.99359,3.61
BTB 01088,0.997052,-0.203589,0,0.70559,0.997052,3.33
BTB 01148,1.02508,1.62738,0,0.133349,1.02508,0.56
BTB 01177,1.00474,0.31045,0,0.759126,1.00474,2.71
BTB 01196,0.986418,-0.854614,0,0.449928,0.986418,4.66
BTB 01235,0.969543,-1.9581,0,0.0502404,0.969543,6.46
BTB 01260,0.886697,-7.20582,0,1.66518e-07,0.886697,14.96
BTB 01296,1.0017,0.109785,0,0.912584,1.0017,3.39
BTB 01349,1.0001,0.00162462,0,0.895842,1.0001,3.67
BTB 01396,0.986399,-0.851364,0,0.480758,0.986399,5.18
BTB 01410,1.02634,1.69533,0,0.0906376,1.02634,1.29
BTB 01444,1.00003,-0.0189484,0,0.564352,1.00003,4.1
BTB 01514,0.946313,-3.46644,0,0.00124643,0.946313,9.65
BTB 01585,0.982731,-1.11707,0,0.273032,0.982731,6.13
BTB 01706,0.99941,-0.0309852,0,0.84904,0.99941,4.59
BTB 01787,1.00104,0.0779639,0,0.76148,1.00104,4.58
BTB 01869,0.988479,-0.730495,0,0.48162,0.988479,6.01
BTB 01909,1.00117,0.0683049,0,0.846018,1.00117,4.93
BTB 01965,1.0039,0.244409,0,0.809484,1.0039,4.86
BTB 02003,0.994832,-0.350187,0,0.642146,0.994832,5.98
BTB 02050,1.00819,0.523171,0,0.60223,1.00819,4.87
BTB 02082,0.974203,-1.6387,0,0.149119,0.974203,8.45
BTB 02134,0.98908,-0.664662,0,0.407002,0.98908,7.2
BTB 02164,0.0515608,-61.0471,0,0,0.0515608,99.9
BTB 02191,0.998135,-0.109634,0,0.780168,0.998135,6.78
BTB 02242,1.00769,0.441826,0,0.187445,1.00769,6.12
BTB 02289,0.983732,-1.02073,0,0.411674,0.983732,8.69
BTB 02335,0.991043,-0.555426,0,0.632796,0.991043,8.23
BTB 02361,1.01368,0.853936,0,0.498624,1.01368,6.31
BTB 02389,0.981116,-1.20366,0,0.24637,0.981116,9.68
BTB 02411,0.967744,-2.06304,0,0.046827,0.967744,11.18
BTB 02461,1.0011,0.0726819,0,0.942122,1.0011,8.14
BTB 02498,0.99468,-0.341493,0,0.732754,0.99468,8.93
BTB 02544,1.00309,0.198131,0,0.842946,1.00309,8.25
BTB 02581,1.00379,0.230528,0,0.732286,1.00379,8.32
