supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00215,0.857673,-6.31635,0,6.97062e-09,0.857673,20.74
AW 00436,0.743504,-11.395,0,2.29042e-28,0.743504,31.92
AW 00625,0.952069,-2.13099,0,0.0331408,0.952069,11.19
AW 00698,0.981717,-0.8172,0,0.431874,0.981717,8.14
AW 00801,0.905876,-4.18565,0,3.13586e-05,0.905876,15.56
AW 00819,1.0067,0.300773,0,0.767308,1.0067,5.46
AW 00844,1.00586,0.256374,0,0.804064,1.00586,5.45
AW 00891,1.02725,1.2068,0,0.247198,1.02725,3.23
AW 00925,0.99222,-0.340148,0,0.73889,0.99222,6.63
AW 00962,0.976443,-1.0487,0,0.296634,0.976443,8.11
AW 01018,0.985943,-0.624266,0,0.532708,0.985943,7.08
AW 01055,0.994839,-0.230538,0,0.818098,0.994839,6.11
AW 01109,1.02384,1.05482,0,0.313566,1.02384,3.12
AW 01159,1.00991,0.428128,0,0.473544,1.00991,4.44
AW 01219,1.02196,0.995003,0,0.444096,1.02196,3.18
AW 01274,1.02874,1.28492,0,0.242734,1.02874,2.43
BR 00009,0.938837,-2.71418,0,0.00894424,0.938837,11.38
BTB 00027,0.976994,-1.02032,0,0.31259,0.976994,7.52
BTB 00084,0.960955,-1.73497,0,0.0829838,0.960955,9.09
BTB 00241,0.968774,-1.39366,0,0.188857,0.968774,8.28
BTB 00333,0.992244,-0.348551,0,0.734588,0.992244,5.92
BTB 00374,1.00838,0.367067,0,0.72852,1.00838,4.3
BTB 00441,1.00671,0.29854,0,0.76539,1.00671,4.47
BTB 00496,1.03705,1.6456,0,0.100764,1.03705,1.41
BTB 00554,1.01098,0.490415,0,0.62788,1.01098,3.98
BTB 00596,0.687781,-13.888,0,1.14705e-40,0.687781,36.36
BTB 00667,0.977882,-0.983992,0,0.32577,0.977882,7.18
BTB 00694,0.788098,-9.40718,0,2.604e-18,0.788098,26.21
BTB 00730,0.989421,-0.465088,0,0.658572,0.989421,5.89
