supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00215,0.508091,-8.89612,0,2.54392e-17,0.508091,56.99
AW 00436,0.408125,-10.7393,0,1.2213e-24,0.408125,66.53
AW 00625,0.0639348,-16.9725,0,0,0.0639348,99.84
AW 00698,0.940388,-1.09102,0,0.307358,0.940388,14.19
AW 00801,0.543051,-8.28995,0,1.43577e-15,0.543051,52.8
AW 00819,1.014,0.257687,0,0.798394,1.014,6.23
AW 00844,0.528414,-8.52925,0,3.77152e-16,0.528414,53.82
AW 00891,0.998919,-0.0176479,0,0.948602,0.998919,7.1
AW 00925,1.04253,0.767715,0,0.444594,1.04253,2.5
AW 00962,1.02836,0.494447,0,0.567382,1.02836,3.67
AW 01018,1.02675,0.495707,0,0.642952,1.02675,3.49
AW 01055,0.999782,0.02176,0,0.39186,0.999782,5.88
AW 01109,1.04615,0.835024,0,0.403974,1.04615,1.01
AW 01159,1.00685,0.11531,0,0.771134,1.00685,5.02
AW 01219,1.01991,0.33312,0,0.386084,1.01991,3.9
AW 01274,0.981075,-0.348078,0,0.73173,0.981075,7.97
BR 00009,0.942751,-1.03955,0,0.300114,0.942751,12.07
BTB 00027,0.883694,-2.1088,0,0.0352836,0.883694,18.24
BTB 00084,1.02259,0.421138,0,0.696622,1.02259,4.73
BTB 00241,0.998712,-0.0136297,0,0.746386,0.998712,7.39
BTB 00333,0.885357,-2.06872,0,0.0458186,0.885357,18.82
BTB 00374,0.97023,-0.542159,0,0.589382,0.97023,10.69
BTB 00441,1.02744,0.488816,0,0.638038,1.02744,5.25
BTB 00496,0.927306,-1.28908,0,0.372274,0.927306,15.07
BTB 00554,0.880731,-2.17491,0,0.0484654,0.880731,19.82
BTB 00596,0.13765,-15.6396,0,0,0.13765,92.59
BTB 00667,1.02674,0.475461,0,0.649068,1.02674,5.5
BTB 00694,0.333194,-12.1002,0,1.54329e-30,0.333194,73.43
BTB 00730,1.03916,0.715814,0,0.48429,1.03916,4.06
BTB 00778,1.05603,1.01802,0,0.31099,1.05603,2.33
