supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00215,0.745949,-11.1191,0,1.55492e-21,0.745949,32.67
AW 00436,0.838155,-7.08947,0,1.05941e-10,0.838155,23.73
AW 00625,0.0535906,-41.4431,0,0,0.0535906,99.62
AW 00698,0.997682,-0.103744,0,0.504116,0.997682,7.78
AW 00801,0.912304,-3.84083,0,0.000171327,0.912304,15.83
AW 00819,1.01524,0.663571,0,0.377224,1.01524,5.6
AW 00844,0.945817,-2.37874,0,0.296226,0.945817,12.19
AW 00891,1.00638,0.277107,0,0.526282,1.00638,5.97
AW 00925,0.959,-1.79004,0,0.423468,0.959,10.31
AW 00962,1.00026,0.0110179,0,0.892732,1.00026,6.09
AW 01018,0.994265,-0.24829,0,0.40979,0.994265,6.43
AW 01055,1.00831,0.363153,0,0.722876,1.00831,4.85
AW 01109,0.994649,-0.237671,0,0.323604,0.994649,5.99
AW 01159,1.02497,1.09199,0,0.310234,1.02497,2.75
AW 01219,1.03533,1.54748,0,0.128225,1.03533,1.53
AW 01274,0.992626,-0.324772,0,0.592446,0.992626,5.67
BR 00009,0.901667,-4.30386,0,0.000107363,0.901667,14.65
BTB 00027,0.979495,-0.900432,0,0.494858,0.979495,6.84
BTB 00084,0.977725,-0.976092,0,0.339036,0.977725,6.96
BTB 00241,0.991088,-0.390243,0,0.696358,0.991088,5.59
BTB 00333,1.01179,0.515763,0,0.609694,1.01179,3.49
BTB 00374,1.02754,1.20556,0,0.23066,1.02754,1.89
BTB 00441,1.0203,0.88983,0,0.398734,1.0203,2.6
BTB 00496,1.00374,0.160724,0,0.393132,1.00374,4.29
BTB 00554,0.925006,-3.28084,0,0.0091801,0.925006,12.17
BTB 00596,0.533054,-20.4469,0,0,0.533054,51.45
BTB 00667,0.991495,-0.370637,0,0.614866,0.991495,5.58
BTB 00694,0.620809,-16.606,0,0,0.620809,42.7
BTB 00730,1.03672,1.60676,0,0.133441,1.03672,1.08
BTB 00778,1.04094,1.79075,0,0.1354,1.04094,0.65
BTB 00828,0.988051,-0.524461,0,0.623488,0.988051,5.93
BTB 00881,1.0103,0.447389,0,0.34287,1.0103,3.72
BTB 00992,0.95063,-2.1598,0,0.0637828,0.95063,9.66
BTB 01022,0.84474,-6.79964,0,3.95016e-11,0.84474,20.27
BTB 01036,0.974169,-1.12945,0,0.31428,0.974169,7.3
