supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00215,0.434723,-6.38662,0,5.11236e-10,0.434723,71.5
AW 00436,0.341327,-7.44231,0,8.51664e-13,0.341327,80.85
AW 00625,0.160431,-9.48476,0,2.04168e-20,0.160431,99.11
AW 00698,0.904712,-1.07545,0,0.284568,0.904712,23.14
AW 00801,0.33651,-7.49506,0,1.29315e-13,0.33651,81.02
AW 00819,0.965876,-0.385137,0,0.700314,0.965876,16.46
AW 00844,0.534638,-5.25875,0,4.79662e-07,0.534638,60.59
AW 00891,0.941211,-0.666838,0,0.532766,0.941211,18.73
AW 00925,1.06645,0.749417,0,0.45831,1.06645,5.63
AW 00962,1.01546,0.175686,0,0.86177,1.01546,10.66
AW 01018,1.03629,0.409751,0,0.682002,1.03629,8.38
AW 01055,1.01425,0.160247,0,0.873176,1.01425,10.49
AW 01109,0.992875,-0.0797762,0,0.92918,0.992875,12.45
AW 01159,0.92317,-0.865714,0,0.402692,0.92317,19.75
AW 01219,0.925619,-0.841798,0,0.411166,0.925619,19.8
AW 01274,0.892689,-1.2115,0,0.226696,0.892689,23.39
BR 00009,1.07388,0.835527,0,0.407788,1.07388,5.06
BTB 00027,0.956477,-0.49133,0,0.623358,0.956477,17.47
BTB 00084,1.06423,0.722791,0,0.49522,1.06423,6.88
BTB 00241,0.860076,-1.58202,0,0.121784,0.860076,27.93
BTB 00333,0.893092,-1.20782,0,0.227604,0.893092,24.75
BTB 00374,1.0015,0.0164779,0,0.947066,1.0015,13.94
BTB 00441,0.94587,-0.610635,0,0.54324,0.94587,19.63
BTB 00496,0.916434,-0.943518,0,0.345802,0.916434,22.65
BTB 00554,0.951619,-0.545901,0,0.586012,0.951619,19.08
BTB 00596,0.263734,-8.31821,0,6.50238e-16,0.263734,88.76
BTB 00667,1.03167,0.357739,0,0.720538,1.03167,10.94
BTB 00694,0.36555,-7.16633,0,8.91308e-13,0.36555,78.34
BTB 00730,0.972707,-0.307743,0,0.7588,0.972707,16.71
BTB 00778,1.04781,0.539776,0,0.589444,1.04781,9
BTB 00828,0.849562,-1.69956,0,0.0897456,0.849562,29.04
BTB 00881,0.903528,-1.08834,0,0.28272,0.903528,23.42
BTB 00992,1.08328,0.940146,0,0.348114,1.08328,5.13
BTB 01022,0.272862,-8.21428,0,6.48294e-16,0.272862,87.63
BTB 01036,1.01169,0.131585,0,0.895494,1.01169,12.35
BTB 01061,0.716555,-3.20095,0,0.00138912,0.716555,42.38
BTB 01088,0.945902,-0.61012,0,0.544388,0.945902,19.09
BTB 01148,1.05344,0.603748,0,0.546142,1.05344,8.28
BTB 01177,0.706298,-3.31801,0,0.000967074,0.706298,43.64
BTB 01196,0.91731,-0.935816,0,0.363304,0.91731,22.25
BTB 01235,0.98182,-0.206057,0,0.83744,0.98182,15.61
BTB 01260,0.557739,-4.99625,0,7.65288e-07,0.557739,58.66
BTB 01296,1.09509,1.0732,0,0.285418,1.09509,3.9
BTB 01349,0.893034,-1.20841,0,0.227208,0.893034,24.41
BTB 01396,0.955712,-0.499216,0,0.620456,0.955712,17.97
BTB 01410,1.01092,0.124407,0,0.892878,1.01092,12.33
BTB 01444,0.898479,-1.14844,0,0.263732,0.898479,23.85
BTB 01514,0.808845,-2.16046,0,0.0337808,0.808845,32.98
BTB 01585,1.03031,0.346587,0,0.601618,1.03031,10.29
BTB 01706,1.03964,0.44561,0,0.66768,1.03964,9.38
BTB 01787,1.00958,0.109684,0,0.853268,1.00958,12.3
BTB 01869,1.05836,0.658782,0,0.510438,1.05836,7.28
BTB 01909,0.915411,-0.95603,0,0.340716,0.915411,21.85
BTB 01965,0.842469,-1.77986,0,0.0760928,0.842469,29.27
BTB 02003,0.984733,-0.173785,0,0.864082,0.984733,14.68
BTB 02050,0.906304,-1.0591,0,0.292534,0.906304,22.59
BTB 02082,0.942396,-0.654894,0,0.572864,0.942396,18.74
BTB 02134,1.04672,0.52796,0,0.597716,1.04672,7.74
BTB 02164,0.148957,-9.6133,0,1.75378e-21,0.148957,100
BTB 02191,1.02934,0.332062,0,0.740746,1.02934,8.71
BTB 02242,0.964341,-0.400335,0,0.702766,0.964341,15.01
BTB 02289,0.820121,-2.03173,0,0.0422002,0.820121,29.61
