supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00215,0.929644,-5.09677,0,6.89368e-06,0.929644,10.27
AW 00436,0.919219,-5.85195,0,3.04196e-07,0.919219,11.2
AW 00625,1.01245,0.910377,0,0.474526,1.01245,1.56
AW 00698,0.988457,-0.835839,0,0.410126,0.988457,3.88
AW 00801,0.981943,-1.30868,0,0.19315,0.981943,4.42
AW 00819,1.00593,0.43076,0,0.667228,1.00593,1.84
AW 00844,0.995431,-0.341181,0,0.191245,0.995431,2.8
AW 00891,0.996749,-0.237203,0,0.81631,0.996749,2.55
AW 00925,1.00613,0.449664,0,0.519328,1.00613,1.48
AW 00962,0.995912,-0.292413,0,0.588986,0.995912,2.42
AW 01018,1.00893,0.649317,0,0.533898,1.00893,0.98
AW 01055,0.983814,-1.17489,0,0.245556,0.983814,3.47
AW 01109,1.00853,0.620103,0,0.544634,1.00853,0.82
AW 01159,1.01332,0.965016,0,0.340432,1.01332,0.27
AW 01219,0.996019,-0.291823,0,0.674422,0.996019,2.01
AW 01274,0.997018,-0.218293,0,0.776738,0.997018,1.87
BR 00009,0.950292,-3.59954,0,0.00209648,0.950292,6.68
BTB 00027,0.992488,-0.537758,0,0.390814,0.992488,2.32
BTB 00084,1.00471,0.345137,0,0.621158,1.00471,1.07
BTB 00241,0.976278,-1.72587,0,0.17878,0.976278,4.03
BTB 00333,0.999157,-0.0601672,0,0.896088,0.999157,1.69
BTB 00374,1.00282,0.203012,0,0.84207,1.00282,1.35
BTB 00441,1.00555,0.402129,0,0.688678,1.00555,1.11
BTB 00496,0.993504,-0.474261,0,0.667412,0.993504,2.4
BTB 00554,1.00268,0.201237,0,0.32301,1.00268,1.49
BTB 00596,0.803851,-14.212,0,5.52948e-36,0.803851,22.03
BTB 00667,1.00703,0.510266,0,0.610132,1.00703,1.12
BTB 00694,0.920078,-5.78723,0,2.3516e-06,0.920078,10.11
BTB 00730,0.991468,-0.61887,0,0.536066,0.991468,2.79
BTB 00778,1.01761,1.27701,0,0.201684,1.01761,0.14
BTB 00828,0.99373,-0.459647,0,0.529054,0.99373,2.64
BTB 00881,0.98584,-1.03094,0,0.378508,0.98584,3.49
BTB 00992,0.999249,-0.0539381,0,0.944986,0.999249,2.17
BTB 01022,0.850572,-10.8324,0,4.12124e-25,0.850572,17.51
BTB 01036,1.00628,0.455767,0,0.64865,1.00628,1.58
BTB 01061,0.95992,-2.90421,0,0.00561358,0.95992,6.41
BTB 01088,1.0039,0.288433,0,0.460328,1.0039,1.98
BTB 01148,1.01014,0.735237,0,0.462254,1.01014,1.42
BTB 01177,1.00546,0.392102,0,0.647002,1.00546,1.98
BTB 01196,0.990197,-0.712505,0,0.487056,0.990197,3.63
BTB 01235,1.00743,0.549447,0,0.201302,1.00743,1.99
BTB 01260,0.278388,-52.3277,0,0,0.278388,76.48
BTB 01296,1.00339,0.245313,0,0.806574,1.00339,2.6
BTB 01349,0.98395,-1.17054,0,0.425058,0.98395,4.69
BTB 01396,0.991179,-0.641531,0,0.534658,0.991179,4.08
BTB 01410,1.00034,0.01898,0,0.4309,1.00034,3.27
BTB 01444,0.99306,-0.514346,0,0.166098,0.99306,4.13
BTB 01514,0.926415,-5.33974,0,6.18108e-07,0.926415,11.01
BTB 01585,1.00149,0.124468,0,0.0243754,1.00149,3.55
BTB 01706,0.98373,-1.18109,0,0.24444,0.98373,5.41
BTB 01787,1.00449,0.322028,0,0.618098,1.00449,3.39
BTB 01869,0.980685,-1.4012,0,0.162237,0.980685,5.88
BTB 01909,1.00153,0.107359,0,0.603876,1.00153,3.84
BTB 01965,0.994461,-0.405223,0,0.643438,0.994461,4.61
BTB 02003,0.996522,-0.260443,0,0.263596,0.996522,4.44
BTB 02050,0.993963,-0.434319,0,0.657908,0.993963,4.74
BTB 02082,0.996489,-0.249208,0,0.458,0.996489,4.5
BTB 02134,0.99501,-0.363489,0,0.723004,0.99501,4.65
BTB 02164,0.0484399,-69.0096,0,0,0.0484399,100
BTB 02191,0.988172,-0.857936,0,0.39113,0.988172,5.29
BTB 02242,0.98867,-0.814662,0,0.471482,0.98867,5.2
BTB 02289,0.981321,-1.35716,0,0.202302,0.981321,5.91
BTB 02335,0.99419,-0.422996,0,0.680492,0.99419,4.57
BTB 02361,1.00752,0.546186,0,0.586756,1.00752,3.19
BTB 02389,1.00632,0.462322,0,0.614606,1.00632,3.27
BTB 02411,0.983226,-1.21384,0,0.254172,0.983226,5.56
BTB 02461,1.00412,0.299266,0,0.764942,1.00412,3.4
BTB 02498,0.99205,-0.575565,0,0.568376,0.99205,4.58
BTB 02544,1.0007,0.0457471,0,0.473634,1.0007,3.7
BTB 02581,1.00117,0.0903995,0,0.41722,1.00117,3.65
BTB 02635,1.01005,0.729142,0,0.466542,1.01005,2.77
BTB 02660,0.980549,-1.4108,0,0.158539,0.980549,5.76
BTB 02678,0.863498,-9.88849,0,1.78997e-17,0.863498,17.59
BTB 02719,1.00056,0.0418307,0,0.869978,1.00056,3.78
BTB 02761,0.997414,-0.189281,0,0.812188,0.997414,4.12
BTB 02768,0.999061,-0.0638055,0,0.544538,0.999061,3.96
BTB 02848,1.01099,0.793782,0,0.473266,1.01099,2.8
BTB 02874,0.998292,-0.122151,0,0.811126,0.998292,4.1
BTB 02933,0.97886,-1.5312,0,0.138362,0.97886,6.09
BTB 03010,0.987251,-0.928405,0,0.420146,0.987251,5.28
BTB 03055,0.992942,-0.5128,0,0.611486,0.992942,16.39
BTB 03059,1.01568,1.13949,0,0.283222,1.01568,14.27
BTB 03107,1.02496,1.80926,0,0.0738312,1.02496,13.36
BTB 03148,0.96447,-2.57955,0,0.0167414,0.96447,18.67
BTB 03234,0.992791,-0.525844,0,0.63207,0.992791,16.04
BTB 03320,0.957309,-3.09439,0,0.00243008,0.957309,19.1
BTB 03415,1.02856,2.06888,0,0.0502706,1.02856,12.64
BTB 03438,0.993039,-0.504827,0,0.61368,0.993039,15.71
BTB 03489,0.982722,-1.2504,0,0.240344,0.982722,16.53
BTB 03563,0.975949,-1.74697,0,0.105225,0.975949,17.06
BTB 03586,1.10017,7.22202,1,0.10644,1.10017,5.91
BTB 03653,1.00203,0.145395,0,0.818438,1.00203,14.52
BTB 03699,0.985084,-1.08162,0,0.27943,0.985084,15.93
BTB 03791,0.830054,-12.3622,0,1.24833e-12,0.830054,29.88
BTB 03853,0.996728,-0.23601,0,0.816386,0.996728,14.58
BTB 03920,1.00398,0.288998,0,0.773632,1.00398,13.79
BTB 04022,0.997238,-0.202985,0,0.713004,0.997238,14.3
BTB 04071,0.999742,-0.0200749,0,0.844554,0.999742,13.99
BTB 04115,0.993245,-0.488864,0,0.628486,0.993245,14.5
BTB 04181,0.891473,-7.87271,0,2.7558e-14,0.891473,23.69
BTB 04212,1.00443,0.317887,0,0.669606,1.00443,13.38
BTB 04281,1.00732,0.527161,0,0.642566,1.00732,13.08
BTB 04346,1.00409,0.294258,0,0.726638,1.00409,13.35
BTB 04417,0.993656,-0.455266,0,0.541142,0.993656,14.27
BTB 04487,0.905151,-6.87558,0,4.04074e-11,0.905151,22.34
BTB 04536,0.996515,-0.251607,0,0.80361,0.996515,14.07
BTB 04603,0.955362,-3.23789,0,0.00129761,0.955362,17.87
BTB 04647,0.99375,-0.452005,0,0.65633,0.99375,14.45
BTB 04665,0.997429,-0.188857,0,0.736108,0.997429,14.22
BTB 04688,1.01875,1.35901,0,0.174968,1.01875,12.41
BTB 04722,1.00446,0.321904,0,0.751632,1.00446,13.83
BTB 04785,1.00412,0.301513,0,0.722362,1.00412,13.96
BTB 04832,0.992373,-0.555549,0,0.600974,0.992373,15.12
BTB 04862,1.00407,0.292728,0,0.709178,1.00407,14.12
BTB 04891,0.961817,-2.77148,0,0.00867638,0.961817,17.95
BTB 04938,0.966486,-2.43558,0,0.0447064,0.966486,17.54
BTB 04978,1.01468,1.06227,0,0.30976,1.01468,13.16
BTB 05020,0.947586,-3.7992,0,0.000215536,0.947586,19.17
BTB 05047,0.952937,-3.41779,0,0.00313922,0.952937,18.68
BTB 05098,0.9775,-1.62811,0,0.146355,0.9775,16.41
BTB 05123,0.984248,-1.1456,0,0.30214,0.984248,15.78
BTB 05165,0.990794,-0.666949,0,0.50643,0.990794,15.12
BTB 05191,1.00782,0.565824,0,0.580492,1.00782,13.51
BTB 05197,0.995105,-0.353843,0,0.72684,0.995105,14.54
BTB 05231,1.01456,1.05667,0,0.291788,1.01456,12.65
BTB 05265,0.996324,-0.265497,0,0.792838,0.996324,14.17
BTB 05284,1.0149,1.07661,0,0.357392,1.0149,12.36
BTB 05318,1.01641,1.18622,0,0.306478,1.01641,12.1
BTB 05356,0.140103,-62.3655,0,0,0.140103,91.94
BTB 05417,0.0517833,-68.7666,0,0,0.0517833,99.98
