supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00215,0.797937,-6.14159,0,1.83622e-08,0.797937,26.28
AW 00436,0.866064,-4.07079,0,6.39512e-05,0.866064,19.17
AW 00625,0.0663964,-28.3747,0,0,0.0663964,99.33
AW 00698,0.963452,-1.11099,0,0.294118,0.963452,8.79
AW 00801,0.932112,-2.06323,0,0.0402914,0.932112,11.66
AW 00819,0.9917,-0.252639,0,0.544936,0.9917,5.34
AW 00844,0.886524,-3.44924,0,0.002888,0.886524,15.77
AW 00891,1.00494,0.149857,0,0.721234,1.00494,3.45
AW 00925,1.01987,0.604009,0,0.551382,1.01987,1.67
AW 00962,0.992233,-0.236134,0,0.814904,0.992233,4.24
AW 01018,1.01644,0.499517,0,0.6382,1.01644,1.5
AW 01055,0.991046,-0.272561,0,0.506124,0.991046,3.84
AW 01109,1.01643,0.499429,0,0.637,1.01643,0.95
AW 01159,1.01293,0.393034,0,0.694306,1.01293,1.16
AW 01219,1.01261,0.383595,0,0.64822,1.01261,1.11
AW 01274,0.992385,-0.231284,0,0.800198,0.992385,3.17
BR 00009,0.980339,-0.597298,0,0.58047,0.980339,4.45
BTB 00027,0.962885,-1.12804,0,0.259928,0.962885,6.3
BTB 00084,0.997336,-0.081021,0,0.92933,0.997336,2.81
BTB 00241,0.977773,-0.675677,0,0.509766,0.977773,4.92
BTB 00333,0.964574,-1.07684,0,0.296842,0.964574,6.36
BTB 00374,1.0025,0.0760197,0,0.939408,1.0025,2.53
BTB 00441,1.01107,0.336499,0,0.739738,1.01107,1.72
BTB 00496,0.977918,-0.671473,0,0.572474,0.977918,5.2
BTB 00554,0.882675,-3.56578,0,0.000367678,0.882675,15.08
BTB 00596,0.660296,-10.324,0,5.31206e-22,0.660296,38.03
BTB 00667,1.01803,0.548264,0,0.594516,1.01803,1.2
BTB 00694,0.655588,-10.4677,0,3.8636e-25,0.655588,38.51
BTB 00730,1.02154,0.654712,0,0.513238,1.02154,0.81
BTB 00778,1.01448,0.440065,0,0.669734,1.01448,1.53
BTB 00828,0.950289,-1.5108,0,0.132436,0.950289,8.15
BTB 00881,1.00199,0.0603007,0,0.719782,1.00199,2.85
BTB 00992,0.993253,-0.204914,0,0.809118,0.993253,3.79
