supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00215,0.950237,-3.4709,0,0.00940558,0.950237,8.74
AW 00436,0.914181,-6.00066,0,2.23758e-08,0.914181,12.3
AW 00625,1.03355,2.35031,0,0.0214094,1.03355,0
AW 00698,0.980767,-1.3481,0,0.185533,0.980767,5.27
AW 00801,0.980166,-1.3967,0,0.289566,0.980166,5.22
AW 00819,1.00844,0.592599,0,0.558122,1.00844,2.21
AW 00844,0.994485,-0.383182,0,0.711052,0.994485,3.54
AW 00891,0.992706,-0.510569,0,0.609662,0.992706,3.61
AW 00925,0.987368,-0.876158,0,0.501154,0.987368,4.06
AW 00962,0.991782,-0.573793,0,0.56921,0.991782,3.51
AW 01018,1.00918,0.647324,0,0.553704,1.00918,1.62
AW 01055,0.999054,-0.067252,0,0.920138,0.999054,2.57
AW 01109,1.00928,0.654787,0,0.558068,1.00928,1.42
AW 01159,1.00857,0.596581,0,0.570496,1.00857,1.42
AW 01219,0.99893,-0.0770096,0,0.843406,0.99893,2.34
AW 01274,0.98171,-1.28103,0,0.201958,0.98171,4.06
BR 00009,0.946999,-3.70483,0,0.000546334,0.946999,7.61
BTB 00027,0.993506,-0.459396,0,0.679004,0.993506,2.77
BTB 00084,1.00686,0.485693,0,0.620878,1.00686,1.38
BTB 00241,0.984582,-1.07465,0,0.322512,0.984582,3.68
BTB 00333,0.994084,-0.416884,0,0.687496,0.994084,2.7
BTB 00374,1.00136,0.0938172,0,0.875388,1.00136,1.98
BTB 00441,1.00285,0.20003,0,0.841702,1.00285,1.85
BTB 00496,0.990755,-0.645472,0,0.523058,0.990755,3.13
BTB 00554,1.0047,0.334178,0,0.633478,1.0047,1.71
BTB 00596,0.94262,-4.00945,0,0.000334792,0.94262,8.14
BTB 00667,1.00094,0.065108,0,0.943944,1.00094,2.13
BTB 00694,0.983255,-1.17054,0,0.246004,0.983255,3.96
BTB 00730,1.00014,0.00832995,0,0.888696,1.00014,2.23
BTB 00778,1.01418,0.991687,0,0.3223,1.01418,0.79
BTB 00828,0.988339,-0.81662,0,0.414628,0.988339,3.47
BTB 00881,0.977981,-1.54645,0,0.169004,0.977981,4.55
BTB 00992,0.993481,-0.454573,0,0.653416,0.993481,2.97
BTB 01022,0.989494,-0.73739,0,0.469558,0.989494,3.39
BTB 01036,1.00895,0.626266,0,0.53114,1.00895,1.38
BTB 01061,0.964184,-2.5081,0,0.012915,0.964184,6
BTB 01088,1.00529,0.369658,0,0.712566,1.00529,1.76
BTB 01148,1.00468,0.324388,0,0.754528,1.00468,1.83
BTB 01177,1.00455,0.32065,0,0.753938,1.00455,1.85
BTB 01196,0.981275,-1.3128,0,0.198989,0.981275,4.25
BTB 01235,0.996596,-0.233931,0,0.695046,0.996596,2.66
BTB 01260,0.935176,-4.51993,0,0.001706,0.935176,8.99
BTB 01296,1.01181,0.829521,0,0.426088,1.01181,1.07
BTB 01349,1.00216,0.151107,0,0.879892,1.00216,2.05
BTB 01396,0.98604,-0.978771,0,0.334096,0.98604,3.71
BTB 01410,1.0073,0.505411,0,0.654472,1.0073,1.52
BTB 01444,0.98338,-1.16524,0,0.25243,0.98338,4
BTB 01514,0.925725,-5.20003,0,2.716e-07,0.925725,9.97
BTB 01585,0.984059,-1.10617,0,0.437724,0.984059,3.97
BTB 01706,0.993285,-0.467198,0,0.651366,0.993285,3.04
BTB 01787,1.00694,0.487077,0,0.62848,1.00694,1.65
BTB 01869,1.01005,0.70148,0,0.490432,1.01005,1.36
BTB 01909,0.991988,-0.563865,0,0.589238,0.991988,3.27
BTB 01965,1.00786,0.547477,0,0.596422,1.00786,1.68
BTB 02003,0.996405,-0.253172,0,0.802168,0.996405,2.91
BTB 02050,0.990281,-0.678724,0,0.501686,0.990281,3.59
BTB 02082,0.974122,-1.79943,0,0.243174,0.974122,5.3
BTB 02134,0.994886,-0.35362,0,0.705952,0.994886,3.21
BTB 02164,0.0534383,-66.2561,0,0,0.0534383,100
BTB 02191,1.01015,0.712583,0,0.486234,1.01015,1.74
BTB 02242,0.99272,-0.509559,0,0.610366,0.99272,3.59
BTB 02289,0.988792,-0.790987,0,0.510542,0.988792,4.07
BTB 02335,0.988659,-0.797629,0,0.455358,0.988659,4.17
BTB 02361,0.979534,-1.42845,0,0.180837,0.979534,5.19
BTB 02389,0.98065,-1.33099,0,0.196389,0.98065,5.16
BTB 02411,0.989279,-0.738706,0,0.394674,0.989279,4.37
BTB 02461,1.01624,1.14082,0,0.289914,1.01624,1.71
BTB 02498,1.00661,0.467593,0,0.671836,1.00661,2.8
BTB 02544,1.00217,0.145044,0,0.53641,1.00217,3.38
BTB 02581,1.0052,0.360477,0,0.73269,1.0052,3.22
BTB 02635,0.994981,-0.360078,0,0.438444,0.994981,4.4
BTB 02660,0.97455,-1.7807,0,0.075246,0.97455,6.62
BTB 02678,0.966509,-2.33215,0,0.11145,0.966509,7.59
BTB 02719,0.997262,-0.180791,0,0.317524,0.997262,4.63
BTB 02761,0.996698,-0.23123,0,0.817158,0.996698,4.84
BTB 02768,1.03146,2.20635,0,0.041419,1.03146,1.49
BTB 02848,1.01055,0.736019,0,0.475102,1.01055,3.76
BTB 02874,0.986778,-0.927073,0,0.359956,0.986778,6.32
BTB 02933,0.992181,-0.545283,0,0.592014,0.992181,5.94
BTB 03010,0.988796,-0.785426,0,0.435478,0.988796,6.44
BTB 03055,0.983157,-1.17781,0,0.240934,0.983157,5.62
BTB 03059,1.00928,0.648754,0,0.517348,1.00928,2.88
BTB 03107,1.01737,1.21432,0,0.23003,1.01737,1.98
BTB 03148,0.951431,-3.40408,0,0.00162867,0.951431,8.64
BTB 03234,0.989644,-0.730851,0,0.532514,0.989644,4.67
BTB 03320,0.967722,-2.25307,0,0.0477724,0.967722,6.84
BTB 03415,1.00716,0.501623,0,0.616306,1.00716,2.74
BTB 03438,1.00062,0.0471483,0,0.71303,1.00062,3.34
BTB 03489,0.98759,-0.864285,0,0.424862,0.98759,4.61
BTB 03563,1.00457,0.323262,0,0.73935,1.00457,2.8
BTB 03586,1.0168,1.17518,0,0.241088,1.0168,1.48
BTB 03653,1.00324,0.224693,0,0.826196,1.00324,2.8
BTB 03699,0.973553,-1.85314,0,0.0691976,0.973553,5.78
BTB 03791,0.997871,-0.152836,0,0.724042,0.997871,3.22
BTB 03853,0.994417,-0.390696,0,0.696028,0.994417,3.52
BTB 03920,0.986879,-0.91937,0,0.360148,0.986879,4.26
BTB 04022,0.994163,-0.405032,0,0.700884,0.994163,3.48
BTB 04071,1.00801,0.559993,0,0.576964,1.00801,2.02
BTB 04115,1.00235,0.171039,0,0.557076,1.00235,2.58
BTB 04181,0.946321,-3.75725,0,0.000173546,0.946321,8.32
BTB 04212,0.994368,-0.397363,0,0.703784,0.994368,3.33
BTB 04281,0.999409,-0.0402662,0,0.917676,0.999409,2.79
BTB 04346,1.00478,0.335801,0,0.739034,1.00478,2.23
BTB 04417,0.994943,-0.348813,0,0.650672,0.994943,3.25
BTB 04487,0.948018,-3.64103,0,0.000423446,0.948018,8.11
BTB 04536,0.997962,-0.141033,0,0.88074,0.997962,3.01
BTB 04603,1.00862,0.601964,0,0.549874,1.00862,1.97
BTB 04647,0.997048,-0.205429,0,0.838254,0.997048,3.23
BTB 04665,1.01247,0.867464,0,0.43935,1.01247,1.7
BTB 04688,1.00211,0.148369,0,0.882258,1.00211,2.85
BTB 04722,0.992013,-0.56215,0,0.59029,0.992013,3.96
BTB 04785,1.00385,0.276485,0,0.513004,1.00385,2.86
BTB 04832,0.981225,-1.31675,0,0.202268,0.981225,5.28
BTB 04862,0.988081,-0.838901,0,0.445798,0.988081,4.69
BTB 04891,0.962792,-2.60526,0,0.00955904,0.962792,7.39
BTB 04938,1.00748,0.51896,0,0.632158,1.00748,2.91
BTB 04978,1.01588,1.11163,0,0.26643,1.01588,2.14
BTB 05020,0.946719,-3.72802,0,0.000206534,0.946719,9.26
BTB 05047,0.927581,-5.07396,0,2.59132e-06,0.927581,11.23
BTB 05098,0.992772,-0.512284,0,0.59682,0.992772,4.6
BTB 05123,0.988918,-0.782372,0,0.520032,0.988918,4.99
