supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00215,0.753844,-5.60889,0,1.56203e-07,0.753844,36.17
AW 00436,0.767638,-5.28963,0,5.83968e-07,0.767638,34.83
AW 00625,0.984543,-0.374484,0,0.713678,0.984543,14.39
AW 00698,0.931342,-1.6335,0,0.177774,0.931342,19.14
AW 00801,0.927517,-1.64896,0,0.101782,0.927517,19.68
AW 00819,1.00974,0.253332,0,0.800574,1.00974,12.03
AW 00844,0.880756,-2.6673,0,0.0082773,0.880756,24.14
AW 00891,1.03022,0.687772,0,0.492242,1.03022,9.92
AW 00925,1.02443,0.65293,0,0.520574,1.02443,10.76
AW 00962,0.98675,-0.301004,0,0.763456,0.98675,13.93
AW 01018,1.01146,0.238451,0,0.813654,1.01146,11.49
AW 01055,0.98735,-0.299204,0,0.76615,0.98735,13.74
AW 01109,0.897045,-1.32293,0,1.25475e-10,0.897045,25.61
AW 01159,1.01844,0.40349,0,0.687796,1.01844,10.76
AW 01219,0.91471,-0.950263,0,3.88096e-11,0.91471,23.91
AW 01274,1.02923,0.687764,0,0.502558,1.02923,10.03
BR 00009,0.94348,-1.26737,0,0.205468,0.94348,18.17
BTB 00027,0.97591,-0.550461,0,0.582686,0.97591,15.16
BTB 00084,0.920508,-0.789329,0,2.61608e-12,0.920508,23.8
BTB 00241,0.911769,-1.08218,0,2.19048e-09,0.911769,24.37
BTB 00333,0.867743,-1.91207,0,1.67389e-10,0.867743,29.12
BTB 00374,0.886098,-1.53793,0,1.04904e-10,0.886098,27.3
BTB 00441,1.00027,0.0921502,0,0.51081,1.00027,13.49
BTB 00496,1.00125,-0.0270321,0,0.671736,1.00125,12.97
BTB 00554,0.945253,-1.1207,0,0.42226,0.945253,18.83
BTB 00596,0.547705,-10.3791,0,2.49152e-19,0.547705,55.23
BTB 00667,0.995863,-0.165037,0,0.586286,0.995863,13.46
BTB 00694,0.824887,-3.97134,0,9.79442e-05,0.824887,29.66
BTB 00730,0.998123,-0.0756417,0,0.798328,0.998123,13.28
BTB 00778,0.962015,0.00749344,0,3.41602e-11,0.962015,19.55
BTB 00828,0.971159,-0.655096,0,0.512774,0.971159,15.82
BTB 00881,0.994007,-0.149484,0,0.8819,0.994007,13.61
BTB 00992,1.00064,0.130704,0,0.375816,1.00064,13.39
BTB 01022,0.93005,-1.64527,0,0.147986,0.93005,19.43
BTB 01036,0.984527,-0.343147,0,0.731708,0.984527,14.54
BTB 01061,1.01625,0.420569,0,0.699944,1.01625,11.71
BTB 01088,0.968917,-0.710385,0,0.478824,0.968917,15.96
BTB 01148,1.01784,0.430954,0,0.674176,1.01784,11.47
BTB 01177,0.99089,-0.21106,0,0.833006,0.99089,13.88
BTB 01196,1.01455,0.314322,0,0.754562,1.01455,11.61
BTB 01235,0.921105,-1.69877,0,0.147043,0.921105,20.7
BTB 01260,0.211925,-18.1185,0,0,0.211925,86.18
BTB 01296,1.00382,0.102647,0,0.898612,1.00382,12.69
BTB 01349,0.921688,-1.81709,0,0.0923922,0.921688,20.22
BTB 01396,0.979937,-0.444084,0,0.657564,0.979937,14.93
BTB 01410,0.904302,-1.19243,0,2.75696e-10,0.904302,25.22
BTB 01444,1.00803,0.210894,0,0.82149,1.00803,12.4
BTB 01514,0.88075,-2.65363,0,0.0099557,0.88075,24.45
BTB 01585,0.997124,-0.0616256,0,0.950876,0.997124,13.41
BTB 01706,0.972498,-0.6247,0,0.532496,0.972498,15.73
BTB 01787,1.03183,0.842064,0,0.488276,1.03183,10.58
BTB 01869,0.976308,-0.569553,0,0.583398,0.976308,15.28
BTB 01909,0.988911,-0.243564,0,0.807784,0.988911,14.22
