supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00215,0.930087,-3.8103,0,0.000738434,0.930087,12.01
AW 00436,0.880481,-6.51282,0,6.08724e-08,0.880481,16.87
AW 00625,1.02452,1.33739,0,0.182251,1.02452,2.29
AW 00698,0.995774,-0.230382,0,0.817864,0.995774,5.05
AW 00801,0.961078,-2.12629,0,0.0423978,0.961078,8.4
AW 00819,0.999961,-0.00402401,0,0.802722,0.999961,4.39
AW 00844,0.973149,-1.46669,0,0.150046,0.973149,6.99
AW 00891,0.982312,-0.965223,0,0.334438,0.982312,5.98
AW 00925,1.02058,1.12832,0,0.36463,1.02058,2.06
AW 00962,1.01141,0.626703,0,0.58255,1.01141,2.89
AW 01018,1.01097,0.599803,0,0.554716,1.01097,2.83
AW 01055,1.00487,0.269754,0,0.59694,1.00487,3.38
AW 01109,1.00701,0.378905,0,0.669314,1.00701,3.03
AW 01159,1.00264,0.144819,0,0.885636,1.00264,3.47
AW 01219,0.982701,-0.946826,0,0.377202,0.982701,5.45
AW 01274,0.977281,-1.2438,0,0.27679,0.977281,5.99
BR 00009,0.95928,-2.21552,0,0.0899398,0.95928,7.87
BTB 00027,1.01181,0.647606,0,0.55373,1.01181,2.57
BTB 00084,1.01676,0.914949,0,0.360822,1.01676,2.09
BTB 00241,0.994776,-0.283838,0,0.779286,0.994776,4.35
BTB 00333,0.970373,-1.62109,0,0.163286,0.970373,6.83
BTB 00374,0.999786,-0.0127701,0,0.887334,0.999786,3.92
BTB 00441,0.978984,-1.15377,0,0.427272,0.978984,6.03
BTB 00496,0.976498,-1.28593,0,0.244768,0.976498,6.33
BTB 00554,1.01676,0.919661,0,0.450162,1.01676,2.34
BTB 00596,0.827313,-9.41703,0,4.68666e-18,0.827313,21.47
BTB 00667,1.02721,1.48876,0,0.184624,1.02721,1.32
BTB 00694,0.846612,-8.37104,0,8.27584e-17,0.846612,19.5
BTB 00730,0.993786,-0.343311,0,0.59823,0.993786,4.65
BTB 00778,1.00951,0.515953,0,0.63348,1.00951,3.06
BTB 00828,0.97506,-1.36524,0,0.24032,0.97506,6.52
BTB 00881,0.956325,-2.38643,0,0.0270656,0.956325,8.41
BTB 00992,1.02084,1.1443,0,0.4323,1.02084,1.95
BTB 01022,0.907007,-5.06374,0,0.000141394,0.907007,13.45
BTB 01036,1.02141,1.16873,0,0.244372,1.02141,1.91
BTB 01061,0.976207,-1.29505,0,0.237166,0.976207,6.5
BTB 01088,1.00882,0.477622,0,0.6545,1.00882,3.22
BTB 01148,1.01136,0.620435,0,0.536508,1.01136,2.97
BTB 01177,0.995817,-0.235871,0,0.327108,0.995817,4.49
BTB 01196,0.979514,-1.11922,0,0.270278,0.979514,6.1
BTB 01235,0.972143,-1.51182,0,0.34506,0.972143,6.8
BTB 01260,0.139956,-46.9203,0,0,0.139956,90.73
BTB 01296,1.01933,1.05713,0,0.312954,1.01933,1.92
BTB 01349,0.992046,-0.429639,0,0.595386,0.992046,4.66
BTB 01396,0.967964,-1.74212,0,0.178538,0.967964,7.1
BTB 01410,1.00788,0.421377,0,0.28782,1.00788,3.12
BTB 01444,0.985625,-0.791719,0,0.47058,0.985625,5.41
BTB 01514,0.87674,-6.72431,0,4.82362e-11,0.87674,16.42
BTB 01585,1.00979,0.53905,0,0.595806,1.00979,3.02
