supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00215,0.436721,-10.8824,0,5.5282e-23,0.436721,65.25
AW 00436,0.273347,-13.9653,0,3.12405e-41,0.273347,80.29
AW 00625,0.0605487,-18.1348,0,0,0.0605487,100
AW 00698,0.934613,-1.32109,0,0.310904,0.934613,18.27
AW 00801,0.628289,-7.20506,0,2.40236e-10,0.628289,46.72
AW 00819,0.990639,-0.108841,0,0.430848,0.990639,12.54
AW 00844,0.732562,-5.21088,0,1.322e-05,0.732562,36.52
AW 00891,0.935297,-1.21315,0,0.244506,0.935297,17.23
AW 00925,1.00337,0.0452555,0,0.827692,1.00337,10.49
AW 00962,1.0234,0.417622,0,0.693704,1.0234,8.34
AW 01018,1.0518,0.960809,0,0.365686,1.0518,5.37
AW 01055,1.04257,0.774519,0,0.484504,1.04257,5.95
AW 01109,1.02768,0.521016,0,0.604212,1.02768,7.09
AW 01159,0.937488,-1.20323,0,0.230006,0.937488,15.59
AW 01219,0.991539,-0.16492,0,0.869076,0.991539,10.27
AW 01274,0.978054,-0.399786,0,0.697024,0.978054,11.57
BR 00009,0.840482,-3.04653,0,0.0024137,0.840482,24.85
BTB 00027,0.975693,-0.452739,0,0.654056,0.975693,11.91
BTB 00084,1.03083,0.581185,0,0.563224,1.03083,6.7
BTB 00241,0.841215,-3.0458,0,0.00236072,0.841215,25.05
BTB 00333,1.03045,0.587233,0,0.557456,1.03045,7.01
BTB 00374,1.03239,0.6069,0,0.548456,1.03239,6.9
BTB 00441,0.953392,-0.902307,0,0.369802,0.953392,14.52
BTB 00496,0.996473,-0.0743654,0,0.938888,0.996473,10.42
BTB 00554,0.750847,-4.81159,0,6.69402e-06,0.750847,33.9
BTB 00596,0.163157,-16.151,0,0,0.163157,90.05
BTB 00667,1.03041,0.568603,0,0.574244,1.03041,7.15
BTB 00694,0.242364,-14.6303,0,2.06809e-40,0.242364,82.47
BTB 00730,0.969875,-0.569763,0,0.570072,0.969875,12.92
BTB 00778,1.03271,0.623196,0,0.533416,1.03271,6.88
BTB 00828,0.993722,-0.140096,0,0.82478,0.993722,10.6
BTB 00881,0.943978,-1.0508,0,0.307966,0.943978,15.45
BTB 00992,0.981332,-0.369037,0,0.714414,0.981332,11.91
BTB 01022,0.439113,-10.8203,0,1.65453e-23,0.439113,63.77
BTB 01036,0.950879,-0.936968,0,0.349184,0.950879,15.11
BTB 01061,0.618174,-7.38661,0,3.00226e-11,0.618174,46.85
BTB 01088,1.06094,1.13736,0,0.281264,1.06094,4.9
BTB 01148,1.08646,1.66139,0,0.0973192,1.08646,2.68
BTB 01177,0.983623,-0.343708,0,0.74549,0.983623,12.53
BTB 01196,0.974955,-0.516625,0,0.635518,0.974955,13.44
BTB 01235,0.932979,-1.23872,0,0.271694,0.932979,17.58
BTB 01260,0.163677,-16.1509,0,0,0.163677,90.17
BTB 01296,1.0121,0.221922,0,0.825408,1.0121,10.04
BTB 01349,0.888651,-2.14411,0,0.033554,0.888651,21.7
BTB 01396,0.906753,-1.76307,0,0.0874704,0.906753,20.03
BTB 01410,1.07206,1.39679,0,0.170062,1.07206,4.43
BTB 01444,1.0157,0.256533,0,0.631268,1.0157,9.77
BTB 01514,0.724844,-5.33238,0,1.92319e-06,0.724844,37.26
BTB 01585,0.92189,-1.47267,0,0.154159,0.92189,18.73
BTB 01706,0.969143,-0.60156,0,0.550342,0.969143,14.23
BTB 01787,1.03519,0.69545,0,0.499442,1.03519,8.01
