supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00215,0.905139,-5.42775,0,1.55888e-06,0.905139,13.67
AW 00436,0.87739,-7.01887,0,2.75542e-09,0.87739,16.34
AW 00625,0.94258,-3.28262,0,0.00157632,0.94258,9.56
AW 00698,0.985304,-0.831791,0,0.44457,0.985304,5.05
AW 00801,0.960257,-2.27113,0,0.0247382,0.960257,7.45
AW 00819,1.02178,1.24492,0,0.215824,1.02178,1.02
AW 00844,0.963667,-2.08991,0,0.126645,0.963667,6.82
AW 00891,0.991314,-0.491812,0,0.632394,0.991314,3.84
AW 00925,0.996777,-0.187137,0,0.853938,0.996777,3.14
AW 00962,1.0055,0.319526,0,0.749698,1.0055,2.09
AW 01018,1.02125,1.20336,0,0.30228,1.02125,0.33
AW 01055,0.990189,-0.551044,0,0.631126,0.990189,3.36
AW 01109,1.00167,0.0923769,0,0.874812,1.00167,2.03
AW 01159,1.00255,0.149343,0,0.834338,1.00255,1.84
AW 01219,1.00641,0.353863,0,0.507426,1.00641,1.39
AW 01274,0.987364,-0.722198,0,0.470852,0.987364,3.32
BR 00009,0.941376,-3.33544,0,0.00354492,0.941376,8.06
BTB 00027,0.989696,-0.58487,0,0.565884,0.989696,3.08
BTB 00084,1.01342,0.759354,0,0.482018,1.01342,0.66
BTB 00241,0.990061,-0.559122,0,0.618202,0.990061,3.12
BTB 00333,1.00329,0.186265,0,0.852686,1.00329,1.81
BTB 00374,1.00418,0.246364,0,0.659176,1.00418,1.79
BTB 00441,0.993808,-0.365194,0,0.518394,0.993808,2.94
BTB 00496,0.981848,-1.02782,0,0.359418,0.981848,4.25
BTB 00554,1.00726,0.421764,0,0.699358,1.00726,1.72
BTB 00596,0.70911,-16.5922,0,0,0.70911,32.46
BTB 00667,1.00876,0.495671,0,0.632626,1.00876,1.74
BTB 00694,0.842576,-8.97798,0,8.63356e-18,0.842576,18.88
BTB 00730,1.00884,0.492687,0,0.534948,1.00884,1.89
BTB 00778,0.989668,-0.58623,0,0.566042,0.989668,3.93
BTB 00828,0.975418,-1.41244,0,0.218404,0.975418,5.45
BTB 00881,0.993748,-0.361755,0,0.72838,0.993748,3.63
BTB 00992,1.00295,0.179242,0,0.529296,1.00295,2.74
BTB 01022,0.821385,-10.1816,0,3.74838e-21,0.821385,21.35
BTB 01036,0.998179,-0.103497,0,0.917594,0.998179,3.32
BTB 01061,0.966904,-1.89576,0,0.077039,0.966904,6.57
BTB 01088,1.00159,0.0892184,0,0.929146,1.00159,3.09
BTB 01148,1.00788,0.441977,0,0.680416,1.00788,2.52
BTB 01177,1.00227,0.135289,0,0.73137,1.00227,3.18
BTB 01196,0.974227,-1.48279,0,0.227346,0.974227,6.1
BTB 01235,1.00351,0.199285,0,0.842434,1.00351,3.21
BTB 01260,0.224887,-44.2694,0,0,0.224887,82.46
BTB 01296,1.01027,0.577233,0,0.616586,1.01027,2.69
BTB 01349,0.974486,-1.47336,0,0.324734,0.974486,6.4
BTB 01396,0.991255,-0.499801,0,0.617454,0.991255,4.78
BTB 01410,0.993556,-0.37441,0,0.719218,0.993556,4.62
BTB 01444,0.987768,-0.697323,0,0.486166,0.987768,5.3
BTB 01514,0.893652,-6.08178,0,3.07578e-08,0.893652,14.89
BTB 01585,0.970988,-1.6652,0,0.143618,0.970988,7.13
BTB 01706,0.974557,-1.45242,0,0.146395,0.974557,6.83
BTB 01787,1.01136,0.646522,0,0.52126,1.01136,3.15
BTB 01869,0.98688,-0.753742,0,0.46913,0.98688,5.64
BTB 01909,1.00119,0.0655802,0,0.901532,1.00119,4.19
BTB 01965,0.997782,-0.122257,0,0.798942,0.997782,4.5
BTB 02003,1.00254,0.141622,0,0.843344,1.00254,3.95
BTB 02050,0.983711,-0.925183,0,0.372446,0.983711,5.77
BTB 02082,0.983288,-0.957959,0,0.351338,0.983288,5.71
BTB 02134,0.987672,-0.688753,0,0.483462,0.987672,5.17
BTB 02164,0.0525235,-54.0993,0,0,0.0525235,100
BTB 02191,0.997796,-0.130955,0,0.765038,0.997796,3.93
BTB 02242,0.996597,-0.183281,0,0.526282,0.996597,3.97
BTB 02289,0.988105,-0.682583,0,0.504528,0.988105,4.75
BTB 02335,0.990571,-0.55031,0,0.540262,0.990571,4.44
BTB 02361,1.01167,0.65865,0,0.547564,1.01167,2.23
BTB 02389,1.01269,0.721893,0,0.47423,1.01269,2.08
BTB 02411,0.994492,-0.312372,0,0.756472,0.994492,3.9
BTB 02461,1.01006,0.573446,0,0.566586,1.01006,2.28
