supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00215,0.175119,-10.5915,0,3.5208e-24,0.175119,89.41
AW 00436,0.165712,-10.7109,0,7.35394e-25,0.165712,90.27
AW 00625,0.0680257,-11.9621,0,6.10474e-31,0.0680257,99.77
AW 00698,0.870913,-1.65701,0,0.0982766,0.870913,20.98
AW 00801,0.421807,-7.41837,0,2.74844e-13,0.421807,64.93
AW 00819,0.95661,-0.552101,0,0.583488,0.95661,12.1
AW 00844,0.457065,-6.96757,0,8.48292e-12,0.457065,61.26
AW 00891,0.994317,-0.0742397,0,0.940868,0.994317,7.99
AW 00925,1.05047,0.634892,0,0.549814,1.05047,2.26
AW 00962,1.02568,0.333708,0,0.740712,1.02568,4.55
AW 01018,1.02895,0.366075,0,0.717166,1.02895,4.07
AW 01055,1.01129,0.134717,0,0.774262,1.01129,5.65
AW 01109,1.04246,0.549911,0,0.587242,1.04246,2.34
AW 01159,0.942468,-0.734017,0,0.46514,0.942468,12.43
AW 01219,1.03324,0.44013,0,0.68518,1.03324,3.56
AW 01274,0.953419,-0.593351,0,0.555242,0.953419,11.74
BR 00009,1.00724,0.0848451,0,0.81998,1.00724,6.69
BTB 00027,0.88008,-1.54809,0,0.13998,0.88008,19.54
BTB 00084,1.01663,0.215619,0,0.8297,1.01663,6.32
BTB 00241,0.878765,-1.55985,0,0.123983,0.878765,20.11
BTB 00333,0.939452,-0.783318,0,0.443242,0.939452,14.32
BTB 00374,0.987494,-0.156198,0,0.876736,0.987494,9.7
BTB 00441,0.952428,-0.604056,0,0.551256,0.952428,13.15
BTB 00496,0.961738,-0.493149,0,0.62296,0.961738,12.22
BTB 00554,0.728925,-3.48214,0,0.000650224,0.728925,34.96
BTB 00596,0.111959,-11.3987,0,3.2627e-28,0.111959,95.44
BTB 00667,1.00832,0.111537,0,0.88868,1.00832,7.27
BTB 00694,0.197816,-10.2963,0,2.02644e-23,0.197816,86.95
BTB 00730,0.981574,-0.235601,0,0.813768,0.981574,9.62
BTB 00778,1.05037,0.646357,0,0.518126,1.05037,2.75
BTB 00828,0.950415,-0.627607,0,0.54106,0.950415,12.59
BTB 00881,1.01793,0.229105,0,0.81883,1.01793,5.93
BTB 00992,1.03386,0.422661,0,0.688774,1.03386,4.39
BTB 01022,0.330806,-8.60181,0,1.25143e-15,0.330806,73.8
BTB 01036,0.991949,-0.101564,0,0.919194,0.991949,8.67
BTB 01061,0.817632,-2.33498,0,0.019905,0.817632,25.95
BTB 01088,0.941511,-0.75224,0,0.45309,0.941511,13.89
BTB 01148,1.04836,0.627454,0,0.539888,1.04836,3.54
BTB 01177,0.891301,-1.38415,0,0.181071,0.891301,19.1
BTB 01196,0.973953,-0.337923,0,0.737148,0.973953,11.12
BTB 01235,0.948171,-0.672602,0,0.513132,0.948171,13.73
BTB 01260,0.126336,-11.2202,0,1.40187e-26,0.126336,94.08
BTB 01296,1.06766,0.866238,0,0.386596,1.06766,2.06
BTB 01349,0.970807,-0.371443,0,0.711186,0.970807,11.47
BTB 01396,0.894414,-1.34139,0,0.20571,0.894414,18.83
BTB 01410,1.0077,0.100939,0,0.919758,1.0077,7.58
BTB 01444,0.989132,-0.132786,0,0.852104,0.989132,9.22
BTB 01514,0.870243,-1.65478,0,0.108018,0.870243,20.74
BTB 01585,1.03062,0.383796,0,0.710026,1.03062,4.79
BTB 01706,0.947995,-0.670558,0,0.505248,0.947995,12.79
BTB 01787,1.06126,0.78936,0,0.433194,1.06126,1.42
BTB 01869,1.01387,0.181694,0,0.85671,1.01387,5.95
BTB 01909,0.935639,-0.820947,0,0.41485,0.935639,13.56
BTB 01965,0.903007,-1.24377,0,0.213628,0.903007,16.65
BTB 02003,1.02924,0.384273,0,0.711128,1.02924,3.91
BTB 02050,0.985637,-0.177644,0,0.854332,0.985637,8.07
BTB 02082,0.977609,-0.298859,0,0.743932,0.977609,8.73
BTB 02134,0.9997,-0.00568957,0,0.957476,0.9997,6.36
BTB 02164,0.0641492,-12.0118,0,3.4326e-31,0.0641492,100
BTB 02191,0.954326,-0.586709,0,0.557656,0.954326,10.68
BTB 02242,1.00137,0.0232355,0,0.870988,1.00137,5.85
BTB 02289,0.625729,-4.78989,0,2.71384e-06,0.625729,43.5
BTB 02335,0.993398,-0.0817855,0,0.935034,0.993398,6.48
BTB 02361,0.963289,-0.46562,0,0.644874,0.963289,9.52
BTB 02389,1.01343,0.165345,0,0.846088,1.01343,4.67
BTB 02411,1.00573,0.0703558,0,0.930012,1.00573,5.79
BTB 02461,0.98029,-0.252598,0,0.80058,0.98029,8.84
BTB 02498,0.999161,-0.0114521,0,0.98395,0.999161,7.63
BTB 02544,1.0111,0.139075,0,0.889864,1.0111,7.66
BTB 02581,1.02612,0.330119,0,0.743608,1.02612,7.48
BTB 02635,1.03676,0.473808,0,0.636612,1.03676,7.71
BTB 02660,0.758973,-3.08169,0,0.00262048,0.758973,35.05
BTB 02678,0.635336,-4.69766,0,2.83328e-05,0.635336,47.68
BTB 02719,1.06302,0.79126,0,0.47887,1.06302,9.42
BTB 02761,0.941752,-0.750071,0,0.45541,0.941752,21.62
BTB 02768,0.875445,-1.60263,0,0.114381,0.875445,28.78
BTB 02848,1.11066,1.40905,0,0.174143,1.11066,9.51
BTB 02874,0.836138,-2.11091,0,0.0431466,0.836138,34.64
BTB 02933,0.292587,-9.08142,0,1.81855e-18,0.292587,81.72
BTB 03010,0.872166,-1.6452,0,0.106039,0.872166,34.02
BTB 03055,0.81462,-2.40049,0,0.0453682,0.81462,30.84
BTB 03059,1.10947,1.4038,0,0.160425,1.10947,2.78
BTB 03107,1.10156,1.30279,0,0.192834,1.10156,3.11
BTB 03148,0.766046,-3.00633,0,0.00326006,0.766046,34.61
BTB 03234,1.00106,0.0245752,0,0.750356,1.00106,11.9
BTB 03320,0.502138,-6.39349,0,7.10922e-10,0.502138,59.34
BTB 03415,0.993619,-0.0733608,0,0.808508,0.993619,11.81
BTB 03438,1.01192,0.163766,0,0.756314,1.01192,9.64
BTB 03489,0.978685,-0.284035,0,0.764744,0.978685,12.4
BTB 03563,0.496428,-6.47769,0,2.9117e-09,0.496428,59.06
BTB 03586,0.888855,-1.43347,0,0.164782,0.888855,20.44
BTB 03653,0.99628,-0.0504571,0,0.936268,0.99628,9.58
BTB 03699,0.976855,-0.297415,0,0.7662,0.976855,11.24
BTB 03791,0.451771,-7.04348,0,2.37266e-11,0.451771,62.9
