supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.866674,-6.29562,0,1.2826e-09,0.866674,12.6
SPE01500764,0.99602,-0.189464,0,0.849732,0.99602,-1.36
SPE01500779,1.00497,0.231826,0,0.816688,1.00497,-2.29
SPE01500833,1.00698,0.327419,0,0.743362,1.00698,-2.47
SPE01500867,0.985571,-0.678061,0,0.503134,0.985571,-0.12
SPE01500872,0.990871,-0.435035,0,0.665236,0.990871,-0.66
SPE01500901,0.989704,-0.476476,0,0.662266,0.989704,-0.49
SPE01500906,0.793292,-9.76763,0,1.99751e-19,0.793292,20.74
SPE01500525,1.02029,0.959167,0,0.345268,1.02029,-3.7
SPE01500984,0.985223,-0.695061,0,0.491064,0.985223,0.06
SPE01501017,1.00697,0.317304,0,0.735426,1.00697,-2.24
SPE01501126,1.01299,0.609725,0,0.542122,1.01299,-2.86
SPE01501130,0.987799,-0.592576,0,0.617086,0.987799,-0.13
SPE01501172,0.987298,-0.59447,0,0.56381,0.987298,-0.06
SPE01501181,0.979133,-0.987889,0,0.32497,0.979133,0.82
SPE01501204,0.657182,-16.191,0,0,0.657182,35.53
SPE01502103,0.92572,-3.5215,0,0.002352,0.92572,6.55
SPE01502128,1.02774,1.30173,0,0.19809,1.02774,-4.47
SPE01502155,1.0177,0.831337,0,0.406008,1.0177,-3.41
SPE01502237,1.00169,0.0689481,0,0.732884,1.00169,-1.72
SPE01502252,0.992405,-0.363382,0,0.718576,0.992405,-0.76
SPE01503044,0.982737,-0.821302,0,0.422054,0.982737,0.22
SPE01503073,0.977634,-1.04143,0,0.373248,0.977634,0.7
SPE01505299,0.964896,-1.65692,0,0.0975402,0.964896,2.35
SPE01503253,0.0607901,-44.3062,0,0,0.0607901,99.83
SPE01503341,0.061848,-44.2539,0,0,0.061848,99.72
SPE01503626,1.02039,0.96398,0,0.343334,1.02039,-4.31
SPE01503636,1.02044,0.949145,0,0.396116,1.02044,-4.25
SPE01503722,0.90136,-4.65895,0,6.19386e-06,0.90136,8.55
SPE01503821,0.981811,-0.84607,0,0.456858,0.981811,-0.2
SPE01503904,0.607354,-18.536,0,0,0.607354,40.44
SPE01503922,0.972757,-1.2734,0,0.256576,0.972757,0.74
SPE01500699,1.02451,1.15218,0,0.249846,1.02451,-4.96
SPE01502234,1.02844,1.33495,0,0.186523,1.02844,-5.41
SPE01503982,1.01429,0.667499,0,0.50962,1.01429,-3.87
SPE01504002,0.328301,-31.6822,0,0,0.328301,70.72
SPE01504025,0.98505,-0.711936,0,0.485234,0.98505,-0.69
SPE01504142,0.981317,-0.888871,0,0.387336,0.981317,-0.29
SPE01504187,0.98486,-0.699432,0,0.56336,0.98486,-0.67
SPE01505265,1.00034,0.0240887,0,0.698156,1.00034,-2.29
SPE01504269,1.01118,0.52452,0,0.600018,1.01118,-3.55
SPE01504272,0.975012,-1.17508,0,0.248162,0.975012,0.39
SPE01504410,1.01509,0.707215,0,0.480586,1.01509,-3.97
SPE01504604,1.01288,0.598028,0,0.56536,1.01288,-3.72
SPE01505200,0.978343,-1.03926,0,0.388878,0.978343,0.04
SPE01505201,0.983907,-0.777866,0,0.529404,0.983907,-0.55
SPE01505203,0.990686,-0.443649,0,0.658902,0.990686,-1.27
SPE01505205,0.987777,-0.554733,0,0.436154,0.987777,-0.92
SPE01505209,1.00941,0.449767,0,0.6692,1.00941,-3.26
SPE01505210,0.997474,-0.111784,0,0.721696,0.997474,-1.94
SPE01505212,1.01767,0.832669,0,0.405806,1.01767,-4.1
SPE01505213,1.02001,0.94763,0,0.358396,1.02001,-4.3
SPE01505222,0.990557,-0.456552,0,0.668992,0.990557,-1.07
SPE01505230,0.982849,-0.827845,0,0.504202,0.982849,-0.18
SPE01505244,0.999433,-0.0350227,0,0.808834,0.999433,-1.91
SPE01505245,0.95603,-2.07258,0,0.038884,0.95603,2.85
SPE01505248,0.969243,-1.43902,0,0.199333,0.969243,1.49
SPE01505249,1.02208,1.03701,0,0.300736,1.02208,-4.17
SPE01505256,0.999617,-0.0207255,0,0.979028,0.999617,-1.67
SPE01505261,1.00537,0.258567,0,0.786532,1.00537,-2.24
SPE01505262,0.775825,-10.5987,0,1.35764e-21,0.775825,22.59
SPE01505263,0.996678,-0.163537,0,0.851386,0.996678,-1.24
SPE01505264,1.00017,0.00668327,0,0.984094,1.00017,-1.63
SPE01505314,0.955011,-2.12045,0,0.0346896,0.955011,3.22
SPE01500663,0.961103,-1.83714,0,0.0666638,0.961103,2.17
SPE01505215,1.00269,0.12894,0,0.87601,1.00269,-2.03
SPE01505267,0.980269,-0.9244,0,0.376154,0.980269,0.45
SPE01505270,1.00129,0.0551428,0,0.88226,1.00129,-1.94
SPE01505271,1.00465,0.20103,0,0.538786,1.00465,-2.37
SPE01505281,1.00841,0.403311,0,0.70448,1.00841,-2.84
