supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.974698,-1.29903,0,0.196605,0.974698,-0.32
SPE01500764,0.995125,-0.256669,0,0.798694,0.995125,-2.7
SPE01500779,1.00206,0.100463,0,0.50614,1.00206,-3.61
SPE01500833,1.00962,0.483267,0,0.628912,1.00962,-4.58
SPE01500867,0.990332,-0.500399,0,0.618838,0.990332,-2.6
SPE01500872,0.987968,-0.621575,0,0.534442,0.987968,-2.48
SPE01500901,0.977505,-1.1555,0,0.24817,0.977505,-1.47
SPE01500906,1.00252,0.120661,0,0.88078,1.00252,-4.37
SPE01500525,1.00958,0.482368,0,0.640366,1.00958,-5.44
SPE01500984,0.972148,-1.42815,0,0.158256,0.972148,-1.16
SPE01501017,1.0033,0.161754,0,0.844938,1.0033,-4.88
SPE01501126,1.00789,0.394391,0,0.6965,1.00789,-5.52
SPE01501130,0.979775,-1.04,0,0.301602,0.979775,-2.53
SPE01501172,0.987528,-0.644431,0,0.52307,0.987528,-3.47
SPE01501181,0.981714,-0.940956,0,0.348744,0.981714,-2.88
SPE01501204,0.837909,-8.27999,0,5.82968e-16,0.837909,13.06
SPE01502103,1.00527,0.262213,0,0.796894,1.00527,-5.68
SPE01502128,1.01994,1.01028,0,0.312366,1.01994,-7.38
SPE01502155,1.0189,0.958849,0,0.390098,1.0189,-7.34
SPE01502237,0.992821,-0.37299,0,0.715394,0.992821,-4.49
SPE01502252,0.982582,-0.896426,0,0.370244,0.982582,-3.4
SPE01503044,0.966614,-1.71161,0,0.0895808,0.966614,-1.66
SPE01503073,0.970393,-1.51789,0,0.131192,0.970393,-2.13
SPE01505299,0.976815,-1.19081,0,0.23446,0.976815,-2.45
SPE01503253,0.0558075,-48.1904,0,0,0.0558075,100.04
SPE01503341,0.0593782,-48.008,0,0,0.0593782,99.63
SPE01503626,1.01701,0.861999,0,0.416082,1.01701,-7.53
SPE01503636,1.02559,1.29897,0,0.200524,1.02559,-8.45
SPE01503722,0.98429,-0.808407,0,0.426598,0.98429,-3.9
SPE01503821,0.992363,-0.397081,0,0.691398,0.992363,-4.82
SPE01503904,0.89634,-5.29737,0,1.19931e-07,0.89634,5.91
SPE01503922,0.96388,-1.8513,0,0.0679516,0.96388,-1.68
SPE01500699,1.01536,0.776198,0,0.4383,1.01536,-7.53
SPE01502234,1.02418,1.22707,0,0.225624,1.02418,-8.55
SPE01503982,1.01361,0.688074,0,0.509576,1.01361,-7.37
SPE01504002,0.757196,-12.3995,0,3.95686e-33,0.757196,21.4
SPE01504025,0.993607,-0.335087,0,0.732912,0.993607,-5.07
SPE01504142,0.958067,-2.14443,0,0.0836104,0.958067,-1.06
SPE01504187,0.961184,-1.98825,0,0.046784,0.961184,-1.38
SPE01505265,0.97897,-1.07928,0,0.30898,0.97897,-3.42
SPE01504269,1.01385,0.698791,0,0.487026,1.01385,-7.27
SPE01504272,0.981405,-0.9565,0,0.339096,0.981405,-3.64
SPE01504410,1.02211,1.12283,0,0.316442,1.02211,-8.21
SPE01504604,1.02109,1.06936,0,0.295906,1.02109,-8.11
SPE01505200,0.977284,-1.16603,0,0.249268,0.977284,-3.22
SPE01505201,0.989263,-0.556047,0,0.584034,0.989263,-4.57
SPE01505203,0.965002,-1.79329,0,0.0730084,0.965002,-1.86
SPE01505205,0.960832,-2.00752,0,0.0576898,0.960832,-1.41
SPE01505209,0.98629,-0.707056,0,0.479532,0.98629,-4.29
SPE01505210,1.00483,0.240066,0,0.781332,1.00483,-6.41
SPE01505212,1.01501,0.758237,0,0.45058,1.01501,-7.59
SPE01505213,1.02007,1.01767,0,0.330126,1.02007,-8.21
SPE01505222,1.00346,0.168167,0,0.794346,1.00346,-6.4
SPE01505230,0.991284,-0.451349,0,0.660336,0.991284,-5.09
SPE01505244,0.967513,-1.66496,0,0.0970684,0.967513,-2.46
SPE01505245,0.952244,-2.44315,0,0.0203962,0.952244,-0.8
SPE01505248,0.971485,-1.46204,0,0.147723,0.971485,-3
SPE01505249,1.00324,0.159445,0,0.691556,1.00324,-6.6
SPE01505256,1.01394,0.7035,0,0.482844,1.01394,-7.83
SPE01505261,1.01418,0.716446,0,0.47744,1.01418,-7.88
SPE01505262,1.01831,0.927643,0,0.357414,1.01831,-8.37
SPE01505263,0.988905,-0.576131,0,0.577344,0.988905,-5.08
SPE01505264,0.977813,-1.13831,0,0.284272,0.977813,-3.85
SPE01505314,0.965012,-1.79291,0,0.072988,0.965012,-2.44
SPE01500663,0.963634,-1.8611,0,0.103383,0.963634,-1.78
SPE01505215,1.00725,0.362047,0,0.720058,1.00725,-7.21
SPE01505267,0.949138,-2.60319,0,0.00936244,0.949138,-0.67
SPE01505270,1.02145,1.0897,0,0.372546,1.02145,-8.78
SPE01505271,1.00196,0.0919578,0,0.866626,1.00196,-6.52
SPE01505281,1.01561,0.788506,0,0.433608,1.01561,-7.96
SPE01505294,0.998477,-0.0840543,0,0.770422,0.998477,-5.93
SPE01505296,0.985875,-0.727528,0,0.474462,0.985875,-4.4
SPE01500523,0.972351,-1.41778,0,0.161126,0.972351,-1.71
SPE01505304,0.977639,-1.14937,0,0.262068,0.977639,-3.23
SPE01505305,1.00865,0.434542,0,0.665616,1.00865,-6.57
SPE01505306,1.02437,1.2349,0,0.247626,1.02437,-8.19
SPE01505308,1.08994,4.58116,0,7.56298e-06,1.08994,-15.38
SPE01505309,0.0635189,-47.7964,0,0,0.0635189,99.19
SPE01505310,1.00484,0.238639,0,0.816112,1.00484,-5.6
SPE01505312,0.984854,-0.78038,0,0.4352,0.984854,-3.24
SPE01500101,1.01054,0.528731,0,0.640396,1.01054,-4.5
SPE01500391,1.00559,0.276237,0,0.736938,1.00559,-4.35
SPE01500408,0.966539,-1.71553,0,0.0898354,0.966539,0.7
SPE01500497,0.992581,-0.385513,0,0.702566,0.992581,-3.12
SPE01500532,0.956978,-2.20556,0,0.0680296,0.956978,0.44
SPE01500556,1.02212,1.1206,0,0.277668,1.02212,-5.97
SPE01503242,0.946196,-2.75651,0,0.0313586,0.946196,2.75
SPE01504184,0.978263,-1.11569,0,0.280674,0.978263,-1.73
SPE01500322,0.971489,-1.46189,0,0.146828,0.971489,-1.35
SPE01500395,0.99718,-0.151574,0,0.879754,0.99718,-4.84
SPE01500434,0.996756,-0.173947,0,0.807342,0.996756,-4.5
SPE01500450,1.00395,0.193702,0,0.84842,1.00395,-5.68
SPE01500536,1.0089,0.44544,0,0.676306,1.0089,-5.67
SPE01502013,0.990655,-0.485381,0,0.64099,0.990655,-4.27
SPE01503223,0.134034,-44.1979,0,0,0.134034,91.31
SPE01503816,1.01228,0.618199,0,0.547024,1.01228,-6.38
SPE00330082,0.979097,-1.07503,0,0.295678,0.979097,-3.16
SPE01500102,1.01527,0.771248,0,0.4466,1.01527,-7.28
SPE01500168,1.0172,0.870048,0,0.387042,1.0172,-7.52
SPE01500399,0.996179,-0.201627,0,0.839116,0.996179,-5.17
SPE01500467,0.978087,-1.12355,0,0.331096,0.978087,-3.12
SPE01500538,0.99403,-0.312024,0,0.755096,0.99403,-4.85
SPE01500548,0.979818,-1.03533,0,0.36345,0.979818,-3.2
SPE01500566,0.981839,-0.932767,0,0.383178,0.981839,-3.5
SPE00330002,0.963135,-1.88823,0,0.0607184,0.963135,-1.7
SPE01500135,0.995863,-0.218526,0,0.827026,0.995863,-5.03
SPE01500404,0.995118,-0.256703,0,0.797558,0.995118,-5.1
SPE01500502,0.988419,-0.59894,0,0.552766,0.988419,-4.4
SPE01500504,0.981113,-0.970211,0,0.348812,0.981113,-3.37
SPE01500551,1.00952,0.477208,0,0.648484,1.00952,-6.59
