supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.981059,-0.879455,0,0.379342,0.981059,-0.63
SPE01500764,0.995633,-0.201849,0,0.842746,0.995633,-2.32
SPE01500779,1.01062,0.489601,0,0.625368,1.01062,-4.04
SPE01500833,1.01942,0.893167,0,0.37471,1.01942,-5.09
SPE01500867,1.00143,0.0607369,0,0.893838,1.00143,-3.21
SPE01500872,0.982515,-0.813915,0,0.419928,0.982515,-1.22
SPE01500901,0.982849,-0.794708,0,0.428676,0.982849,-1.35
SPE01500906,0.923731,-3.524,0,0.000905952,0.923731,5.06
SPE01500525,1.01308,0.604653,0,0.550232,1.01308,-4.92
SPE01500984,0.985628,-0.671448,0,0.512714,0.985628,-1.81
SPE01501017,1.0129,0.589718,0,0.56774,1.0129,-4.97
SPE01501126,1.02085,0.958949,0,0.343012,1.02085,-5.92
SPE01501130,0.992516,-0.352044,0,0.728932,0.992516,-2.87
SPE01501172,0.990366,-0.444681,0,0.6652,0.990366,-2.67
SPE01501181,0.985067,-0.697435,0,0.496872,0.985067,-2.12
SPE01501204,0.748722,-11.6177,0,2.37226e-29,0.748722,23.93
SPE01502103,0.982253,-0.829155,0,0.430874,0.982253,-1.88
SPE01502128,1.02378,1.09316,0,0.287498,1.02378,-6.49
SPE01502155,1.02331,1.07407,0,0.28423,1.02331,-6.46
SPE01502237,1.00022,0.00860898,0,0.931406,1.00022,-3.93
SPE01502252,0.995125,-0.226297,0,0.822428,0.995125,-3.39
SPE01503044,0.981555,-0.858317,0,0.395028,0.981555,-1.93
SPE01503073,0.957349,-1.97501,0,0.0484098,0.957349,0.68
SPE01505299,0.999961,-0.00165915,0,0.85282,0.999961,-3.81
SPE01503253,0.0588376,-43.5445,0,0,0.0588376,100.01
SPE01503341,0.0595947,-43.5089,0,0,0.0595947,99.92
SPE01503626,1.02463,1.13276,0,0.2666,1.02463,-7.11
SPE01503636,1.02955,1.3639,0,0.172602,1.02955,-7.58
SPE01503722,0.90767,-4.27605,0,2.41696e-05,0.90767,5.8
SPE01503821,0.990644,-0.433445,0,0.667538,0.990644,-3.46
SPE01503904,0.783895,-10.0096,0,6.3371e-21,0.783895,19.46
SPE01503922,0.944664,-2.56003,0,0.0111904,0.944664,1.57
SPE01500699,1.02467,1.13943,0,0.255862,1.02467,-7.43
SPE01502234,1.0293,1.35116,0,0.177645,1.0293,-7.98
SPE01503982,1.02764,1.27949,0,0.214374,1.02764,-7.8
SPE01504002,0.279125,-33.3544,0,0,0.279125,75.47
SPE01504025,0.999496,-0.0237349,0,0.878634,0.999496,-4.63
SPE01504142,0.9792,-0.963527,0,0.337152,0.9792,-2.33
SPE01504187,0.947439,-2.42633,0,0.0265458,0.947439,1.23
SPE01505265,0.997527,-0.115817,0,0.90818,0.997527,-4.36
SPE01504269,1.00719,0.327759,0,0.74425,1.00719,-5.34
SPE01504272,0.982029,-0.836996,0,0.409482,0.982029,-2.59
SPE01504410,1.01951,0.8971,0,0.374466,1.01951,-6.65
SPE01504604,1.01223,0.557951,0,0.591704,1.01223,-5.79
SPE01505200,0.988817,-0.526221,0,0.62214,0.988817,-3.14
SPE01505201,0.997642,-0.111455,0,0.911308,0.997642,-4.05
SPE01505203,0.978672,-0.989145,0,0.322656,0.978672,-1.9
SPE01505205,0.961493,-1.7736,0,0.13333,0.961493,0.07
SPE01505209,1.00035,0.0118782,0,0.932268,1.00035,-4.19
SPE01505210,1.00654,0.302553,0,0.76652,1.00654,-4.81
SPE01505212,1.02281,1.04983,0,0.29755,1.02281,-6.55
SPE01505213,1.02269,1.05346,0,0.333052,1.02269,-6.45
SPE01505222,0.992475,-0.354292,0,0.728324,0.992475,-3.05
SPE01505230,0.999529,-0.0287331,0,0.811358,0.999529,-3.75
SPE01505244,0.986813,-0.609533,0,0.550168,0.986813,-2.26
SPE01505245,0.95598,-2.03869,0,0.0415048,0.95598,1.23
SPE01505248,0.97933,-0.964802,0,0.363538,0.97933,-1.26
SPE01505249,1.00909,0.413321,0,0.689002,1.00909,-4.43
SPE01505256,1.00787,0.359298,0,0.721092,1.00787,-4.2
SPE01505261,1.01297,0.599162,0,0.552732,1.01297,-4.67
SPE01505262,0.858391,-6.56464,0,2.68912e-09,0.858391,12.35
SPE01505263,0.996826,-0.147692,0,0.88348,0.996826,-2.79
SPE01505264,0.997089,-0.136489,0,0.891666,0.997089,-2.8
SPE01505314,0.965527,-1.5947,0,0.11545,0.965527,0.64
SPE01500663,0.963558,-1.67915,0,0.144016,0.963558,0.56
SPE01505215,0.987551,-0.57881,0,0.562722,0.987551,-1.86
SPE01505267,0.978621,-0.995327,0,0.330578,0.978621,-0.83
SPE01505270,1.00804,0.363193,0,0.733144,1.00804,-4.17
SPE01505271,1.01297,0.5938,0,0.558614,1.01297,-4.76
SPE01505281,1.00965,0.449628,0,0.675214,1.00965,-4.45
SPE01505294,0.987233,-0.598593,0,0.568308,0.987233,-2.02
SPE01505296,0.992908,-0.33111,0,0.740568,0.992908,-2.66
SPE01500523,0.964687,-1.63253,0,0.111102,0.964687,0.27
SPE01505304,0.994807,-0.245938,0,0.80844,0.994807,-2.91
SPE01505305,1.02276,1.05534,0,0.3178,1.02276,-6
SPE01505306,1.02329,1.07559,0,0.28403,1.02329,-6.08
SPE01505308,1.07164,3.31764,0,0.00199572,1.07164,-11.42
SPE01505309,0.0697277,-43.0401,0,0,0.0697277,98.85
SPE01505310,1.01114,0.512066,0,0.608606,1.01114,-4.81
SPE01505312,0.988211,-0.5541,0,0.602602,0.988211,-2.32
SPE01500101,1.02196,1.01603,0,0.318362,1.02196,-5.85
SPE01500391,1.00046,0.0245552,0,0.71517,1.00046,-3.61
SPE01500408,0.977351,-1.05731,0,0.329898,0.977351,-0.82
SPE01500497,0.994146,-0.268015,0,0.740886,0.994146,-2.98
SPE01500532,0.986628,-0.614659,0,0.571444,0.986628,-2.3
SPE01500556,1.01791,0.82282,0,0.415728,1.01791,-5.47
SPE01503242,0.966961,-1.5365,0,0.144503,0.966961,0.26
SPE01504184,0.995252,-0.229339,0,0.690868,0.995252,-3.17
SPE01500322,0.968376,-1.47678,0,0.226252,0.968376,-0.35
SPE01500395,0.987553,-0.57428,0,0.57905,0.987553,-2.73
SPE01500434,0.995878,-0.196628,0,0.846624,0.995878,-3.54
SPE01500450,0.940291,-2.762,0,0.00632806,0.940291,2.46
SPE01500536,1.00934,0.433105,0,0.67336,1.00934,-4.96
SPE01502013,0.985063,-0.69356,0,0.48801,0.985063,-2.53
SPE01503223,0.126931,-40.3946,0,0,0.126931,92.56
SPE01503816,1.00984,0.441616,0,0.566808,1.00984,-5.15
SPE00330082,0.973219,-1.24139,0,0.214496,0.973219,-1.53
SPE01500102,1.00977,0.446029,0,0.660056,1.00977,-5.45
SPE01500168,1.01989,0.913682,0,0.369756,1.01989,-6.63
SPE01500399,0.998187,-0.0817794,0,0.76373,0.998187,-4.26
SPE01500467,0.996469,-0.162209,0,0.80987,0.996469,-4.09
SPE01500538,1.00434,0.188145,0,0.561766,1.00434,-4.79
SPE01500548,0.982471,-0.809991,0,0.429292,0.982471,-2.32
SPE01500566,0.995293,-0.218701,0,0.828064,0.995293,-3.98
SPE00330002,0.961501,-1.78422,0,0.0745974,0.961501,-0.2
SPE01500135,0.997241,-0.132574,0,0.895288,0.997241,-4.2
SPE01500404,0.996885,-0.153129,0,0.7169,0.996885,-4.15
SPE01500502,0.993973,-0.276789,0,0.775358,0.993973,-3.83
SPE01500504,0.976401,-1.0992,0,0.291306,0.976401,-1.88
SPE01500551,1.01279,0.581143,0,0.6006,1.01279,-5.92
SPE01500578,1.00281,0.134691,0,0.6521,1.00281,-4.82
SPE01500592,0.977335,-1.05122,0,0.29316,0.977335,-1.97
SPE01500264,1.0312,1.44289,0,0.154455,1.0312,-7.87
SPE01500300,0.982859,-0.799362,0,0.434898,0.982859,-2.45
SPE01500381,0.919844,-3.7114,0,0.000213236,0.919844,4.65
SPE01500503,1.00003,0.0047959,0,0.71135,1.00003,-4.3
SPE01500539,1.00718,0.323665,0,0.754302,1.00718,-5.25
SPE01500553,1.02597,1.19862,0,0.230908,1.02597,-7.32
SPE01501188,0.0841852,-42.3658,0,0,0.0841852,97.3
SPE01503923,0.934763,-3.03055,0,0.00811486,0.934763,2.79
SPE01500115,0.97855,-0.995835,0,0.319872,0.97855,-1.11
SPE01500284,1.0074,0.339234,0,0.73447,1.0074,-4.77
SPE01500354,1.0083,0.379544,0,0.705196,1.0083,-4.76
SPE01500483,0.986163,-0.652429,0,0.578104,0.986163,-2.2
SPE01500507,0.986667,-0.619508,0,0.535594,0.986667,-2.13
SPE01500668,0.985969,-0.641653,0,0.594414,0.985969,-1.8
SPE01502113,0.994847,-0.25066,0,0.585466,0.994847,-3.47
SPE01503422,0.875582,-5.76077,0,1.47388e-08,0.875582,9.66
SPE01500137,0.984371,-0.728872,0,0.473566,0.984371,-1.49
SPE01500216,1.00322,0.145931,0,0.88398,1.00322,-3.3
SPE01500267,1.01451,0.669484,0,0.504498,1.01451,-4.43
SPE01500364,0.970728,-1.36162,0,0.190993,0.970728,0.67
SPE01500518,1.0086,0.393052,0,0.695572,1.0086,-3.62
SPE01500521,0.959863,-1.85705,0,0.0658134,0.959863,1.78
