supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.962628,-1.73443,0,0.0839366,0.962628,1.05
SPE01500764,0.996779,-0.156712,0,0.876914,0.996779,-2.89
SPE01500779,1.00539,0.247959,0,0.804376,1.00539,-4.02
SPE01500833,1.02108,0.981726,0,0.34262,1.02108,-5.93
SPE01500867,0.990217,-0.457856,0,0.647226,0.990217,-2.71
SPE01500872,0.967274,-1.51025,0,0.162733,0.967274,-0.35
SPE01500901,0.973881,-1.20593,0,0.252622,0.973881,-1.26
SPE01500906,1.00828,0.390473,0,0.715012,1.00828,-5.25
SPE01500525,1.0157,0.716366,0,0.4973,1.0157,-6.43
SPE01500984,0.965393,-1.60321,0,0.115631,0.965393,-0.66
SPE01501017,1.01405,0.638238,0,0.551726,1.01405,-6.42
SPE01501126,1.00538,0.24473,0,0.80694,1.00538,-5.61
SPE01501130,0.994099,-0.277707,0,0.781334,0.994099,-4.5
SPE01501172,0.976062,-1.10652,0,0.284942,0.976062,-2.57
SPE01501181,0.977156,-1.0666,0,0.290934,0.977156,-2.78
SPE01501204,0.799327,-9.30392,0,9.14076e-20,0.799327,17.1
SPE01502103,0.991195,-0.411937,0,0.680406,0.991195,-4.54
SPE01502128,1.02306,1.06859,0,0.286606,1.02306,-8.17
SPE01502155,1.00827,0.373675,0,0.717792,1.00827,-6.55
SPE01502237,0.989313,-0.500572,0,0.617366,0.989313,-4.46
SPE01502252,0.98955,-0.475377,0,0.66969,0.98955,-4.5
SPE01503044,0.969714,-1.40232,0,0.170193,0.969714,-2.31
SPE01503073,0.956906,-1.98852,0,0.0755634,0.956906,-0.91
SPE01505299,0.985505,-0.681176,0,0.505176,0.985505,-3.85
SPE01503253,0.0588147,-43.6902,0,0,0.0588147,100.04
SPE01503341,0.0644199,-43.4316,0,0,0.0644199,99.4
SPE01503626,1.02162,0.993896,0,0.331692,1.02162,-8.54
SPE01503636,1.02563,1.1813,0,0.243098,1.02563,-8.89
SPE01503722,0.954907,-2.09661,0,0.0364462,0.954907,-1.09
SPE01503821,0.988698,-0.525087,0,0.600924,0.988698,-4.96
SPE01503904,0.758814,-11.2021,0,2.29062e-27,0.758814,20.95
SPE01503922,0.957491,-1.96416,0,0.0683134,0.957491,-1.54
SPE01500699,1.01633,0.752459,0,0.452894,1.01633,-8.35
SPE01502234,1.03053,1.40831,0,0.165559,1.03053,-10.04
SPE01503982,1.02605,1.20708,0,0.22841,1.02605,-9.58
SPE01504002,0.69482,-14.1501,0,9.80909e-44,0.69482,27.92
SPE01504025,0.989945,-0.466348,0,0.643432,0.989945,-5.56
SPE01504142,0.965742,-1.60068,0,0.126908,0.965742,-2.84
SPE01504187,0.959943,-1.84913,0,0.091803,0.959943,-2.19
SPE01505265,0.982593,-0.815163,0,0.42167,0.982593,-4.46
SPE01504269,1.00198,0.0861014,0,0.931086,1.00198,-6.99
SPE01504272,0.979026,-0.96752,0,0.357592,0.979026,-4.37
SPE01504410,1.01921,0.888618,0,0.374328,1.01921,-8.97
SPE01504604,1.0263,1.22175,0,0.229396,1.0263,-9.81
SPE01505200,0.985608,-0.675161,0,0.505356,0.985608,-5.23
SPE01505201,0.987828,-0.567984,0,0.570054,0.987828,-5.51
SPE01505203,0.96647,-1.54139,0,0.197852,0.96647,-3.11
SPE01505205,0.954892,-2.07385,0,0.104844,0.954892,-1.83
SPE01505209,0.975503,-1.13668,0,0.258256,0.975503,-4.21
SPE01505210,1.00385,0.181234,0,0.831616,1.00385,-7.47
SPE01505212,1.01466,0.675311,0,0.5003,1.01466,-8.73
SPE01505213,1.02139,0.986146,0,0.327078,1.02139,-9.51
SPE01505222,1.01072,0.491077,0,0.625412,1.01072,-8.3
SPE01505230,0.99774,-0.11097,0,0.912174,0.99774,-6.83
SPE01505244,0.970838,-1.35198,0,0.180992,0.970838,-3.76
SPE01505245,0.947383,-2.44008,0,0.0156653,0.947383,-1.1
SPE01505248,0.967236,-1.52529,0,0.128616,0.967236,-3.35
SPE01505249,0.998921,-0.0510209,0,0.93411,0.998921,-6.94
SPE01505256,1.01567,0.729929,0,0.476858,1.01567,-8.82
SPE01505261,1.01966,0.912184,0,0.365766,1.01966,-9.25
SPE01505262,1.0043,0.188025,0,0.76442,1.0043,-7.46
SPE01505263,0.986067,-0.648655,0,0.51676,0.986067,-5.35
SPE01505264,0.96989,-1.39016,0,0.191733,0.96989,-3.47
SPE01505314,0.970185,-1.38985,0,0.168605,0.970185,-3.46
SPE01500663,0.962495,-1.74433,0,0.0815674,0.962495,-2.08
SPE01505215,1.00592,0.273457,0,0.78507,1.00592,-7.43
SPE01505267,0.940851,-2.75468,0,0.00807798,0.940851,-0.1
SPE01505270,1.02001,0.940137,0,0.420302,1.02001,-8.95
SPE01505271,1.0051,0.229257,0,0.820732,1.0051,-7.18
SPE01505281,1.01034,0.482181,0,0.637844,1.01034,-7.71
SPE01505294,1.00218,0.0996372,0,0.920756,1.00218,-6.72
SPE01505296,0.983425,-0.764949,0,0.460012,0.983425,-4.52
SPE01500523,0.978888,-0.970696,0,0.376886,0.978888,-3.22
SPE01505304,0.964036,-1.67696,0,0.100641,0.964036,-2.17
SPE01505305,0.996732,-0.15125,0,0.880804,0.996732,-5.77
SPE01505306,1.00911,0.423663,0,0.675504,1.00911,-7.07
SPE01505308,1.09034,4.19189,0,3.58664e-05,1.09034,-16.13
SPE01505309,0.0651665,-43.3954,0,0,0.0651665,99.32
SPE01505310,1.00434,0.194895,0,0.846658,1.00434,-6.26
SPE01505312,0.992054,-0.36626,0,0.719848,0.992054,-4.79
SPE01500101,1.01142,0.51596,0,0.632324,1.01142,-3
