supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.982447,-0.780134,0,0.435628,0.982447,-1.83
SPE01500764,0.99478,-0.23786,0,0.812104,0.99478,-3.28
SPE01500779,1.01335,0.580351,0,0.568984,1.01335,-5.43
SPE01500833,1.01238,0.542034,0,0.632924,1.01238,-5.39
SPE01500867,0.993532,-0.302332,0,0.464404,0.993532,-3.37
SPE01500872,0.975106,-1.10374,0,0.269962,0.975106,-1.36
SPE01500901,0.957788,-1.85792,0,0.107468,0.957788,0.52
SPE01500906,1.00689,0.290984,0,0.779806,1.00689,-5.08
SPE01500525,1.02107,0.914263,0,0.378236,1.02107,-6.81
SPE01500984,0.964235,-1.58926,0,0.189261,0.964235,-0.35
SPE01501017,1.01863,0.814883,0,0.446046,1.01863,-6.59
SPE01501126,1.02041,0.889661,0,0.375888,1.02041,-6.87
SPE01501130,0.990785,-0.40996,0,0.698224,0.990785,-3.6
SPE01501172,0.977251,-1.0063,0,0.327016,0.977251,-2.13
SPE01501181,0.958683,-1.82341,0,0.0723312,0.958683,-0.07
SPE01501204,0.758579,-10.6409,0,1.45283e-20,0.758579,22.47
SPE01502103,0.99946,-0.033622,0,0.92691,0.99946,-4.76
SPE01502128,1.01371,0.587469,0,0.6153,1.01371,-6.39
SPE01502155,1.03184,1.38841,0,0.176211,1.03184,-8.46
SPE01502237,0.995566,-0.203839,0,0.838488,0.995566,-4.39
SPE01502252,0.991988,-0.360634,0,0.718564,0.991988,-4.02
SPE01503044,0.967175,-1.44376,0,0.243782,0.967175,-1.25
SPE01503073,0.958295,-1.84527,0,0.0720858,0.958295,-0.33
SPE01505299,0.986916,-0.583197,0,0.5608,0.986916,-3.32
SPE01503253,0.0721961,-40.8098,0,0,0.0721961,99.97
SPE01503341,0.0757308,-40.6545,0,0,0.0757308,99.56
SPE01503626,1.02931,1.28024,0,0.200808,1.02931,-8.59
SPE01503636,1.0334,1.45979,0,0.144397,1.0334,-9.03
SPE01503722,0.987311,-0.566745,0,0.57089,0.987311,-3.84
SPE01503821,0.987548,-0.55395,0,0.586892,0.987548,-3.85
SPE01503904,0.880534,-5.25529,0,1.16364e-06,0.880534,8.3
SPE01503922,0.974065,-1.15021,0,0.251954,0.974065,-2.33
SPE01500699,1.03763,1.64488,0,0.100841,1.03763,-9.58
SPE01502234,1.02582,1.12763,0,0.260966,1.02582,-8.24
SPE01503982,1.04142,1.81737,0,0.092078,1.04142,-9.98
SPE01504002,0.635855,-16.0411,0,0,0.635855,36
SPE01504025,0.977948,-0.9767,0,0.333532,0.977948,-2.7
SPE01504142,0.967293,-1.44588,0,0.149631,0.967293,-1.45
SPE01504187,0.956223,-1.93501,0,0.054563,0.956223,-0.18
SPE01505265,0.988795,-0.500851,0,0.616904,0.988795,-4.02
SPE01504269,1.00513,0.212305,0,0.706124,1.00513,-5.73
SPE01504272,0.99849,-0.0722685,0,0.808596,0.99849,-4.96
SPE01504410,1.02238,0.974897,0,0.330082,1.02238,-7.68
SPE01504604,1.0132,0.566433,0,0.607482,1.0132,-6.67
SPE01505200,0.97173,-1.24885,0,0.22535,0.97173,-1.97
SPE01505201,0.991369,-0.381959,0,0.623746,0.991369,-4.21
SPE01505203,0.95573,-1.95057,0,0.0696986,0.95573,-0.18
