supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.963804,-1.91123,0,0.0574374,0.963804,1.66
SPE01500764,0.988021,-0.636196,0,0.537226,0.988021,-1.13
SPE01500779,1.01347,0.706543,0,0.479976,1.01347,-4.07
SPE01500833,1.01501,0.789037,0,0.445842,1.01501,-4.4
SPE01500867,0.98781,-0.645333,0,0.526512,0.98781,-1.59
SPE01500872,0.985026,-0.793169,0,0.428116,0.985026,-1.44
SPE01500901,0.99125,-0.465391,0,0.644072,0.99125,-2.28
SPE01500906,1.03468,1.8232,0,0.0782258,1.03468,-7.19
SPE01500525,1.00459,0.238571,0,0.811576,1.00459,-4.2
SPE01500984,0.959111,-2.15823,0,0.034551,0.959111,0.95
SPE01501017,1.00589,0.305887,0,0.763602,1.00589,-4.49
SPE01501126,1.01589,0.833526,0,0.407648,1.01589,-5.73
SPE01501130,0.993372,-0.352706,0,0.72488,0.993372,-3.37
SPE01501172,0.99071,-0.494474,0,0.631882,0.99071,-3.14
SPE01501181,0.986981,-0.688551,0,0.510938,0.986981,-2.78
SPE01501204,0.7733,-11.9561,0,1.58202e-31,0.7733,20.81
SPE01502103,0.996287,-0.198578,0,0.84465,0.996287,-3.89
SPE01502128,1.01946,1.02227,0,0.306928,1.01946,-6.45
SPE01502155,1.0181,0.950909,0,0.345492,1.0181,-6.31
SPE01502237,0.995452,-0.243655,0,0.807918,0.995452,-3.81
SPE01502252,0.997611,-0.129866,0,0.896998,0.997611,-4.04
SPE01503044,0.981309,-0.989604,0,0.328168,0.981309,-2.23
SPE01503073,0.975242,-1.30855,0,0.191223,0.975242,-1.56
SPE01505299,0.969808,-1.59588,0,0.114339,0.969808,-0.94
SPE01503253,0.0561079,-49.7639,0,0,0.0561079,100.08
SPE01503341,0.0589349,-49.6149,0,0,0.0589349,99.77
SPE01503626,1.02562,1.34866,0,0.204274,1.02562,-7.25
SPE01503636,1.00928,0.487655,0,0.656272,1.00928,-5.42
SPE01503722,0.945599,-2.86995,0,0.00624034,0.945599,1.6
SPE01503821,0.999686,-0.0199206,0,0.963258,0.999686,-4.37
SPE01503904,0.835867,-8.65321,0,7.6531e-16,0.835867,13.77
SPE01503922,0.972828,-1.43655,0,0.153579,0.972828,-1.38
SPE01500699,1.02052,1.07865,0,0.28441,1.02052,-6.69
SPE01502234,1.02991,1.5734,0,0.1162,1.02991,-7.74
SPE01503982,1.01941,1.02054,0,0.320416,1.01941,-6.59
SPE01504002,0.568111,-22.7708,0,0,0.568111,43.39
SPE01504025,0.995528,-0.23816,0,0.794858,0.995528,-3.9
SPE01504142,0.959568,-2.13507,0,0.03276,0.959568,0.11
SPE01504187,0.981877,-0.960387,0,0.360298,0.981877,-2.32
SPE01505265,0.974044,-1.37234,0,0.171655,0.974044,-1.52
SPE01504269,1.00866,0.453938,0,0.654614,1.00866,-5.25
SPE01504272,0.974023,-1.37537,0,0.226034,0.974023,-1.43
SPE01504410,1.02176,1.14224,0,0.266728,1.02176,-6.7
SPE01504604,1.0152,0.797853,0,0.425064,1.0152,-5.98
SPE01505200,0.990544,-0.501851,0,0.61628,0.990544,-3.26
SPE01505201,0.986266,-0.726433,0,0.481894,0.986266,-2.78
SPE01505203,0.96241,-1.98721,0,0.0688656,0.96241,-0.14
SPE01505205,0.969594,-1.60984,0,0.203126,0.969594,-0.92
SPE01505209,0.982831,-0.909066,0,0.365014,0.982831,-2.39
SPE01505210,1.01312,0.687932,0,0.49166,1.01312,-5.74
SPE01505212,1.01719,0.900929,0,0.391844,1.01719,-6.2
SPE01505213,1.0435,2.29008,0,0.0236292,1.0435,-9.13
SPE01505222,1.01056,0.555944,0,0.621584,1.01056,-5.51
SPE01505230,0.984844,-0.799906,0,0.49938,0.984844,-2.7
SPE01505244,0.980809,-1.01527,0,0.309976,0.980809,-2.28
SPE01505245,0.972175,-1.47094,0,0.143997,0.972175,-1.37
SPE01505248,0.972839,-1.43686,0,0.171026,0.972839,-1.47
SPE01505249,0.986466,-0.718692,0,0.500908,0.986466,-3
SPE01505256,1.011,0.575906,0,0.564886,1.011,-5.72
SPE01505261,1.01322,0.693169,0,0.48835,1.01322,-5.95
SPE01505262,1.02628,1.38442,0,0.244272,1.02628,-7.39
SPE01505263,0.987341,-0.668358,0,0.568984,0.987341,-3.06
