supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.969177,-1.27528,0,0.2052,0.969177,1.33
SPE01500764,1.00398,0.163687,0,0.871526,1.00398,-2.54
SPE01500779,1.00117,0.0479141,0,0.944986,1.00117,-2.34
SPE01500833,1.02237,0.924818,0,0.41654,1.02237,-4.75
SPE01500867,0.991017,-0.372197,0,0.71421,0.991017,-1.41
SPE01500872,0.974475,-1.0564,0,0.361078,0.974475,0.31
SPE01500901,0.961954,-1.57418,0,0.170431,0.961954,1.59
SPE01500906,0.829517,-7.05101,0,2.07114e-10,0.829517,15.96
SPE01500525,1.03106,1.28417,0,0.272844,1.03106,-6.22
SPE01500984,0.992154,-0.325063,0,0.745254,0.992154,-1.88
SPE01501017,1.02422,1.00095,0,0.328014,1.02422,-5.54
SPE01501126,1.01993,0.823368,0,0.410328,1.01993,-5.15
SPE01501130,0.988797,-0.463817,0,0.645204,0.988797,-1.82
SPE01501172,0.976044,-0.99133,0,0.327844,0.976044,-0.46
SPE01501181,0.95986,-1.66073,0,0.125815,0.95986,1.31
SPE01501204,0.71391,-11.8317,0,3.57866e-28,0.71391,28.26
SPE01502103,1.00289,0.118755,0,0.905716,1.00289,-3.4
SPE01502128,1.02397,0.990999,0,0.403994,1.02397,-5.69
SPE01502155,1.02581,1.06681,0,0.286632,1.02581,-5.87
SPE01502237,0.995066,-0.204736,0,0.839994,0.995066,-2.5
SPE01502252,0.987306,-0.525436,0,0.611028,0.987306,-1.67
SPE01503044,0.969774,-1.25099,0,0.38432,0.969774,0.22
SPE01503073,0.957986,-1.73814,0,0.091695,0.957986,1.43
SPE01505299,0.973935,-1.07884,0,0.414064,0.973935,-0.23
SPE01503253,0.0596335,-38.8876,0,0,0.0596335,99.92
SPE01503341,0.0614288,-38.8133,0,0,0.0614288,99.72
SPE01503626,1.01851,0.76475,0,0.444484,1.01851,-5.6
SPE01503636,1.02942,1.2159,0,0.228132,1.02942,-6.71
SPE01503722,0.925735,-3.07156,0,0.00316638,0.925735,4.55
SPE01503821,0.98912,-0.450633,0,0.66123,0.98912,-2.46
SPE01503904,0.666598,-13.7881,0,2.35264e-40,0.666598,33.02
SPE01503922,0.938305,-2.55209,0,0.0177717,0.938305,3.01
SPE01500699,1.03744,1.54753,0,0.122292,1.03744,-8.13
SPE01502234,1.03751,1.55084,0,0.133908,1.03751,-8.21
SPE01503982,1.01946,0.803547,0,0.539692,1.01946,-6.24
SPE01504002,0.436732,-23.2932,0,0,0.436732,58.18
SPE01504025,0.986627,-0.553661,0,0.580708,0.986627,-2.56
SPE01504142,0.970948,-1.20217,0,0.25499,0.970948,-0.78
SPE01504187,0.949488,-2.08969,0,0.061175,0.949488,1.65
SPE01505265,0.998084,-0.0796059,0,0.641636,0.998084,-3.69
SPE01504269,1.03214,1.32879,0,0.211856,1.03214,-7.35
SPE01504272,1.0024,0.098608,0,0.876418,1.0024,-4.14
SPE01504410,1.03019,1.24798,0,0.222908,1.03019,-7.05
SPE01504604,1.02232,0.922044,0,0.40185,1.02232,-6.09
SPE01505200,0.964009,-1.48905,0,0.148351,0.964009,0.42
SPE01505201,0.984192,-0.654459,0,0.531198,0.984192,-1.72
