supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.983543,-0.92671,0,0.358668,0.983543,0.75
SPE01500764,0.996443,-0.199176,0,0.844878,0.996443,-0.75
SPE01500779,1.00487,0.271949,0,0.785738,1.00487,-1.77
SPE01500833,1.01039,0.577412,0,0.58631,1.01039,-2.48
SPE01500867,0.996091,-0.218502,0,0.82431,0.996091,-1.05
SPE01500872,0.973329,-1.49165,0,0.202496,0.973329,1.28
SPE01500901,0.983648,-0.916239,0,0.376814,0.983648,0.06
SPE01500906,0.994143,-0.334169,0,0.749312,0.994143,-1.19
SPE01500525,1.01126,0.629107,0,0.530158,1.01126,-3.25
SPE01500984,0.97743,-1.26583,0,0.215624,0.97743,0.51
SPE01501017,1.00461,0.256663,0,0.797616,1.00461,-2.64
SPE01501126,1.01907,1.06425,0,0.321644,1.01907,-4.31
SPE01501130,0.99089,-0.512369,0,0.608808,0.99089,-1.36
SPE01501172,0.98512,-0.828566,0,0.518424,0.98512,-0.81
SPE01501181,0.98877,-0.63341,0,0.53045,0.98877,-1.27
SPE01501204,0.822291,-9.9714,0,7.01414e-23,0.822291,16.76
SPE01502103,0.992726,-0.409531,0,0.682284,0.992726,-1.86
SPE01502128,1.00778,0.427532,0,0.566348,1.00778,-3.54
SPE01502155,1.02315,1.29369,0,0.215482,1.02315,-5.24
SPE01502237,0.995552,-0.246801,0,0.699118,0.995552,-2.26
SPE01502252,0.995955,-0.224647,0,0.724714,0.995955,-2.33
SPE01503044,0.976077,-1.34322,0,0.180498,0.976077,-0.2
SPE01503073,0.968213,-1.78231,0,0.085675,0.968213,0.61
SPE01505299,0.990533,-0.531916,0,0.596328,0.990533,-1.57
SPE01503253,0.0550203,-53.0345,0,0,0.0550203,100.12
SPE01503341,0.0601034,-52.748,0,0,0.0601034,99.56
SPE01503626,1.02351,1.31595,0,0.191404,1.02351,-5.7
SPE01503636,1.02545,1.42308,0,0.170647,1.02545,-5.85
SPE01503722,0.949693,-2.82949,0,0.00887896,0.949693,2.33
SPE01503821,0.9927,-0.413404,0,0.684264,0.9927,-2.39
SPE01503904,0.791982,-11.6725,0,5.80634e-31,0.791982,19.54
SPE01503922,0.953819,-2.58918,0,0.0140766,0.953819,1.82
SPE01500699,1.0259,1.44679,0,0.186306,1.0259,-6.17
SPE01502234,1.02996,1.68161,0,0.0977096,1.02996,-6.65
SPE01503982,1.02214,1.23764,0,0.234656,1.02214,-5.81
SPE01504002,0.507265,-27.6513,0,0,0.507265,50.58
SPE01504025,0.984463,-0.868791,0,0.426268,0.984463,-1.66
SPE01504142,0.980033,-1.11803,0,0.294834,0.980033,-1.16
SPE01504187,0.965248,-1.94439,0,0.103233,0.965248,0.47
SPE01505265,0.996329,-0.206195,0,0.838054,0.996329,-2.87
SPE01504269,1.01053,0.588822,0,0.556508,1.01053,-4.49
SPE01504272,0.984329,-0.883908,0,0.392,0.984329,-1.63
SPE01504410,1.02274,1.27384,0,0.203436,1.02274,-5.83
SPE01504604,1.01096,0.613667,0,0.540098,1.01096,-4.54
SPE01505200,0.986918,-0.73877,0,0.475368,0.986918,-1.92
SPE01505201,0.980054,-1.11758,0,0.284872,0.980054,-1.17
SPE01505203,0.975703,-1.36331,0,0.178168,0.975703,-0.7
SPE01505205,0.978821,-1.185,0,0.283556,0.978821,-1.05
SPE01505209,0.998634,-0.0797697,0,0.900928,0.998634,-3.23
SPE01505210,1.01697,0.953304,0,0.356008,1.01697,-5.22
SPE01505212,1.01421,0.793817,0,0.435232,1.01421,-4.9
SPE01505213,1.00523,0.291065,0,0.771562,1.00523,-3.88
SPE01505222,1.007,0.389846,0,0.698264,1.007,-4.03
SPE01505230,0.986672,-0.75075,0,0.455114,0.986672,-1.76
SPE01505244,0.985276,-0.822639,0,0.460512,0.985276,-1.55
SPE01505245,0.963199,-2.06063,0,0.0693528,0.963199,0.91
SPE01505248,0.983127,-0.946907,0,0.348746,0.983127,-1.22
SPE01505249,1.00569,0.317483,0,0.750884,1.00569,-3.63
SPE01505256,1.01174,0.652297,0,0.549874,1.01174,-4.24
SPE01505261,1.01395,0.777159,0,0.461306,1.01395,-4.42
SPE01505262,0.953206,-2.6364,0,0.033136,0.953206,2.24
SPE01505263,0.988293,-0.657982,0,0.511302,0.988293,-1.54
SPE01505264,0.99008,-0.557716,0,0.577646,0.99008,-1.71
SPE01505314,0.974304,-1.44029,0,0.167385,0.974304,0.02
SPE01500663,0.977575,-1.25809,0,0.215284,0.977575,-0.22
SPE01505215,1.00569,0.315696,0,0.754728,1.00569,-3.39
SPE01505267,0.970151,-1.68001,0,0.107523,0.970151,0.47
SPE01505270,1.01713,0.958245,0,0.34212,1.01713,-4.62
SPE01505271,1.00491,0.276367,0,0.788934,1.00491,-3.27
SPE01505281,1.0066,0.368076,0,0.713052,1.0066,-3.45
SPE01505294,0.98455,-0.871663,0,0.399962,0.98455,-1.03
SPE01505296,0.99162,-0.472227,0,0.636876,0.99162,-1.77
SPE01500523,0.98176,-1.01787,0,0.405082,0.98176,-0.39
SPE01505304,0.990153,-0.552341,0,0.586306,0.990153,-1.55
SPE01505305,1.00651,0.359595,0,0.734116,1.00651,-3.31
SPE01505306,1.01387,0.785412,0,0.55348,1.01387,-4.06
SPE01505308,1.08816,4.93958,0,4.44894e-06,1.08816,-12.11
SPE01505309,0.0650829,-52.4706,0,0,0.0650829,99.05
SPE01505310,1.00099,0.0488955,0,0.67645,1.00099,-2.57
SPE01505312,0.994075,-0.335442,0,0.738906,0.994075,-1.78
SPE01500101,1.01924,1.07811,0,0.28106,1.01924,-3.2
