supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,1.01567,0.549971,0,0.582456,1.01567,-1.92
SPE01500764,0.988537,-0.396379,0,0.704144,0.988537,0.93
SPE01500779,1.00447,0.142516,0,0.653744,1.00447,-1.02
SPE01500833,1.02292,0.807688,0,0.422302,1.02292,-3.16
SPE01500867,0.96603,-1.19692,0,0.23149,0.96603,2.93
SPE01500872,0.981884,-0.642642,0,0.524452,0.981884,1.03
SPE01500901,1.01127,0.434525,0,0.199959,1.01127,-2.26
SPE01500906,0.937544,-2.16849,0,0.128551,0.937544,5.69
SPE01500525,1.00962,0.341976,0,0.736992,1.00962,-2.6
SPE01500984,0.961235,-1.38274,0,0.248012,0.961235,2.84
SPE01501017,1.01086,0.363437,0,0.584272,1.01086,-2.93
SPE01501126,1.01491,0.519925,0,0.604882,1.01491,-3.5
SPE01501130,0.992559,-0.270858,0,0.793706,0.992559,-1.2
SPE01501172,0.992995,-0.248837,0,0.80358,0.992995,-1.44
SPE01501181,1.00234,0.0710515,0,0.737076,1.00234,-2.69
SPE01501204,0.973988,-0.90071,0,0.43592,0.973988,0.32
SPE01502103,0.836588,-5.78325,0,2.74582e-06,0.836588,15.33
SPE01502128,1.00423,0.151751,0,0.873234,1.00423,-3.52
SPE01502155,1.01122,0.390343,0,0.697492,1.01122,-4.45
SPE01502237,0.995351,-0.16719,0,0.867576,0.995351,-2.79
SPE01502252,0.995196,-0.184559,0,0.629166,0.995196,-2.89
SPE01503044,0.967564,-1.16053,0,0.337938,0.967564,0.1
SPE01503073,0.975752,-0.826159,0,0.470836,0.975752,-0.9
SPE01505299,0.904972,-3.38322,0,0.0237726,0.904972,7.8
SPE01503253,0.0803597,-32.3671,0,0,0.0803597,99.93
SPE01503341,0.0904179,-32.0158,0,0,0.0904179,98.78
SPE01503626,1.02818,0.96875,0,0.446384,1.02818,-7.34
SPE01503636,0.980166,-0.708478,0,0.501914,0.980166,-1.78
SPE01503722,1.02419,0.888344,0,0.324982,1.02419,-6.96
SPE01503821,0.998311,-0.0528262,0,0.77342,0.998311,-4.17
SPE01503904,0.700912,-10.5502,0,1.63707e-21,0.700912,29.43
SPE01503922,0.98602,-0.475027,0,0.567526,0.98602,-3.02
SPE01500699,0.991618,-0.324614,0,0.347158,0.991618,-3.94
SPE01502234,1.01813,0.633907,0,0.52704,1.01813,-7.04
SPE01503982,1.02225,0.769041,0,0.480256,1.02225,-7.59
SPE01504002,0.632634,-12.9373,0,3.22238e-35,0.632634,36.81
SPE01504025,0.997381,-0.0981783,0,0.876952,0.997381,-4.82
SPE01504142,0.992453,-0.272457,0,0.789046,0.992453,-4.25
SPE01504187,0.963673,-1.23996,0,0.452026,0.963673,-0.91
SPE01505265,0.945592,-1.93218,0,0.0981648,0.945592,1.42
SPE01504269,1.00677,0.228633,0,0.785454,1.00677,-5.88
SPE01504272,0.916724,-2.95015,0,0.0125677,0.916724,4.4
SPE01504410,1.0119,0.406715,0,0.702674,1.0119,-6.49
SPE01504604,1.04905,1.71272,0,0.10774,1.04905,-10.77
SPE01505200,0.980289,-0.701165,0,0.494164,0.980289,-2.94
