supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.973817,-1.46048,0,0.170058,0.973817,0.21
SPE01500764,0.99727,-0.153231,0,0.742252,0.99727,-2.44
SPE01500779,1.0068,0.37376,0,0.710968,1.0068,-3.58
SPE01500833,1.00978,0.538454,0,0.60525,1.00978,-4.01
SPE01500867,0.993109,-0.384614,0,0.714436,0.993109,-2.29
SPE01500872,0.983798,-0.909137,0,0.37213,0.983798,-1.37
SPE01500901,0.971367,-1.60486,0,0.149599,0.971367,-0.11
SPE01500906,1.0169,0.942759,0,0.404524,1.0169,-5.18
SPE01500525,1.00753,0.41739,0,0.68238,1.00753,-4.35
SPE01500984,0.97129,-1.60064,0,0.143661,0.97129,-0.28
SPE01501017,1.00736,0.401928,0,0.677756,1.00736,-4.43
SPE01501126,1.01224,0.679306,0,0.500454,1.01224,-5.05
SPE01501130,0.98934,-0.598485,0,0.54953,0.98934,-2.62
SPE01501172,0.988598,-0.639514,0,0.522658,0.988598,-2.59
SPE01501181,0.983183,-0.940676,0,0.349494,0.983183,-2.03
SPE01501204,0.814792,-10.3297,0,5.21306e-25,0.814792,16.48
SPE01502103,0.992846,-0.400841,0,0.696102,0.992846,-3.16
SPE01502128,1.01844,1.02579,0,0.317354,1.01844,-5.99
SPE01502155,1.02423,1.34584,0,0.179692,1.02423,-6.64
SPE01502237,0.999074,-0.0568095,0,0.907648,0.999074,-3.88
SPE01502252,0.992706,-0.413091,0,0.689284,0.992706,-3.19
SPE01503044,0.97182,-1.57249,0,0.130844,0.97182,-0.89
SPE01503073,0.97372,-1.46874,0,0.142397,0.97372,-1.12
SPE01505299,0.980452,-1.0931,0,0.276136,0.980452,-1.78
SPE01503253,0.0575063,-52.5539,0,0,0.0575063,99.85
SPE01503341,0.0561003,-52.6312,0,0,0.0561003,100
SPE01503626,1.0181,1.00827,0,0.339406,1.0181,-6.13
SPE01503636,1.01084,0.602527,0,0.557362,1.01084,-5.3
SPE01503722,0.98142,-1.0385,0,0.305018,0.98142,-2.09
SPE01503821,0.997182,-0.165242,0,0.663722,0.997182,-3.84
SPE01503904,0.839527,-8.95246,0,1.0986e-18,0.839527,13.56
SPE01503922,0.964891,-1.96272,0,0.05186,0.964891,-0.29
SPE01500699,1.02034,1.13281,0,0.284562,1.02034,-6.46
SPE01502234,1.02114,1.17339,0,0.245234,1.02114,-6.57
SPE01503982,1.02244,1.24704,0,0.212408,1.02244,-6.72
SPE01504002,0.648577,-19.601,0,0,0.648577,34.57
SPE01504025,0.992454,-0.424403,0,0.671546,0.992454,-3.38
SPE01504142,0.972405,-1.54451,0,0.13087,0.972405,-1.14
SPE01504187,0.967573,-1.813,0,0.071854,0.967573,-0.59
SPE01505265,0.977041,-1.28299,0,0.20252,0.977041,-1.65
SPE01504269,1.00867,0.48156,0,0.638744,1.00867,-5.07
SPE01504272,0.987518,-0.696635,0,0.513846,0.987518,-2.77
SPE01504410,1.01522,0.844169,0,0.398758,1.01522,-5.76
SPE01504604,1.02048,1.13733,0,0.25633,1.02048,-6.31
SPE01505200,0.986454,-0.759797,0,0.448048,0.986454,-2.52
SPE01505201,0.989538,-0.584986,0,0.571454,0.989538,-2.82
SPE01505203,0.967142,-1.83441,0,0.0702524,0.967142,-0.33
SPE01505205,0.971871,-1.57393,0,0.121297,0.971871,-0.84
SPE01505209,1.00266,0.145874,0,0.875718,1.00266,-4.22
SPE01505210,1.00475,0.262955,0,0.799348,1.00475,-4.46
SPE01505212,1.01396,0.778746,0,0.484966,1.01396,-5.49
SPE01505213,0.899906,-5.61681,1,0.0173975,0.899906,7.03
SPE01505222,1.01027,0.57007,0,0.573164,1.01027,-5.14
SPE01505230,0.990834,-0.521017,0,0.5747,0.990834,-3.03
SPE01505244,0.979849,-1.13038,0,0.280602,0.979849,-1.84
SPE01505245,0.95889,-2.30384,0,0.0735686,0.95889,0.44
SPE01505248,0.983071,-0.946491,0,0.349312,0.983071,-2.25
SPE01505249,0.996775,-0.184654,0,0.85403,0.996775,-3.79
SPE01505256,1.01167,0.645367,0,0.523258,1.01167,-5.46
SPE01505261,1.01435,0.796989,0,0.429564,1.01435,-5.79
SPE01505262,1.01369,0.761821,0,0.46291,1.01369,-5.75
SPE01505263,0.997539,-0.141075,0,0.887838,0.997539,-4.01
SPE01505264,0.971837,-1.56894,0,0.175118,0.971837,-1.21
SPE01505314,0.976947,-1.28704,0,0.211342,0.976947,-1.82
