supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.904273,-2.78508,0,0.0067824,0.904273,5.98
SPE01500764,0.99076,-0.122511,0,0.817694,0.99076,-3.66
SPE01500779,1.00227,0.23661,0,0.813404,1.00227,-4.96
SPE01500833,1.01813,0.728157,0,0.479044,1.01813,-6.75
SPE01500867,0.990237,-0.133199,0,0.85498,0.990237,-3.67
SPE01500872,0.980142,-0.450166,0,0.661338,0.980142,-2.57
SPE01500901,1.0001,0.173199,0,0.746476,1.0001,-4.81
SPE01500906,0.936575,-1.7883,0,0.0823946,0.936575,2.24
SPE01500525,1.00415,0.290096,0,0.779922,1.00415,-5.32
SPE01500984,0.95345,-1.27444,0,0.219824,0.95345,0.34
SPE01501017,1.0087,0.435058,0,0.66429,1.0087,-5.83
SPE01501126,1.01076,0.497771,0,0.618678,1.01076,-6.08
SPE01501130,1.00166,0.217698,0,0.827938,1.00166,-5.08
SPE01501172,0.997736,0.0959388,0,0.923574,0.997736,-4.68
SPE01501181,0.997742,0.0987449,0,0.83478,0.997742,-4.7
SPE01501204,0.777653,-6.70009,0,1.05153e-10,0.777653,19.8
SPE01502103,0.972972,-0.669171,0,0.504188,0.972972,-2.01
SPE01502128,1.01672,0.680142,0,0.498886,1.01672,-6.89
SPE01502155,1.02411,0.907027,0,0.373978,1.02411,-7.72
SPE01502237,0.989001,-0.175918,0,0.86226,0.989001,-3.8
SPE01502252,0.998499,0.119967,0,0.904618,0.998499,-4.86
SPE01503044,1.00044,0.17821,0,0.858888,1.00044,-5.07
SPE01503073,0.975361,-0.589227,0,0.588158,0.975361,-2.29
SPE01505299,0.94878,-1.42007,0,0.187561,0.94878,0.7
SPE01503253,0.0583895,-28.8955,0,0,0.0583895,99.97
SPE01503341,0.0600506,-28.8444,0,0,0.0600506,99.78
SPE01503626,1.02097,0.80952,0,0.43277,1.02097,-7.48
SPE01503636,1.00946,0.457995,0,0.647138,1.00946,-6.17
SPE01503722,0.89464,-3.07848,0,0.00572064,0.89464,6.62
SPE01503821,1.00652,0.369858,0,0.718124,1.00652,-5.86
SPE01503904,0.860464,-4.14068,0,3.50646e-05,0.860464,10.46
SPE01503922,0.959206,-1.08311,0,0.408372,0.959206,-0.53
SPE01500699,1.01238,0.542866,0,0.611988,1.01238,-6.45
SPE01502234,1.01703,0.687946,0,0.505494,1.01703,-6.94
SPE01503982,1.00558,0.341716,0,0.743602,1.00558,-5.63
SPE01504002,0.0824748,-28.152,0,0,0.0824748,97.29
SPE01504025,0.998825,0.131906,0,0.8496,0.998825,-4.78
SPE01504142,1.0046,0.30536,0,0.763118,1.0046,-5.35
SPE01504187,0.974034,-0.628863,0,0.58076,0.974034,-1.86
SPE01505265,0.962968,-0.981692,0,0.355594,0.962968,-0.95
SPE01504269,0.989541,-0.158936,0,0.874988,0.989541,-3.42
SPE01504272,0.951429,-1.34077,0,0.251282,0.951429,0.72
SPE01504410,1.01364,0.582085,0,0.582858,1.01364,-6.01
SPE01504604,1.02001,0.782081,0,0.435798,1.02001,-6.64
SPE01505200,0.992732,-0.0575147,0,0.934202,0.992732,-3.54
SPE01505201,1.01028,0.486607,0,0.640424,1.01028,-5.41
SPE01505203,0.98714,-0.229364,0,0.820296,0.98714,-2.8
SPE01505205,0.982661,-0.371212,0,0.713196,0.982661,-2.25
SPE01505209,0.962033,-1.00465,0,0.317402,0.962033,0.09
SPE01505210,0.989533,-0.16172,0,0.741648,0.989533,-2.91
SPE01505212,1.00215,0.227551,0,0.743046,1.00215,-4.25
SPE01505213,1.00359,0.273942,0,0.787662,1.00359,-4.36
SPE01505222,1.00908,0.445813,0,0.655738,1.00908,-4.92
SPE01505230,0.999769,0.160104,0,0.873684,0.999769,-3.84
SPE01505244,1.00555,0.342103,0,0.712662,1.00555,-4.44
SPE01505245,0.971916,-0.691077,0,0.549142,0.971916,-0.7
SPE01505248,0.946845,-1.48014,0,0.173557,0.946845,2.04
SPE01505249,0.990548,-0.13007,0,0.759086,0.990548,-2.78
SPE01505256,0.995786,0.0322372,0,0.796556,0.995786,-3.37
SPE01505261,1.01023,0.478006,0,0.643686,1.01023,-4.97
SPE01505262,0.851924,-4.40559,0,1.28484e-05,0.851924,12.5
SPE01505263,1.03299,1.19592,0,0.41433,1.03299,-7.45
SPE01505264,0.995228,0.0196593,0,0.92469,0.995228,-3.27
SPE01505314,0.965017,-0.906699,0,0.432286,0.965017,0.1
SPE01500663,0.973653,-0.641464,0,0.561508,0.973653,-0.63
SPE01505215,0.983716,-0.339646,0,0.739938,0.983716,-1.9
SPE01505267,0.929686,-2.00736,0,0.0514102,0.929686,4.02
SPE01505270,1.01183,0.536314,0,0.623392,1.01183,-4.96
SPE01505271,1.01355,0.579777,0,0.578936,1.01355,-5.14
SPE01505281,1.01158,0.522475,0,0.601666,1.01158,-4.9
SPE01505294,0.995625,0.0311188,0,0.972274,0.995625,-3.12
SPE01505296,1.0054,0.333038,0,0.739506,1.0054,-4.16
SPE01500523,0.958642,-1.11272,0,0.272228,0.958642,1.42
SPE01505304,0.938561,-1.72747,0,0.0909712,0.938561,3.27
SPE01505305,0.979686,-0.461774,0,0.644592,0.979686,-1.2
SPE01505306,0.995222,0.0187288,0,0.970268,0.995222,-2.85
SPE01505308,1.05626,1.89953,0,0.0609118,1.05626,-9.5
SPE01505309,0.0718846,-28.4787,0,0,0.0718846,98.59
SPE01505310,1.01199,0.535887,0,0.592094,1.01199,-4.53
SPE01505312,1.00504,0.319952,0,0.750016,1.00504,-3.71
SPE01500101,1.00107,0.2001,0,0.842146,1.00107,-5.32
SPE01500391,0.98931,-0.164462,0,0.86939,0.98931,-3.91
SPE01500408,0.939896,-1.68674,0,0.0966804,0.939896,1.46
SPE01500497,1.00815,0.416582,0,0.67723,1.00815,-5.98
SPE01500532,0.998928,0.132032,0,0.895052,0.998928,-4.89
SPE01500556,1.01555,0.643005,0,0.527878,1.01555,-6.88
SPE01503242,0.977085,-0.540457,0,0.589934,0.977085,-2.67
SPE01504184,1.00784,0.407819,0,0.683412,1.00784,-5.91
SPE01500322,0.917802,-2.37081,0,0.0177492,0.917802,4.2
SPE01500395,1.00149,0.21797,0,0.634354,1.00149,-4.99
SPE01500434,0.985519,-0.282103,0,0.778394,0.985519,-3.31
SPE01500450,0.948413,-1.42734,0,0.154987,0.948413,1.01
SPE01500536,0.978884,-0.486156,0,0.626906,0.978884,-2.6
SPE01502013,1.00815,0.415179,0,0.681756,1.00815,-5.55
SPE01503223,0.132856,-26.5983,0,0,0.132856,91.96
SPE01503816,1.0061,0.353418,0,0.72407,1.0061,-5.57
SPE00330082,0.982632,-0.370881,0,0.71103,0.982632,-2.55
SPE01500102,1.00174,0.218761,0,0.827034,1.00174,-4.57
SPE01500168,1.02387,0.9012,0,0.369306,1.02387,-7.03
SPE01500399,1.00888,0.439753,0,0.66013,1.00888,-5.39
SPE01500467,1.00709,0.383009,0,0.703274,1.00709,-5.22
SPE01500538,0.978344,-0.502067,0,0.615902,0.978344,-2.01
SPE01500548,0.943106,-1.59294,0,0.120174,0.943106,1.86
SPE01500566,0.982722,-0.367923,0,0.713064,0.982722,-2.54
SPE00330002,0.998139,0.109104,0,0.913302,0.998139,-4.12
SPE01500135,0.957082,-1.15895,0,0.246566,0.957082,0.26
SPE01500404,1.0008,0.194954,0,0.72531,1.0008,-4.55
SPE01500502,1.01309,0.567109,0,0.577478,1.01309,-5.86
SPE01500504,0.94563,-1.51939,0,0.186728,0.94563,1.56
SPE01500551,0.996536,0.0566764,0,0.873394,0.996536,-4.12
SPE01500578,1.00686,0.376367,0,0.70725,1.00686,-5.25
SPE01500592,0.989025,-0.172097,0,0.86368,0.989025,-3.14
SPE01500264,1.01041,0.487042,0,0.626248,1.01041,-5.37
SPE01500300,0.996556,0.0561614,0,0.805398,0.996556,-3.78
SPE01500381,0.969356,-0.779507,0,0.435936,0.969356,-0.64
SPE01500503,1.00241,0.239461,0,0.810882,1.00241,-4.37
SPE01500539,0.977131,-0.539016,0,0.59096,0.977131,-1.73
SPE01500553,0.99659,0.0600318,0,0.952154,0.99659,-3.87
SPE01501188,0.888189,-3.2838,0,0.0010486,0.888189,8.42
SPE01503923,0.919726,-2.3124,0,0.021082,0.919726,4.62
SPE01500115,0.994569,-0.0017093,0,0.98608,0.994569,-2.75
SPE01500284,0.988253,-0.19804,0,0.843666,0.988253,-2.42
SPE01500354,1.01307,0.573102,0,0.585604,1.01307,-5.08
SPE01500483,0.993341,-0.039275,0,0.966648,0.993341,-2.81
SPE01500507,1.01358,0.583369,0,0.561328,1.01358,-4.94
SPE01500668,1.00134,0.206144,0,0.837154,1.00134,-3.39
SPE01502113,0.961406,-1.03226,0,0.36769,0.961406,0.48
SPE01503422,0.852979,-4.373,0,1.48104e-05,0.852979,12.39
SPE01500137,0.957,-1.15995,0,0.248284,0.957,1.59
SPE01500216,0.994729,0.00222852,0,0.953122,0.994729,-2.34
SPE01500267,1.01285,0.561816,0,0.57438,1.01285,-4.23
SPE01500364,1.0092,0.454861,0,0.675784,1.0092,-3.49
SPE01500518,1.02225,0.850732,0,0.398136,1.02225,-5.1
SPE01500521,0.946574,-1.48261,0,0.138331,0.946574,3.27
SPE01500541,0.977431,-0.532153,0,0.596622,0.977431,-0.54
SPE02300241,0.973318,-0.65983,0,0.51498,0.973318,0.18
SPE01500110,0.970474,-0.748225,0,0.464318,0.970474,0.88
SPE01500244,0.961227,-1.03235,0,0.305268,0.961227,1.96
SPE01500276,1.02218,0.850824,0,0.395474,1.02218,-4.64
SPE01500489,1.00545,0.336015,0,0.740614,1.00545,-2.78
SPE01500499,1.03011,1.09392,0,0.27533,1.03011,-5.45
SPE01500510,0.959763,-1.07735,0,0.283976,0.959763,2.21
SPE01500605,1.0324,1.16607,0,0.243956,1.0324,-5.71
SPE01501118,0.916194,-2.41758,0,0.0181391,0.916194,6.74
SPE01500240,0.938663,-1.72484,0,0.0891708,0.938663,4.48
SPE01500246,0.944499,-1.5505,0,0.134273,0.944499,3.83
SPE01500253,1.01559,0.653086,0,0.562582,1.01559,-3.94
SPE01500339,0.987618,-0.216434,0,0.82865,0.987618,-0.9
SPE01500406,1.00386,0.279121,0,0.671468,1.00386,-2.74
SPE01500446,1.00792,0.406518,0,0.694848,1.00792,-3.24
SPE01500491,0.970511,-0.743836,0,0.45726,0.970511,0.93
SPE02300270,1.01092,0.502237,0,0.615606,1.01092,-3.63
SPE00330001,0.969531,-0.779958,0,0.473202,0.969531,0.46
SPE01500104,1.06101,2.04431,0,0.0502504,1.06101,-9.49
SPE01500363,0.992163,-0.071395,0,0.716748,0.992163,-1.84
SPE01500368,1.00029,0.174598,0,0.861396,1.00029,-3
SPE01500496,0.997315,0.0796245,0,0.808238,0.997315,-2.45
SPE01500527,0.922433,-2.23004,0,0.027712,0.922433,5.98
SPE01500547,0.963897,-0.94925,0,0.34351,0.963897,1.39
SPE01503267,0.990029,-0.14331,0,0.886582,0.990029,-1.53
SPE01500124,1.00872,0.436555,0,0.665428,1.00872,-4.91
SPE01500193,1.00192,0.2258,0,0.821726,1.00192,-4.11
SPE01500225,1.01584,0.654463,0,0.51284,1.01584,-5.75
SPE01500304,0.943835,-1.56782,0,0.117041,0.943835,2.55
SPE01500589,0.99098,-0.114852,0,0.869478,0.99098,-2.7
SPE01500595,1.0252,0.941109,0,0.3537,1.0252,-6.59
SPE01502010,0.926707,-2.10063,0,0.0471366,0.926707,4.26
SPE01505376,1.01175,0.528433,0,0.597214,1.01175,-5.05
SPE01500145,1.01091,0.502288,0,0.615466,1.01091,-5.35
SPE01500230,1.01551,0.645051,0,0.519876,1.01551,-5.82
SPE01500590,0.944877,-1.54063,0,0.153553,0.944877,2.07
SPE01500597,0.985058,-0.301984,0,0.631726,0.985058,-2.44
SPE01501145,0.997666,0.0947042,0,0.924796,0.997666,-3.88
SPE01503017,0.945487,-1.51679,0,0.129408,0.945487,1.89
SPE01503610,0.060291,-28.8376,0,0,0.060291,100.11
SPE01505432,1.03272,1.17493,0,0.240118,1.03272,-7.8
SPE01500117,0.938037,-1.74836,0,0.083764,0.938037,2.81
SPE01500231,1.00168,0.215146,0,0.832162,1.00168,-4.15
SPE01500581,0.998488,0.120456,0,0.904696,0.998488,-3.81
SPE01500614,0.974567,-0.619413,0,0.535716,0.974567,-1.2
