supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.911133,-4.8837,0,4.69664e-06,0.911133,6.45
SPE01500764,0.985584,-0.795245,0,0.457146,0.985584,-1.69
SPE01500779,1.00988,0.5397,0,0.596814,1.00988,-4.35
SPE01500833,1.00329,0.177591,0,0.860558,1.00329,-3.62
SPE01500867,0.996056,-0.219695,0,0.82634,0.996056,-2.82
SPE01500872,0.977205,-1.25497,0,0.21093,0.977205,-0.75
SPE01500901,0.992656,-0.405909,0,0.704432,0.992656,-2.44
SPE01500906,0.992675,-0.404528,0,0.53764,0.992675,-2.44
SPE01500525,1.00934,0.509625,0,0.616358,1.00934,-4.24
SPE01500984,0.971043,-1.59421,0,0.164056,0.971043,-0.05
SPE01501017,1.00929,0.507291,0,0.615436,1.00929,-4.23
SPE01501126,1.01583,0.866603,0,0.386874,1.01583,-4.95
SPE01501130,0.993155,-0.379193,0,0.709136,0.993155,-2.46
SPE01501172,0.990597,-0.520481,0,0.454502,0.990597,-2.2
SPE01501181,0.982437,-0.967647,0,0.333258,0.982437,-1.34
SPE01501204,0.714659,-15.676,0,0,0.714659,28
SPE01502103,0.977929,-1.21507,0,0.232026,0.977929,-0.95
SPE01502128,1.00568,0.309041,0,0.759514,1.00568,-4.04
SPE01502155,1.02705,1.48325,0,0.153035,1.02705,-6.45
SPE01502237,0.999632,-0.0231923,0,0.981498,0.999632,-3.49
SPE01502252,0.993589,-0.355767,0,0.607164,0.993589,-2.88
SPE01503044,1.03348,1.83912,1,0.241,1.03348,-7.37
SPE01503073,0.968531,-1.73145,0,0.0839804,0.968531,-0.28
SPE01505299,0.977527,-1.23773,0,0.235506,0.977527,-0.87
SPE01503253,0.0575676,-51.7689,0,0,0.0575676,100.04
SPE01503341,0.0584981,-51.7178,0,0,0.0584981,99.93
SPE01503626,1.022,1.20575,0,0.263968,1.022,-6.56
SPE01503636,1.01256,0.686856,0,0.494738,1.01256,-5.43
SPE01503722,0.938946,-3.35617,0,0.00120328,0.938946,2.56
SPE01503821,1.00107,0.0556917,0,0.82909,1.00107,-4.34
SPE01503904,0.761332,-13.1116,0,4.03334e-35,0.761332,22.15
SPE01503922,0.960139,-2.19268,0,0.0304598,0.960139,0.15
SPE01500699,1.01383,0.756846,0,0.472626,1.01383,-5.84
SPE01502234,1.02161,1.18435,0,0.24331,1.02161,-6.69
SPE01503982,1.02069,1.13426,0,0.30738,1.02069,-6.58
SPE01504002,0.185205,-44.7578,0,0,0.185205,85.9
SPE01504025,0.99731,-0.15118,0,0.714642,0.99731,-3.9
SPE01504142,0.989885,-0.558575,0,0.576494,0.989885,-3.04
SPE01504187,0.973313,-1.469,0,0.145008,0.973313,-1.17
SPE01505265,0.986054,-0.769098,0,0.443546,0.986054,-2.74
SPE01504269,0.998145,-0.10465,0,0.839852,0.998145,-3.84
SPE01504272,0.985929,-0.776209,0,0.454188,0.985929,-2.52
SPE01504410,1.01482,0.811742,0,0.449464,1.01482,-5.67
SPE01504604,1.0087,0.475109,0,0.635204,1.0087,-4.97
SPE01505200,0.979907,-1.10625,0,0.292464,0.979907,-1.8
SPE01505201,0.993639,-0.352636,0,0.729476,0.993639,-3.31
SPE01505203,0.989808,-0.56332,0,0.604302,0.989808,-2.91
SPE01505205,0.971281,-1.58165,0,0.275408,0.971281,-0.87
SPE01505209,0.988894,-0.613407,0,0.562296,0.988894,-2.85
SPE01505210,0.995882,-0.22971,0,0.662918,0.995882,-3.63
SPE01505212,1.00632,0.344624,0,0.743906,1.00632,-4.8
SPE01505213,1.01534,0.83917,0,0.418232,1.01534,-5.78
SPE01505222,1.01009,0.551777,0,0.589832,1.01009,-5.2
SPE01505230,0.997615,-0.133524,0,0.715594,0.997615,-3.82
SPE01505244,0.999922,-0.00752869,0,0.839024,0.999922,-4.05
SPE01505245,0.95802,-2.30998,0,0.081488,0.95802,0.6
SPE01505248,0.984584,-0.849925,0,0.401752,0.984584,-2.32
SPE01505249,0.996374,-0.202107,0,0.839984,0.996374,-3.6
SPE01505256,1.00599,0.326214,0,0.746506,1.00599,-4.61
SPE01505261,1.00111,0.0577393,0,0.681366,1.00111,-4.02
SPE01505262,0.846374,-8.43933,0,6.59116e-12,0.846374,13.06
SPE01505263,0.996447,-0.198268,0,0.843512,0.996447,-3.41
SPE01505264,1.00286,0.154529,0,0.8133,1.00286,-4.07
SPE01505314,0.971981,-1.54233,0,0.134563,0.971981,-0.64
SPE01500663,0.959293,-2.23926,0,0.03137,0.959293,0.76
SPE01505215,1.00115,0.0603065,0,0.841944,1.00115,-3.85
SPE01505267,0.972387,-1.51953,0,0.132769,0.972387,-0.68
SPE01505270,1.00083,0.0427579,0,0.829832,1.00083,-3.82
SPE01505271,1.001,0.0516004,0,0.680696,1.001,-3.85
SPE01505281,1.01092,0.596358,0,0.615338,1.01092,-4.95
SPE01505294,0.987366,-0.697323,0,0.505126,0.987366,-2.36
SPE01505296,1.00698,0.380238,0,0.703872,1.00698,-4.51
SPE01500523,0.960007,-2.20005,0,0.0345538,0.960007,0.83
SPE01505304,0.986722,-0.732205,0,0.466062,0.986722,-2.24
SPE01505305,1.00047,0.0236574,0,0.639238,1.00047,-3.74
SPE01505306,1.00994,0.543174,0,0.593164,1.00994,-4.76
SPE01505308,1.04007,2.19901,0,0.0747862,1.04007,-8.07
SPE01505309,0.0868316,-50.1615,0,0,0.0868316,96.83
SPE01505310,1.0044,0.238832,0,0.8121,1.0044,-4.1
SPE01505312,0.992672,-0.405774,0,0.6931,0.992672,-2.79
SPE01500101,1.01666,0.912178,0,0.368676,1.01666,-3.36
SPE01500391,1.00456,0.247586,0,0.807476,1.00456,-2.27
SPE01500408,0.972719,-1.50128,0,0.139159,0.972719,1.6
SPE01500497,1.00175,0.0932746,0,0.868242,1.00175,-2.08
SPE01500532,0.980262,-1.08756,0,0.305748,0.980262,0.03
SPE01500556,1.02198,1.20387,0,0.250258,1.02198,-4.04
SPE01503242,0.960265,-2.18501,0,0.0443928,0.960265,2.83
SPE01504184,0.997374,-0.147139,0,0.883296,0.997374,-1.71
SPE01500322,0.968424,-1.73714,0,0.0888608,0.968424,1.21
SPE01500395,1.0102,0.557278,0,0.580824,1.0102,-3.69
SPE01500434,0.993533,-0.35863,0,0.736426,0.993533,-1.72
SPE01500450,0.899239,-5.53706,0,1.77924e-07,0.899239,8.35
SPE01500536,1.01089,0.594928,0,0.55932,1.01089,-3.51
SPE01502013,0.98763,-0.682236,0,0.500704,0.98763,-1.32
SPE01503223,0.1308,-47.7464,0,0,0.1308,92.1
SPE01503816,1.01294,0.707448,0,0.498866,1.01294,-3.92
SPE00330082,0.982893,-0.942857,0,0.354944,0.982893,-1.15
SPE01500102,1.00815,0.444587,0,0.656764,1.00815,-3.76
SPE01500168,1.02517,1.37952,0,0.170607,1.02517,-5.67
SPE01500399,1.0008,0.04079,0,0.819466,1.0008,-3.04
SPE01500467,0.999518,-0.0298964,0,0.723172,0.999518,-2.93
SPE01500538,0.999329,-0.0392597,0,0.648458,0.999329,-2.75
SPE01500548,0.974588,-1.39874,0,0.162207,0.974588,0.01
SPE01500566,0.991252,-0.483471,0,0.628762,0.991252,-2.05
SPE00330002,0.971653,-1.55995,0,0.119718,0.971653,0.29
SPE01500135,0.997411,-0.144962,0,0.865836,0.997411,-2.75
SPE01500404,1.00057,0.0281742,0,0.959322,1.00057,-2.99
SPE01500502,1.00682,0.371451,0,0.72026,1.00682,-3.62
SPE01500504,0.974648,-1.39584,0,0.176536,0.974648,-0.26
SPE01500551,1.00881,0.480845,0,0.631326,1.00881,-3.98
SPE01500578,1.01981,1.08502,0,0.286902,1.01981,-5.14
SPE01500592,0.993187,-0.377498,0,0.71427,0.993187,-2.09
SPE01500264,0.984775,-0.839311,0,0.40172,0.984775,-1.02
SPE01500300,0.99582,-0.232918,0,0.7943,0.99582,-2.18
SPE01500381,0.985306,-0.809847,0,0.427694,0.985306,-0.96
SPE01500503,0.997881,-0.119231,0,0.905718,0.997881,-2.36
SPE01500539,1.01341,0.733049,0,0.483334,1.01341,-4.21
SPE01500553,1.01893,1.03682,0,0.307076,1.01893,-4.79
SPE01501188,0.0632591,-51.4563,0,0,0.0632591,99.47
SPE01503923,0.96606,-1.86775,0,0.0872946,0.96606,0.93
SPE01500115,0.996899,-0.173421,0,0.862652,0.996899,-2.31
SPE01500284,1.02198,1.20459,0,0.24674,1.02198,-4.97
SPE01500354,1.00836,0.455695,0,0.672538,1.00836,-3.5
SPE01500483,0.991037,-0.49493,0,0.635586,0.991037,-1.64
SPE01500507,0.993006,-0.386903,0,0.70363,0.993006,-1.87
SPE01500668,0.988245,-0.648891,0,0.522912,0.988245,-1.37
SPE01502113,0.988771,-0.619753,0,0.535462,0.988771,-1.33
SPE01503422,0.798284,-11.0822,0,1.46469e-26,0.798284,19.42
SPE01500137,0.899634,-5.51587,0,3.49314e-08,0.899634,8.31
SPE01500216,0.998642,-0.0780011,0,0.735288,0.998642,-2.41
SPE01500267,1.02137,1.16997,0,0.346218,1.02137,-4.84
SPE01500364,0.986495,-0.744611,0,0.4611,0.986495,-0.89
SPE01500518,1.0032,0.17334,0,0.695074,1.0032,-2.79
SPE01500521,0.848109,-8.34512,0,1.63579e-14,0.848109,14.11
SPE01500541,0.9976,-0.135282,0,0.701272,0.9976,-2.34
SPE02300241,1.00787,0.429492,0,0.671734,1.00787,-3.34
SPE01500110,0.988837,-0.616248,0,0.53997,0.988837,-1.02
SPE01500244,0.981316,-1.02938,0,0.305322,0.981316,-0.14
SPE01500276,1.00897,0.489507,0,0.62629,1.00897,-3.08
SPE01500489,1.00016,0.00601055,0,0.905902,1.00016,-2.07
SPE01500499,1.0079,0.43131,0,0.67388,1.0079,-2.86
SPE01500510,0.961853,-2.09769,0,0.0627258,0.961853,2.17
SPE01500605,1.00939,0.512778,0,0.609564,1.00939,-2.93
SPE01501118,0.923796,-4.1885,0,3.73114e-05,0.923796,5.98
SPE01500240,0.947208,-2.90263,0,0.00386464,0.947208,3.83
SPE01500246,0.976619,-1.28753,0,0.212792,0.976619,0.66
SPE01500253,0.996485,-0.196091,0,0.844674,0.996485,-1.48
SPE01500339,1.00875,0.477499,0,0.641476,1.00875,-2.81
SPE01500406,1.01909,1.04559,0,0.295756,1.01909,-3.99
SPE01500446,0.816124,-10.1017,0,6.535e-20,0.816124,17.96
SPE01500491,0.981965,-0.99403,0,0.349468,0.981965,0.06
SPE02300270,0.993287,-0.371599,0,0.711774,0.993287,-1.25
SPE00330001,0.862195,-7.57229,0,3.85128e-14,0.862195,12.76
SPE01500104,1.01663,0.91095,0,0.406502,1.01663,-3.97
SPE01500363,1.00377,0.203919,0,0.841204,1.00377,-2.5
SPE01500368,0.992639,-0.407642,0,0.693308,0.992639,-1.44
SPE01500496,0.997817,-0.123064,0,0.899894,0.997817,-1.89
SPE01500527,0.973447,-1.46079,0,0.20683,0.973447,0.87
SPE01500547,0.981842,-1.00034,0,0.317364,0.981842,-0.06
SPE01503267,0.994324,-0.314902,0,0.754858,0.994324,-1.44
SPE01500124,0.993458,-0.362455,0,0.719476,0.993458,-2
SPE01500193,0.995375,-0.256809,0,0.800794,0.995375,-2.18
SPE01500225,0.989971,-0.554138,0,0.59075,0.989971,-1.66
SPE01500304,0.980194,-1.09119,0,0.29098,0.980194,-0.36
SPE01500589,1.0028,0.150444,0,0.784416,1.0028,-2.86
SPE01500595,1.0118,0.645176,0,0.518812,1.0118,-3.9
SPE01502010,0.93031,-3.83084,0,0.000130121,0.93031,4.95
SPE01505376,1.01133,0.620106,0,0.594202,1.01133,-3.83
SPE01500145,0.97521,-1.36438,0,0.180868,0.97521,-0.26
SPE01500230,0.996816,-0.178328,0,0.701356,0.996816,-2.63
SPE01500590,0.996661,-0.185935,0,0.705324,0.996661,-2.43
SPE01500597,1.00321,0.173369,0,0.862402,1.00321,-3.17
SPE01501145,1.01794,0.983297,0,0.424566,1.01794,-4.82
SPE01503017,0.991304,-0.481656,0,0.445828,0.991304,-1.99
SPE01503610,0.0596055,-51.6571,0,0,0.0596055,99.84
SPE01505432,1.0217,1.18953,0,0.252916,1.0217,-5.26
SPE01500117,0.89701,-5.66027,0,2.69838e-08,0.89701,8.27
SPE01500231,0.993071,-0.383467,0,0.702714,0.993071,-2.29
SPE01500581,1.02021,1.10722,0,0.268692,1.02021,-5.23
SPE01500614,0.998155,-0.103403,0,0.454418,0.998155,-2.81
SPE01500839,1.01156,0.631838,0,0.543322,1.01156,-4.3
SPE01502001,0.990101,-0.547346,0,0.631362,0.990101,-1.97
SPE01505453,1.02979,1.63365,0,0.11275,1.02979,-6.29
SPE02300212,0.99153,-0.468521,0,0.651474,0.99153,-2.13
SPE01500136,0.996659,-0.186297,0,0.85462,0.996659,-2
SPE01500232,0.986475,-0.746184,0,0.467438,0.986475,-0.78
SPE01500588,0.985665,-0.790444,0,0.429818,0.985665,-1.45
SPE01500604,1.01304,0.713223,0,0.478568,1.01304,-4.28
SPE01500666,1.01046,0.572018,0,0.626254,1.01046,-3.63
SPE01500667,0.998051,-0.109555,0,0.70017,0.998051,-2.74
SPE01503648,0.998911,-0.0628564,0,0.949916,0.998911,-2.5
SPE01505396,1.02051,1.12378,0,0.275286,1.02051,-4.98
SPE00330064,1.01477,0.808244,0,0.419334,1.01477,-3.53
SPE01500207,0.998381,-0.0912567,0,0.582054,0.998381,-1.3
SPE01500227,1.00032,0.0140022,0,0.583964,1.00032,-2.07
SPE01500233,0.990395,-0.53044,0,0.597994,0.990395,-0.35
SPE01500517,0.985068,-0.823999,0,0.505696,0.985068,-0.52
SPE01500632,0.976352,-1.30166,0,0.203938,0.976352,0.85
SPE01502248,1.01031,0.563518,0,0.573106,1.01031,-2.69
SPE01505412,0.922891,-4.23814,0,3.6543e-05,0.922891,6.52
SPE01500210,1.00796,0.433979,0,0.66458,1.00796,-2.16
SPE01500235,0.948474,-2.83385,0,0.0110952,0.948474,4.23
SPE01500277,0.999616,-0.0241101,0,0.98077,0.999616,-1.23
SPE01500602,0.982181,-0.982075,0,0.343844,0.982181,0.61
SPE01500621,1.00505,0.274567,0,0.777862,1.00505,-1.81
SPE01500669,0.962863,-2.04242,0,0.0538226,0.962863,2.71
SPE01505465,0.0563089,-51.838,0,0,0.0563089,100.29
SPE01505805,1.02945,1.61506,0,0.127941,1.02945,-4.43
SPE00240929,0.886126,-6.25818,0,1.03068e-09,0.886126,10.96
SPE01500157,0.998391,-0.0916317,0,0.808716,0.998391,-1.13
SPE01500212,1.01998,1.09474,0,0.274042,1.01998,-3.46
SPE01500236,0.984945,-0.829771,0,0.410654,0.984945,0.31
SPE01500462,1.0152,0.832013,0,0.407376,1.0152,-2.93
SPE01500639,1.01732,0.949149,0,0.382594,1.01732,-3.17
SPE01500645,0.983157,-0.927262,0,0.463358,0.983157,0.51
SPE01501170,0.949516,-2.77616,0,0.00621964,0.949516,4.12
SPE01500237,0.991791,-0.45381,0,0.650636,0.991791,-0.01
SPE01500598,0.995987,-0.223327,0,0.823672,0.995987,-0.82
SPE01500633,0.0575039,-51.7724,0,0,0.0575039,100.18
SPE01500646,1.0198,1.08528,0,0.366756,1.0198,-3.13
SPE01502260,0.937338,-3.4452,0,0.00081255,0.937338,5.46
SPE01503604,0.991353,-0.47784,0,0.63438,0.991353,-0.2
SPE01504236,0.87973,-6.60995,0,1.41047e-09,0.87973,11.75
SPE01505172,1.01325,0.725363,0,0.507348,1.01325,-2.37
SPE01500172,0.994742,-0.292124,0,0.779402,0.994742,-0.14
SPE01500220,0.991361,-0.477224,0,0.641614,0.991361,0.24
SPE01500238,1.01791,0.981804,0,0.427566,1.01791,-2.6
SPE01500355,1.00196,0.104097,0,0.53631,1.00196,-1
SPE01500596,0.981474,-1.02091,0,0.325906,0.981474,1.24
SPE01500623,0.0597525,-51.649,0,0,0.0597525,99.96
SPE01500634,1.02726,1.49388,0,0.151124,1.02726,-3.61
SPE01503014,0.963901,-1.98624,0,0.0593608,0.963901,3.03
SPE01500224,0.916633,-4.58248,0,8.1041e-06,0.916633,8.23
SPE01500241,0.999528,-0.0287638,0,0.896294,0.999528,-0.65
SPE01500249,0.996234,-0.20939,0,0.713508,0.996234,-0.29
SPE01500552,0.975905,-1.32696,0,0.219704,0.975905,1.9
SPE01500570,0.984057,-0.878828,0,0.381694,0.984057,1.03
SPE01502003,1.00526,0.285778,0,0.780236,1.00526,-1.24
SPE01503403,0.901583,-5.40911,0,1.18276e-07,0.901583,9.86
SPE01505115,0.993735,-0.346876,0,0.73295,0.993735,-0.01
SPE01500114,0.997686,-0.129929,0,0.897316,0.997686,-2.49
SPE01500158,1.00678,0.369439,0,0.715674,1.00678,-3.54
SPE01500185,1.00191,0.102572,0,0.728126,1.00191,-2.98
SPE01500242,0.969359,-1.68564,0,0.107092,0.969359,0.63
SPE01500520,0.978969,-1.15831,0,0.249056,0.978969,-0.64
SPE01500767,0.927155,-4.00443,0,8.59114e-05,0.927155,5.12
SPE01501105,0.995561,-0.24651,0,0.81082,0.995561,-2.39
SPE01502111,0.997244,-0.154761,0,0.75314,0.997244,-2.6
SPE00200331,0.981291,-1.02977,0,0.408334,0.981291,-1.14
SPE01500179,1.01104,0.603672,0,0.573754,1.01104,-4.27
SPE01500182,0.929394,-3.88166,0,0.000238284,0.929394,4.69
SPE01500183,1.0023,0.12338,0,0.902522,1.0023,-3.34
SPE01500245,0.958001,-2.30923,0,0.039722,0.958001,1.61
SPE01501002,0.975365,-1.35567,0,0.2021,0.975365,-0.46
SPE01501104,1.01,0.545983,0,0.587262,1.01,-4.09
SPE01501109,0.989281,-0.592119,0,0.571698,0.989281,-1.94
SPE01500111,1.02178,1.19354,0,0.241342,1.02178,-5.73
SPE01500142,0.981159,-1.03819,0,0.31424,0.981159,-1.15
SPE01500169,0.055247,-51.8964,0,0,0.055247,100.25
SPE01500201,1.01397,0.764731,0,0.446346,1.01397,-4.83
SPE01500205,1.0018,0.0962379,0,0.923498,1.0018,-3.46
SPE01501003,0.993019,-0.386664,0,0.705494,0.993019,-2.7
SPE01501110,0.970693,-1.61378,0,0.223332,0.970693,-0.2
SPE01503007,0.994999,-0.277548,0,0.782294,0.994999,-2.97
SPE01500105,1.00191,0.102052,0,0.918968,1.00191,-3.9
SPE01500108,0.997878,-0.119622,0,0.904944,0.997878,-3.38
SPE01500120,0.994608,-0.299144,0,0.764846,0.994608,-2.98
SPE01500184,0.100621,-49.4039,0,0,0.100621,95.24
SPE01500457,1.01122,0.613517,0,0.539756,1.01122,-4.92
SPE01500530,0.974306,-1.41457,0,0.167548,0.974306,-0.82
SPE01501115,1.00658,0.358242,0,0.720894,1.00658,-4.4
SPE01504403,0.988001,-0.661922,0,0.509796,0.988001,-2.31
SPE01500113,1.02233,1.22369,0,0.223294,1.02233,-6.02
SPE01500159,1.02367,1.2974,0,0.199987,1.02367,-6.12
SPE01500166,1.00144,0.0761624,0,0.93933,1.00144,-3.7
SPE01500222,1.00089,0.0455352,0,0.882124,1.00089,-3.59
SPE01501005,0.971975,-1.54245,0,0.124241,0.971975,-0.37
SPE01501133,0.99555,-0.2477,0,0.802774,0.99555,-2.97
SPE01900002,0.975511,-1.34835,0,0.18567,0.975511,-0.73
SPE02300094,0.961709,-2.10725,0,0.104297,0.961709,0.62
SPE01500161,1.01722,0.943245,0,0.347346,1.01722,-5.28
SPE01500162,0.982922,-0.941083,0,0.347414,0.982922,-1.53
SPE01500187,0.996706,-0.183663,0,0.82465,0.996706,-3.03
SPE01500190,1.00056,0.0277459,0,0.970066,1.00056,-3.45
SPE01500451,0.906082,-5.16197,0,4.33114e-07,0.906082,6.87
SPE01500603,0.0571707,-51.7907,0,0,0.0571707,100.04
SPE01501128,1.00048,0.0236669,0,0.67227,1.00048,-3.47
SPE02300325,0.994367,-0.31298,0,0.638738,0.994367,-2.85
SPE01500112,1.00362,0.196028,0,0.84471,1.00362,-3.89
SPE01500139,0.993099,-0.382432,0,0.715536,0.993099,-2.74
SPE01500180,1.0109,0.59551,0,0.551528,1.0109,-4.66
SPE01500181,1.00107,0.0563823,0,0.624906,1.00107,-3.6
SPE01500328,0.061536,-51.5508,0,0,0.061536,99.55
SPE01501008,0.993276,-0.372769,0,0.72778,0.993276,-2.68
SPE01505188,1.00532,0.289648,0,0.77676,1.00532,-4.03
SPE02300214,0.97311,-1.48013,0,0.140951,0.97311,-0.45
SPE01500141,1.004,0.216815,0,0.82972,1.004,-3.79
SPE01500191,0.877251,-6.74619,0,8.66626e-10,0.877251,10.12
SPE01500200,0.0647296,-51.3759,0,0,0.0647296,99.21
SPE01500275,0.973082,-1.482,0,0.167828,0.973082,-0.42
SPE01501021,0.998135,-0.105644,0,0.838108,0.998135,-3.15
SPE01501161,1.00767,0.418212,0,0.675796,1.00767,-4.19
SPE01503925,0.985412,-0.805037,0,0.509612,0.985412,-1.77
SPE01504105,0.362762,-35.0056,0,0,0.362762,66.53
SPE01500134,0.991453,-0.47246,0,0.636616,0.991453,-2.46
SPE01500163,1.00839,0.457636,0,0.648832,1.00839,-4.35
SPE01500202,0.0566535,-51.8192,0,0,0.0566535,100.09
SPE01500533,0.967714,-1.77669,0,0.0844334,0.967714,0.23
SPE01500873,0.949438,-2.78093,0,0.0142439,0.949438,2.12
SPE01501202,1.00139,0.0733353,0,0.890002,1.00139,-3.52
SPE01502029,1.01055,0.576562,0,0.56428,1.01055,-4.5
SPE01505187,1.00717,0.390673,0,0.69604,1.00717,-4.19
SPE01500126,0.995743,-0.236194,0,0.639008,0.995743,-2.79
SPE01500165,0.98954,-0.577708,0,0.56782,0.98954,-2.14
SPE01500167,1.01834,1.00427,0,0.336008,1.01834,-5.22
SPE01500263,1.00105,0.0539665,0,0.675876,1.00105,-3.25
SPE01500314,1.00029,0.0125448,0,0.777238,1.00029,-3.08
SPE01500473,0.791356,-11.4648,0,4.71682e-25,0.791356,19.67
SPE01500480,0.990376,-0.531702,0,0.596616,0.990376,-1.95
SPE01900005,0.981703,-1.00766,0,0.329564,0.981703,-1.09
SPE00201605,0.980916,-1.05082,0,0.320848,0.980916,-0.14
SPE01501137,0.981427,-1.02321,0,0.306674,0.981427,-0.21
SPE01502050,0.984401,-0.859792,0,0.38993,0.984401,-0.53
SPE01502203,0.989974,-0.553891,0,0.585886,0.989974,-1.08
SPE01503204,0.991179,-0.487647,0,0.62856,0.991179,-1.21
SPE01503239,1.02318,1.27032,0,0.20549,1.02318,-4.7
SPE01505005,0.99148,-0.470641,0,0.648282,0.99148,-1.27
SPE01601020,1.01916,1.04987,0,0.341848,1.01916,-4.27
SPE00200701,0.988708,-0.622936,0,0.546012,0.988708,-1.05
SPE01502116,1.00516,0.280418,0,0.781182,1.00516,-2.81
SPE01502196,0.96873,-1.72092,0,0.099528,0.96873,1.16
SPE01503276,1.00838,0.457211,0,0.648462,1.00838,-3.15
SPE01503918,1.01279,0.699606,0,0.495654,1.01279,-3.64
SPE01504257,1.01661,0.909492,0,0.37109,1.01661,-4.05
SPE01504263,0.972388,-1.51966,0,0.128605,0.972388,0.69
SPE01505317,0.958924,-2.25887,0,0.0288318,0.958924,2.1
SPE01501153,0.0570148,-51.7993,0,0,0.0570148,100.37
SPE01502197,1.01135,0.620426,0,0.541388,1.01135,-3.68
SPE01502198,0.992054,-0.439121,0,0.672422,0.992054,-1.76
SPE01502259,0.991465,-0.47183,0,0.637152,0.991465,-1.75
SPE01504268,0.978913,-1.161,0,0.25455,0.978913,-0.39
SPE01504273,1.00124,0.0653867,0,0.920324,1.00124,-2.65
SPE01505111,1.00056,0.027449,0,0.891062,1.00056,-2.64
SPE01505337,0.0576912,-51.7621,0,0,0.0576912,100.29
SPE01500651,1.01862,1.02021,0,0.318682,1.01862,-4.71
SPE01501139,0.965482,-1.89886,0,0.0589256,0.965482,1.22
SPE01501144,0.970435,-1.62698,0,0.104276,0.970435,0.64
SPE01502150,0.992961,-0.389453,0,0.699536,0.992961,-1.95
SPE01502258,1.05069,2.78124,0,0.00544336,1.05069,-8.24
SPE01504190,1.0195,1.06848,0,0.287578,1.0195,-4.85
SPE01505008,1.0035,0.189181,0,0.8508,1.0035,-3.03
SPE02300165,0.592529,-22.3845,0,0,0.592529,41.89
SPE01500428,0.994115,-0.326423,0,0.746474,0.994115,-1.89
SPE01501147,0.975009,-1.37558,0,0.171129,0.975009,0.02
SPE01501151,0.994068,-0.328434,0,0.755182,0.994068,-1.96
SPE01503009,0.995155,-0.269159,0,0.788118,0.995155,-1.99
SPE01503115,1.04817,2.64308,0,0.0082368,1.04817,-7.73
SPE01503806,0.960417,-2.17662,0,0.0489812,0.960417,1.85
SPE01505208,1.01025,0.560316,0,0.585812,1.01025,-3.61
SPE01505315,0.996017,-0.222037,0,0.82842,0.996017,-2.05
SPE01500122,0.992655,-0.407282,0,0.528472,0.992655,-2.67
SPE01500127,1.00139,0.0741906,0,0.4214,1.00139,-3.79
SPE01500196,0.126305,-47.9932,0,0,0.126305,92.73
SPE01501000,0.980016,-1.10066,0,0.271046,0.980016,-1.37
SPE01503002,0.967869,-1.76795,0,0.0777602,0.967869,0.68
SPE01503968,1.03122,1.71194,0,0.0869402,1.03122,-6.79
SPE01504259,1.01096,0.599433,0,0.566646,1.01096,-4.16
SPE01504260,1.01385,0.757806,0,0.450136,1.01385,-4.61
SPE01500315,0.435217,-31.025,0,0,0.435217,58.6
SPE01500545,1.0279,1.52939,0,0.128629,1.0279,-6.8
SPE01500864,1.00207,0.110684,0,0.860602,1.00207,-3.89
