supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.910683,-2.75963,0,0.00789438,0.910683,5.28
SPE01500764,1.01822,0.55673,0,0.578178,1.01822,-7.13
SPE01500779,1.03595,1.10425,0,0.275122,1.03595,-9.29
SPE01500833,1.02967,0.910653,0,0.372936,1.02967,-8.7
SPE01500867,0.987457,-0.392313,0,0.694826,0.987457,-4
SPE01500872,0.959838,-1.24442,0,0.213494,0.959838,-0.97
SPE01500901,0.992848,-0.226216,0,0.82127,0.992848,-4.9
SPE01500906,0.914401,-2.64566,0,0.0084321,0.914401,3.99
SPE01500525,1.03358,1.03065,0,0.302708,1.03358,-10
SPE01500984,0.973912,-0.809436,0,0.427298,0.973912,-2.99
SPE01501017,1.00597,0.179269,0,0.859418,1.00597,-6.93
SPE01501126,1.03168,0.971977,0,0.332022,1.03168,-10.02
SPE01501130,0.988426,-0.362655,0,0.717396,0.988426,-5.12
SPE01501172,0.969471,-0.947962,0,0.354346,0.969471,-2.97
SPE01501181,0.983703,-0.509571,0,0.637038,0.983703,-4.63
SPE01501204,0.553527,-13.7777,0,2.36819e-42,0.553527,45.19
SPE01502103,1.0653,2.00844,0,0.0475536,1.0653,-13.99
SPE01502128,1.06147,1.88991,0,0.0676176,1.06147,-13.47
SPE01502155,1.04598,1.41233,0,0.167782,1.04598,-11.58
SPE01502237,0.999792,-0.0128607,0,0.776032,0.999792,-6.13
SPE01502252,0.968241,-0.985495,0,0.326822,0.968241,-2.39
SPE01503044,0.949948,-1.55016,0,0.128478,0.949948,-0.21
SPE01503073,0.971694,-0.878532,0,0.379708,0.971694,-2.68
SPE01505299,0.9755,-0.759524,0,0.491264,0.9755,-3.65
SPE01503253,0.0794298,-28.4041,0,0,0.0794298,100.14
SPE01503341,0.0817611,-28.3322,0,0,0.0817611,99.87
SPE01503626,1.03619,1.11094,0,0.26733,1.03619,-10.15
SPE01503636,1.08813,2.7141,0,0.00781016,1.08813,-16.13
SPE01503722,0.915647,-2.6086,0,0.0119077,0.915647,3.76
SPE01503821,0.985631,-0.448792,0,0.653806,0.985631,-4.27
SPE01503904,0.769355,-7.11982,0,2.0652e-12,0.769355,20.68
SPE01503922,0.962535,-1.16319,0,0.314132,0.962535,-1.56
SPE01500699,1.07716,2.37431,0,0.0189783,1.07716,-14.83
SPE01502234,1.0762,2.34552,0,0.0196449,1.0762,-14.73
SPE01503982,1.06438,1.98027,0,0.0480928,1.06438,-13.33
SPE01504002,0.31206,-21.2275,0,0,0.31206,73.36
SPE01504025,0.990027,-0.313192,0,0.754334,0.990027,-4.59
SPE01504142,0.945698,-1.68198,0,0.117551,0.945698,0.64
SPE01504187,0.948064,-1.60853,0,0.120344,0.948064,0.5
SPE01505265,1.0086,0.261835,0,0.634446,1.0086,-6.9
SPE01504269,1.02708,0.83143,0,0.436886,1.02708,-8.22
SPE01504272,0.960188,-1.23466,0,0.237962,0.960188,-0.74
SPE01504410,1.04141,1.27206,0,0.203414,1.04141,-9.62
SPE01504604,1.0388,1.19087,0,0.241936,1.0388,-9.08
SPE01505200,0.972968,-0.838906,0,0.40404,0.972968,-1.36
SPE01505201,0.972824,-0.84379,0,0.398832,0.972824,-1.13
SPE01505203,0.877325,-3.79163,0,0.000534766,0.877325,9.9
SPE01505205,0.965367,-1.07338,0,0.285772,0.965367,0.09
SPE01505209,1.0137,0.414833,0,0.531048,1.0137,-5.17
SPE01505210,1.02984,0.916801,0,0.40014,1.02984,-6.8
SPE01505212,1.00916,0.278568,0,0.70776,1.00916,-4.25
SPE01505213,1.07506,2.31009,0,0.020902,1.07506,-11.42
SPE01505222,0.966577,-1.03585,0,0.306568,0.966577,0.95
