supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.976729,-1.12601,0,0.28845,0.976729,-0.08
SPE01500764,0.992742,-0.356888,0,0.726698,0.992742,-2
SPE01500779,1.00542,0.253195,0,0.800374,1.00542,-3.56
SPE01500833,1.02298,1.09683,0,0.285262,1.02298,-5.66
SPE01500867,0.984368,-0.748927,0,0.548208,0.984368,-1.58
SPE01500872,0.974228,-1.24307,0,0.214412,0.974228,-0.63
SPE01500901,0.981337,-0.899761,0,0.378416,0.981337,-1.57
SPE01500906,1.00167,0.0728527,0,0.941938,1.00167,-3.98
SPE01500525,1.01444,0.684434,0,0.49661,1.01444,-5.72
SPE01500984,0.954822,-2.17021,0,0.0369572,0.954822,1.04
SPE01501017,1.00504,0.231446,0,0.74473,1.00504,-4.83
SPE01501126,1.01516,0.718164,0,0.479946,1.01516,-6.11
SPE01501130,0.979996,-0.965734,0,0.334394,0.979996,-2.34
SPE01501172,0.991923,-0.389428,0,0.641696,0.991923,-3.76
SPE01501181,0.987168,-0.620491,0,0.54145,0.987168,-3.29
SPE01501204,0.767304,-11.1739,0,3.4444e-24,0.767304,21.21
SPE01502103,1.00344,0.15512,0,0.782838,1.00344,-5.22
SPE01502128,1.02422,1.15483,0,0.248482,1.02422,-7.56
SPE01502155,1.014,0.667128,0,0.525242,1.014,-6.42
SPE01502237,0.994777,-0.254295,0,0.756686,0.994777,-4.27
SPE01502252,0.982349,-0.851824,0,0.39923,0.982349,-2.85
SPE01503044,0.968236,-1.52817,0,0.132304,0.968236,-1.24
SPE01503073,0.960843,-1.89214,0,0.144747,0.960843,-0.39
SPE01505299,0.987905,-0.586637,0,0.55756,0.987905,-3.46
SPE01503253,0.061148,-45.0229,0,0,0.061148,100.01
SPE01503341,0.0677071,-44.7089,0,0,0.0677071,99.28
SPE01503626,1.02283,1.08613,0,0.28297,1.02283,-7.38
SPE01503636,1.03154,1.5056,0,0.132597,1.03154,-8.32
SPE01503722,0.961601,-1.85574,0,0.152684,0.961601,-0.55
SPE01503821,0.989831,-0.491948,0,0.6348,0.989831,-3.71
SPE01503904,0.843036,-7.53454,0,1.29784e-13,0.843036,12.68
SPE01503922,0.936735,-3.04189,0,0.0027605,0.936735,2.19
SPE01500699,1.03364,1.6031,0,0.1234,1.03364,-8.72
SPE01502234,1.03303,1.57408,0,0.128289,1.03303,-8.68
SPE01503982,1.01773,0.842842,0,0.399658,1.01773,-6.97
SPE01504002,0.676683,-15.5067,0,0,0.676683,31.17
SPE01504025,0.993083,-0.337067,0,0.739182,0.993083,-4.17
SPE01504142,0.971372,-1.37911,0,0.168187,0.971372,-1.72
SPE01504187,0.94668,-2.56743,0,0.0175691,0.94668,1.06
SPE01505265,0.977989,-1.05454,0,0.43315,0.977989,-2.47
SPE01504269,1.01079,0.507399,0,0.626896,1.01079,-6.11
SPE01504272,0.977736,-1.07512,0,0.283796,0.977736,-2.41
SPE01504410,1.02583,1.23126,0,0.218518,1.02583,-7.8
SPE01504604,1.03199,1.52975,0,0.142909,1.03199,-8.51
