supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.964043,-1.62916,0,0.155658,0.964043,-0.29
SPE01500764,0.993053,-0.312022,0,0.766,0.993053,-3.63
SPE01500779,1.0105,0.472891,0,0.650476,1.0105,-5.66
SPE01500833,1.01687,0.755314,0,0.450468,1.01687,-6.46
SPE01500867,1.00074,0.028236,0,0.894776,1.00074,-4.76
SPE01500872,0.974611,-1.14876,0,0.259596,0.974611,-1.94
SPE01500901,0.988917,-0.501424,0,0.616766,0.988917,-3.63
SPE01500906,0.990776,-0.42689,0,0.563312,0.990776,-3.91
SPE01500525,1.01478,0.671485,0,0.559668,1.01478,-6.78
SPE01500984,0.969817,-1.36233,0,0.173251,0.969817,-1.66
SPE01501017,1.01834,0.822041,0,0.411102,1.01834,-7.23
SPE01501126,1.02101,0.940318,0,0.35335,1.02101,-7.59
SPE01501130,0.996594,-0.158694,0,0.875346,0.996594,-4.92
SPE01501172,0.99581,-0.195836,0,0.77384,0.99581,-4.84
SPE01501181,0.975094,-1.12358,0,0.262136,0.975094,-2.52
SPE01501204,0.806074,-8.73529,0,9.65564e-18,0.806074,16.4
SPE01502103,0.993566,-0.292917,0,0.76959,0.993566,-4.52
SPE01502128,1.02051,0.906111,0,0.480836,1.02051,-7.49
SPE01502155,1.02231,0.997412,0,0.336468,1.02231,-7.67
SPE01502237,1.00411,0.184085,0,0.854406,1.00411,-5.62
SPE01502252,0.986198,-0.622594,0,0.53852,0.986198,-3.58
SPE01503044,0.97355,-1.1921,0,0.237692,0.97355,-2.15
SPE01503073,0.945251,-2.47172,0,0.017931,0.945251,1.01
SPE01505299,0.984732,-0.684894,0,0.53271,0.984732,-3.57
SPE01503253,0.0576972,-42.4246,0,0,0.0576972,100.08
SPE01503341,0.0627182,-42.1984,0,0,0.0627182,99.52
SPE01503626,1.02125,0.948207,0,0.375632,1.02125,-7.61
SPE01503636,1.01669,0.744992,0,0.468118,1.01669,-7.07
SPE01503722,0.736437,-11.8776,0,1.17567e-28,0.736437,24.21
SPE01503821,0.993127,-0.310654,0,0.758976,0.993127,-4.51
SPE01503904,0.697062,-13.6418,0,2.18406e-41,0.697062,28.6
SPE01503922,0.940324,-2.69233,0,0.008484,0.940324,1.41
SPE01500699,1.02111,0.942348,0,0.374906,1.02111,-7.6
SPE01502234,1.02836,1.27035,0,0.213346,1.02836,-8.4
SPE01503982,1.02762,1.23857,0,0.218074,1.02762,-8.28
SPE01504002,0.42701,-25.7901,0,0,0.42701,58.83
SPE01504025,0.988031,-0.545332,0,0.596342,0.988031,-3.75
SPE01504142,0.988506,-0.520262,0,0.603138,0.988506,-3.75
SPE01504187,0.945026,-2.4729,0,0.020135,0.945026,1.14
SPE01505265,0.984892,-0.682086,0,0.4974,0.984892,-3.57
SPE01504269,0.981858,-0.82294,0,0.42212,0.981858,-2.89
SPE01504272,0.978181,-0.984614,0,0.325836,0.978181,-2.52
SPE01504410,1.02831,1.27052,0,0.20397,1.02831,-8.04
SPE01504604,1.02793,1.2501,0,0.228776,1.02793,-7.97
SPE01505200,0.987875,-0.546088,0,0.594974,0.987875,-3.49
SPE01505201,0.993984,-0.272923,0,0.785854,0.993984,-4.13
SPE01505203,0.967443,-1.47264,0,0.157634,0.967443,-1.14
SPE01505205,0.947282,-2.36575,0,0.0592502,0.947282,1.13
SPE01505209,0.999581,-0.0147249,0,0.56746,0.999581,-4.66
SPE01505210,1.00814,0.362651,0,0.716898,1.00814,-5.57
SPE01505212,1.01253,0.564147,0,0.58609,1.01253,-6.03
SPE01505213,1.02799,1.24331,0,0.414912,1.02799,-7.69
SPE01505222,1.02312,1.03104,0,0.35641,1.02312,-7.1
SPE01505230,0.990001,-0.457145,0,0.660142,0.990001,-3.35
SPE01505244,0.98104,-0.859272,0,0.398538,0.98104,-2.28
SPE01505245,0.953841,-2.08384,0,0.0414128,0.953841,0.8
SPE01505248,0.968839,-1.40404,0,0.164884,0.968839,-0.79
SPE01505249,1.00517,0.232372,0,0.815104,1.00517,-4.73
SPE01505256,1.00332,0.143409,0,0.831534,1.00332,-4.44
SPE01505261,1.00774,0.343137,0,0.733704,1.00774,-4.86
SPE01505262,0.703389,-13.3725,0,2.37278e-33,0.703389,28.83
SPE01505263,1.00766,0.339641,0,0.736546,1.00766,-4.76
SPE01505264,0.978282,-0.976136,0,0.360222,0.978282,-1.5
SPE01505314,0.948424,-2.32809,0,0.0236254,0.948424,1.79
SPE01500663,0.964611,-1.59583,0,0.11074,0.964611,-0.18
SPE01505215,1.00144,0.0635439,0,0.860982,1.00144,-4.13
SPE01505267,0.960986,-1.76349,0,0.0919062,0.960986,0.38
SPE01505270,1.0142,0.631539,0,0.55023,1.0142,-5.58
SPE01505271,1.00697,0.311418,0,0.756078,1.00697,-4.82
SPE01505281,1.00788,0.353707,0,0.727336,1.00788,-4.96
SPE01505294,0.988264,-0.533437,0,0.597154,0.988264,-2.8
SPE01505296,0.998292,-0.0777707,0,0.849208,0.998292,-3.91
SPE01500523,0.964494,-1.60057,0,0.110468,0.964494,-0.09
SPE01505304,0.991793,-0.375049,0,0.711708,0.991793,-3.18
SPE01505305,0.987325,-0.583768,0,0.525176,0.987325,-2.67
SPE01505306,1.01299,0.579482,0,0.565886,1.01299,-5.5
SPE01505308,1.03658,1.63442,0,0.178192,1.03658,-8.09
SPE01505309,0.0619472,-42.2326,0,0,0.0619472,99.67
SPE01505310,1.00469,0.202042,0,0.663604,1.00469,-4.55
SPE01505312,0.985711,-0.636732,0,0.540438,0.985711,-2.45
SPE01500101,1.00865,0.392636,0,0.630124,1.00865,-7.64
SPE01500391,1.00475,0.208467,0,0.836526,1.00475,-7.16
SPE01500408,0.972637,-1.23842,0,0.230548,0.972637,-3.6
SPE01500497,0.984134,-0.726182,0,0.55549,0.984134,-4.8
SPE01500532,0.964067,-1.62252,0,0.107701,0.964067,-2.47
SPE01500556,1.02696,1.21715,0,0.28397,1.02696,-9.69
SPE01503242,0.979946,-0.907194,0,0.366214,0.979946,-4.41
SPE01504184,1.00635,0.278917,0,0.787482,1.00635,-7.29
SPE01500322,0.973842,-1.17855,0,0.245366,0.973842,-3.55
SPE01500395,1.00919,0.404978,0,0.70203,1.00919,-7.41
SPE01500434,0.997405,-0.117769,0,0.85551,0.997405,-6.17
SPE01500450,0.930839,-3.11972,0,0.00244246,0.930839,1.53
SPE01500536,1.01654,0.742391,0,0.460606,1.01654,-8.37
SPE01502013,0.996284,-0.172901,0,0.864688,0.996284,-5.82
SPE01503223,0.147024,-38.4033,0,0,0.147024,90.25
SPE01503816,1.01937,0.866836,0,0.390658,1.01937,-8.62
SPE00330082,0.968451,-1.42395,0,0.154771,0.968451,-1.94
SPE01500102,0.996004,-0.180905,0,0.858642,0.996004,-5.6
SPE01500168,1.02918,1.31083,0,0.190737,1.02918,-9.27
SPE01500399,0.988018,-0.546303,0,0.59868,0.988018,-4.53
SPE01500467,1.00125,0.0507754,0,0.867372,1.00125,-5.89
SPE01500538,0.994863,-0.234022,0,0.815142,0.994863,-5.53
SPE01500548,0.983538,-0.744126,0,0.45687,0.983538,-4.29
SPE01500566,0.994612,-0.248672,0,0.807844,0.994612,-5.01
SPE00330002,0.960127,-1.80199,0,0.0838756,0.960127,0.12
SPE01500135,0.99705,-0.130797,0,0.685556,0.99705,-4.9
SPE01500404,1.00023,0.00467974,0,0.859988,1.00023,-4.86
SPE01500502,0.974318,-1.16596,0,0.30043,0.974318,-1.81
SPE01500504,1.00737,0.330474,0,0.74455,1.00737,-6.18
SPE01500551,1.01116,0.500636,0,0.619496,1.01116,-6.37
SPE01500578,1.01631,0.732627,0,0.468954,1.01631,-6.81
