supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.963417,-0.931639,0,0.35698,0.963417,-0.52
SPE01500764,0.982601,-0.434759,0,0.672754,0.982601,-2.91
SPE01500779,1.0073,0.208538,0,0.837488,1.0073,-5.95
SPE01500833,1.03633,0.961195,0,0.3429,1.03633,-9.48
SPE01500867,1.01444,0.392775,0,0.69812,1.01444,-7.06
SPE01500872,0.965878,-0.86805,0,0.386248,0.965878,-1.5
SPE01500901,0.962709,-0.949377,0,0.367876,0.962709,-1.27
SPE01500906,1.01193,0.325392,0,0.497044,1.01193,-7.15
SPE01500525,1.02154,0.577927,0,0.56372,1.02154,-8.54
SPE01500984,0.956696,-1.10912,0,0.351822,0.956696,-0.77
SPE01501017,0.995823,-0.0897201,0,0.863434,0.995823,-5.62
SPE01501126,1.0402,1.06267,0,0.288292,1.0402,-10.95
SPE01501130,0.998553,-0.0196826,0,0.952244,0.998553,-6.1
SPE01501172,1.07001,1.83604,0,0.073936,1.07001,-14.56
SPE01501181,1.00197,0.0678604,0,0.69479,1.00197,-6.51
SPE01501204,0.904335,-2.47258,0,0.160287,0.904335,5.08
SPE01502103,0.973855,-0.662211,0,0.527476,0.973855,-3.17
SPE01502128,1.06798,1.78227,0,0.105722,1.06798,-14.24
SPE01502155,1.05187,1.3655,0,0.172111,1.05187,-12.29
SPE01502237,1.00135,0.0529367,0,0.91976,1.00135,-6.25
SPE01502252,1.0012,0.0489929,0,0.90833,1.0012,-6.14
SPE01503044,0.977915,-0.555565,0,0.578522,0.977915,-3.34
SPE01503073,0.963855,-0.923904,0,0.497642,0.963855,-1.61
SPE01505299,0.942605,-1.47153,0,0.165401,0.942605,0.47
SPE01503253,0.0988977,-23.391,0,0,0.0988977,100.23
SPE01503341,0.103542,-23.2702,0,0,0.103542,99.68
SPE01503626,1.04073,1.0774,0,0.308266,1.04073,-10.7
SPE01503636,1.04418,1.16649,0,0.251986,1.04418,-11.11
SPE01503722,0.80533,-5.03987,0,8.70366e-07,0.80533,17.08
SPE01503821,0.996026,-0.0863712,0,0.738912,0.996026,-5.29
SPE01503904,0.589454,-10.6481,0,2.61766e-25,0.589454,42.6
SPE01503922,0.949424,-1.29907,0,0.357394,0.949424,0.38
SPE01500699,1.03432,0.911124,0,0.390942,1.03432,-9.53
SPE01502234,1.03255,0.865028,0,0.419638,1.03255,-9.27
SPE01503982,1.11751,3.06652,0,0.0256918,1.11751,-19.1
SPE01504002,0.504372,-12.868,0,8.37676e-24,0.504372,52.9
SPE01504025,0.990085,-0.239805,0,0.811326,0.990085,-4.01
SPE01504142,0.986925,-0.322105,0,0.750096,0.986925,-3.55
SPE01504187,0.966949,-0.841508,0,0.418134,0.966949,-1.14
SPE01505265,0.959756,-1.02622,0,0.324668,0.959756,-0.82
SPE01504269,0.999616,0.00872514,0,0.879266,0.999616,-4.81
SPE01504272,0.918773,-2.09216,0,0.036637,0.918773,4.55
SPE01504410,1.02517,0.673288,0,0.52627,1.02517,-7.68
SPE01504604,1.0443,1.17029,0,0.268518,1.0443,-9.77
SPE01505200,0.976796,-0.586068,0,0.584294,0.976796,-1.74
SPE01505201,1.00256,0.0851901,0,0.900814,1.00256,-4.61
SPE01505203,0.950677,-1.26291,0,0.207656,0.950677,1.55
SPE01505205,0.977682,-0.562349,0,0.58038,0.977682,-1.46
SPE01505209,1.00369,0.114153,0,0.909314,1.00369,-4.36
SPE01505210,1.02417,0.647834,0,0.567494,1.02417,-6.63
