supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.947495,-2.21588,0,0.0280698,0.947495,2.71
SPE01500764,1.00074,0.0270233,0,0.825384,1.00074,-3.34
SPE01500779,1.0252,1.05934,0,0.295392,1.0252,-6.17
SPE01500833,1.01035,0.432749,0,0.665678,1.01035,-4.64
SPE01500867,0.978611,-0.901508,0,0.45063,0.978611,-1.21
SPE01500872,0.975209,-1.04905,0,0.319406,0.975209,-0.96
SPE01500901,0.971016,-1.2245,0,0.221326,0.971016,-0.59
SPE01500906,1.00877,0.366383,0,0.714296,1.00877,-4.93
SPE01500525,1.03034,1.27542,0,0.202296,1.03034,-7.56
SPE01500984,0.956315,-1.84187,0,0.08722,0.956315,0.85
SPE01501017,1.01052,0.439517,0,0.664382,1.01052,-5.43
SPE01501126,1.01575,0.661941,0,0.527336,1.01575,-6.11
SPE01501130,0.984266,-0.666016,0,0.505408,0.984266,-2.65
SPE01501172,0.989498,-0.447351,0,0.679748,0.989498,-3.28
SPE01501181,0.977675,-0.94225,0,0.370738,0.977675,-1.97
SPE01501204,0.86074,-5.87847,0,1.95286e-05,0.86074,11.17
SPE01502103,0.99838,-0.070517,0,0.85394,0.99838,-4.32
SPE01502128,1.0271,1.13775,0,0.264132,1.0271,-7.54
SPE01502155,1.03715,1.56373,0,0.140783,1.03715,-8.64
SPE01502237,0.994245,-0.244955,0,0.808124,0.994245,-3.78
SPE01502252,0.96915,-1.30529,0,0.252868,0.96915,-0.91
SPE01503044,0.979184,-0.879174,0,0.389372,0.979184,-2
SPE01503073,0.949434,-2.13036,0,0.0812102,0.949434,1.36
SPE01505299,0.965804,-1.44353,0,0.150013,0.965804,-0.66
SPE01503253,0.0690865,-39.2266,0,0,0.0690865,100.28
SPE01503341,0.0796716,-38.7802,0,0,0.0796716,99.09
SPE01503626,1.04435,1.86454,0,0.0709414,1.04435,-9.48
SPE01503636,1.0269,1.12879,0,0.285042,1.0269,-7.46
SPE01503722,0.953204,-1.97317,0,0.0625492,0.953204,0.75
SPE01503821,0.987836,-0.516408,0,0.611744,0.987836,-3.16
SPE01503904,0.961133,-1.63971,0,0.108654,0.961133,-0.17
SPE01503922,0.961151,-1.63827,0,0.124192,0.961151,-0.2
SPE01500699,1.03839,1.61452,0,0.106739,1.03839,-9.02
SPE01502234,1.03235,1.35958,0,0.175846,1.03235,-8.4
SPE01503982,1.02997,1.25957,0,0.207834,1.02997,-8.2
SPE01504002,0.648,-14.8285,0,1.70118e-42,0.648,34.89
