supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.96137,-1.9741,0,0.079651,0.96137,2.43
SPE01500764,0.9936,-0.324277,0,0.750078,0.9936,-1.2
SPE01500779,1.00738,0.371236,0,0.711514,1.00738,-2.84
SPE01500833,1.01632,0.828028,0,0.408398,1.01632,-3.96
SPE01500867,1.00006,0.00210009,0,0.92938,1.00006,-2.34
SPE01500872,0.973058,-1.36345,0,0.217042,0.973058,0.44
SPE01500901,0.972921,-1.39206,0,0.294088,0.972921,0.33
SPE01500906,0.893061,-5.42746,0,4.39072e-07,0.893061,8.87
SPE01500525,1.01389,0.699789,0,0.493284,1.01389,-4.55
SPE01500984,0.95499,-2.30192,0,0.05966,0.95499,2.01
SPE01501017,1.00749,0.375706,0,0.710842,1.00749,-3.98
SPE01501126,1.02719,1.37609,0,0.176008,1.02719,-6.26
SPE01501130,0.99139,-0.436613,0,0.667868,0.99139,-2.46
SPE01501172,0.979214,-1.05649,0,0.294096,0.979214,-1.19
SPE01501181,0.985337,-0.749642,0,0.457522,0.985337,-1.91
SPE01501204,0.674827,-16.5409,0,0,0.674827,32.11
SPE01502103,1.00041,0.0174445,0,0.960234,1.00041,-3.68
SPE01502128,1.01301,0.665935,0,0.542992,1.01301,-5.08
SPE01502155,1.02534,1.28562,0,0.198599,1.02534,-6.44
SPE01502237,0.994891,-0.261085,0,0.794258,0.994891,-3.11
SPE01502252,0.984357,-0.787085,0,0.50604,0.984357,-1.96
SPE01503044,0.970007,-1.52942,0,0.132451,0.970007,-0.4
SPE01503073,0.972954,-1.3818,0,0.186763,0.972954,-0.75
SPE01505299,0.978427,-1.10372,0,0.292112,0.978427,-1.24
SPE01503253,0.0554243,-48.0126,0,0,0.0554243,100.04
SPE01503341,0.0566416,-47.9506,0,0,0.0566416,99.9
SPE01503626,1.01712,0.865835,0,0.38951,1.01712,-5.88
SPE01503636,1.01535,0.779126,0,0.43765,1.01535,-5.62
SPE01503722,0.956941,-2.18623,0,0.0332062,0.956941,0.7
SPE01503821,0.989288,-0.536966,0,0.624282,0.989288,-2.92
SPE01503904,0.833035,-8.48073,0,1.71109e-16,0.833035,14.26
SPE01503922,0.959692,-2.05168,0,0.0407026,0.959692,0.22
SPE01500699,1.01643,0.838608,0,0.431426,1.01643,-6.25
SPE01502234,1.01993,1.00594,0,0.332128,1.01993,-6.71
SPE01503982,1.02611,1.31933,0,0.205734,1.02611,-7.46
SPE01504002,0.218314,-39.7843,0,0,0.218314,81.97
SPE01504025,0.977922,-1.12298,0,0.262516,0.977922,-2.2
SPE01504142,0.978174,-1.11359,0,0.26968,0.978174,-2.25
SPE01504187,0.960378,-2.01874,0,0.047118,0.960378,-0.29
SPE01505265,0.994671,-0.273278,0,0.784654,0.994671,-3.74
SPE01504269,1.01901,0.968037,0,0.349286,1.01901,-6.77
SPE01504272,1.00277,0.137066,0,0.89143,1.00277,-4.99
SPE01504410,1.01666,0.842433,0,0.401896,1.01666,-6.49
SPE01504604,1.01543,0.780688,0,0.436178,1.01543,-6.32
SPE01505200,0.978857,-1.07921,0,0.2859,0.978857,-2.23
SPE01505201,0.987192,-0.655124,0,0.515344,0.987192,-3.12
SPE01505203,0.974521,-1.30971,0,0.306616,0.974521,-1.69
SPE01505205,0.973045,-1.37518,0,0.176531,0.973045,-1.51
SPE01505209,0.995885,-0.210589,0,0.833388,0.995885,-4.02
SPE01505210,1.00493,0.250521,0,0.80373,1.00493,-5
SPE01505212,1.02003,1.01877,0,0.318102,1.02003,-6.65
SPE01505213,0.986155,-0.696005,0,0.553426,0.986155,-2.89
SPE01505222,0.99674,-0.161476,0,0.70846,0.99674,-4.05
SPE01505230,0.984497,-0.792735,0,0.433722,0.984497,-2.7
SPE01505244,0.98963,-0.537442,0,0.631888,0.98963,-3.28
