supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,1.00437,0.126075,0,0.850342,1.00437,-3.11
SPE01500764,0.970206,-0.878416,0,0.386678,0.970206,0.82
SPE01500779,1.00683,0.205065,0,0.68761,1.00683,-3.2
SPE01500833,1.01497,0.441288,0,0.662322,1.01497,-4.02
SPE01500867,0.950207,-1.46399,0,0.143749,0.950207,3.33
SPE01500872,0.90913,-2.66781,0,0.0131562,0.90913,8.01
SPE01500901,0.927476,-2.1321,0,0.033532,0.927476,6.06
SPE01500906,1.04253,1.24627,0,0.239102,1.04253,-6.69
SPE01500525,1.02237,0.65953,0,0.516572,1.02237,-4.25
SPE01500984,1.02081,0.611204,0,0.541254,1.02081,-4.17
SPE01501017,0.999275,-0.0232724,0,0.888872,0.999275,-1.59
SPE01501126,1.04497,1.32215,0,0.186155,1.04497,-6.63
SPE01501130,0.946726,-1.56938,0,0.125326,0.946726,4.32
SPE01501172,0.905506,-2.77548,0,0.00794852,0.905506,8.95
SPE01501181,0.923108,-2.26325,0,0.0255102,0.923108,7.09
SPE01501204,0.792293,-6.11361,0,9.48764e-09,0.792293,21.72
SPE01502103,0.967913,-0.94272,0,0.348632,0.967913,2.4
SPE01502128,1.07428,2.18742,0,0.0365366,1.07428,-9.3
SPE01502155,1.05623,1.65809,0,0.132154,1.05623,-7.25
SPE01502237,0.973481,-0.782889,0,0.446974,0.973481,1.91
SPE01502252,0.93724,-1.84394,0,0.0691312,0.93724,5.86
SPE01503044,0.935756,-1.89052,0,0.0597086,0.935756,5.93
SPE01503073,0.950943,-1.4438,0,0.150008,0.950943,4.09
SPE01505299,1.0084,0.248542,0,0.806246,1.0084,-2.19
SPE01503253,0.0851048,-26.9062,0,0,0.0851048,100.25
SPE01503341,0.0939648,-26.6459,0,0,0.0939648,99.24
SPE01503626,1.03054,0.898787,0,0.37168,1.03054,-5.54
SPE01503636,1.05578,1.64048,0,0.101606,1.05578,-8.18
SPE01503722,0.916837,-2.44268,0,0.0185426,0.916837,7.01
SPE01503821,0.952127,-1.40628,0,0.165107,0.952127,2.9
SPE01503904,0.302945,-20.4999,0,0,0.302945,75.68
SPE01503922,0.922857,-2.27601,0,0.053054,0.922857,5.86
SPE01500699,1.06339,1.86367,0,0.062386,1.06339,-10.4
SPE01502234,1.04528,1.33572,0,0.219922,1.04528,-8.51
SPE01503982,1.01755,0.518544,0,0.615502,1.01755,-5.46
SPE01504002,0.338013,-19.4683,0,0,0.338013,71.45
SPE01504025,0.939568,-1.77732,0,0.0755262,0.939568,3.34
SPE01504142,0.976875,-0.67979,0,0.49727,0.976875,-0.87
SPE01504187,0.938646,-1.80499,0,0.0713136,0.938646,3.47
SPE01505265,1.01983,0.584727,0,0.565278,1.01983,-5.29
SPE01504269,1.05455,1.60131,0,0.117316,1.05455,-9.55
SPE01504272,0.9761,-0.704874,0,0.485876,0.9761,-0.74
SPE01504410,1.01978,0.582196,0,0.562238,1.01978,-5.51
SPE01504604,1.04502,1.32382,0,0.186008,1.04502,-8.22
SPE01505200,0.902339,-2.87404,0,0.00457922,0.902339,8.01
SPE01505201,0.959344,-1.19545,0,0.232286,0.959344,1.71
SPE01505203,0.973322,-0.787066,0,0.440092,0.973322,0.27
SPE01505205,0.906038,-2.76481,0,0.00609486,0.906038,7.96
SPE01505209,1.03421,1.01046,0,0.359206,1.03421,-6.26
SPE01505210,1.03427,1.01022,0,0.328302,1.03427,-6.05
SPE01505212,1.05114,1.50718,0,0.153518,1.05114,-7.72
SPE01505213,1.02234,0.658117,0,0.514266,1.02234,-4.32
SPE01505222,0.887275,-3.31108,0,0.00169404,0.887275,10.87
SPE01505230,0.965322,-1.01908,0,0.310196,0.965322,2.28
SPE01505244,0.980073,-0.587897,0,0.560408,0.980073,0.71
SPE01505245,0.974414,-0.757338,0,0.485458,0.974414,1.39
SPE01505248,0.987717,-0.362159,0,0.717592,0.987717,-0.04
SPE01505249,0.935507,-1.89961,0,0.0652826,0.935507,5.8
SPE01505256,1.03202,0.939438,0,0.353818,1.03202,-4.92
SPE01505261,0.925805,-2.1798,0,0.0327488,0.925805,6.83
SPE01505262,1.00564,0.167702,0,0.846292,1.00564,-2.12
SPE01505263,0.999341,-0.020314,0,0.961062,0.999341,-1.55
SPE01505264,1.02349,0.688675,0,0.495798,1.02349,-4.4
SPE01505314,0.918709,-2.38983,0,0.0172557,0.918709,7.13
SPE01500663,0.945324,-1.60747,0,0.108621,0.945324,3.38
SPE01505215,0.967805,-0.945176,0,0.35162,0.967805,1.41
SPE01505267,0.958185,-1.22449,0,0.274148,0.958185,2.58
SPE01505270,1.05293,1.55678,0,0.120492,1.05293,-8.21
SPE01505271,1.01498,0.435881,0,0.684218,1.01498,-4.06
SPE01505281,1.05855,1.72198,0,0.0856314,1.05855,-9.04
SPE01505294,0.981554,-0.541036,0,0.593044,0.981554,-0.51
SPE01505296,0.953151,-1.37551,0,0.179528,0.953151,2.59
SPE01500523,0.986268,-0.405787,0,0.68796,0.986268,-1.75
SPE01505304,0.993659,-0.187793,0,0.851554,0.993659,-2.13
SPE01505305,0.943757,-1.65473,0,0.098312,0.943757,3.42
SPE01505306,1.02663,0.78413,0,0.436126,1.02663,-5.99
SPE01505308,1.16649,4.89946,0,3.20814e-06,1.16649,-21.83
SPE01505309,0.0914026,-26.7211,0,0,0.0914026,99.41
SPE01505310,1.00003,0.00247067,0,0.86843,1.00003,-3.18
SPE01505312,0.992556,-0.218836,0,0.826918,0.992556,-2.4
SPE01500101,1.02029,0.595006,0,0.553956,1.02029,-0.86
SPE01500391,0.992331,-0.22596,0,0.821236,0.992331,1.86
SPE01500408,1.01315,0.387771,0,0.700378,1.01315,0.18
SPE01500497,0.978122,-0.640638,0,0.53739,0.978122,3.24
SPE01500532,0.929375,-2.08146,0,0.0517742,0.929375,8.18
SPE01500556,1.03382,0.995828,0,0.324996,1.03382,-2.47
SPE01503242,0.976234,-0.698816,0,0.484994,0.976234,4.04
SPE01504184,0.954639,-1.33177,0,0.193555,0.954639,5.62
SPE01500322,0.989447,-0.308212,0,0.763588,0.989447,1.48
SPE01500395,0.96561,-1.01543,0,0.337208,0.96561,3.39
SPE01500434,0.96238,-1.10033,0,0.342844,0.96238,4.11
SPE01500450,0.84679,-4.50611,0,6.76538e-06,0.84679,16.28
SPE01500536,0.996336,-0.106937,0,0.915318,0.996336,0.55
SPE01502013,0.999558,-0.0144176,0,0.927464,0.999558,-0.72
SPE01503223,0.200285,-23.5176,0,0,0.200285,87.32
SPE01503816,1.07999,2.35716,0,0.0325374,1.07999,-8.94
SPE00330082,0.960007,-1.17796,0,0.243426,0.960007,3.94
SPE01500102,1.02949,0.869236,0,0.395482,1.02949,-4.67
SPE01500168,1.03107,0.912169,0,0.363434,1.03107,-4.85
SPE01500399,0.987887,-0.361064,0,0.70746,0.987887,0.03
SPE01500467,0.977288,-0.665157,0,0.521944,0.977288,1.45
SPE01500538,1.03692,1.09346,0,0.390372,1.03692,-5.38
SPE01500548,1.01124,0.333786,0,0.752068,1.01124,-2.4
SPE01500566,0.882226,-3.45655,0,0.00234344,0.882226,12.22
SPE00330002,0.961768,-1.12956,0,0.303544,0.961768,5.87
SPE01500135,1.02407,0.7121,0,0.512606,1.02407,-2.38
SPE01500404,0.961284,-1.13832,0,0.255538,0.961284,5.38
SPE01500502,0.978463,-0.630291,0,0.547214,0.978463,3.79
SPE01500504,1.05741,1.70004,0,0.277314,1.05741,-6.35
SPE01500551,1.00817,0.242857,0,0.791694,1.00817,-0.32
SPE01500578,1.00783,0.23029,0,0.818092,1.00783,0.04
SPE01500592,0.928528,-2.10044,0,0.0375784,0.928528,9.35
SPE01500264,1.00791,0.229234,0,0.80005,1.00791,1.29
SPE01500300,0.99055,-0.275409,0,0.789796,0.99055,3.3
SPE01500381,0.858548,-4.15763,0,4.40206e-05,0.858548,17.56
SPE01500503,0.959733,-1.18814,0,0.259826,0.959733,6.67
SPE01500539,1.07353,2.17011,0,0.0789218,1.07353,-5.94
SPE01500553,1.00918,0.273473,0,0.736004,1.00918,1.06
SPE01501188,0.0942748,-26.637,0,0,0.0942748,99.33
SPE01503923,0.939756,-1.76022,0,0.238854,0.939756,8.37
SPE01500115,0.877585,-3.60205,0,0.00038679,0.877585,15.04
SPE01500284,1.03232,0.953697,0,0.367502,1.03232,-1.33
SPE01500354,0.966266,-0.992997,0,0.321548,0.966266,5.66
SPE01500483,0.952603,-1.38855,0,0.215864,0.952603,7.07
SPE01500507,0.945717,-1.59736,0,0.111001,0.945717,7.76
SPE01500668,0.927123,-2.14708,0,0.0413038,0.927123,9.64
SPE01502113,1.05381,1.58304,0,0.115367,1.05381,-3.54
SPE01503422,0.111572,-26.127,0,0,0.111572,97.47
SPE01500137,1.07796,2.29674,0,0.0328624,1.07796,-6.73
SPE01500216,1.04835,1.42406,0,0.167609,1.04835,-3.97
SPE01500267,0.989785,-0.295241,0,0.636652,0.989785,2.09
SPE01500364,0.953858,-1.3615,0,0.204354,0.953858,4.59
SPE01500518,0.955366,-1.30652,0,0.259792,0.955366,5.13
SPE01500521,0.72655,-8.04162,0,9.13134e-16,0.72655,29.83
SPE01500541,1.0449,1.32347,0,0.206098,1.0449,-3.36
SPE02300241,0.842546,-4.63097,0,3.75758e-06,0.842546,17.77
SPE01500110,1.04774,1.40848,0,0.199118,1.04774,-6.19
SPE01500244,1.031,0.913456,0,0.370802,1.031,-4.46
SPE01500276,1.0633,1.86003,0,0.0636634,1.0633,-8.11
SPE01500489,0.993382,-0.19837,0,0.768266,0.993382,-0.44
SPE01500499,0.972695,-0.804904,0,0.425532,0.972695,1.8
SPE01500510,0.816179,-5.40652,0,6.93542e-08,0.816179,19.09
SPE01500605,1.01506,0.436625,0,0.629782,1.01506,-2.94
SPE01501118,0.947098,-1.55228,0,0.140765,0.947098,5.08
SPE01500240,0.97632,-0.694957,0,0.49239,0.97632,1.35
SPE01500246,1.03269,0.967626,0,0.415544,1.03269,-4.88
SPE01500253,0.972263,-0.80941,0,0.493718,0.972263,1.84
SPE01500339,1.02933,0.869943,0,0.491532,1.02933,-4.43
SPE01500406,0.988811,-0.325073,0,0.71425,0.988811,0.03
SPE01500446,0.632931,-10.7874,0,1.176e-24,0.632931,39.43
SPE01500491,0.882497,-3.45206,0,0.000942378,0.882497,11.78
SPE02300270,0.929308,-2.08054,0,0.0390386,0.929308,6.68
SPE00330001,0.934637,-1.92354,0,0.0556102,0.934637,6.23
SPE01500104,1.10994,3.23838,0,0.00345436,1.10994,-13.09
SPE01500363,1.03442,1.01812,0,0.382958,1.03442,-4.77
SPE01500368,0.986353,-0.402684,0,0.688336,0.986353,0.51
SPE01500496,1.00733,0.213823,0,0.831836,1.00733,-1.79
SPE01500527,0.973247,-0.784466,0,0.445166,0.973247,1.88
SPE01500547,1.01541,0.458038,0,0.669892,1.01541,-2.73
SPE01503267,1.00564,0.161706,0,0.749178,1.00564,-1.64
SPE01500124,0.97538,-0.720496,0,0.496776,0.97538,4.88
SPE01500193,0.983053,-0.49744,0,0.621174,0.983053,4.28
SPE01500225,0.961368,-1.1425,0,0.321158,0.961368,6.2
SPE01500304,1.03176,0.93198,0,0.355744,1.03176,0.22
SPE01500589,0.956622,-1.28017,0,0.23219,0.956622,7.98
SPE01500595,0.991431,-0.255226,0,0.804858,0.991431,3.84
SPE01502010,0.85813,-4.17601,0,6.7153e-05,0.85813,17.86
SPE01505376,1.04489,1.32001,0,0.187053,1.04489,-1.64
SPE01500145,0.980931,-0.561924,0,0.575134,0.980931,2.43
SPE01500230,0.957657,-1.24458,0,0.214864,0.957657,4.77
SPE01500590,1.03172,0.927338,0,0.398798,1.03172,-1.59
SPE01500597,1.05365,1.57579,0,0.117945,1.05365,-4.19
SPE01501145,0.980672,-0.566245,0,0.580676,0.980672,3.45
SPE01503017,0.840843,-4.68493,0,9.3193e-06,0.840843,17.93
SPE01503610,0.0861556,-26.8754,0,0,0.0861556,100.21
SPE01505432,1.13334,3.92218,0,0.000101901,1.13334,-13.35
SPE01500117,1.00062,0.0113601,0,0.56034,1.00062,-0.08
SPE01500231,0.966791,-0.977035,0,0.328576,0.966791,3.45
SPE01500581,1.03617,1.06429,0,0.289152,1.03617,-4.21
SPE01500614,1.01878,0.553916,0,0.585856,1.01878,-2.22
SPE01500839,0.97711,-0.677659,0,0.526908,0.97711,2.22
SPE01502001,0.979573,-0.602633,0,0.55075,0.979573,1.94
SPE01505453,1.06529,1.92007,0,0.0551804,1.06529,-7.46
SPE02300212,0.863078,-4.02496,0,6.7929e-05,0.863078,14.76
SPE01500136,0.995094,-0.145911,0,0.8847,0.995094,2.56
SPE01500232,0.971579,-0.838629,0,0.413294,0.971579,5.41
SPE01500588,1.04279,1.25602,0,0.215324,1.04279,-4.74
SPE01500604,1.00599,0.178451,0,0.811868,1.00599,-0.21
SPE01500666,0.989226,-0.321814,0,0.6962,0.989226,2.82
SPE01500667,1.05386,1.58204,0,0.116723,1.05386,-5.73
SPE01503648,0.977846,-0.648159,0,0.539054,0.977846,3.61
SPE01505396,1.01593,0.461264,0,0.58184,1.01593,-0.9
SPE00330064,0.950716,-1.44555,0,0.1746,0.950716,8.26
SPE01500207,0.969605,-0.895942,0,0.37635,0.969605,6.94
SPE01500227,1.05014,1.47099,0,0.15482,1.05014,-2.5
SPE01500233,0.886489,-3.33927,0,0.000884334,0.886489,15.83
SPE01500517,1.00448,0.131362,0,0.895494,1.00448,2.14
SPE01500632,0.941796,-1.71335,0,0.0892802,0.941796,9.59
SPE01502248,0.963074,-1.0841,0,0.286924,0.963074,7.48
SPE01505412,0.997448,-0.07532,0,0.939962,0.997448,3.49
SPE01500210,0.935083,-1.91215,0,0.0639018,0.935083,9.89
SPE01500235,0.22326,-22.8453,0,0,0.22326,85.72
SPE01500277,1.0765,2.24587,0,0.0310914,1.0765,-4.21
SPE01500602,1.05233,1.53205,0,0.184851,1.05233,-1.63
SPE01500621,0.988565,-0.337274,0,0.736318,0.988565,4.67
SPE01500669,0.934397,-1.93326,0,0.066929,0.934397,10.22
SPE01505465,0.0884639,-26.8081,0,0,0.0884639,100.21
SPE01505805,1.06679,1.97116,0,0.101714,1.06679,-3.32
SPE00240929,0.461026,-15.8482,0,0,0.461026,59.85
SPE01500157,1.00028,0.0111726,0,0.7656,1.00028,1.99
SPE01500212,0.999534,-0.0134835,0,0.956818,0.999534,0.68
SPE01500236,0.885505,-3.37259,0,0.00200304,0.885505,12.85
SPE01500462,1.01333,0.388247,0,0.709874,1.01333,0.07
SPE01500639,0.977087,-0.673904,0,0.500468,0.977087,3.72
SPE01500645,0.773873,-6.64827,0,4.1573e-11,0.773873,25.5
SPE01501170,0.764815,-6.91955,0,1.93196e-11,0.764815,27.58
SPE01500237,0.9346,-1.92704,0,0.0659804,0.9346,6.23
SPE01500598,1.0546,1.60432,0,0.109446,1.0546,-6.26
