supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.944631,-1.76163,0,0.085832,0.944631,0.55
SPE01500764,0.991678,-0.269405,0,0.787648,0.991678,-4.82
SPE01500779,0.991033,-0.301129,0,0.768318,0.991033,-4.76
SPE01500833,1.03197,1.02249,0,0.306626,1.03197,-9.43
SPE01500867,1.00951,0.300037,0,0.764376,1.00951,-6.88
SPE01500872,1.01554,0.537585,0,0.525784,1.01554,-7.58
SPE01500901,0.981531,-0.575657,0,0.582808,0.981531,-3.71
SPE01500906,0.873343,-4.02791,0,0.00021843,0.873343,8.6
SPE01500525,1.01663,0.50433,0,0.64872,1.01663,-7.7
SPE01500984,0.956164,-1.4416,0,0.227594,0.956164,-0.82
SPE01501017,1.01349,0.404119,0,0.677432,1.01349,-7.34
SPE01501126,1.03273,1.05819,0,0.300802,1.03273,-9.51
SPE01501130,0.992501,-0.259752,0,0.766156,0.992501,-4.88
SPE01501172,1.00658,0.226426,0,0.762548,1.00658,-6.41
SPE01501181,0.978466,-0.68904,0,0.491174,0.978466,-3.11
SPE01501204,0.420809,-18.5921,0,0,0.420809,60.29
SPE01502103,0.930408,-2.24976,0,0.0330514,0.930408,2.58
SPE01502128,1.03473,1.10892,0,0.26756,1.03473,-9.18
SPE01502155,1.04861,1.5605,0,0.120704,1.04861,-10.69
SPE01502237,1.00384,0.149941,0,0.619674,1.00384,-5.57
SPE01502252,1.00093,0.0123709,0,0.787798,1.00093,-5.18
SPE01503044,0.982661,-0.540058,0,0.605236,0.982661,-3.09
SPE01503073,0.966741,-1.08143,0,0.294906,0.966741,-1.28
SPE01505299,0.956729,-1.38678,0,0.165531,0.956729,-0.48
SPE01503253,0.0720469,-29.8095,0,0,0.0720469,99.91
SPE01503341,0.0762305,-29.6757,0,0,0.0762305,99.43
SPE01503626,1.05059,1.6102,0,0.110461,1.05059,-10.9
SPE01503636,1.02722,0.855972,0,0.404716,1.02722,-8.22
