supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.94742,-2.38616,0,0.0302924,0.94742,2.86
SPE01500764,0.994992,-0.231333,0,0.817066,0.994992,-2.6
SPE01500779,1.01781,0.810232,0,0.420512,1.01781,-5.32
SPE01500833,1.01994,0.908385,0,0.369562,1.01994,-5.76
SPE01500867,1.01217,0.556764,0,0.588986,1.01217,-5.11
SPE01500872,0.984435,-0.708909,0,0.482606,0.984435,-2.25
SPE01500901,0.948308,-2.3606,0,0.0190431,0.948308,1.55
SPE01500906,0.972591,-1.25194,0,0.210602,0.972591,-1.35
SPE01500525,1.01046,0.46585,0,0.65362,1.01046,-6
SPE01500984,0.951479,-2.22024,0,0.0323836,0.951479,0.79
SPE01501017,1.01341,0.615316,0,0.558028,1.01341,-6.5
SPE01501126,1.02459,1.13326,0,0.35771,1.02459,-7.92
SPE01501130,0.99026,-0.43907,0,0.67659,0.99026,-4.24
SPE01501172,0.973642,-1.20235,0,0.230146,0.973642,-2.52
SPE01501181,0.982792,-0.780575,0,0.450942,0.982792,-3.67
SPE01501204,0.789442,-9.60714,0,8.26384e-20,0.789442,17.99
SPE01502103,1.0055,0.248149,0,0.804204,1.0055,-6.6
SPE01502128,1.01785,0.798749,0,0.466842,1.01785,-8.09
SPE01502155,1.0233,1.06818,0,0.327004,1.0233,-8.72
SPE01502237,0.995798,-0.193937,0,0.846334,0.995798,-5.63
SPE01502252,0.994328,-0.262589,0,0.79297,0.994328,-5.47
SPE01503044,0.971021,-1.32439,0,0.185798,0.971021,-2.83
SPE01503073,0.95654,-1.98605,0,0.048923,0.95654,-1.2
SPE01505299,0.973163,-1.22064,0,0.231638,0.973163,-2.84
SPE01503253,0.0633582,-42.6868,0,0,0.0633582,99.89
SPE01503341,0.0639705,-42.6584,0,0,0.0639705,99.82
SPE01503626,1.02679,1.21572,0,0.224464,1.02679,-9.26
SPE01503636,1.02764,1.2647,0,0.23703,1.02764,-9.32
SPE01503722,0.938645,-2.80184,0,0.00568224,0.938645,0.72
SPE01503821,1,-0.0034898,0,0.997216,1,-6.22
SPE01503904,0.863982,-6.19825,0,5.7127e-10,0.863982,9.2
SPE01503922,0.959203,-1.86042,0,0.0630688,0.959203,-1.61
