supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.983783,-0.639453,0,0.52253,0.983783,1.18
SPE01500764,1.00812,0.336019,0,0.749002,1.00812,-1.51
SPE01500779,1.01103,0.468993,0,0.640342,1.01103,-1.92
SPE01500833,1.01406,0.596423,0,0.551088,1.01406,-2.34
SPE01500867,0.986599,-0.54944,0,0.61198,0.986599,0.5
SPE01500872,0.971719,-1.16007,0,0.289758,0.971719,1.99
SPE01500901,0.961527,-1.57996,0,0.156415,0.961527,2.99
SPE01500906,0.932527,-2.81003,0,0.0534338,0.932527,6.01
SPE01500525,1.02837,1.20494,0,0.255048,1.02837,-4.49
SPE01500984,0.987273,-0.494586,0,0.621146,0.987273,0.03
SPE01501017,1.01462,0.67564,0,0.483436,1.01462,-3.1
SPE01501126,1.01487,0.616756,0,0.549,1.01487,-3.23
SPE01501130,0.981128,-0.766545,0,0.462792,0.981128,0.31
SPE01501172,0.976665,-0.956156,0,0.378252,0.976665,0.69
SPE01501181,0.963804,-1.52231,0,0.325872,0.963804,2
SPE01501204,0.598409,-16.4797,0,0,0.598409,41.52
SPE01502103,1.00898,0.381609,0,0.70585,1.00898,-3.12
SPE01502128,1.02521,1.06874,0,0.297862,1.02521,-4.93
SPE01502155,1.01643,0.698107,0,0.485512,1.01643,-4.03
SPE01502237,0.99408,-0.235881,0,0.786322,0.99408,-1.64
SPE01502252,0.976351,-0.97023,0,0.375,0.976351,0.25
SPE01503044,0.957007,-1.77298,0,0.132341,0.957007,2.31
SPE01503073,0.951966,-1.96347,0,0.0649492,0.951966,2.81
SPE01505299,0.998272,-0.0523749,0,0.933174,0.998272,-1.89
SPE01503253,0.0591609,-38.5981,0,0,0.0591609,99.93
SPE01503341,0.0630826,-38.4395,0,0,0.0630826,99.5
SPE01503626,1.02217,0.918541,0,0.366686,1.02217,-5.02
SPE01503636,1.02778,1.16055,0,0.245886,1.02778,-5.59
SPE01503722,0.881336,-4.85825,0,5.75736e-06,0.881336,10.29
SPE01503821,0.977982,-0.916447,0,0.450066,0.977982,-0.29
SPE01503904,0.69056,-12.7218,0,1.14081e-29,0.69056,31.01
