supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.959855,-1.64653,0,0.122052,0.959855,1.76
SPE01500764,1.0162,0.662325,0,0.509378,1.0162,-4.35
SPE01500779,1.00327,0.132992,0,0.883518,1.00327,-2.91
SPE01500833,1.01031,0.42278,0,0.68396,1.01031,-3.64
SPE01500867,0.99593,-0.168053,0,0.867376,0.99593,-2.04
SPE01500872,0.98206,-0.737263,0,0.46169,0.98206,-0.5
SPE01500901,0.992231,-0.321172,0,0.75136,0.992231,-1.57
SPE01500906,0.926844,-3.0029,0,0.00280572,0.926844,5.57
SPE01500525,1.01914,0.784137,0,0.435766,1.01914,-4.38
SPE01500984,0.98114,-0.774722,0,0.441204,0.98114,-0.29
SPE01501017,1.01204,0.493383,0,0.630744,1.01204,-3.57
SPE01501126,1.02919,1.1975,0,0.263178,1.02919,-5.39
SPE01501130,0.994292,-0.234625,0,0.819412,0.994292,-1.57
SPE01501172,0.99648,-0.147885,0,0.723472,0.99648,-1.78
SPE01501181,0.986168,-0.569361,0,0.56976,0.986168,-0.63
SPE01501204,0.74071,-10.636,0,1.70317e-25,0.74071,26.02
SPE01502103,0.98566,-0.589215,0,0.559394,0.98566,-0.5
SPE01502128,1.02116,0.866182,0,0.386416,1.02116,-4.33
SPE01502155,1.01472,0.602587,0,0.549662,1.01472,-3.6
SPE01502237,1.00042,0.015791,0,0.987402,1.00042,-2.04
SPE01502252,0.991268,-0.360018,0,0.71897,0.991268,-1.04
SPE01503044,0.987221,-0.526279,0,0.599896,0.987221,-0.6
SPE01503073,0.984848,-0.623685,0,0.534716,0.984848,-0.37
SPE01505299,0.988517,-0.473005,0,0.636836,0.988517,-0.84
SPE01503253,0.0603339,-38.5457,0,0,0.0603339,99.81
SPE01503341,0.0580171,-38.641,0,0,0.0580171,100.06
SPE01503626,1.01755,0.718447,0,0.473722,1.01755,-4.13
SPE01503636,1.02484,1.01806,0,0.31289,1.02484,-4.87
SPE01503722,0.921212,-3.23302,0,0.00126929,0.921212,6.3
SPE01503821,0.994917,-0.210158,0,0.83355,0.994917,-1.72
SPE01503904,0.735863,-10.8383,0,1.14952e-25,0.735863,26.41
SPE01503922,0.968192,-1.30676,0,0.192548,0.968192,1.15
SPE01500699,1.02225,0.911142,0,0.362694,1.02225,-4.77
SPE01502234,1.02893,1.18578,0,0.2396,1.02893,-5.5
SPE01503982,1.02121,0.867967,0,0.385824,1.02121,-4.65
SPE01504002,0.700833,-12.2698,0,1.37736e-31,0.700833,30.2
SPE01504025,0.994497,-0.22716,0,0.820536,0.994497,-1.68
SPE01504142,0.984959,-0.619412,0,0.540176,0.984959,-0.61
SPE01504187,0.981132,-0.776535,0,0.444784,0.981132,-0.17
SPE01505265,0.994053,-0.244891,0,0.808486,0.994053,-1.68
SPE01504269,1.01054,0.430794,0,0.666832,1.01054,-3.29
SPE01504272,0.97493,-1.02601,0,0.441546,0.97493,0.54
SPE01504410,1.02199,0.901614,0,0.381104,1.02199,-4.48
SPE01504604,1.01345,0.550123,0,0.582754,1.01345,-3.48
SPE01505200,0.992748,-0.297949,0,0.772074,0.992748,-1.15
SPE01505201,0.980762,-0.791199,0,0.430426,0.980762,0.23
SPE01505203,0.974277,-1.05945,0,0.353874,0.974277,1
SPE01505205,0.994312,-0.236437,0,0.782994,0.994312,-1.09
SPE01505209,1.01168,0.479229,0,0.65506,1.01168,-2.89
SPE01505210,1.01611,0.657736,0,0.522688,1.01611,-3.32
SPE01505212,1.02133,0.874388,0,0.396128,1.02133,-3.81
SPE01505213,0.993547,-0.267241,0,0.792408,0.993547,-0.77
SPE01505222,0.995385,-0.191321,0,0.848574,0.995385,-0.92
SPE01505230,0.98664,-0.550418,0,0.585856,0.98664,0.06
SPE01505244,0.984284,-0.646454,0,0.51812,0.984284,0.35
SPE01505245,0.986376,-0.560375,0,0.575388,0.986376,0.14
SPE01505248,0.982287,-0.726207,0,0.502884,0.982287,0.59
SPE01505249,1.00628,0.256934,0,0.80101,1.00628,-1.99
SPE01505256,1.0108,0.441142,0,0.659128,1.0108,-2.48
SPE01505261,1.03176,1.298,0,0.282054,1.03176,-4.76
SPE01505262,0.930703,-2.84395,0,0.0044746,0.930703,6.12
SPE01505263,0.520651,-19.5667,1,0.369482,0.520651,50.54
SPE01505264,0.988568,-0.472947,0,0.670964,0.988568,-0.2
SPE01505314,0.988648,-0.468511,0,0.648666,0.988648,-0.27
SPE01500663,0.987082,-0.531697,0,0.595054,0.987082,-0.49
SPE01505215,1.01179,0.482874,0,0.63661,1.01179,-2.9
SPE01505267,0.98188,-0.74175,0,0.54194,0.98188,0.41
SPE01505270,1.01232,0.502293,0,0.628752,1.01232,-3.02
SPE01505271,1.00651,0.2639,0,0.76706,1.00651,-2.45
SPE01505281,1.00194,0.0795847,0,0.718288,1.00194,-2.01
SPE01505294,0.972646,-1.12424,0,0.263702,0.972646,1.12
SPE01505296,0.990409,-0.39693,0,0.710574,0.990409,-0.83
SPE01500523,0.988649,-0.46672,0,0.642766,0.988649,-0.87
SPE01505304,1.00098,0.04014,0,0.730412,1.00098,-2.02
SPE01505305,1.00898,0.366768,0,0.7138,1.00898,-2.91
SPE01505306,1.02039,0.835671,0,0.415742,1.02039,-4.17
SPE01505308,1.05698,2.33265,0,0.0401248,1.05698,-8.17
SPE01505309,0.0738529,-37.9913,0,0,0.0738529,98.35
SPE01505310,0.998292,-0.0715463,0,0.943012,0.998292,-1.86
SPE01505312,0.99333,-0.277397,0,0.687696,0.99333,-1.35
SPE01500101,1.00699,0.283603,0,0.783104,1.00699,-2.87
SPE01500391,0.986544,-0.552227,0,0.595448,0.986544,-0.53
SPE01500408,0.973928,-1.07087,0,0.284794,0.973928,0.6
SPE01500497,0.972866,-1.1143,0,0.266482,0.972866,1.01
SPE01500532,0.985113,-0.612579,0,0.540742,0.985113,-0.22
SPE01500556,1.00303,0.123074,0,0.90235,1.00303,-2.38
SPE01503242,0.995868,-0.172108,0,0.855448,0.995868,-1.72
SPE01504184,0.979914,-0.827893,0,0.455326,0.979914,0.3
SPE01500322,0.983329,-0.686073,0,0.495506,0.983329,0.03
SPE01500395,0.977885,-0.909045,0,0.363896,0.977885,0.82
SPE01500434,0.983094,-0.694135,0,0.496332,0.983094,0.15
SPE01500450,0.945293,-2.24706,0,0.0303472,0.945293,4.4
SPE01500536,1.01798,0.73587,0,0.461898,1.01798,-3.67
SPE01502013,0.976766,-0.954694,0,0.339738,0.976766,1.05
SPE01503223,0.124478,-35.9151,0,0,0.124478,93.06
SPE01503816,1.00876,0.357685,0,0.720714,1.00876,-2.57
SPE00330082,0.922883,-3.16567,0,0.00175798,0.922883,7.09
SPE01500102,1.00041,0.0151118,0,0.987944,1.00041,-1.48
SPE01500168,1.00331,0.134617,0,0.891866,1.00331,-1.79
SPE01500399,0.983356,-0.684272,0,0.493962,0.983356,0.39
SPE01500467,0.976709,-0.958259,0,0.35232,0.976709,1.16
SPE01500538,1.01099,0.44841,0,0.657862,1.01099,-2.62
SPE01500548,1.0019,0.0758066,0,0.939108,1.0019,-1.63
SPE01500566,0.970423,-1.2156,0,0.228844,0.970423,1.9
SPE00330002,0.974243,-1.05816,0,0.289988,0.974243,2.13
SPE01500135,1.01093,0.445195,0,0.666838,1.01093,-2.25
SPE01500404,0.981838,-0.744075,0,0.51284,0.981838,1.11
SPE01500502,0.970756,-1.20291,0,0.254384,0.970756,2.37
SPE01500504,1.0096,0.391377,0,0.698296,1.0096,-2.18
SPE01500551,1.01634,0.668024,0,0.505716,1.01634,-2.76
SPE01500578,1.00858,0.351403,0,0.73323,1.00858,-1.84
SPE01500592,0.959785,-1.65183,0,0.100967,0.959785,3.62
SPE01500264,1.0138,0.565711,0,0.586782,1.0138,-1.79
SPE01500300,0.97783,-0.911733,0,0.366034,0.97783,2.13
SPE01500381,0.955315,-1.83849,0,0.147289,0.955315,4.6
SPE01500503,0.970063,-1.23009,0,0.220386,0.970063,3.02
SPE01500539,1.02566,1.05041,0,0.295584,1.02566,-3.23
SPE01500553,1.02409,0.987361,0,0.329382,1.02409,-2.98
SPE01501188,0.0671581,-38.2657,0,0,0.0671581,99.33
SPE01503923,0.961139,-1.59653,0,0.115076,0.961139,3.6
SPE01500115,0.939132,-2.5008,0,0.0229504,0.939132,6.32
SPE01500284,1.0085,0.347804,0,0.733332,1.0085,-1.14
SPE01500354,0.996522,-0.143508,0,0.869498,0.996522,0.15
SPE01500483,0.962687,-1.53141,0,0.130084,0.962687,3.79
SPE01500507,0.97532,-1.01235,0,0.337312,0.97532,2.47
SPE01500668,0.986624,-0.552906,0,0.625712,0.986624,1.25
SPE01502113,1.02041,0.835181,0,0.404876,1.02041,-2.41
SPE01503422,0.913554,-3.54551,0,0.000886422,0.913554,9.02
SPE01500137,1.02306,0.945929,0,0.370672,1.02306,-2.64
SPE01500216,1.00845,0.344195,0,0.732928,1.00845,-1.06
SPE01500267,0.98773,-0.505232,0,0.613768,0.98773,1.17
SPE01500364,0.971885,-1.15563,0,0.252824,0.971885,2.92
SPE01500518,0.966593,-1.37157,0,0.171729,0.966593,3.47
SPE01500521,0.829017,-7.01722,0,2.1213e-11,0.829017,18.14
SPE01500541,1.02435,0.995956,0,0.328166,1.02435,-2.77
SPE02300241,0.972785,-1.11744,0,0.266932,0.972785,2.79
SPE01500110,1.01666,0.682072,0,0.496266,1.01666,-1.82
SPE01500244,0.955433,-1.83088,0,0.0740298,0.955433,4.73
SPE01500276,1.0143,0.584187,0,0.562408,1.0143,-1.51
SPE01500489,0.984869,-0.622621,0,0.534112,0.984869,1.64
SPE01500499,0.970274,-1.22162,0,0.225552,0.970274,3.2
SPE01500510,0.912529,-3.59253,0,0.00132157,0.912529,9.32
SPE01500605,0.977404,-0.929704,0,0.365214,0.977404,2.35
SPE01501118,0.999449,-0.0254832,0,0.813338,0.999449,0
SPE01500240,1.01315,0.538501,0,0.593028,1.01315,-1.54
SPE01500246,0.985117,-0.611039,0,0.55086,0.985117,1.34
SPE01500253,1.00847,0.343894,0,0.745026,1.00847,-1.3
SPE01500339,1.0076,0.308971,0,0.764104,1.0076,-1.37
SPE01500406,0.97456,-1.04586,0,0.299752,0.97456,1.83
SPE01500446,0.952185,-1.96316,0,0.0498028,0.952185,4.11
SPE01500491,0.932817,-2.75756,0,0.00583818,0.932817,6.46
SPE02300270,0.970372,-1.21796,0,0.231914,0.970372,2.04
SPE00330001,0.967189,-1.34821,0,0.181279,0.967189,1.48
SPE01500104,1.02901,1.18904,0,0.23991,1.02901,-5.08
SPE01500363,0.999566,-0.0193279,0,0.975052,0.999566,-1.61
SPE01500368,0.964258,-1.46922,0,0.158619,0.964258,1.66
SPE01500496,0.980953,-0.78252,0,0.435694,0.980953,0.26
SPE01500527,1.0185,0.758894,0,0.468958,1.0185,-3.26
SPE01500547,1.00654,0.266052,0,0.792146,1.00654,-2.1
SPE01503267,1.01514,0.620331,0,0.540896,1.01514,-3.16
SPE01500124,0.981149,-0.775385,0,0.439918,0.981149,0.32
SPE01500193,0.971854,-1.15404,0,0.289948,0.971854,1.27
SPE01500225,0.984839,-0.624151,0,0.535144,0.984839,-0.01
SPE01500304,0.976127,-0.982108,0,0.33914,0.976127,0.5
SPE01500589,1.00428,0.174023,0,0.86185,1.00428,-2.49
SPE01500595,1.0118,0.483095,0,0.632358,1.0118,-3.18
SPE01502010,0.901147,-4.05461,0,0.000118633,0.901147,8.87
SPE01505376,1.00881,0.360523,0,0.721448,1.00881,-2.92
SPE01500145,0.958391,-1.70726,0,0.0958406,0.958391,3.34
SPE01500230,0.989081,-0.451941,0,0.669908,0.989081,0.12
SPE01500590,1.0037,0.147548,0,0.623188,1.0037,-1.98
SPE01500597,1.02693,1.1025,0,0.271048,1.02693,-4.42
SPE01501145,1.00517,0.211017,0,0.83407,1.00517,-2.01
SPE01503017,0.979977,-0.823607,0,0.41342,0.979977,0.92
SPE01503610,0.0608885,-38.5231,0,0,0.0608885,99.96
SPE01505432,1.01291,0.529544,0,0.614594,1.01291,-2.78
SPE01500117,1.00693,0.2811,0,0.786394,1.00693,-1.72
SPE01500231,0.971409,-1.17549,0,0.25009,0.971409,2.64
SPE01500581,1.00123,0.0494924,0,0.871834,1.00123,-0.95
SPE01500614,1.01443,0.590271,0,0.555008,1.01443,-2.45
SPE01500839,0.988625,-0.468438,0,0.639666,0.988625,0.56
SPE01502001,0.977098,-0.940866,0,0.347222,0.977098,1.88
SPE01505453,1.01205,0.493414,0,0.626552,1.01205,-2.04
SPE02300212,0.963812,-1.48543,0,0.140468,0.963812,3.37
SPE01500136,0.964416,-1.46276,0,0.160826,0.964416,4.38
SPE01500232,0.965069,-1.436,0,0.168577,0.965069,4.43
SPE01500588,1.01713,0.699245,0,0.511872,1.01713,-2.15
SPE01500604,1.0229,0.936292,0,0.364828,1.0229,-2.5
SPE01500666,0.990011,-0.41071,0,0.684352,0.990011,1.52
SPE01500667,1.00158,0.0638189,0,0.869186,1.00158,-0.37
SPE01503648,0.989997,-0.411866,0,0.680518,0.989997,1.35
SPE01505396,1.01649,0.675035,0,0.50049,1.01649,-1.65
SPE00330064,0.998733,-0.0535451,0,0.957308,0.998733,1.13
SPE01500207,0.961273,-1.59064,0,0.113055,0.961273,5.52
SPE01500227,1.03275,1.34222,0,0.181359,1.03275,-2.56
SPE01500233,0.969678,-1.24708,0,0.23579,0.969678,4.74
SPE01500517,1.01139,0.46387,0,0.656602,1.01139,-0.38
SPE01500632,0.927616,-2.97085,0,0.00297502,0.927616,8.84
SPE01502248,0.977897,-0.907366,0,0.372418,0.977897,3.66
SPE01505412,0.995851,-0.172744,0,0.864804,0.995851,1.54
SPE01500210,0.971847,-1.15663,0,0.247636,0.971847,5.03
SPE01500235,0.844748,-6.37077,0,3.39436e-10,0.844748,18.4
SPE01500277,1.03879,1.58973,0,0.11329,1.03879,-2.36
SPE01500602,1.0359,1.47041,0,0.142549,1.0359,-2.13
SPE01500621,0.987958,-0.49488,0,0.624318,0.987958,3.18
SPE01500669,0.945575,-2.23464,0,0.0262554,0.945575,7.69
SPE01505465,0.0596209,-38.5754,0,0,0.0596209,100.28
SPE01505805,1.03913,1.60343,0,0.108841,1.03913,-2.32
SPE00240929,0.86361,-5.59417,0,1.0113e-07,0.86361,16.78
SPE01500157,1.01516,0.623821,0,0.542274,1.01516,0.9
SPE01500212,0.987745,-0.503827,0,0.616524,0.987745,4.04
SPE01500236,0.963697,-1.49159,0,0.140854,0.963697,6.5
SPE01500462,1.01001,0.405112,0,0.471252,1.01001,1.67
SPE01500639,0.998333,-0.0699129,0,0.944288,0.998333,2.94
SPE01500645,0.943814,-2.30561,0,0.0224338,0.943814,8.62
SPE01501170,0.978125,-0.901728,0,0.436296,0.978125,4.62
SPE01500237,0.953026,-1.93033,0,0.0700278,0.953026,6.83
SPE01500598,1.02503,1.02464,0,0.308042,1.02503,0.02
SPE01500633,0.373428,-25.6744,0,0,0.373428,67.58
SPE01500646,0.983846,-0.663991,0,0.507372,0.983846,3.92
SPE01502260,0.969311,-1.25983,0,0.211716,0.969311,5.87
SPE01503604,1.01574,0.644781,0,0.525942,1.01574,0.83
SPE01504236,0.9486,-2.12152,1,0.437682,0.9486,7.92
SPE01505172,0.967931,-1.31525,0,0.217508,0.967931,5.43
SPE01500172,1.0204,0.834409,0,0.406508,1.0204,-0.74
SPE01500220,0.925449,-3.06091,0,0.0029418,0.925449,9.29
SPE01500238,0.981775,-0.750775,0,0.473008,0.981775,3.42
SPE01500355,1.0408,1.6729,0,0.0990326,1.0408,-2.68
SPE01500596,0.950716,-2.0219,0,0.0502828,0.950716,6.66
SPE01500623,0.0686021,-38.2064,0,0,0.0686021,99.31
SPE01500634,1.00608,0.246942,0,0.808194,1.00608,0.76
SPE01503014,1.02523,1.0322,0,0.308814,1.02523,-0.89
SPE01500224,0.998078,-0.0793845,0,0.82419,0.998078,2.09
SPE01500241,0.947358,-2.16152,0,0.0316978,0.947358,7.47
SPE01500249,1.00188,0.0773248,0,0.714008,1.00188,1.62
SPE01500552,1.0388,1.58782,0,0.144923,1.0388,-2.52
SPE01500570,1.01114,0.454716,0,0.652038,1.01114,0.48
SPE01502003,0.984121,-0.653549,0,0.515916,0.984121,3.42
SPE01503403,0.883108,-4.7959,0,1.81568e-06,0.883108,13.95
SPE01505115,1.01675,0.684437,0,0.500944,1.01675,-0.16
SPE01500114,0.995934,-0.170101,0,0.747964,0.995934,-1.7
SPE01500158,1.01662,0.680391,0,0.498272,1.01662,-3.98
SPE01500185,1.02018,0.827526,0,0.426002,1.02018,-4.36
SPE01500242,0.974891,-1.03196,0,0.3032,0.974891,0.6
SPE01500520,0.94765,-2.1506,0,0.040234,0.94765,3.42
SPE01500767,0.875223,-5.11624,0,5.1432e-06,0.875223,11.34
SPE01501105,0.9925,-0.308423,0,0.761468,0.9925,-1.42
SPE01502111,0.989633,-0.42769,0,0.67252,0.989633,-1.12
SPE00200331,0.969481,-1.2549,0,0.22651,0.969481,0.9
SPE01500179,1.02852,1.16772,0,0.245612,1.02852,-5.46
SPE01500182,0.91476,-3.49456,0,0.00259182,0.91476,6.9
SPE01500183,0.993725,-0.256288,0,0.59016,0.993725,-1.69
SPE01500245,0.978589,-0.88237,0,0.431358,0.978589,0.03
SPE01501002,0.976602,-0.960709,0,0.341508,0.976602,0.15
SPE01501104,1.01972,0.806835,0,0.421562,1.01972,-4.48
SPE01501109,0.990472,-0.393192,0,0.696938,0.990472,-1.33
SPE01500111,1.0115,0.469749,0,0.639382,1.0115,-3.71
