supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.897168,-5.65207,0,3.37916e-08,0.897168,7.63
SPE01500764,0.999849,-0.0168332,0,0.978656,0.999849,-3.7
SPE01500779,1.00902,0.490392,0,0.624716,1.00902,-4.69
SPE01500833,1.00703,0.376324,0,0.706764,1.00703,-4.45
SPE01500867,0.987816,-0.668097,0,0.507028,0.987816,-2.3
SPE01500872,0.988687,-0.625879,0,0.531442,0.988687,-2.38
SPE01500901,0.991845,-0.448738,0,0.65505,0.991845,-2.7
SPE01500906,0.907303,-5.0462,0,7.07754e-06,0.907303,6.66
SPE01500525,1.02064,1.12327,0,0.261326,1.02064,-5.8
SPE01500984,0.988531,-0.633213,0,0.526908,0.988531,-2.29
SPE01501017,1.00625,0.336965,0,0.736276,1.00625,-4.19
SPE01501126,1.01903,1.03592,0,0.300272,1.01903,-5.58
SPE01501130,0.994804,-0.291518,0,0.770656,0.994804,-2.89
SPE01501172,0.996102,-0.217626,0,0.827988,0.996102,-3.04
SPE01501181,0.963981,-2.00062,0,0.0619638,0.963981,0.51
SPE01501204,0.648333,-19.2959,0,0,0.648333,35.32
SPE01502103,0.957268,-2.30624,0,0.0632292,0.957268,1.29
SPE01502128,1.01655,0.911238,0,0.374058,1.01655,-5.24
SPE01502155,1.02644,1.44411,0,0.149321,1.02644,-6.32
SPE01502237,1.00164,0.0735291,0,0.867504,1.00164,-3.58
SPE01502252,0.998312,-0.107746,0,0.879364,0.998312,-3.23
SPE01503044,0.989923,-0.549735,0,0.588138,0.989923,-2.33
SPE01503073,0.984128,-0.886922,0,0.384224,0.984128,-1.75
SPE01505299,0.972263,-1.50844,0,0.152581,0.972263,-0.38
SPE01503253,0.0618719,-51.5359,0,0,0.0618719,99.96
SPE01503341,0.0637318,-51.4269,0,0,0.0637318,99.75
SPE01503626,1.01942,1.08296,0,0.336062,1.01942,-5.87
SPE01503636,1.01913,1.02742,0,0.318926,1.01913,-5.8
SPE01503722,0.898781,-5.52172,0,3.1587e-07,0.898781,7.44
SPE01503821,1.00377,0.208651,0,0.837126,1.00377,-4.17
SPE01503904,0.634781,-20.0091,0,0,0.634781,36.63
SPE01503922,0.975136,-1.39761,0,0.22107,0.975136,-1.02
SPE01500699,1.01933,1.07791,0,0.338498,1.01933,-5.94
SPE01502234,1.02219,1.20737,0,0.22738,1.02219,-6.28
SPE01503982,1.02676,1.46764,0,0.148395,1.02676,-6.79
SPE01504002,0.286677,-39.086,0,0,0.286677,75.1
SPE01504025,0.995212,-0.278033,0,0.783764,0.995212,-3.27
SPE01504142,0.989821,-0.573263,0,0.571478,0.989821,-2.64
SPE01504187,0.974281,-1.43862,0,0.187004,0.974281,-0.9
SPE01505265,0.986619,-0.735194,0,0.464014,0.986619,-2.3
SPE01504269,1.02283,1.24818,0,0.213958,1.02283,-6.15
SPE01504272,0.968037,-1.74738,0,0.0861436,0.968037,-0.16
SPE01504410,1.02282,1.26279,0,0.237884,1.02282,-6.05
SPE01504604,1.0127,0.694161,0,0.490194,1.0127,-4.84
SPE01505200,0.984863,-0.793869,0,0.554816,0.984863,-1.66
SPE01505201,1.00049,0.0237012,0,0.937426,1.00049,-3.29
SPE01505203,0.989908,-0.55211,0,0.584826,0.989908,-2.05
SPE01505205,0.989764,-0.58935,0,0.586728,0.989764,-1.96
SPE01505209,1.01248,0.68161,0,0.49758,1.01248,-4.38
SPE01505210,0.982313,-0.995564,0,0.351632,0.982313,-1
SPE01505212,1.00794,0.423862,0,0.672448,1.00794,-3.73
SPE01505213,0.990038,-0.549751,0,0.583078,0.990038,-1.68
SPE01505222,0.98678,-0.706407,0,0.524824,0.98678,-1.24
SPE01505230,0.997205,-0.168752,0,0.86767,0.997205,-2.3
SPE01505244,1.00272,0.15598,0,0.79567,1.00272,-2.83
SPE01505245,0.984489,-0.86962,0,0.398274,0.984489,-0.76
SPE01505248,0.978982,-1.14028,0,0.280496,0.978982,-0.1
SPE01505249,1.01623,0.867405,0,0.40279,1.01623,-4.12
SPE01505256,1.00087,0.0424169,0,0.966188,1.00087,-2.4
SPE01505261,1.00872,0.439576,0,0.599704,1.00872,-3.23
SPE01505262,0.634447,-20.0008,0,0,0.634447,37.59
SPE01505263,0.994963,-0.273255,0,0.788102,0.994963,-1.71
SPE01505264,1.00702,0.433569,0,0.339774,1.00702,-3.03
SPE01505314,0.982755,-0.93226,0,0.381968,0.982755,-0.38
SPE01500663,0.982901,-0.955251,0,0.35077,0.982901,-0.85
SPE01505215,0.981995,-1.01081,0,0.337676,0.981995,-0.34
SPE01505267,0.97361,-1.4376,0,0.166108,0.97361,0.6
SPE01505270,1.01005,0.567373,0,0.608266,1.01005,-3.45
SPE01505271,1.00873,0.461734,0,0.648992,1.00873,-3.36
SPE01505281,1.00661,0.357337,0,0.721148,1.00661,-3.23
SPE01505294,0.972017,-1.51136,0,0.183756,0.972017,0.47
SPE01505296,0.995006,-0.225988,0,0.3197,0.995006,-2.11
SPE01500523,0.984544,-0.869383,0,0.404894,0.984544,-1.63
SPE01505304,0.988047,-0.657963,0,0.511634,0.988047,-1.48
SPE01505305,1.00207,0.0853158,0,0.695408,1.00207,-3.09
SPE01505306,1.0133,0.71942,0,0.472084,1.0133,-4.39
SPE01505308,1.02259,1.2287,0,0.219334,1.02259,-5.49
SPE01505309,0.0699418,-51.0973,0,0,0.0699418,99.1
SPE01505310,1.00786,0.464263,0,0.49062,1.00786,-4.03
SPE01505312,0.990185,-0.540903,0,0.5895,0.990185,-2.17
SPE01500101,1.00305,0.163432,0,0.870456,1.00305,-0.85
SPE01500391,0.988343,-0.589776,0,0.376864,0.988343,0.6
SPE01500408,0.988539,-0.630435,0,0.52979,0.988539,0.85
SPE01500497,0.996443,-0.211089,0,0.83521,0.996443,-0.33
SPE01500532,1.01238,0.644399,0,0.568058,1.01238,-2.16
SPE01500556,1.01218,0.645266,0,0.53379,1.01218,-1.89
SPE01503242,0.979791,-1.1156,0,0.264826,0.979791,1.71
SPE01504184,0.995965,-0.26185,0,0.542748,0.995965,-0.34
SPE01500322,0.992415,-0.463859,0,0.487426,0.992415,-0.07
SPE01500395,1.0023,0.16208,0,0.423924,1.0023,-1.37
SPE01500434,0.962275,-2.03583,0,0.0936808,0.962275,3.04
SPE01500450,0.887496,-6.23645,0,3.32094e-07,0.887496,10.99
SPE01500536,1.02124,1.16582,0,0.251748,1.02124,-3.24
SPE01502013,0.993054,-0.394001,0,0.695666,0.993054,-0.38
SPE01503223,0.14388,-47.0292,0,0,0.14388,91.05
