supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.466456,-22.3584,0,0,0.466456,55.01
SPE01500764,0.997995,-0.0808261,0,0.79307,0.997995,-3.59
SPE01500779,1.00797,0.338762,0,0.746126,1.00797,-4.69
SPE01500833,1.00141,0.0422604,0,0.652158,1.00141,-3.97
SPE01500867,0.983188,-0.705545,0,0.48448,0.983188,-1.96
SPE01500872,0.978004,-0.928792,0,0.354144,0.978004,-1.39
SPE01500901,0.978471,-0.903909,0,0.369408,0.978471,-1.43
SPE01500906,0.870974,-5.43654,0,1.14635e-06,0.870974,10.42
SPE01500525,1.01941,0.820762,0,0.44498,1.01941,-5.9
SPE01500984,0.966139,-1.41165,0,0.200148,0.966139,-0.04
SPE01501017,1.01557,0.657515,0,0.529382,1.01557,-5.47
SPE01501126,1.02064,0.867677,0,0.396016,1.02064,-6.02
SPE01501130,1.00443,0.187069,0,0.85415,1.00443,-4.25
SPE01501172,0.989991,-0.432417,0,0.678824,0.989991,-2.69
SPE01501181,0.959652,-1.72758,0,0.26435,0.959652,0.62
SPE01501204,0.650804,-14.6689,0,2.8026e-45,0.650804,34.66
SPE01502103,0.948066,-2.17589,0,0.0341816,0.948066,1.88
SPE01502128,1.01707,0.719369,0,0.4868,1.01707,-5.73
SPE01502155,1.04356,1.79909,0,0.172105,1.04356,-8.66
SPE01502237,1.00003,-0.00231363,0,0.98349,1.00003,-3.84
SPE01502252,0.996974,-0.14305,0,0.67737,0.996974,-3.51
SPE01503044,0.98387,-0.677384,0,0.501254,0.98387,-2.06
SPE01503073,0.970402,-1.25201,0,0.221634,0.970402,-0.62
SPE01505299,0.972317,-1.16503,0,0.244048,0.972317,-0.8
SPE01503253,0.0581998,-39.5417,0,0,0.0581998,100
SPE01503341,0.0625412,-39.3581,0,0,0.0625412,99.52
SPE01503626,1.02527,1.04829,0,0.31157,1.02527,-6.93
SPE01503636,1.00961,0.396678,0,0.69245,1.00961,-5.14
SPE01503722,0.908797,-3.84621,0,0.000543246,0.908797,5.9
SPE01503821,0.999922,-0.00762688,0,0.993914,0.999922,-4.19
SPE01503904,0.327629,-28.2619,0,0,0.327629,70.15
SPE01503922,0.959773,-1.68333,0,0.105994,0.959773,0.19
SPE01500699,0.997256,-0.126914,0,0.789726,0.997256,-4.09
SPE01502234,1.02389,1.00472,0,0.328902,1.02389,-7.09
SPE01503982,1.02041,0.84845,0,0.39975,1.02041,-6.75
SPE01504002,0.222957,-32.6155,0,0,0.222957,81.7
SPE01504025,0.991195,-0.379868,0,0.710982,0.991195,-3.55
SPE01504142,0.988595,-0.481813,0,0.630072,0.988595,-3.27
SPE01504187,0.951518,-2.04874,0,0.0554682,0.951518,0.83
SPE01505265,0.974332,-1.0602,0,0.406904,0.974332,-1.47
SPE01504269,1.01131,0.47736,0,0.643912,1.01131,-5.84
