supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.963828,-1.59112,0,0.111913,0.963828,2.17
SPE01500764,1.00679,0.303031,0,0.748136,1.00679,-2.62
SPE01500779,1.0162,0.704219,0,0.484492,1.0162,-3.77
SPE01500833,0.991778,-0.365765,0,0.715214,0.991778,-1.24
SPE01500867,1.00128,0.0559814,0,0.899678,1.00128,-2.39
SPE01500872,0.995396,-0.205413,0,0.837252,0.995396,-1.87
SPE01500901,0.973265,-1.1805,0,0.244974,0.973265,0.43
SPE01500906,0.688291,-13.703,0,4.85134e-37,0.688291,31.49
SPE01500525,1.01586,0.701356,0,0.510482,1.01586,-4.57
SPE01500984,0.981634,-0.808522,0,0.418866,0.981634,-0.71
SPE01501017,1.02075,0.918598,0,0.40857,1.02075,-5.22
SPE01501126,1.01874,0.815074,0,0.420432,1.01874,-5.11
SPE01501130,0.9911,-0.398703,0,0.695736,0.9911,-2.18
SPE01501172,0.993599,-0.270959,0,0.614096,0.993599,-2.5
SPE01501181,0.964717,-1.5539,0,0.122588,0.964717,0.64
SPE01501204,0.726672,-12.0059,0,6.82932e-31,0.726672,26.82
SPE01502103,1.0112,0.490464,0,0.625328,1.0112,-4.5
SPE01502128,1.02253,1.00002,0,0.397742,1.02253,-5.71
SPE01502155,1.02068,0.897876,0,0.383352,1.02068,-5.49
SPE01502237,0.994135,-0.259858,0,0.795064,0.994135,-2.51
SPE01502252,0.997261,-0.1235,0,0.901712,0.997261,-2.81
SPE01503044,0.983336,-0.738025,0,0.46534,0.983336,-1.26
SPE01503073,0.968298,-1.38277,0,0.208038,0.968298,0.4
SPE01505299,0.984739,-0.677924,0,0.50676,0.984739,-1.6
SPE01503253,0.0618432,-41.1822,0,0,0.0618432,100.03
SPE01503341,0.0632077,-41.1216,0,0,0.0632077,99.88
SPE01503626,1.01958,0.846728,0,0.426216,1.01958,-5.31
SPE01503636,1.0247,1.0864,0,0.292186,1.0247,-5.86
SPE01503722,0.940329,-2.62564,0,0.00986002,0.940329,3.43
SPE01503821,0.983269,-0.745319,0,0.478778,0.983269,-1.26
SPE01503904,0.719867,-12.3087,0,1.41342e-31,0.719867,27.71
SPE01503922,0.971588,-1.23668,0,0.275028,0.971588,0.08
SPE01500699,1.05058,2.22966,0,0.050825,1.05058,-8.62
SPE01502234,1.02534,1.11493,0,0.280984,1.02534,-5.85
SPE01503982,1.01348,0.58536,0,0.560654,1.01348,-4.54
SPE01504002,0.363939,-27.913,0,0,0.363939,66.86
SPE01504025,0.986699,-0.589456,0,0.557758,0.986699,-1.51
SPE01504142,0.977831,-0.966122,0,0.368608,0.977831,-0.48
SPE01504187,0.980007,-0.87161,0,0.41129,0.980007,-0.69
SPE01505265,1.00821,0.358056,0,0.720732,1.00821,-3.96
SPE01504269,1.02278,1.00147,0,0.328674,1.02278,-5.35
SPE01504272,0.972146,-1.21742,0,0.24503,0.972146,0.19
SPE01504410,1.0208,0.908785,0,0.363484,1.0208,-5.12
SPE01504604,1.00318,0.125351,0,0.668966,1.00318,-3.19
SPE01505200,0.955514,-1.96859,0,0.0838276,0.955514,2.06
SPE01505201,0.989296,-0.478767,0,0.641262,0.989296,-1.61
SPE01505203,0.973405,-1.17186,0,0.242584,0.973405,0.17
SPE01505205,0.977906,-0.965097,0,0.355026,0.977906,-0.28
SPE01505209,1.01503,0.660356,0,0.515384,1.01503,-4.32
SPE01505210,1.01267,0.561418,0,0.598278,1.01267,-4.02
SPE01505212,1.02863,1.25807,0,0.219514,1.02863,-5.74
SPE01505213,1.03445,1.51373,0,0.140268,1.03445,-6.36
SPE01505222,0.990755,-0.407054,0,0.684764,0.990755,-1.56
SPE01505230,0.985015,-0.666249,0,0.515662,0.985015,-0.91
SPE01505244,0.973583,-1.16939,0,0.26151,0.973583,0.36
SPE01505245,0.973781,-1.14806,0,0.261726,0.973781,0.39
SPE01505248,0.9611,-1.70794,0,0.088431,0.9611,1.83
SPE01505249,1.01771,0.777717,0,0.443222,1.01771,-4.29
SPE01505256,1.00724,0.317056,0,0.752502,1.00724,-3.09
SPE01505261,1.00431,0.179117,0,0.795986,1.00431,-2.74
SPE01505262,0.646752,-15.5278,0,0,0.646752,36.26
SPE01505263,0.994566,-0.249625,0,0.76063,0.994566,-1.69
SPE01505264,0.998846,-0.0552768,0,0.955978,0.998846,-2.2
SPE01505314,0.960347,-1.74134,0,0.0821046,0.960347,1.94
SPE01500663,0.981184,-0.824696,0,0.415468,0.981184,-0.72
SPE01505215,1.00697,0.308899,0,0.76466,1.00697,-3.31
SPE01505267,0.969877,-1.3204,0,0.193091,0.969877,0.82
SPE01505270,1.00527,0.222137,0,0.8254,1.00527,-3.19
SPE01505271,1.00092,0.0368443,0,0.97061,1.00092,-2.76
SPE01505281,1.01425,0.630889,0,0.553404,1.01425,-4.26
SPE01505294,0.996957,-0.129757,0,0.781436,0.996957,-2.4
SPE01505296,0.990667,-0.406841,0,0.692252,0.990667,-1.74
SPE01500523,0.990297,-0.429779,0,0.667524,0.990297,-1.88
SPE01505304,0.987333,-0.565049,0,0.58297,0.987333,-1.42
SPE01505305,0.990587,-0.420061,0,0.67796,0.990587,-1.8
SPE01505306,1.02628,1.15275,0,0.252776,1.02628,-5.73
SPE01505308,1.03788,1.64138,0,0.17688,1.03788,-7.03
SPE01505309,0.0755038,-40.5849,0,0,0.0755038,98.54
SPE01505310,0.990808,-0.403692,0,0.688358,0.990808,-1.9
SPE01505312,0.983906,-0.702133,0,0.499966,0.983906,-1.16
SPE01500101,1.02685,1.16832,0,0.257088,1.02685,-4.6
SPE01500391,1.00429,0.182872,0,0.855406,1.00429,-2.34
