supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.961967,-1.67292,0,0.099667,0.961967,0.32
SPE01500764,1.0031,0.130012,0,0.896576,1.0031,-4.32
SPE01500779,1.00142,0.060674,0,0.78913,1.00142,-4.25
SPE01500833,1.02573,1.11785,0,0.270856,1.02573,-7.05
SPE01500867,1.0076,0.324802,0,0.747586,1.0076,-5.18
SPE01500872,0.99141,-0.383463,0,0.703686,0.99141,-3.51
SPE01500901,0.98965,-0.461089,0,0.649264,0.98965,-3.43
SPE01500906,0.97365,-1.1591,0,0.24648,0.97365,-1.78
SPE01500525,1.01256,0.542182,0,0.591136,1.01256,-6.32
SPE01500984,0.972479,-1.20884,0,0.22826,0.972479,-1.76
SPE01501017,1.01114,0.476672,0,0.652474,1.01114,-6.28
SPE01501126,1.01999,0.865215,0,0.405538,1.01999,-7.36
SPE01501130,0.995265,-0.215035,0,0.83152,0.995265,-4.7
SPE01501172,0.992421,-0.332206,0,0.752874,0.992421,-4.45
SPE01501181,0.993645,-0.284608,0,0.776328,0.993645,-4.66
SPE01501204,0.795425,-8.95308,0,6.00122e-18,0.795425,17.38
SPE01502103,0.988764,-0.503956,0,0.64588,0.988764,-4.34
SPE01502128,1.01561,0.671422,0,0.535364,1.01561,-7.4
SPE01502155,1.03004,1.30949,0,0.190556,1.03004,-9.05
SPE01502237,1.00305,0.130841,0,0.842136,1.00305,-6.05
SPE01502252,0.99722,-0.124586,0,0.865152,0.99722,-5.42
SPE01503044,0.987875,-0.536512,0,0.591668,0.987875,-4.4
SPE01503073,0.947766,-2.2864,0,0.0303424,0.947766,0.06
SPE01505299,0.965025,-1.53855,0,0.127821,0.965025,-1.62
SPE01503253,0.0539085,-41.4232,0,0,0.0539085,100.05
SPE01503341,0.0571112,-41.2826,0,0,0.0571112,99.69
SPE01503626,1.02356,1.02298,0,0.312196,1.02356,-8.64
SPE01503636,1.02539,1.09976,0,0.304776,1.02539,-8.81
SPE01503722,0.941565,-2.56799,0,0.014175,0.941565,0.53
SPE01503821,1.00253,0.108998,0,0.799494,1.00253,-6.29
SPE01503904,0.75935,-10.5395,0,8.48394e-26,0.75935,20.97
SPE01503922,0.944946,-2.40968,0,0.022682,0.944946,0.18
SPE01500699,1.01953,0.845222,0,0.415042,1.01953,-8.22
SPE01502234,1.02004,0.865136,0,0.424954,1.02004,-8.29
SPE01503982,1.02812,1.21999,0,0.24668,1.02812,-9.2
SPE01504002,0.564548,-19.0618,0,0,0.564548,42.8
SPE01504025,0.991731,-0.363353,0,0.725992,0.991731,-5.09
SPE01504142,0.994361,-0.251227,0,0.802156,0.994361,-5.38
SPE01504187,0.954017,-2.02366,0,0.056822,0.954017,-0.85
SPE01505265,0.981367,-0.822543,0,0.41296,0.981367,-3.92
SPE01504269,1.00602,0.254574,0,0.80362,1.00602,-6.63
SPE01504272,0.965693,-1.51126,0,0.144856,0.965693,-2.14
SPE01504410,1.01679,0.725718,0,0.48086,1.01679,-7.82
SPE01504604,1.02464,1.07595,0,0.291032,1.02464,-8.67
SPE01505200,0.99187,-0.361638,0,0.717656,0.99187,-4.97
SPE01505201,0.994317,-0.252658,0,0.801608,0.994317,-5.22
SPE01505203,0.994846,-0.227816,0,0.823818,0.994846,-5.26
SPE01505205,0.94522,-2.39475,0,0.0337376,0.94522,0.33
SPE01505209,0.981257,-0.834559,0,0.47451,0.981257,-3.7
SPE01505210,0.998526,-0.0698234,0,0.944342,0.998526,-5.57
SPE01505212,1.01457,0.632719,0,0.527114,1.01457,-7.3
SPE01505213,1.01264,0.547272,0,0.584282,1.01264,-7.01
SPE01505222,1.013,0.564922,0,0.574148,1.013,-6.96
SPE01505230,0.994505,-0.242688,0,0.812734,0.994505,-4.8
SPE01505244,0.997862,-0.100177,0,0.920388,0.997862,-5.1
SPE01505245,0.952076,-2.10257,0,0.0355986,0.952076,0.07
SPE01505248,0.967541,-1.4358,0,0.228444,0.967541,-1.61
SPE01505249,1.00674,0.283854,0,0.720218,1.00674,-5.91
SPE01505256,1.00388,0.161787,0,0.867142,1.00388,-5.54
SPE01505261,1.00565,0.234093,0,0.632856,1.00565,-5.69
SPE01505262,0.918576,-3.57808,0,0.00134675,0.918576,4.04
SPE01505263,0.993496,-0.287899,0,0.775932,0.993496,-4.21
SPE01505264,1.00271,0.113445,0,0.90972,1.00271,-5.18
SPE01505314,0.974953,-1.0991,0,0.279124,0.974953,-2.06
SPE01500663,0.954246,-2.00858,0,0.04469,0.954246,0.33
SPE01505215,1.00117,0.0375645,0,0.601992,1.00117,-4.95
SPE01505267,0.942924,-2.52142,0,0.0862652,0.942924,1.49
SPE01505270,1.01491,0.650243,0,0.524452,1.01491,-6.48
SPE01505271,0.997373,-0.119743,0,0.904808,0.997373,-4.54
SPE01505281,1.01289,0.560797,0,0.578604,1.01289,-6.27
SPE01505294,0.991918,-0.356098,0,0.727466,0.991918,-3.92
SPE01505296,1.00654,0.279642,0,0.780058,1.00654,-5.51
SPE01500523,0.947343,-2.3117,0,0.0213878,0.947343,1.47
SPE01505304,0.968465,-1.39536,0,0.242256,0.968465,-1.21
SPE01505305,0.996999,-0.151032,0,0.364104,0.996999,-4.32
SPE01505306,1.01751,0.757748,0,0.458384,1.01751,-6.53
SPE01505308,1.05327,2.31379,0,0.0633868,1.05327,-10.45
SPE01505309,0.0606335,-41.1277,0,0,0.0606335,99.38
SPE01505310,1.00419,0.180687,0,0.8537,1.00419,-4.9
SPE01505312,0.99496,-0.227135,0,0.820698,0.99496,-3.84
SPE01500101,1.01173,0.508623,0,0.611728,1.01173,-6.62
SPE01500391,1.0073,0.310569,0,0.762158,1.0073,-6.15
SPE01500408,0.96375,-1.59002,0,0.115137,0.96375,-1.26
SPE01500497,0.996469,-0.160272,0,0.872676,0.996469,-4.95
SPE01500532,0.956451,-1.9217,0,0.108214,0.956451,-0.52
SPE01500556,1.02564,1.10879,0,0.325418,1.02564,-8.18
SPE01503242,0.981687,-0.807193,0,0.419576,0.981687,-3.27
SPE01504184,1.00482,0.209102,0,0.80409,1.00482,-5.9
SPE01500322,0.962628,-1.6427,0,0.101994,0.962628,-1.23
SPE01500395,1.00946,0.402533,0,0.708472,1.00946,-6.48
SPE01500434,0.985679,-0.624691,0,0.58057,0.985679,-3.84
SPE01500450,0.960029,-1.74771,0,0.114106,0.960029,-0.96
SPE01500536,1.00154,0.0625457,0,0.950154,1.00154,-5.6
SPE01502013,0.993866,-0.27896,0,0.757552,0.993866,-4.75
SPE01503223,0.130796,-38.0588,0,0,0.130796,91.61
SPE01503816,1.0212,0.920537,0,0.360312,1.0212,-7.81
SPE00330082,0.918021,-3.59003,0,0.00045317,0.918021,3.75
SPE01500102,1.01881,0.819333,0,0.414976,1.01881,-7.56
SPE01500168,1.03181,1.39138,0,0.182869,1.03181,-9.01
SPE01500399,1.00613,0.25888,0,0.799074,1.00613,-6.15
