supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.985706,-0.677764,0,0.525098,0.985706,-1.99
SPE01500764,0.998991,-0.0124615,0,0.963444,0.998991,-3.57
SPE01500779,1.0033,0.202183,0,0.8411,1.0033,-4.16
SPE01500833,1.01203,0.649436,0,0.527998,1.01203,-5.23
SPE01500867,0.978081,-1.0789,0,0.3525,0.978081,-1.6
SPE01500872,0.965887,-1.67201,0,0.182195,0.965887,-0.33
SPE01500901,0.963825,-1.76977,0,0.252606,0.963825,-0.2
SPE01500906,1.02203,1.16306,0,0.364598,1.02203,-6.77
SPE01500525,1.00755,0.420857,0,0.675708,1.00755,-5.38
SPE01500984,0.976604,-1.13543,0,0.307366,0.976604,-1.83
SPE01501017,1.0155,0.821518,0,0.412054,1.0155,-6.37
SPE01501126,1.01609,0.848446,0,0.398212,1.01609,-6.54
SPE01501130,0.984066,-0.765317,0,0.445872,0.984066,-3.08
SPE01501172,0.982306,-0.848936,0,0.430998,0.982306,-2.95
SPE01501181,0.983732,-0.777262,0,0.467828,0.983732,-3.16
SPE01501204,0.774641,-11.3336,0,8.30908e-28,0.774641,20.17
SPE01502103,1.00339,0.205141,0,0.840776,1.00339,-5.41
SPE01502128,1.01894,0.990488,0,0.331918,1.01894,-7.14
SPE01502155,1.00917,0.503366,0,0.618668,1.00917,-6.04
SPE01502237,1.00025,0.04937,0,0.953318,1.00025,-5.05
SPE01502252,0.985624,-0.682761,0,0.515148,0.985624,-3.4
SPE01503044,0.971362,-1.39763,0,0.238416,0.971362,-1.8
SPE01503073,0.963249,-1.80941,0,0.104616,0.963249,-0.92
SPE01505299,0.988647,-0.533153,0,0.597436,0.988647,-3.76
SPE01503253,0.0636926,-47.2537,0,0,0.0636926,99.56
SPE01503341,0.0618846,-47.3464,0,0,0.0618846,99.76
SPE01503626,1.0234,1.21551,0,0.233566,1.0234,-7.82
SPE01503636,1.0242,1.26042,0,0.208086,1.0242,-7.86
SPE01503722,0.952215,-2.37707,0,0.018109,0.952215,0.11
SPE01503821,0.993371,-0.299139,0,0.766474,0.993371,-4.53
SPE01503904,0.794851,-10.3182,0,1.80383e-24,0.794851,17.68
SPE01503922,0.958331,-2.05961,0,0.0542818,0.958331,-0.68
SPE01500699,1.02875,1.48918,0,0.136475,1.02875,-8.72
SPE01502234,1.02523,1.30885,0,0.195904,1.02523,-8.38
SPE01503982,1.01694,0.89131,0,0.375742,1.01694,-7.49
SPE01504002,0.571769,-21.5903,0,0,0.571769,42.48
SPE01504025,0.989089,-0.516568,0,0.611942,0.989089,-4.38
SPE01504142,0.975119,-1.21515,0,0.233566,0.975119,-2.8
SPE01504187,0.959828,-1.97568,0,0.135238,0.959828,-1.06
SPE01505265,0.988652,-0.519355,0,0.42391,0.988652,-4.13
SPE01504269,1.00779,0.431058,0,0.66645,1.00779,-6.44
SPE01504272,0.987021,-0.616706,0,0.538054,0.987021,-4.12
SPE01504410,1.02282,1.18625,0,0.245776,1.02282,-8.11
SPE01504604,1.02463,1.2799,0,0.202682,1.02463,-8.29
SPE01505200,0.979261,-1.00793,0,0.31547,0.979261,-3.17
SPE01505201,0.991241,-0.401518,0,0.692526,0.991241,-4.48
SPE01505203,0.960781,-1.92841,0,0.135667,0.960781,-1.03
SPE01505205,0.975664,-1.1691,0,0.470848,0.975664,-2.67
SPE01505209,0.984721,-0.729361,0,0.47984,0.984721,-3.67
SPE01505210,1.00732,0.414894,0,0.682614,1.00732,-6.17
SPE01505212,1.01616,0.851497,0,0.398496,1.01616,-7.14
SPE01505213,1.01923,1.00721,0,0.315706,1.01923,-7.46
SPE01505222,1.00044,0.0617807,0,0.918004,1.00044,-5.33
SPE01505230,0.979303,-1.00402,0,0.324212,0.979303,-2.94
SPE01505244,0.9788,-1.03121,0,0.304388,0.9788,-2.86
SPE01505245,0.946272,-2.66892,0,0.0118022,0.946272,0.8
SPE01505248,0.980475,-0.943348,0,0.363942,0.980475,-3
SPE01505249,1.00143,0.10757,0,0.889998,1.00143,-5.32
SPE01505256,1.01278,0.683818,0,0.494364,1.01278,-6.54
SPE01505261,1.01674,0.887999,0,0.392318,1.01674,-6.93
SPE01505262,0.999463,0.0054711,0,0.770648,0.999463,-4.95
SPE01505263,0.994981,-0.213861,0,0.831608,0.994981,-4.39
SPE01505264,0.989447,-0.487321,0,0.659416,0.989447,-3.73
SPE01505314,0.962091,-1.87201,0,0.069726,0.962091,-0.66
