supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.947649,-2.4311,0,0.0152739,0.947649,3.11
SPE01500764,1.00202,0.0952688,0,0.841388,1.00202,-2.93
SPE01500779,1.01393,0.647153,0,0.518012,1.01393,-4.38
SPE01500833,1.01703,0.792144,0,0.437454,1.01703,-4.87
SPE01500867,0.988195,-0.547332,0,0.58821,0.988195,-1.89
SPE01500872,0.989613,-0.485575,0,0.644808,0.989613,-2.2
SPE01500901,0.985996,-0.653607,0,0.535248,0.985996,-1.95
SPE01500906,0.939738,-2.79188,0,0.0245822,0.939738,2.98
SPE01500525,1.01753,0.813626,0,0.415878,1.01753,-5.83
SPE01500984,0.960668,-1.82858,0,0.0716914,0.960668,0.54
SPE01501017,1.00275,0.12888,0,0.865148,1.00275,-4.34
SPE01501126,1.01485,0.692019,0,0.510518,1.01485,-5.79
SPE01501130,1.00344,0.161865,0,0.793852,1.00344,-4.65
SPE01501172,0.995535,-0.207582,0,0.835584,0.995535,-3.88
SPE01501181,0.98843,-0.537905,0,0.590734,0.98843,-3.19
SPE01501204,0.787912,-9.85004,0,6.96308e-23,0.787912,18.86
SPE01502103,0.980871,-0.890315,0,0.38108,0.980871,-2.62
SPE01502128,1.0192,0.892533,0,0.377964,1.0192,-6.92
SPE01502155,1.01863,0.865139,0,0.3876,1.01863,-6.91
SPE01502237,0.997339,-0.125043,0,0.90126,0.997339,-4.59
SPE01502252,0.990669,-0.435625,0,0.67069,0.990669,-3.87
SPE01503044,0.983082,-0.786782,0,0.432912,0.983082,-3.05
SPE01503073,0.971585,-1.31547,0,0.246896,0.971585,-1.81
SPE01505299,0.957393,-1.97923,0,0.0478036,0.957393,0.05
SPE01503253,0.0520743,-44.0277,0,0,0.0520743,100.08
SPE01503341,0.0531537,-43.9775,0,0,0.0531537,99.95
SPE01503626,1.02486,1.15409,0,0.248482,1.02486,-7.95
SPE01503636,1.01082,0.502081,0,0.61561,1.01082,-6.34
SPE01503722,0.912908,-4.04378,0,6.30456e-05,0.912908,4.45
SPE01503821,0.994423,-0.261647,0,0.800374,0.994423,-4.61
SPE01503904,0.658651,-15.8632,0,0,0.658651,32.68
SPE01503922,0.978364,-1.00226,0,0.343224,0.978364,-2.82
SPE01500699,1.00828,0.383745,0,0.70125,1.00828,-6.17
SPE01502234,1.02357,1.09431,0,0.273822,1.02357,-7.87
SPE01503982,1.02299,1.06825,0,0.289222,1.02299,-7.79
SPE01504002,0.291155,-32.9135,0,0,0.291155,73.52
SPE01504025,0.998669,-0.0625322,0,0.950184,0.998669,-5.01
SPE01504142,0.978372,-1.00556,0,0.316412,0.978372,-2.71
SPE01504187,0.976389,-1.09686,0,0.272716,0.976389,-2.45
SPE01505265,0.958384,-1.936,0,0.0658398,0.958384,-0.62
SPE01504269,0.998178,-0.0887681,0,0.666042,0.998178,-4.81
SPE01504272,0.968894,-1.44374,0,0.153129,0.968894,-1.59
SPE01504410,1.01585,0.73575,0,0.461904,1.01585,-6.76
SPE01504604,1.01816,0.842331,0,0.400736,1.01816,-7.02
SPE01505200,0.991962,-0.37179,0,0.716254,0.991962,-4.11
SPE01505201,0.98439,-0.726901,0,0.474318,0.98439,-3.27
