supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.967124,-1.54406,0,0.122784,0.967124,1.44
SPE01500764,0.996175,-0.182332,0,0.857584,0.996175,-1.77
SPE01500779,1.01578,0.739212,0,0.461534,1.01578,-3.96
SPE01500833,1.01163,0.545549,0,0.59219,1.01163,-3.58
SPE01500867,0.99538,-0.217516,0,0.828882,0.99538,-1.88
SPE01500872,1.00024,0.00730574,0,0.724634,1.00024,-2.49
SPE01500901,0.972737,-1.27558,0,0.301902,0.972737,0.44
SPE01500906,0.966964,-1.55401,0,0.145569,0.966964,0.99
SPE01500525,1.01103,0.516158,0,0.606918,1.01103,-3.95
SPE01500984,0.978459,-1.0106,0,0.322632,0.978459,-0.33
SPE01501017,1.00942,0.439206,0,0.664952,1.00942,-3.84
SPE01501126,1.01735,0.81103,0,0.426778,1.01735,-4.77
SPE01501130,0.98725,-0.59638,0,0.591726,0.98725,-1.52
SPE01501172,0.97422,-1.21267,0,0.238192,0.97422,-0.16
SPE01501181,0.984787,-0.715102,0,0.474662,0.984787,-1.36
SPE01501204,0.796823,-9.53302,0,1.78663e-21,0.796823,19.13
SPE01502103,0.993139,-0.324635,0,0.748624,0.993139,-2.46
SPE01502128,1.01906,0.892372,0,0.3722,1.01906,-5.36
SPE01502155,1.02262,1.06029,0,0.292298,1.02262,-5.81
SPE01502237,0.995086,-0.230258,0,0.798328,0.995086,-2.85
SPE01502252,0.992369,-0.360122,0,0.71946,0.992369,-2.6
SPE01503044,0.985316,-0.689369,0,0.495344,0.985316,-1.88
SPE01503073,0.962684,-1.7501,0,0.0915576,0.962684,0.55
SPE01505299,0.980145,-0.932908,0,0.350906,0.980145,-0.98
SPE01503253,0.0566354,-44.2567,0,0,0.0566354,100.05
SPE01503341,0.0582283,-44.1819,0,0,0.0582283,99.87
SPE01503626,1.01818,0.849593,0,0.40583,1.01818,-5.8
SPE01503636,1.01569,0.736222,0,0.473214,1.01569,-5.47
SPE01503722,0.931734,-3.20388,0,0.0013567,0.931734,3.68
SPE01503821,0.99622,-0.177654,0,0.861144,0.99622,-3.43
SPE01503904,0.793644,-9.67954,0,3.33806e-21,0.793644,18.87
SPE01503922,0.965109,-1.63791,0,0.10206,0.965109,-0.05
SPE01500699,1.01574,0.734565,0,0.485812,1.01574,-5.7
SPE01502234,1.02406,1.129,0,0.2753,1.02406,-6.63
SPE01503982,1.01983,0.927687,0,0.356346,1.01983,-6.17
SPE01504002,0.575783,-19.8968,0,0,0.575783,42.82
SPE01504025,0.99768,-0.108516,0,0.788532,0.99768,-3.66
SPE01504142,0.975743,-1.13816,0,0.263008,0.975743,-1.21
SPE01504187,0.963277,-1.72252,0,0.0941608,0.963277,0.19
SPE01505265,0.983143,-0.793699,0,0.435214,0.983143,-2.08
SPE01504269,1.00594,0.275784,0,0.785006,1.00594,-4.48
SPE01504272,0.9869,-0.61862,0,0.560044,0.9869,-2.4
SPE01504410,1.01945,0.912134,0,0.36839,1.01945,-5.94
SPE01504604,1.00828,0.387632,0,0.699996,1.00828,-4.7
SPE01505200,0.982548,-0.817832,0,0.440112,0.982548,-1.85
SPE01505201,0.992487,-0.352732,0,0.728758,0.992487,-2.93
SPE01505203,0.972059,-1.31088,0,0.19847,0.972059,-0.68
SPE01505205,0.977213,-1.07207,0,0.294414,0.977213,-1.24
SPE01505209,0.988836,-0.528123,0,0.624096,0.988836,-2.51
SPE01505210,1.00353,0.163512,0,0.87033,1.00353,-4.1
SPE01505212,1.02137,0.998032,0,0.348888,1.02137,-6.04
SPE01505213,1.00563,0.264515,0,0.78001,1.00563,-4.26
SPE01505222,1.00576,0.266586,0,0.794274,1.00576,-4.25
SPE01505230,0.986169,-0.647096,0,0.559988,0.986169,-2.05
SPE01505244,0.999159,-0.0398155,0,0.864226,0.999159,-3.45
SPE01505245,0.970842,-1.36405,0,0.28521,0.970842,-0.3
SPE01505248,0.964138,-1.68583,0,0.103726,0.964138,0.47
SPE01505249,1.002,0.0912334,0,0.883742,1.002,-3.64
SPE01505256,1.00299,0.136353,0,0.777136,1.00299,-3.69
SPE01505261,1.01055,0.491244,0,0.634004,1.01055,-4.46
SPE01505262,0.931544,-3.21719,0,0.00450872,0.931544,4.25
SPE01505263,0.99436,-0.265202,0,0.792724,0.99436,-2.57
SPE01505264,1.00267,0.123992,0,0.901448,1.00267,-3.43
SPE01505314,0.979029,-0.984926,0,0.325484,0.979029,-0.82
SPE01500663,0.980478,-0.914976,0,0.386142,0.980478,-1.03
SPE01505215,0.994844,-0.245278,0,0.810074,0.994844,-2.54
SPE01505267,0.954677,-2.12917,0,0.036906,0.954677,1.85
SPE01505270,1.00461,0.213755,0,0.831414,1.00461,-3.6
SPE01505271,1.00922,0.432933,0,0.678648,1.00922,-4.1
SPE01505281,1.01107,0.51627,0,0.611684,1.01107,-4.34
SPE01505294,0.984649,-0.722948,0,0.47581,0.984649,-1.47
SPE01505296,0.984225,-0.743685,0,0.475222,0.984225,-1.44
SPE01500523,0.984947,-0.707136,0,0.480956,0.984947,-1.62
SPE01505304,0.97354,-1.24366,0,0.216508,0.97354,-0.29
SPE01505305,1.00134,0.0615131,0,0.951008,1.00134,-3.33
SPE01505306,1.01602,0.749243,0,0.455582,1.01602,-4.95
SPE01505308,1.0722,3.38486,0,0.000722074,1.0722,-11.12
SPE01505309,0.0653725,-43.8465,0,0,0.0653725,99.11
SPE01505310,1.00062,0.0274081,0,0.978136,1.00062,-3.3
SPE01505312,0.995091,-0.231719,0,0.816798,0.995091,-2.71
SPE01500101,1.01749,0.819445,0,0.413686,1.01749,-4
SPE01500391,1.00327,0.154991,0,0.679376,1.00327,-2.57
SPE01500408,0.980071,-0.93573,0,0.3521,0.980071,0.17
SPE01500497,1.00447,0.207715,0,0.83553,1.00447,-2.76
SPE01500532,0.987997,-0.565343,0,0.573558,0.987997,-1.09
SPE01500556,1.01386,0.649292,0,0.517464,1.01386,-3.66
SPE01503242,0.970549,-1.38444,0,0.172861,0.970549,1.14
SPE01504184,0.994359,-0.265277,0,0.792616,0.994359,-1.72
SPE01500322,0.972769,-1.27607,0,0.239114,0.972769,0.51
SPE01500395,0.999305,-0.0346773,0,0.948152,0.999305,-2.58
SPE01500434,0.99808,-0.0930894,0,0.845062,0.99808,-2.36
SPE01500450,0.96408,-1.68624,0,0.0921472,0.96408,1.24
SPE01500536,1.01027,0.481642,0,0.636014,1.01027,-3.63
SPE01502013,0.99162,-0.394358,0,0.693716,0.99162,-1.78
SPE01503223,0.131227,-40.7577,0,0,0.131227,92.1
SPE01503816,1.01515,0.711577,0,0.503498,1.01515,-4.27
SPE00330082,0.983835,-0.757224,0,0.479138,0.983835,-1.11
SPE01500102,1.01095,0.511926,0,0.608722,1.01095,-3.94
SPE01500168,1.02601,1.21952,0,0.227282,1.02601,-5.6
SPE01500399,1.0072,0.338896,0,0.73236,1.0072,-3.57
SPE01500467,0.999295,-0.0368325,0,0.769502,0.999295,-2.74
SPE01500538,0.998614,-0.0662239,0,0.94728,0.998614,-2.58
SPE01500548,0.976879,-1.08336,0,0.314868,0.976879,-0.19
SPE01500566,0.993752,-0.293708,0,0.771176,0.993752,-2.16
SPE00330002,0.992176,-0.365102,0,0.645412,0.992176,-2.13
SPE01500135,0.983954,-0.752035,0,0.47466,0.983954,-1.19
SPE01500404,1.00216,0.100987,0,0.842434,1.00216,-3.22
SPE01500502,0.991693,-0.391371,0,0.695538,0.991693,-2.07
SPE01500504,0.97548,-1.15352,0,0.261154,0.97548,-0.24
SPE01500551,1.00042,0.0171758,0,0.925524,1.00042,-3.01
SPE01500578,1.01387,0.650762,0,0.5265,1.01387,-4.49
SPE01500592,0.992404,-0.35691,0,0.72385,0.992404,-2.15
SPE01500264,1.0246,1.15402,0,0.261992,1.0246,-5.6
SPE01500300,0.99518,-0.224779,0,0.691906,0.99518,-2.33
SPE01500381,0.955699,-2.07945,0,0.0377554,0.955699,2.12
SPE01500503,1.00709,0.329472,0,0.747516,1.00709,-3.57
SPE01500539,0.996981,-0.144274,0,0.886458,0.996981,-2.65
SPE01500553,1.01249,0.586382,0,0.575966,1.01249,-4.32
SPE01501188,0.0609229,-44.056,0,0,0.0609229,99.78
SPE01503923,0.9088,-4.28166,0,3.1469e-05,0.9088,6.99
SPE01500115,0.991694,-0.389165,0,0.709134,0.991694,-0.86
SPE01500284,1.00324,0.148707,0,0.802478,1.00324,-2.64
SPE01500354,1.00289,0.134558,0,0.893636,1.00289,-2.46
SPE01500483,0.985735,-0.667321,0,0.551044,0.985735,-0.46
SPE01500507,1.00372,0.174917,0,0.774774,1.00372,-2.28
SPE01500668,1.01238,0.581687,0,0.58651,1.01238,-2.99
SPE01502113,0.994083,-0.281199,0,0.78688,0.994083,-1.77
SPE01503422,0.728498,-12.7405,0,2.18764e-35,0.728498,27.05
SPE01500137,0.973523,-1.24359,0,0.213658,0.973523,1.31
SPE01500216,1.0051,0.235761,0,0.816724,1.0051,-1.92
