supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.930885,-3.01071,0,0.00399864,0.930885,6.98
SPE01500764,0.987975,-0.524136,0,0.60468,0.987975,0.79
SPE01500779,1.00228,0.0838156,0,0.554144,1.00228,-0.82
SPE01500833,1.01291,0.563605,0,0.573156,1.01291,-2.04
SPE01500867,0.991696,-0.354027,0,0.72488,0.991696,0.16
SPE01500872,0.98423,-0.68019,0,0.49708,0.98423,0.88
SPE01500901,1.00538,0.249603,0,0.702846,1.00538,-1.46
SPE01500906,0.888214,-4.83477,0,1.45012e-05,0.888214,11.06
SPE01500525,0.993273,-0.293155,0,0.77144,0.993273,-0.38
SPE01500984,0.958609,-1.81557,0,0.125952,0.958609,3.41
SPE01501017,1.01502,0.649216,0,0.526346,1.01502,-2.79
SPE01501126,1.01732,0.751064,0,0.459018,1.01732,-3.11
SPE01501130,1.00101,0.0530668,0,0.852684,1.00101,-1.42
SPE01501172,0.984798,-0.649995,0,0.52686,0.984798,0.27
SPE01501181,0.986104,-0.58806,0,0.586368,0.986104,0.09
SPE01501204,0.803792,-8.53977,0,3.74396e-16,0.803792,19.72
SPE01502103,0.95986,-1.76638,0,0.171693,0.95986,2.79
SPE01502128,1.00082,0.0232551,0,0.612198,1.00082,-1.66
SPE01502155,1.016,0.697963,0,0.485414,1.016,-3.33
SPE01502237,1.00771,0.324721,0,0.674558,1.00771,-2.47
SPE01502252,0.992777,-0.295183,0,0.641456,0.992777,-0.87
SPE01503044,0.989068,-0.475238,0,0.63675,0.989068,-0.51
SPE01503073,0.989882,-0.436001,0,0.662852,0.989882,-0.63
SPE01505299,0.926385,-3.21663,0,0.005153,0.926385,6.44
SPE01503253,0.0592685,-40.9234,0,0,0.0592685,100.04
SPE01503341,0.0604632,-40.8724,0,0,0.0604632,99.91
SPE01503626,1.01122,0.487215,0,0.62905,1.01122,-3.13
SPE01503636,1.01209,0.522019,0,0.61091,1.01209,-3.18
SPE01503722,0.924055,-3.29942,0,0.000989736,0.924055,6.3
SPE01503821,0.991699,-0.357133,0,0.721,0.991699,-1.04
SPE01503904,0.709992,-12.6079,0,1.12661e-35,0.709992,29.5
SPE01503922,0.988309,-0.494218,0,0.640006,0.988309,-0.66
SPE01500699,1.00642,0.273128,0,0.769864,1.00642,-2.62
SPE01502234,1.0097,0.419485,0,0.679968,1.0097,-2.95
SPE01503982,1.0184,0.804594,0,0.42136,1.0184,-3.86
SPE01504002,0.535308,-20.193,0,0,0.535308,48.5
SPE01504025,1.00034,0.0283306,0,0.749876,1.00034,-1.83
SPE01504142,0.992309,-0.324273,0,0.750952,0.992309,-0.93
SPE01504187,0.988765,-0.477952,0,0.640742,0.988765,-0.53
SPE01505265,0.961832,-1.67017,0,0.13063,0.961832,2.2
SPE01504269,1.00012,0.00821261,0,0.993448,1.00012,-1.72
SPE01504272,0.96815,-1.38909,0,0.179032,0.96815,1.71
SPE01504410,1.00452,0.180617,0,0.546188,1.00452,-2.18
SPE01504604,1.02112,0.91915,0,0.359504,1.02112,-3.94
SPE01505200,0.973302,-1.15753,0,0.247138,0.973302,1.25
SPE01505201,0.999983,-0.00220321,0,0.875886,0.999983,-1.62
SPE01505203,0.980705,-0.830801,0,0.410654,0.980705,0.48
SPE01505205,1.00403,0.199814,0,0.510758,1.00403,-2.04
SPE01505209,0.986316,-0.60236,0,0.570908,0.986316,-0.17
SPE01505210,1.00082,0.0400557,0,0.968066,1.00082,-1.77
SPE01505212,1.01198,0.521532,0,0.60323,1.01198,-3.04
SPE01505213,0.998401,-0.0170637,0,0.119779,0.998401,-1.6
SPE01505222,1.00131,0.0434947,0,0.593354,1.00131,-2.01
SPE01505230,0.989411,-0.457807,0,0.647266,0.989411,-0.77
SPE01505244,1.00519,0.2328,0,0.81705,1.00519,-2.54
SPE01505245,0.980758,-0.823438,0,0.431052,0.980758,0.05
SPE01505248,0.961639,-1.67238,0,0.106457,0.961639,2.06
SPE01505249,1.0059,0.25527,0,0.800794,1.0059,-2.81
SPE01505256,1.00409,0.184077,0,0.854578,1.00409,-2.7
SPE01505261,1.01035,0.442083,0,0.678008,1.01035,-3.48
SPE01505262,0.819765,-7.85716,0,1.18874e-12,0.819765,17.17
SPE01505263,1.00627,0.279691,0,0.781318,1.00627,-3.24
SPE01505264,0.999469,-0.018889,0,0.982182,0.999469,-2.61
SPE01505314,0.979319,-0.882884,0,0.41418,0.979319,-0.51
SPE01500663,0.978189,-0.93558,0,0.368718,0.978189,-1.28
SPE01505215,0.985302,-0.638467,0,0.52516,0.985302,-1.41
SPE01505267,0.964152,-1.56652,0,0.143032,0.964152,1.02
SPE01505270,1.00295,0.123842,0,0.807114,1.00295,-3.46
SPE01505271,1.01942,0.850941,0,0.397672,1.01942,-5.38
SPE01505281,1.01479,0.649506,0,0.517954,1.01479,-5
SPE01505294,0.989746,-0.437724,0,0.6648,0.989746,-2.36
SPE01505296,0.998871,-0.0359508,0,0.759852,0.998871,-3.46
SPE01500523,0.975582,-1.05267,0,0.298984,0.975582,-1.75
SPE01505304,0.981504,-0.811565,0,0.445402,0.981504,-1.75
SPE01505305,1.00131,0.0542571,0,0.849904,1.00131,-4.02
