supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.977245,-1.11052,0,0.274446,0.977245,0.59
SPE01500764,0.99545,-0.2184,0,0.586672,0.99545,-1.51
SPE01500779,1.00113,0.0523971,0,0.835496,1.00113,-2.25
SPE01500833,1.01207,0.580163,0,0.562172,1.01207,-3.57
SPE01500867,0.995905,-0.202787,0,0.839758,0.995905,-1.95
SPE01500872,0.979069,-1.02047,0,0.308262,0.979069,-0.25
SPE01500901,0.994366,-0.288374,0,0.471592,0.994366,-2.05
SPE01500906,0.966374,-1.63691,0,0.105382,0.966374,0.88
SPE01500525,1.01394,0.670333,0,0.502778,1.01394,-4.56
SPE01500984,0.975081,-1.21665,0,0.240832,0.975081,-0.2
SPE01501017,1.01087,0.525853,0,0.618086,1.01087,-4.35
SPE01501126,1.0166,0.806402,0,0.485822,1.0166,-5.1
SPE01501130,0.989984,-0.489893,0,0.624884,0.989984,-2.3
SPE01501172,0.976088,-1.17016,0,0.288074,0.976088,-0.87
SPE01501181,0.980974,-0.931074,0,0.369764,0.980974,-1.48
SPE01501204,0.792632,-10.0558,0,1.01316e-23,0.792632,19.17
SPE01502103,0.99239,-0.369059,0,0.722828,0.99239,-2.94
SPE01502128,1.0288,1.39672,0,0.205644,1.0288,-7.02
SPE01502155,1.01958,0.944987,0,0.347294,1.01958,-6.07
SPE01502237,0.998817,-0.0631046,0,0.949712,0.998817,-3.85
SPE01502252,0.969941,-1.46908,0,0.19552,0.969941,-0.72
SPE01503044,0.980446,-0.956594,0,0.355992,0.980446,-1.94
SPE01503073,0.963761,-1.75646,0,0.101188,0.963761,-0.16
SPE01505299,0.977544,-1.09553,0,0.27818,0.977544,-1.24
SPE01503253,0.056757,-45.7257,0,0,0.056757,100.06
SPE01503341,0.0615427,-45.4937,0,0,0.0615427,99.53
SPE01503626,1.01218,0.58802,0,0.56751,1.01218,-5.8
SPE01503636,1.00935,0.45104,0,0.660686,1.00935,-5.43
SPE01503722,0.870697,-6.26958,0,5.66714e-10,0.870697,9.83
SPE01503821,1.00216,0.094,0,0.688158,1.00216,-4.77
SPE01503904,0.743542,-12.4447,0,1.18538e-31,0.743542,23.88
SPE01503922,0.963064,-1.80235,0,0.110629,0.963064,-0.49
SPE01500699,1.01698,0.818285,0,0.413616,1.01698,-6.55
SPE01502234,1.02119,1.01866,0,0.319314,1.02119,-7.04
SPE01503982,1.01866,0.901981,0,0.379058,1.01866,-6.78
SPE01504002,0.530981,-22.7185,0,0,0.530981,47.38
SPE01504025,0.990708,-0.455485,0,0.648788,0.990708,-3.66
SPE01504142,0.972925,-1.31878,0,0.189306,0.972925,-1.68
