supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.971277,-1.60957,0,0.117441,0.971277,1.69
SPE01500764,1.02049,1.13982,0,0.255708,1.02049,-3.61
SPE01500779,1.016,0.853209,0,0.52137,1.016,-3.13
SPE01500833,1.0035,0.190813,0,0.848718,1.0035,-1.79
SPE01500867,0.980816,-1.06254,0,0.293146,0.980816,0.64
SPE01500872,0.969294,-1.689,0,0.126592,0.969294,1.87
SPE01500901,0.967851,-1.77754,0,0.086758,0.967851,2.02
SPE01500906,1.03304,1.82727,0,0.0711988,1.03304,-5
SPE01500525,1.00858,0.474787,0,0.634938,1.00858,-2.37
SPE01500984,0.979384,-1.15462,0,0.25285,0.979384,0.77
SPE01501017,1.02147,1.20206,0,0.244722,1.02147,-3.76
SPE01501126,1.00528,0.296931,0,0.768612,1.00528,-2.02
SPE01501130,0.983334,-0.939635,0,0.361748,0.983334,0.34
SPE01501172,0.986282,-0.754605,0,0.463296,0.986282,0
SPE01501181,0.968778,-1.70503,0,0.179076,0.968778,1.87
SPE01501204,0.824773,-9.77157,0,3.54058e-20,0.824773,17.35
SPE01502103,0.994734,-0.293151,0,0.769658,0.994734,-0.96
SPE01502128,1.00552,0.301056,0,0.764054,1.00552,-2.12
SPE01502155,1.01074,0.582058,0,0.5762,1.01074,-2.7
SPE01502237,0.99041,-0.548733,0,0.599968,0.99041,-0.52
SPE01502252,0.985985,-0.797512,0,0.455298,0.985985,-0.05
SPE01503044,0.99357,-0.319581,0,0.379018,0.99357,-0.89
SPE01503073,0.958121,-2.32108,0,0.023251,0.958121,2.9
SPE01505299,0.993673,-0.372514,0,0.69491,0.993673,-0.84
SPE01503253,0.0569952,-52.5267,0,0,0.0569952,100.01
SPE01503341,0.0604402,-52.3335,0,0,0.0604402,99.64
SPE01503626,1.02884,1.61288,0,0.120826,1.02884,-4.97
SPE01503636,1.04136,2.29903,0,0.021676,1.04136,-6.26
SPE01503722,0.970865,-1.62426,0,0.104746,0.970865,1.23
SPE01503821,0.990987,-0.508893,0,0.613534,0.990987,-0.99
SPE01503904,0.852183,-8.17655,0,3.3108e-13,0.852183,13.99
SPE01503922,0.962221,-2.09846,0,0.0367062,0.962221,2.03
SPE01500699,1.01758,0.956359,0,0.382008,1.01758,-4.05
SPE01502234,1.03545,1.94701,0,0.0792768,1.03545,-6.01
SPE01503982,1.01526,0.852044,0,0.398868,1.01526,-3.83
SPE01504002,0.670987,-18.3803,0,0,0.670987,33.47
SPE01504025,1.00009,0.0116771,0,0.831884,1.00009,-2.18
SPE01504142,0.972175,-1.51356,0,0.253418,0.972175,0.85
SPE01504187,0.978998,-1.18534,0,0.264448,0.978998,0.1
SPE01505265,0.986266,-0.777469,0,0.452648,0.986266,-0.62
SPE01504269,1.0033,0.182444,0,0.855296,1.0033,-2.53
SPE01504272,0.986498,-0.758539,0,0.451744,0.986498,-0.71
SPE01504410,1.02019,1.10628,0,0.29193,1.02019,-4.35
SPE01504604,1.00146,0.0806885,0,0.93575,1.00146,-2.3
SPE01505200,0.978581,-1.17938,0,0.261294,0.978581,0.2
SPE01505201,0.972995,-1.50277,0,0.132982,0.972995,0.82
SPE01505203,0.994444,-0.305378,0,0.762248,0.994444,-1.51
SPE01505205,0.974202,-1.455,0,0.181015,0.974202,0.66
SPE01505209,1.00023,-0.0199804,0,0.487722,1.00023,-2.2
SPE01505210,1.01564,0.815704,0,0.383466,1.01564,-3.93
SPE01505212,1.01877,1.03033,0,0.317486,1.01877,-4.33
SPE01505213,0.99195,-0.468323,0,0.668072,0.99195,-1.47
SPE01505222,0.989966,-0.554447,0,0.582632,0.989966,-1.31
SPE01505230,0.981789,-1.00429,0,0.32922,0.981789,-0.47
SPE01505244,0.993194,-0.369952,0,0.719852,0.993194,-1.75
SPE01505245,0.97239,-1.48162,0,0.422238,0.97239,0.49
SPE01505248,0.998217,-0.126793,0,0.566024,0.998217,-2.35
SPE01505249,0.994734,-0.282653,0,0.781642,0.994734,-1.97
SPE01505256,1.014,0.7455,0,0.553386,1.014,-4.07
SPE01505261,1.00779,0.414517,0,0.698938,1.00779,-3.4
SPE01505262,1.01219,0.675731,0,0.49926,1.01219,-3.9
SPE01505263,0.973745,-1.47451,0,0.156628,0.973745,0.26
SPE01505264,0.979391,-1.13421,0,0.280544,0.979391,-0.37
SPE01505314,0.996234,-0.202722,0,0.838466,0.996234,-2.22
SPE01500663,0.995236,-0.24952,0,0.692754,0.995236,-1.82
SPE01505215,1.0039,0.217085,0,0.828516,1.0039,-3.02
SPE01505267,0.963115,-2.0765,0,0.0667734,0.963115,1.39
SPE01505270,0.993137,-0.39269,0,0.700296,0.993137,-1.81
SPE01505271,1.00265,0.0858657,0,0.176552,1.00265,-2.79
SPE01505281,1.01001,0.53521,0,0.624574,1.01001,-3.54
SPE01505294,0.991486,-0.462159,0,0.659736,0.991486,-1.49
SPE01505296,1.00111,0.075518,0,0.706446,1.00111,-2.5
SPE01500523,0.992007,-0.451339,0,0.65351,0.992007,-1.13
SPE01505304,0.980254,-1.09916,0,0.27183,0.980254,-0.16
SPE01505305,0.994931,-0.27236,0,0.792974,0.994931,-1.71
SPE01505306,1.00759,0.410537,0,0.687862,1.00759,-3.04
SPE01505308,1.09409,5.21951,0,2.86656e-07,1.09409,-12.37
SPE01505309,0.0630553,-52.1876,0,0,0.0630553,99.33
SPE01505310,0.982405,-0.989339,0,0.33218,0.982405,-0.18
SPE01505312,1.0042,0.221061,0,0.827804,1.0042,-2.49
SPE01500101,1.02124,1.19468,0,0.26386,1.02124,-2.33
SPE01500391,1.00278,0.167858,0,0.722838,1.00278,-0.59
SPE01500408,0.958106,-2.37098,0,0.0723202,0.958106,4.59
SPE01500497,0.980013,-1.11984,0,0.26773,0.980013,1.73
SPE01500532,0.977434,-1.27102,0,0.227074,0.977434,1.78
SPE01500556,1.02338,1.2903,0,0.202432,1.02338,-2.66
SPE01503242,0.97296,-1.52617,0,0.168694,0.97296,2.9
SPE01504184,0.984704,-0.864328,0,0.403826,0.984704,1.12
SPE01500322,0.97681,-1.31661,0,0.257928,0.97681,1.74
SPE01500395,0.998511,-0.103158,0,0.682984,0.998511,-1
SPE01500434,1.00522,0.312196,0,0.591922,1.00522,-1.5
SPE01500450,0.984948,-0.844572,0,0.401904,0.984948,0.34
SPE01500536,1.01119,0.60615,0,0.563544,1.01119,-2.04
SPE01502013,0.976542,-1.30548,0,0.19185,0.976542,1.11
SPE01503223,0.131917,-48.348,0,0,0.131917,91.93
SPE01503816,1.0104,0.573245,0,0.567134,1.0104,-2.17
SPE00330082,0.983333,-0.907848,0,0.418056,0.983333,-0.58
SPE01500102,1.00131,0.0758606,0,0.899838,1.00131,-2.14
SPE01500168,1.01287,0.719154,0,0.47638,1.01287,-3.5
SPE01500399,0.990657,-0.536961,0,0.612934,0.990657,-1.19
SPE01500467,1.00179,0.121244,0,0.58384,1.00179,-2.46
SPE01500538,0.994637,-0.292888,0,0.77307,0.994637,-1.28
SPE01500548,0.979059,-1.16439,0,0.244862,0.979059,0.55
SPE01500566,0.998245,-0.097266,0,0.92267,0.998245,-2.14
SPE00330002,0.978569,-1.19477,0,0.23229,0.978569,-0.51
SPE01500135,0.991637,-0.474025,0,0.639406,0.991637,-1.64
SPE01500404,0.994871,-0.289951,0,0.77218,0.994871,-2.21
SPE01500502,0.97704,-1.26818,0,0.218134,0.97704,-0.3
SPE01500504,0.991442,-0.501574,0,0.636304,0.991442,-1.55
SPE01500551,1.02338,1.29354,0,0.197553,1.02338,-5.17
SPE01500578,1.01922,1.06607,0,0.286394,1.01922,-4.79
SPE01500592,0.975586,-1.35562,0,0.177072,0.975586,-0.17
SPE01500264,1.01767,0.978742,0,0.327914,1.01767,-4.72
SPE01500300,1.00122,0.0727863,0,0.862276,1.00122,-2.89
SPE01500381,0.96261,-2.06686,0,0.049087,0.96261,1.37
SPE01500503,1.00941,0.519215,0,0.603756,1.00941,-3.75
SPE01500539,1.00442,0.24818,0,0.805108,1.00442,-3.33
SPE01500553,1.03202,1.79875,0,0.105584,1.03202,-6.31
SPE01501188,0.0587583,-52.4246,0,0,0.0587583,99.75
SPE01503923,0.938787,-3.43636,0,0.00324322,0.938787,3.82
SPE01500115,0.982522,-0.977383,0,0.329762,0.982522,-0.56
SPE01500284,1.01258,0.708155,0,0.493768,1.01258,-3.99
SPE01500354,1.00334,0.175375,0,0.862888,1.00334,-2.93
SPE01500483,0.981981,-0.999995,0,0.31951,0.981981,-0.55
SPE01500507,0.978482,-1.18916,0,0.245392,0.978482,-0.12
SPE01500668,0.98956,-0.60919,0,0.610556,0.98956,-1.35
SPE01502113,0.990438,-0.530496,0,0.596958,0.990438,-1.63
SPE01503422,0.795194,-11.4075,0,3.16462e-28,0.795194,19.6
SPE01500137,0.990763,-0.511507,0,0.610858,0.990763,-1.53
SPE01500216,1.02441,1.36045,0,0.17749,1.02441,-5.34
SPE01500267,0.977277,-1.26175,0,0.208834,0.977277,-0.27
SPE01500364,0.968465,-1.71716,0,0.205824,0.968465,0.55
SPE01500518,0.978647,-1.17141,0,0.280942,0.978647,-0.5
SPE01500521,1.01295,0.713292,0,0.47741,1.01295,-4.28
SPE01500541,1.00878,0.488465,0,0.625986,1.00878,-3.56
SPE02300241,0.99237,-0.408646,0,0.704682,0.99237,-1.96
SPE01500110,1.01335,0.724986,0,0.493506,1.01335,-4.37
SPE01500244,1.01067,0.583775,0,0.564456,1.01067,-4.06
SPE01500276,1.00895,0.493969,0,0.621434,1.00895,-3.85
SPE01500489,0.98816,-0.661254,0,0.508488,0.98816,-1.55
SPE01500499,0.986537,-0.749675,0,0.453618,0.986537,-1.34
SPE01500510,0.965201,-1.93372,0,0.0538128,0.965201,1.02
SPE01500605,1.00566,0.318867,0,0.752626,1.00566,-3.34
SPE01501118,1.00397,0.208566,0,0.831994,1.00397,-3.35
SPE01500240,0.983631,-0.874176,0,0.53844,0.983631,-0.89
SPE01500246,0.998771,-0.0793512,0,0.844416,0.998771,-2.53
SPE01500253,0.995526,-0.247172,0,0.80559,0.995526,-2.17
SPE01500339,1.00073,0.030622,0,0.868272,1.00073,-2.77
SPE01500406,1.01347,0.732583,0,0.486038,1.01347,-4.35
SPE01500446,0.942861,-3.11976,0,0.0388966,0.942861,3.29
SPE01500491,0.952672,-2.64394,0,0.0100807,0.952672,2.36
SPE02300270,0.972428,-1.53102,0,0.127519,0.972428,-0.02
SPE00330001,0.988572,-0.620928,0,0.564182,0.988572,-2.36
SPE01500104,1.00845,0.481053,0,0.647354,1.00845,-4.45
SPE01500363,1.02515,1.38757,0,0.172152,1.02515,-6.1
SPE01500368,0.981317,-1.05085,0,0.305338,0.981317,-1.67
SPE01500496,0.999615,-0.0327936,0,0.838168,0.999615,-3.39
SPE01500527,0.99508,-0.241818,0,0.446956,0.99508,-2.56
SPE01500547,0.989149,-0.60728,0,0.543942,0.989149,-1.99
SPE01503267,1.00146,0.0733118,0,0.901872,1.00146,-3.42
SPE01500124,0.985487,-0.822637,0,0.432392,0.985487,1.53
SPE01500193,0.975726,-1.37211,0,0.215064,0.975726,2.66
SPE01500225,0.988684,-0.674753,0,0.423376,0.988684,1.1
SPE01500304,0.975396,-1.38031,0,0.178824,0.975396,3.15
SPE01500589,1.00496,0.310256,0,0.418348,1.00496,-0.07
SPE01500595,1.00511,0.273069,0,0.788586,1.00511,-0.27
SPE01502010,0.908717,-5.10087,0,2.66334e-06,0.908717,9.84
SPE01505376,1.0022,0.115318,0,0.90871,1.0022,0.13
SPE01500145,0.967266,-1.84342,0,0.0973694,0.967266,2.78
SPE01500230,0.979878,-1.13025,0,0.268894,0.979878,1.35
SPE01500590,0.983462,-0.93016,0,0.361042,0.983462,1.57
SPE01500597,1.0143,0.816742,0,0.481344,1.0143,-1.8
SPE01501145,1.02141,1.22666,0,0.38599,1.02141,-2.65
SPE01503017,0.994216,-0.329334,0,0.743762,0.994216,-0.01
SPE01503610,0.0558168,-52.5895,0,0,0.0558168,100.08
SPE01505432,1.00697,0.389995,0,0.6985,1.00697,-1.19
SPE01500117,0.991065,-0.502625,0,0.616326,0.991065,0.07
SPE01500231,0.968969,-1.73846,0,0.0917962,0.968969,1.97
SPE01500581,1.00006,0.0126569,0,0.782104,1.00006,-1.06
SPE01500614,0.990574,-0.507224,0,0.64508,0.990574,0.03
SPE01500839,1.00789,0.400182,0,0.443786,1.00789,-2.03
SPE01502001,0.979175,-1.19077,0,0.341922,0.979175,0.99
SPE01505453,1.03508,1.96739,0,0.0725116,1.03508,-4.89
SPE02300212,0.996554,-0.198646,0,0.843412,0.996554,-0.93
SPE01500136,0.975762,-1.34405,0,0.182829,0.975762,1.05
