supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.97302,-1.32008,0,0.189669,0.97302,0.95
SPE01500764,1.0003,0.0039064,0,0.912844,1.0003,-2.1
SPE01500779,1.00768,0.371065,0,0.716234,1.00768,-3
SPE01500833,1.0139,0.657911,0,0.529494,1.0139,-3.76
SPE01500867,0.998963,-0.0571801,0,0.95441,0.998963,-2.22
SPE01500872,0.96932,-1.49031,0,0.143981,0.96932,0.92
SPE01500901,0.970103,-1.44728,0,0.175147,0.970103,0.76
SPE01500906,1.06553,3.15982,0,0.00332398,1.06553,-9.74
SPE01500525,1.0229,1.1032,0,0.270066,1.0229,-5.24
SPE01500984,0.981122,-0.919505,0,0.362268,0.981122,-0.6
SPE01501017,1.0147,0.705958,0,0.48022,1.0147,-4.42
SPE01501126,1.02902,1.39763,0,0.164745,1.02902,-6.07
SPE01501130,0.993625,-0.316635,0,0.751522,0.993625,-2.27
SPE01501172,0.972623,-1.3236,0,0.22322,0.972623,-0.01
SPE01501181,0.960893,-1.88712,0,0.106826,0.960893,1.25
SPE01501204,0.818334,-8.82263,0,1.12754e-18,0.818334,16.86
SPE01502103,0.993824,-0.312465,0,0.758504,0.993824,-2.39
SPE01502128,1.01562,0.725859,0,0.517442,1.01562,-4.76
SPE01502155,1.0347,1.66814,0,0.108062,1.0347,-6.85
SPE01502237,0.999498,-0.0326901,0,0.973934,0.999498,-2.99
SPE01502252,0.987239,-0.615507,0,0.566188,0.987239,-1.66
SPE01503044,0.976009,-1.16878,0,0.244668,0.976009,-0.45
SPE01503073,0.969529,-1.46963,0,0.201628,0.969529,0.22
SPE01505299,0.992976,-0.351468,0,0.72676,0.992976,-2.3
SPE01503253,0.0597936,-45.6721,0,0,0.0597936,100.02
SPE01503341,0.0594615,-45.6885,0,0,0.0594615,100.05
SPE01503626,1.02932,1.41188,0,0.160717,1.02932,-6.6
SPE01503636,1.02696,1.29808,0,0.196124,1.02696,-6.29
SPE01503722,0.958754,-2.01548,0,0.0490042,0.958754,1.12
SPE01503821,0.987144,-0.626815,0,0.535394,0.987144,-2.03
SPE01503904,0.789017,-10.258,0,3.65318e-23,0.789017,19.75
