supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.938534,-2.53962,0,0.0143535,0.938534,2.77
SPE01500764,0.992901,-0.294298,0,0.768548,0.992901,-3.32
SPE01500779,1.01694,0.70147,0,0.491562,1.01694,-6.03
SPE01500833,1.00304,0.12835,0,0.875092,1.00304,-4.51
SPE01500867,0.998835,-0.0516287,0,0.956156,0.998835,-4.08
SPE01500872,0.980096,-0.819099,0,0.413204,0.980096,-2.03
SPE01500901,0.977207,-0.941249,0,0.347276,0.977207,-1.74
SPE01500906,0.701121,-12.3376,0,6.6179e-29,0.701121,29.04
SPE01500525,1.01176,0.490022,0,0.633854,1.01176,-5.7
SPE01500984,0.953414,-1.91866,0,0.0550552,0.953414,0.85
SPE01501017,1.01279,0.528844,0,0.600114,1.01279,-5.85
SPE01501126,1.01722,0.719465,0,0.505216,1.01722,-6.38
SPE01501130,0.989652,-0.431537,0,0.668334,0.989652,-3.34
SPE01501172,0.992935,-0.30257,0,0.772372,0.992935,-3.76
SPE01501181,0.980543,-0.800149,0,0.424544,0.980543,-2.41
SPE01501204,0.744868,-10.5196,0,4.1706e-23,0.744868,23.92
SPE01502103,0.997218,-0.10355,0,0.703334,0.997218,-4.39
SPE01502128,1.02223,0.90658,0,0.372422,1.02223,-7.21
SPE01502155,1.02263,0.932081,0,0.353298,1.02263,-7.28
SPE01502237,1.0047,0.188638,0,0.850902,1.0047,-5.3
SPE01502252,0.994016,-0.259315,0,0.743016,0.994016,-4.13
SPE01503044,0.975438,-1.01224,0,0.311424,0.975438,-2.1
SPE01503073,0.979884,-0.836017,0,0.412534,0.979884,-2.65
SPE01505299,0.962431,-1.56095,0,0.149355,0.962431,-0.46
SPE01503253,0.0635299,-38.5658,0,0,0.0635299,100.13
SPE01503341,0.0684053,-38.3655,0,0,0.0684053,99.58
SPE01503626,1.01401,0.573347,0,0.566546,1.01401,-6.71
SPE01503636,1.01281,0.516621,0,0.617014,1.01281,-6.53
SPE01503722,0.90728,-3.80791,0,0.000205352,0.90728,5.25
SPE01503821,0.990431,-0.396488,0,0.691878,0.990431,-4.13
SPE01503904,0.707324,-12.067,0,7.59488e-30,0.707324,27.69
SPE01503922,0.992022,-0.334864,0,0.74036,0.992022,-4.37
SPE01500699,1.01752,0.721496,0,0.471994,1.01752,-7.31
SPE01502234,1.01278,0.523718,0,0.600474,1.01278,-6.8
SPE01503982,1.01921,0.784848,0,0.435244,1.01921,-7.54
SPE01504002,0.229943,-31.6854,0,0,0.229943,81.36
SPE01504025,0.999818,-0.00079828,0,0.797384,0.999818,-5.34
SPE01504142,0.98968,-0.429925,0,0.669004,0.98968,-4.19
SPE01504187,0.97818,-0.910959,0,0.390396,0.97818,-2.9
SPE01505265,0.975047,-1.04861,0,0.37864,0.975047,-2.5
SPE01504269,0.999086,-0.0398422,0,0.96822,0.999086,-5.25
SPE01504272,0.983271,-0.686887,0,0.494064,0.983271,-3.47
SPE01504410,1.01869,0.764006,0,0.446822,1.01869,-7.44
SPE01504604,1.0151,0.618408,0,0.53647,1.0151,-7.02
SPE01505200,0.974245,-1.09096,0,0.443972,0.974245,-2.39
SPE01505201,0.999849,-0.0177271,0,0.772082,0.999849,-5.25
SPE01505203,0.979337,-0.852966,0,0.39395,0.979337,-2.92
SPE01505205,0.98489,-0.625941,0,0.532516,0.98489,-3.54
SPE01505209,1.0047,0.201694,0,0.76472,1.0047,-5.78
SPE01505210,1.00195,0.075019,0,0.924228,1.00195,-5.48
SPE01505212,1.01131,0.468826,0,0.643344,1.01131,-6.55
SPE01505213,1.00421,0.176426,0,0.861638,1.00421,-5.76
SPE01505222,0.998185,-0.0743176,0,0.94089,0.998185,-5.08
SPE01505230,0.986471,-0.567766,0,0.585176,0.986471,-3.75
SPE01505244,0.983099,-0.706038,0,0.495684,0.983099,-3.36
SPE01505245,0.992855,-0.317962,0,0.527154,0.992855,-4.45
SPE01505248,0.95257,-1.95422,0,0.0508584,0.95257,0.09
SPE01505249,1.01457,0.605904,0,0.557862,1.01457,-6.89
