supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.966842,-1.40374,0,0.160464,0.966842,-1.06
SPE01500764,0.992239,-0.32968,0,0.754184,0.992239,-4.05
SPE01500779,1.01143,0.477469,0,0.636474,1.01143,-6.32
SPE01500833,1.01424,0.597547,0,0.552968,1.01424,-6.75
SPE01500867,1.00226,0.0917744,0,0.927166,1.00226,-5.5
SPE01500872,0.970419,-1.255,0,0.23387,0.970419,-1.98
SPE01500901,0.947259,-2.23168,0,0.0280442,0.947259,0.54
SPE01500906,1.01162,0.484221,0,0.643926,1.01162,-6.89
SPE01500525,1.00678,0.281746,0,0.77819,1.00678,-6.56
SPE01500984,0.962815,-1.57189,0,0.132033,0.962815,-1.45
SPE01501017,1.00718,0.300993,0,0.773592,1.00718,-6.72
SPE01501126,1.01716,0.718984,0,0.47732,1.01716,-7.95
SPE01501130,0.990141,-0.421081,0,0.675582,0.990141,-4.94
SPE01501172,0.974205,-1.09187,0,0.282308,0.974205,-3.18
SPE01501181,0.9668,-1.40491,0,0.162369,0.9668,-2.36
SPE01501204,0.79141,-8.81069,0,4.53252e-18,0.79141,17.72
SPE01502103,1.02697,1.13428,0,0.256832,1.02697,-9.33
SPE01502128,1.01365,0.571615,0,0.567792,1.01365,-7.83
SPE01502155,1.02792,1.17544,0,0.245598,1.02792,-9.5
SPE01502237,0.997349,-0.115706,0,0.908048,0.997349,-6.01
SPE01502252,0.981655,-0.777579,0,0.441738,0.981655,-4.21
SPE01503044,0.9527,-1.99866,0,0.05756,0.9527,-0.88
SPE01503073,0.959688,-1.70639,0,0.0890724,0.959688,-1.67
SPE01505299,0.966939,-1.39894,0,0.164903,0.966939,-2.43
SPE01503253,0.0635915,-39.534,0,0,0.0635915,101.09
SPE01503341,0.0653074,-39.4615,0,0,0.0653074,100.89
SPE01503626,1.01656,0.694112,0,0.489974,1.01656,-8.24
SPE01503636,1.03062,1.28846,0,0.197904,1.03062,-9.84
SPE01503722,0.976963,-0.977753,0,0.335694,0.976963,-3.7
SPE01503821,0.99826,-0.0761784,0,0.82706,0.99826,-6.14
SPE01503904,0.910898,-3.76316,0,0.000326322,0.910898,3.88
SPE01503922,0.942926,-2.4158,0,0.0228446,0.942926,0.21
SPE01500699,1.03311,1.39646,0,0.203408,1.03311,-10.18
SPE01502234,1.02385,1.00396,0,0.325956,1.02385,-9.11
SPE01503982,1.03044,1.28179,0,0.20779,1.03044,-9.84
SPE01504002,0.187162,-34.3181,0,0,0.187162,86.92
SPE01504025,0.979504,-0.87595,0,0.475602,0.979504,-3.9
SPE01504142,0.971158,-1.21896,0,0.2612,0.971158,-2.95
SPE01504187,0.966693,-1.4162,0,0.321342,0.966693,-2.41
SPE01505265,0.967963,-1.35538,0,0.181784,0.967963,-2.69
SPE01504269,1.00396,0.167273,0,0.505512,1.00396,-6.72
SPE01504272,0.967001,-1.39459,0,0.194061,0.967001,-2.48
SPE01504410,1.01329,0.557828,0,0.582906,1.01329,-7.79
SPE01504604,1.02186,0.921891,0,0.409032,1.02186,-8.78
SPE01505200,0.967213,-1.38847,0,0.165407,0.967213,-2.5
