supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.972686,-1.34844,0,0.178674,0.972686,1.14
SPE01500764,0.999459,-0.0280615,0,0.977618,0.999459,-1.86
SPE01500779,1.00526,0.265847,0,0.79481,1.00526,-2.59
SPE01500833,1.00809,0.398385,0,0.690964,1.00809,-3
SPE01500867,0.991198,-0.432118,0,0.666326,0.991198,-1.26
SPE01500872,0.993642,-0.324065,0,0.750842,0.993642,-1.62
SPE01500901,0.993416,-0.323302,0,0.746904,0.993416,-1.69
SPE01500906,0.808577,-9.45685,0,1.04264e-17,0.808577,18.36
SPE01500525,1.01535,0.747376,0,0.45746,1.01535,-4.35
SPE01500984,0.974131,-1.2826,0,0.207446,0.974131,0.23
SPE01501017,1.00422,0.20864,0,0.835172,1.00422,-3.21
SPE01501126,1.01419,0.690265,0,0.492746,1.01419,-4.38
SPE01501130,0.994607,-0.243441,0,0.606408,0.994607,-2.31
SPE01501172,0.999692,-0.00824552,0,0.83863,0.999692,-2.89
SPE01501181,0.994088,-0.288087,0,0.77457,0.994088,-2.3
SPE01501204,0.836905,-8.04408,0,2.74056e-14,0.836905,14.89
SPE01502103,0.954609,-2.26015,0,0.0487752,0.954609,1.99
SPE01502128,1.01952,0.965034,0,0.341504,1.01952,-5.12
SPE01502155,1.01168,0.57834,0,0.566874,1.01168,-4.28
SPE01502237,1.00249,0.115184,0,0.908842,1.00249,-3.29
SPE01502252,0.990919,-0.459539,0,0.654986,0.990919,-2.03
SPE01503044,0.987784,-0.598958,0,0.550708,0.987784,-1.7
SPE01503073,0.973091,-1.32787,0,0.184949,0.973091,-0.12
SPE01505299,0.977812,-1.10517,0,0.28572,0.977812,-0.54
SPE01503253,0.0591807,-46.3513,0,0,0.0591807,99.96
SPE01503341,0.0617723,-46.2246,0,0,0.0617723,99.68
SPE01503626,1.0247,1.22044,0,0.230258,1.0247,-5.94
SPE01503636,1.01993,0.990337,0,0.341962,1.01993,-5.38
SPE01503722,0.938611,-3.02876,0,0.00289066,0.938611,3.49
SPE01503821,1.00015,0.0141746,0,0.840336,1.00015,-3.25
SPE01503904,0.654137,-17.0312,0,0,0.654137,34.71
