supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.936856,-3.17749,0,0.00149424,0.936856,2.15
SPE01500764,1.01046,0.5208,0,0.603654,1.01046,-6.17
SPE01500779,1.01326,0.660231,0,0.5125,1.01326,-6.57
SPE01500833,1.00923,0.459048,0,0.646974,1.00923,-6.2
SPE01500867,0.994483,-0.278366,0,0.781528,0.994483,-4.63
SPE01500872,0.988828,-0.560333,0,0.581546,0.988828,-4.08
SPE01500901,0.983105,-0.855143,0,0.396144,0.983105,-3.52
SPE01500906,0.930934,-3.47429,0,0.000512294,0.930934,2.27
SPE01500525,1.01555,0.778117,0,0.436518,1.01555,-7.4
SPE01500984,0.95993,-2.02374,0,0.0517354,0.95993,-1.07
SPE01501017,1.02035,1.01404,0,0.324012,1.02035,-8.01
SPE01501126,1.02664,1.34729,0,0.228626,1.02664,-8.78
SPE01501130,0.989561,-0.533139,0,0.603642,0.989561,-4.64
SPE01501172,0.993056,-0.347621,0,0.73289,0.993056,-5.07
SPE01501181,0.985212,-0.744937,0,0.457114,0.985212,-4.22
SPE01501204,0.795149,-10.3046,0,3.83606e-24,0.795149,17.22
SPE01502103,0.988215,-0.606162,0,0.58536,0.988215,-4.61
SPE01502128,1.01887,0.950456,0,0.35281,1.01887,-8.07
SPE01502155,1.02764,1.39066,0,0.173071,1.02764,-9.03
SPE01502237,1.00037,0.0245068,0,0.692952,1.00037,-5.92
SPE01502252,0.98856,-0.580939,0,0.564272,0.98856,-4.54
SPE01503044,0.978867,-1.06296,0,0.290138,0.978867,-3.42
SPE01503073,0.941641,-2.93404,0,0.00348514,0.941641,0.78
SPE01505299,0.9523,-2.4117,0,0.0285974,0.9523,-0.55
SPE01503253,0.0638944,-47.0738,0,0,0.0638944,99.81
SPE01503341,0.0695077,-46.7962,0,0,0.0695077,99.17
SPE01503626,1.02659,1.32041,0,0.25238,1.02659,-8.94
SPE01503636,1.00433,0.206323,0,0.730502,1.00433,-6.39
SPE01503722,0.905109,-4.77712,0,2.71846e-06,0.905109,4.78
SPE01503821,0.993351,-0.349249,0,0.628818,0.993351,-5.18
SPE01503904,0.776345,-11.25,0,1.90083e-28,0.776345,19.34
SPE01503922,0.967361,-1.64022,0,0.104407,0.967361,-2.23
SPE01500699,1.01802,0.898481,0,0.376414,1.01802,-8.03
SPE01502234,1.03067,1.54341,0,0.131577,1.03067,-9.5
SPE01503982,1.02437,1.22541,0,0.22561,1.02437,-8.81
SPE01504002,0.524762,-23.9225,0,0,0.524762,47.67
SPE01504025,0.98947,-0.534203,0,0.594374,0.98947,-4.88
SPE01504142,0.967963,-1.62727,0,0.165259,0.967963,-2.45
SPE01504187,0.934814,-3.27399,0,0.00139746,0.934814,1.29
SPE01505265,0.961233,-1.9493,0,0.0523106,0.961233,-1.57
SPE01504269,1.0212,1.0589,0,0.295802,1.0212,-8.52
SPE01504272,0.956565,-2.17816,0,0.039134,0.956565,-1.19
SPE01504410,1.02803,1.40933,0,0.163807,1.02803,-9.32
SPE01504604,1.01821,0.913476,0,0.36151,1.01821,-8.22
SPE01505200,0.979216,-1.05277,0,0.303874,0.979216,-3.82
