supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.932148,-3.3096,0,0.000941402,0.932148,4.46
SPE01500764,1.01186,0.549593,0,0.556394,1.01186,-4.32
SPE01500779,0.997236,-0.131491,0,0.86491,0.997236,-2.73
SPE01500833,1.00977,0.483383,0,0.642606,1.00977,-4.13
SPE01500867,0.994186,-0.292437,0,0.773104,0.994186,-2.46
SPE01500872,0.990276,-0.476404,0,0.633802,0.990276,-2.06
SPE01500901,0.995175,-0.212489,0,0.491584,0.995175,-2.62
SPE01500906,0.926207,-3.60185,0,0.000344366,0.926207,4.9
SPE01500525,1.01157,0.561609,0,0.57458,1.01157,-4.52
SPE01500984,0.964807,-1.7292,0,0.0999476,0.964807,0.63
SPE01501017,1.01232,0.601484,0,0.550216,1.01232,-4.62
SPE01501126,1.01171,0.564238,0,0.574088,1.01171,-4.58
SPE01501130,0.996709,-0.181363,0,0.62817,0.996709,-2.94
SPE01501172,0.972316,-1.33847,0,0.208942,0.972316,-0.27
SPE01501181,0.991632,-0.416623,0,0.680946,0.991632,-2.42
SPE01501204,0.513839,-23.711,0,0,0.513839,50.05
SPE01502103,0.96628,-1.66072,0,0.12523,0.96628,0.25
SPE01502128,1.01341,0.64928,0,0.516226,1.01341,-4.96
SPE01502155,1.02539,1.23796,0,0.218954,1.02539,-6.3
SPE01502237,0.995294,-0.241984,0,0.79699,0.995294,-3.01
SPE01502252,0.988596,-0.540329,0,0.633306,0.988596,-2.26
SPE01503044,0.98585,-0.687824,0,0.494918,0.98585,-1.98
SPE01503073,0.975662,-1.19342,0,0.236736,0.975662,-0.88
SPE01505299,0.966372,-1.64275,0,0.100745,0.966372,0.28
SPE01503253,0.0583911,-45.9304,0,0,0.0583911,100.09
SPE01503341,0.0694506,-45.3866,0,0,0.0694506,98.87
SPE01503626,1.01648,0.788362,0,0.452336,1.01648,-5.6
SPE01503636,1.01433,0.676663,0,0.550018,1.01433,-5.31
SPE01503722,0.91851,-3.97123,0,7.23752e-05,0.91851,5.19
SPE01503821,0.991106,-0.437417,0,0.661946,0.991106,-2.82
SPE01503904,0.698351,-14.7112,0,0,0.698351,29.49
SPE01503922,0.960734,-1.92534,0,0.0624394,0.960734,0.54
SPE01500699,1.00288,0.132944,0,0.894966,1.00288,-4.14
SPE01502234,1.02624,1.27186,0,0.205332,1.02624,-6.74
SPE01503982,1.02544,1.22713,0,0.233028,1.02544,-6.67
SPE01504002,0.137573,-42.047,0,0,0.137573,91.34
SPE01504025,0.982772,-0.855515,0,0.422594,0.982772,-1.96
SPE01504142,0.987596,-0.603952,0,0.547582,0.987596,-2.49
SPE01504187,0.955413,-2.17736,0,0.0297942,0.955413,1.06
SPE01505265,0.975732,-1.16674,0,0.302112,0.975732,-1.11
SPE01504269,1.00564,0.26905,0,0.78832,1.00564,-4.5
SPE01504272,0.971667,-1.38214,0,0.167131,0.971667,-0.74
SPE01504410,1.02396,1.1654,0,0.244178,1.02396,-6.55
