supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.956095,-2.17507,0,0.0646134,0.956095,0.84
SPE01500764,0.998854,-0.0799989,0,0.44922,0.998854,-4.03
SPE01500779,1.01515,0.73882,0,0.460982,1.01515,-6.01
SPE01500833,1.00962,0.472395,0,0.639236,1.00962,-5.56
SPE01500867,0.996709,-0.157417,0,0.800546,0.996709,-4.3
SPE01500872,0.979605,-0.995933,0,0.338882,0.979605,-2.57
SPE01500901,0.972792,-1.32296,0,0.250884,0.972792,-1.97
SPE01500906,0.987456,-0.62179,0,0.536988,0.987456,-3.76
SPE01500525,1.00677,0.329382,0,0.74187,1.00677,-6.22
SPE01500984,0.949516,-2.49155,0,0.020359,0.949516,0.32
SPE01501017,1.01112,0.527311,0,0.617626,1.01112,-6.84
SPE01501126,1.01054,0.515041,0,0.60661,1.01054,-6.92
SPE01501130,0.990183,-0.492974,0,0.637604,0.990183,-4.77
SPE01501172,0.993785,-0.305279,0,0.761224,0.993785,-5.27
SPE01501181,0.992364,-0.385135,0,0.710484,0.992364,-5.2
SPE01501204,0.771691,-11.1796,0,1.23504e-24,0.771691,19.5
SPE01502103,0.994699,-0.272479,0,0.740744,0.994699,-5.67
SPE01502128,1.0145,0.702822,0,0.49192,1.0145,-7.93
SPE01502155,1.01701,0.837909,0,0.41411,1.01701,-8.23
SPE01502237,0.999647,-0.0185181,0,0.949894,0.999647,-6.26
SPE01502252,0.988999,-0.541947,0,0.588038,0.988999,-5.04
SPE01503044,0.982086,-0.88362,0,0.37766,0.982086,-4.22
SPE01503073,0.959952,-1.97076,0,0.0496876,0.959952,-1.71
SPE01505299,0.948133,-2.56929,0,0.0360478,0.948133,-0.38
SPE01503253,0.0552418,-46.4016,0,0,0.0552418,100
SPE01503341,0.0599534,-46.1715,0,0,0.0599534,99.47
SPE01503626,1.02109,1.03164,0,0.302284,1.02109,-8.59
SPE01503636,1.02013,0.978083,0,0.343652,1.02013,-8.47
SPE01503722,0.951839,-2.35956,0,0.021955,0.951839,-0.8
SPE01503821,0.999951,-0.00972686,0,0.873282,0.999951,-6.18
SPE01503904,0.811677,-9.22273,0,1.91478e-17,0.811677,14.99
SPE01503922,0.959255,-2.01847,0,0.0802882,0.959255,-1.56
SPE01500699,1.01701,0.819762,0,0.454536,1.01701,-8.05
SPE01502234,1.02465,1.21132,0,0.232608,1.02465,-8.91
SPE01503982,1.02251,1.10559,0,0.273714,1.02251,-8.65
SPE01504002,0.713852,-14.0683,0,2.52357e-40,0.713852,26.05
SPE01504025,0.98717,-0.632313,0,0.527198,0.98717,-4.6
SPE01504142,0.993272,-0.332362,0,0.739708,0.993272,-5.23
SPE01504187,0.961585,-1.89981,0,0.0802014,0.961585,-1.61
SPE01505265,0.95815,-2.05426,0,0.0407374,0.95815,-1.44
SPE01504269,1.00314,0.136938,0,0.609004,1.00314,-6.18
SPE01504272,0.96271,-1.83705,0,0.0692804,0.96271,-1.7
SPE01504410,1.01705,0.833282,0,0.404844,1.01705,-7.72
SPE01504604,1.01404,0.697941,0,0.525476,1.01404,-7.37
SPE01505200,0.994488,-0.26369,0,0.731602,0.994488,-5.17
SPE01505201,0.983126,-0.828757,0,0.408814,0.983126,-3.87
SPE01505203,0.96217,-1.86728,0,0.0726308,0.96217,-1.51
SPE01505205,0.968252,-1.57428,0,0.157854,0.968252,-2.19
SPE01505209,0.965445,-1.70756,0,0.104189,0.965445,-1.89
SPE01505210,0.996373,-0.171846,0,0.744732,0.996373,-5.39
