supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.96368,-2.15649,0,0.0333096,0.96368,1.97
SPE01500764,0.995575,-0.249376,0,0.757464,0.995575,-1.57
SPE01500779,1.00858,0.522743,0,0.613414,1.00858,-3.07
SPE01500833,1.00752,0.449764,0,0.657776,1.00752,-3.05
SPE01500867,0.994734,-0.307147,0,0.758818,0.994734,-1.75
SPE01500872,0.988086,-0.718404,0,0.564512,0.988086,-1.11
SPE01500901,0.975552,-1.4626,0,0.236636,0.975552,0.16
SPE01500906,1.03101,1.86446,0,0.115857,1.03101,-5.96
SPE01500525,1.00522,0.320231,0,0.751032,1.00522,-3.32
SPE01500984,0.974583,-1.50284,0,0.13404,0.974583,0.09
SPE01501017,1.00172,0.110068,0,0.912446,1.00172,-3.02
SPE01501126,1.01711,1.0253,0,0.306244,1.01711,-4.78
SPE01501130,0.988853,-0.667014,0,0.551776,0.988853,-1.76
SPE01501172,0.985193,-0.878738,0,0.390984,0.985193,-1.4
SPE01501181,0.989203,-0.644258,0,0.550846,0.989203,-1.87
SPE01501204,0.843351,-9.31359,0,1.02879e-19,0.843351,14.01
SPE01502103,0.987855,-0.708444,0,0.500074,0.987855,-1.84
SPE01502128,1.01401,0.846643,0,0.419786,1.01401,-4.74
SPE01502155,1.01609,0.961351,0,0.338164,1.01609,-5.01
SPE01502237,0.993008,-0.418196,0,0.69971,0.993008,-2.53
SPE01502252,0.991143,-0.52225,0,0.603232,0.991143,-2.38
SPE01503044,0.979639,-1.21426,0,0.272006,0.979639,-1.17
SPE01503073,0.972396,-1.63664,0,0.103123,0.972396,-0.44
SPE01505299,0.986794,-0.784681,0,0.449092,0.986794,-1.68
SPE01503253,0.0572737,-56.0708,0,0,0.0572737,99.8
SPE01503341,0.0609207,-55.8542,0,0,0.0609207,99.4
SPE01503626,1.00794,0.481151,0,0.632836,1.00794,-4.64
SPE01503636,1.01911,1.14912,0,0.269538,1.01911,-5.79
SPE01503722,0.989613,-0.610578,0,0.54155,0.989613,-2.68
SPE01503821,0.996247,-0.223339,0,0.770306,0.996247,-3.45
SPE01503904,0.886572,-6.75277,0,6.8823e-10,0.886572,8.58
